GCCSA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
69799,0,0,0,0,0,0,0,0,0,0,4,6,3,0,0,0,11,15,6,0,0,0,0,5,7,0,3,0,0,10,7,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,20,49,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,8,8,7,0,0,0,14,23,6,0,0,0,0,5,8,0,3,0,0,15,8,0,0,0,0,12,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,34,0,6,0,26,73
6GHOB,8,3,3,4,6859,6880,196,11,6,8,6868,7088,4118,198,242,11,9371,13947,6952,568,809,33,4813,13171,8013,773,1939,104,3454,14285,8748,665,2374,295,2001,14085,7405,373,1591,501,713,10584,3752,120,511,776,233,5388,1037,25,81,695,62,1906,40228,2742,7568,2419,34376,87329,18,7,0,3,6663,6684,350,38,12,9,6550,6952,5218,395,317,37,8572,14541,7705,738,1283,126,4555,14411,8263,966,2882,292,2908,15312,8845,738,3368,847,1564,15358,6580,372,2213,1844,589,11598,2705,92,775,2888,241,6703,529,15,155,2536,137,3368,40212,3352,11000,8588,31775,94929,26,9,3,3,13524,13565,544,48,24,16,13414,14042,9338,591,563,48,17939,28485,14654,1308,2095,160,9371,27577,16278,1739,4819,399,6370,29598,17590,1403,5742,1142,3567,29440,13986,751,3804,2345,1303,22183,6461,212,1289,3661,473,12093,1563,40,238,3230,199,5275,80447,6093,18565,11007,66149,182260
6RTAS,16,5,7,7,9014,9049,315,23,3,4,7798,8144,4567,287,242,15,9148,14256,8027,713,1064,46,5481,15328,10950,1124,2754,160,4539,19526,13257,1040,3677,433,2522,20926,12209,674,2471,1001,1085,17444,5698,218,744,1245,370,8281,1278,45,126,867,133,2440,56327,4132,11077,3777,40082,115389,24,9,0,7,8355,8395,545,54,12,10,6959,7579,5919,515,378,65,8201,15080,9141,938,1606,154,4922,16761,11924,1262,3527,533,3528,20777,13493,956,4190,1313,1715,21667,10746,505,2810,2924,669,17663,3944,111,799,4111,256,9219,656,22,168,3046,149,4046,56396,4380,13503,12166,34755,121201,45,14,4,16,17367,17443,861,79,13,15,14755,15724,10489,803,624,75,17355,29338,17171,1647,2671,204,10404,32094,22877,2389,6272,689,8070,40297,26754,1993,7868,1749,4235,42594,22952,1186,5285,3927,1750,35104,9641,334,1545,5355,631,17500,1937,65,292,3916,276,6490,112721,8514,24573,15941,74841,236592
79499,0,0,0,0,16,16,0,0,0,0,97,98,36,3,5,0,178,219,73,10,15,0,120,215,86,18,26,8,127,257,106,10,53,8,46,229,99,17,39,10,12,174,12,0,7,4,0,20,0,0,0,0,0,0,406,61,143,26,605,1240,0,0,0,0,17,17,3,0,0,0,84,85,43,5,0,0,185,239,64,8,6,3,103,180,75,6,30,7,84,203,147,7,23,13,21,212,66,7,20,8,0,105,5,0,4,0,0,10,0,0,0,0,0,0,402,31,85,28,491,1043,0,0,0,0,32,32,6,0,0,0,178,183,78,12,5,0,370,457,135,15,21,3,218,396,159,23,51,16,211,461,251,15,80,17,74,438,163,26,58,21,18,278,17,0,11,4,0,38,0,0,0,0,0,0,811,88,230,62,1099,2281
79799,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,18,23,15,0,0,0,0,16,6,0,0,0,0,11,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,24,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,7,9,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,23,30,16,0,0,0,0,19,6,0,0,0,3,9,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,36,0,4,0,30,72
7GDAR,23,4,3,5,4009,4039,301,22,8,3,4870,5198,4709,208,198,14,8917,14046,6654,342,634,28,3820,11472,5712,506,1268,75,2522,10094,4342,382,1322,110,1282,7434,2443,236,711,181,447,4021,740,56,191,159,101,1246,119,5,32,94,24,273,25045,1762,4366,668,25987,57821,19,3,3,4,3531,3560,513,27,8,3,3797,4355,5472,251,304,10,6769,12810,6062,382,761,66,3046,10315,4989,488,1297,246,1844,8858,3629,380,1337,454,812,6612,1742,148,682,613,203,3393,384,28,201,577,37,1226,66,6,37,235,10,356,22883,1715,4631,2210,20045,51481,45,9,9,8,7533,7600,813,46,20,4,8669,9555,10183,459,501,25,15685,26858,12713,727,1390,91,6859,21789,10705,991,2568,323,4366,18951,7974,763,2657,563,2091,14042,4189,386,1398,786,650,7413,1127,83,389,740,138,2470,181,14,65,328,32,626,47929,3477,8996,2872,46029,109301
7RNTE,187,11,0,5,3212,3420,823,37,22,6,2657,3544,3318,148,108,19,4106,7695,3444,220,273,38,2164,6143,3250,316,552,101,1654,5881,2501,271,614,161,888,4439,1128,144,366,184,300,2119,298,24,94,115,92,624,48,3,5,38,22,116,15010,1183,2040,662,15092,33985,365,11,5,3,2643,3023,1006,57,16,13,2262,3357,3597,262,155,58,3916,7988,3410,284,312,127,2156,6283,3097,316,611,366,1611,6009,2143,250,690,523,768,4366,750,98,297,491,220,1852,170,12,70,309,74,639,23,0,16,130,18,192,14553,1298,2174,2034,13669,33722,553,22,7,10,5849,6446,1833,93,37,18,4917,6905,6911,415,262,81,8017,15691,6856,509,585,174,4318,12427,6350,639,1167,468,3271,11887,4645,517,1301,679,1656,8810,1877,240,666,675,512,3969,466,44,163,426,168,1266,71,3,28,171,42,310,29557,2479,4214,2692,28763,67701
89499,0,0,0,0,16,16,0,0,0,0,35,36,4,3,0,0,52,63,10,8,8,0,41,67,6,10,15,0,16,43,6,6,14,0,8,38,6,0,3,0,4,15,0,0,0,3,0,5,0,0,0,0,0,0,35,27,42,3,180,297,0,0,0,0,20,20,0,0,0,0,40,42,0,0,3,0,38,44,4,3,4,0,26,40,4,4,3,0,6,26,4,0,18,3,3,34,0,0,5,0,3,9,0,0,0,0,0,4,0,0,0,3,0,3,27,12,39,10,131,209,0,0,0,0,35,35,3,0,0,0,74,79,4,3,4,0,92,108,17,11,14,0,67,107,12,14,22,0,28,68,12,12,36,3,13,78,8,0,8,0,9,24,3,0,0,5,0,8,0,0,0,3,0,3,61,43,81,10,313,506
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,28,8,7,10,12299,12350,403,25,17,0,15384,15829,11707,410,486,31,19740,32368,18723,844,1477,58,7768,28875,16289,1052,2711,165,4739,24959,13638,786,2715,294,2431,19870,10423,390,1678,584,849,13929,4802,126,555,746,205,6436,1366,26,110,737,78,2316,77380,3669,9750,2631,63494,156932,32,8,6,3,12075,12124,860,49,20,13,14589,15525,15136,661,728,38,17077,33639,18842,1077,2274,159,7076,29423,15890,1212,4141,421,4296,25955,13122,849,4254,1129,2210,21558,9033,453,2911,2304,795,15503,3518,129,964,3052,251,7913,706,12,232,2784,109,3839,77146,4443,15517,9900,58476,165485,58,11,13,14,24376,24468,1261,69,37,14,29971,31354,26842,1067,1212,72,36817,66008,37569,1923,3753,216,14841,58298,32176,2268,6849,585,9033,50915,26763,1634,6966,1425,4641,41426,19462,846,4589,2886,1642,29428,8322,259,1511,3799,460,14352,2075,37,337,3522,186,6155,154526,8118,25272,12530,121971,322415
99499,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,3,21,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,0,0,4,6,0,0,0,0,4,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,10,30,0,0,0,0,3,3,0,0,0,0,10,10,0,0,0,0,0,0,6,0,0,0,0,5,0,0,3,0,0,9,3,0,4,0,0,11,9,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,4,7,0,15,46
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6
9OTER,0,0,0,0,101,101,6,0,0,0,132,134,101,8,5,3,206,329,201,17,24,0,105,345,212,15,41,3,97,371,216,21,66,8,54,359,205,4,20,16,15,255,64,3,16,13,0,95,19,0,0,4,3,28,1015,69,175,44,719,2013,0,0,0,0,107,107,12,0,0,0,52,63,126,5,0,4,111,240,177,12,13,0,84,290,204,20,36,6,70,332,214,8,45,23,41,340,129,7,25,35,11,210,35,0,6,43,4,91,7,0,3,20,0,29,899,53,140,138,470,1702,0,0,0,0,205,205,15,0,0,0,180,199,225,10,8,3,318,566,377,29,36,0,187,633,415,38,79,12,166,707,431,30,112,33,92,701,331,12,45,48,25,463,100,3,23,52,3,182,18,0,3,23,3,51,1912,123,314,180,1190,3714
