GCCSA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,18,6,7,7,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,0,12,19,75,8,21,3,0,0,140,0,0,0,17,17,26,21,16,4,105,0,3,4,23,14,18,0,3,0,71,22,123,183,643,227,234,161,112,79,1777,279,537,737,1694,995,1106,915,700,359,7308,6338,13158,13639,28944,15312,15358,11598,6703,3368,114422,0,10,42,72,20,6,3,0,0,153,12113,24551,23167,44142,23354,22804,15810,7999,3549,177488,0,3,5,58,0,0,0,0,0,69,0,0,7,19,19,21,15,6,0,83,0,0,0,11,5,0,0,0,0,17,3,16,29,162,73,71,59,11,3,426,0,11,5,51,34,22,15,6,0,142,22,66,690,1279,125,93,59,36,13,2376,0,3,6,17,11,30,41,50,8,167,3,11,3,9,8,9,9,9,4,58,30,192,199,877,1449,1637,1898,1189,461,7936,0,4,3,38,30,40,10,11,3,131,3,10,11,79,41,28,23,14,7,207,4,11,32,143,127,137,304,157,109,1040
6RTAS,0,9,14,54,15,6,0,0,0,95,0,3,5,15,21,31,55,31,8,167,0,3,4,19,19,12,9,4,0,71,21,81,98,450,230,234,194,98,45,1447,411,847,998,2380,1643,1973,1795,1070,498,11605,7575,16868,15981,31846,20777,21667,17663,9219,4046,145646,0,3,35,85,16,6,0,0,0,150,14356,31620,29275,51019,32465,33082,24878,12007,4593,233293,0,3,3,28,3,3,0,0,0,42,0,0,3,10,6,0,8,3,0,35,0,0,0,9,3,0,0,0,0,13,0,23,20,132,61,81,56,13,3,386,0,3,0,11,14,4,9,3,0,52,15,38,130,285,78,49,28,15,6,645,0,0,0,0,10,10,14,31,0,79,6,12,6,16,3,13,12,4,0,76,9,168,175,732,1659,2402,3305,1804,540,10794,0,4,7,44,26,15,9,3,0,120,0,3,4,36,16,29,28,8,7,131,3,16,24,114,115,202,317,214,59,1060
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,3,0,0,0,24,6,17,38,138,61,42,17,5,0,317,34,76,102,418,203,212,105,10,0,1157,0,0,0,0,0,0,0,0,0,0,62,92,94,406,270,278,163,15,0,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,38,11,24,22,4,0,120,0,0,3,0,0,0,0,0,0,3,0,0,4,12,0,0,0,0,0,14,0,0,6,8,3,3,3,0,0,28
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,7,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,9,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,8,22,34,219,72,49,20,7,0,436,0,3,5,21,9,7,15,4,0,67,0,22,27,123,18,18,4,0,0,219,31,137,165,769,344,245,160,76,21,1957,471,757,826,2570,968,808,402,150,45,6999,5018,8444,7911,23124,8858,6612,3393,1226,356,64939,0,0,19,29,3,3,0,0,0,54,8577,13326,12049,27390,11141,8131,3826,1098,301,85840,3,27,73,218,27,15,4,3,0,372,0,0,0,12,9,8,8,0,0,29,3,11,9,77,37,39,17,3,0,187,3,14,13,115,36,36,25,6,0,253,0,0,3,12,8,8,3,0,0,40,11,82,143,508,164,55,54,24,10,1057,0,0,3,3,4,6,14,10,0,38,3,12,3,15,7,4,5,0,0,44,37,199,272,1140,950,763,575,199,59,4194,3,12,24,110,40,35,7,0,3,234,3,16,32,134,41,16,30,7,0,273,5,12,35,220,83,86,127,68,9,643
7RNTE,0,3,9,44,20,3,0,0,0,84,0,0,0,8,3,7,4,0,0,17,0,12,13,67,23,12,0,0,0,128,4,21,38,171,81,52,23,8,0,398,234,465,515,1460,715,558,256,86,30,4327,3572,6863,6382,14278,6009,4366,1852,639,192,44157,0,0,4,6,0,0,0,0,0,10,6680,12622,11371,21075,8637,6174,2685,849,208,70296,0,0,0,22,0,0,0,0,0,26,0,0,0,6,0,0,0,0,0,7,0,0,4,13,0,3,0,0,0,28,0,0,11,42,8,21,13,3,0,99,0,0,0,8,3,0,0,0,0,17,0,7,17,73,26,5,0,0,0,136,0,0,0,0,0,0,3,0,0,4,0,0,0,0,4,0,3,0,0,10,9,49,66,253,320,307,197,57,14,1268,0,20,14,78,45,13,10,5,0,190,0,0,14,45,11,13,11,3,0,100,5,0,21,82,37,50,45,18,5,260
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,5,8,3,7,0,0,0,23,6,12,59,79,26,34,9,4,3,228,0,0,0,0,0,0,0,0,0,0,10,17,74,142,44,45,17,3,3,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,11,60,133,792,375,324,102,56,21,1876,3,4,17,39,24,32,39,26,16,205,0,27,57,140,47,32,11,4,0,319,64,376,611,2592,1037,881,666,434,222,6874,523,796,1403,3384,1325,1252,1000,729,662,11067,12889,23055,27648,63063,25955,21558,15503,7913,3839,201425,3,19,90,206,78,51,21,4,0,471,24435,40249,40493,77991,32832,26013,17219,7389,3078,269693,13,76,115,858,166,107,31,4,0,1363,0,4,10,117,80,75,48,39,12,385,6,14,46,164,64,45,29,15,3,386,16,91,102,412,258,148,92,28,6,1154,3,13,21,259,133,137,125,41,13,756,74,242,4177,4343,1030,854,376,177,69,11334,4,6,18,126,168,251,367,322,44,1299,11,51,27,157,51,61,54,22,8,441,73,660,673,2141,2541,2459,2287,1361,552,12739,7,41,83,381,176,130,64,24,5,902,11,64,71,265,127,52,35,28,16,669,15,44,110,387,272,243,730,280,148,2226
99499,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,10,8,4,4,6,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,5,8,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,0,0,3,0,22,7,23,22,59,50,55,25,15,6,256,126,266,172,533,332,340,210,91,29,2090,0,0,0,3,0,0,0,0,0,6,220,457,282,555,317,337,210,98,31,2504,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,18,27,21,28,7,4,112,4,8,4,24,8,3,0,0,0,52,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0,3,0,0,11
