GCCSA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
6GHOB,17,8,8,11,9,3,11,347,6,98,227,74,12,9,18,4,0,3,9,7,0,4,34,519,0,4,5,9,15,29,72,58,15,13,7,14,17,11,16,270,0,0,0,3,18,56,72,105,10,18,12,21,24,17,19,370,0,3,3,13,16,7,4,0,0,0,3,0,0,0,0,50,0,9,37,49,50,64,123,86,26,52,49,48,87,102,27,811,0,14,16,4,3,4,4,0,0,0,0,0,0,0,0,43,0,291,209,62,78,41,41,19,4,7,3,4,3,0,25,783,13,27,81,252,425,385,342,165,31,42,34,40,21,21,77,1959,0,3,0,0,3,5,11,37,14,31,36,41,41,17,7,235,0,0,3,17,80,146,115,146,23,38,25,32,40,20,35,714,0,68,53,29,89,63,18,22,0,3,0,5,3,3,17,372,6,3,16,17,13,21,55,41,12,25,28,23,36,35,11,344
6RTAS,11,3,5,15,0,3,9,329,0,83,143,42,14,7,3,8,0,3,0,0,3,4,25,326,0,3,4,0,5,20,26,27,8,5,3,5,8,9,6,139,0,0,0,3,10,23,44,39,4,11,4,18,25,27,16,220,0,0,0,10,10,3,3,0,0,0,0,0,0,0,0,27,3,0,17,47,34,34,53,68,20,38,47,62,98,69,19,599,0,20,13,14,8,3,0,0,0,0,0,0,0,0,4,71,3,534,409,125,135,43,81,29,0,5,0,3,5,0,31,1406,13,27,108,416,664,578,570,226,54,61,45,33,45,32,124,2999,0,0,0,0,0,4,3,16,5,16,7,15,26,9,0,110,0,0,4,5,110,158,164,183,46,37,43,39,36,26,40,900,0,40,18,7,63,41,11,9,4,3,0,3,0,0,9,199,4,3,16,29,13,14,24,17,9,4,14,16,33,22,4,229
79499,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,3,0,0,0,0,0,0,0,3,0,0,16,0,0,0,16,7,10,9,9,3,0,4,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,155,130,69,47,39,23,28,869,0,29,81,71,15,17,15,33,6,12,25,16,12,4,19,364,0,0,3,7,5,21,38,29,3,14,20,70,104,45,38,393,0,0,0,0,14,22,57,84,10,11,13,21,34,19,23,321,0,0,0,3,9,3,5,9,3,3,5,0,0,0,4,44,3,0,25,80,141,99,58,82,23,6,23,17,19,18,18,619,0,7,3,6,3,0,0,4,0,0,0,0,0,0,0,25,0,44,63,31,26,15,20,26,4,4,4,3,20,0,14,282,3,6,49,267,590,489,490,377,96,157,108,72,51,38,114,2896,0,0,3,5,10,10,14,87,22,39,31,29,30,22,10,312,0,0,3,53,313,470,404,1527,293,393,401,348,353,226,180,4963,0,4,4,5,18,17,12,13,0,3,0,3,3,7,7,92,0,0,8,51,37,41,35,25,8,7,4,13,9,6,18,259
7RNTE,16,10,8,7,6,3,3,139,0,20,22,13,3,0,4,8,5,0,7,4,11,6,24,128,0,0,0,0,0,3,20,10,0,0,0,8,12,7,7,72,0,0,0,0,4,6,8,19,3,5,3,4,20,9,12,82,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,9,17,16,7,4,6,0,3,0,0,3,4,79,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,6,0,22,17,14,11,3,15,17,3,4,0,0,3,3,8,121,0,0,15,116,237,196,232,257,67,104,107,99,92,53,95,1668,0,0,0,0,0,0,0,23,3,4,3,4,0,0,0,39,0,0,0,0,54,138,100,230,75,64,64,65,66,26,44,927,0,0,5,0,12,3,7,3,0,0,0,0,0,0,0,29,0,0,0,6,3,3,3,10,4,0,3,0,0,0,3,36
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,78,67,41,19,8,7,16,843,12,320,713,423,105,61,62,49,21,37,17,23,30,6,75,1938,5,16,13,30,54,87,223,141,30,26,22,33,30,30,56,791,0,0,0,19,92,207,499,600,135,175,135,122,115,90,97,2283,0,5,10,72,82,106,54,37,6,7,0,9,6,0,15,400,11,12,120,310,370,419,295,237,64,91,76,116,137,113,67,2431,0,84,78,62,15,15,3,15,0,3,0,0,0,0,9,285,0,335,269,103,77,45,60,63,16,14,13,7,18,10,15,1037,25,50,174,526,796,781,913,457,184,188,168,110,128,64,160,4722,0,4,3,17,25,123,419,468,109,150,189,173,191,88,44,1993,0,3,20,101,300,650,560,757,208,229,221,267,238,155,88,3789,0,80,90,52,268,255,67,52,3,15,6,13,6,3,23,942,7,6,46,134,97,123,182,115,26,32,42,35,87,76,21,1026
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,3,50,149,79,27,33,8,7,4,3,0,9,24,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,20,54,57,45,49,25,3,3,3,4,10,8,77,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,3,0,19,3,6,4,9,8,5,10,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,23,3,3,0,0,0,0,0,0,0,5,51
