GCCSA_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
6RTAS,7233,146,18,3,0,0,3,993,8395,5440,956,434,94,19,0,10,629,7579,3523,1392,1245,470,130,47,19,525,7362,1911,1461,2179,1118,362,122,71,501,7725,1273,1136,2681,1404,547,190,125,498,7851,1254,1155,3123,1759,634,254,180,556,8914,1399,1324,3585,2100,765,267,173,597,10212,1452,1179,3668,2203,844,302,198,701,10558,1516,1104,3740,2528,1037,310,179,777,11196,1189,1000,3555,2424,1046,314,173,775,10475,1030,888,3337,2439,1069,360,177,842,10145,675,502,2189,1919,972,385,231,652,7517,424,309,1132,1369,925,419,307,542,5422,259,211,730,856,632,364,306,436,3795,322,299,781,833,587,336,364,527,4046,28896,13057,32390,21521,9584,3670,2513,9569,121201
79499,16,0,0,0,0,0,0,0,17,51,0,0,0,0,0,0,37,85,62,11,5,3,0,0,0,50,129,35,8,9,6,5,0,0,41,106,21,13,14,6,0,0,0,27,83,15,9,18,9,6,3,3,31,95,17,9,19,12,7,0,3,31,99,13,0,29,19,5,0,5,36,104,16,6,30,16,10,4,0,20,100,18,15,34,23,5,0,3,19,107,6,0,32,10,4,4,3,6,67,3,3,6,4,6,0,0,8,30,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,75,201,106,54,17,20,302,1043
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,9
7GDAR,2906,45,3,0,0,0,0,600,3560,3116,399,165,26,4,0,4,646,4355,3723,931,572,196,47,21,11,893,6389,2376,1303,1277,499,141,49,21,755,6425,1155,925,1609,769,262,76,41,561,5401,893,695,1534,786,318,84,78,522,4911,760,612,1504,821,324,101,80,490,4694,707,499,1241,797,301,109,61,447,4163,478,440,1101,757,339,102,63,439,3728,316,307,903,572,256,101,58,367,2879,215,214,624,460,233,78,60,248,2136,126,99,367,263,158,39,49,153,1253,77,57,177,176,99,54,62,103,803,34,28,73,68,65,33,72,55,418,17,36,54,61,45,25,55,63,356,16909,6587,11204,6248,2593,873,712,6342,51481
7RNTE,1808,222,26,9,3,0,0,953,3023,1475,696,369,80,17,4,9,712,3357,1511,676,644,325,105,24,16,752,4053,1015,642,760,476,245,100,53,640,3934,609,397,704,506,269,159,111,501,3255,510,345,671,464,295,134,111,507,3029,500,348,647,514,291,174,120,520,3120,441,295,617,474,289,158,138,472,2887,315,235,538,489,241,118,125,392,2455,220,193,420,344,205,109,113,320,1911,120,98,247,228,105,88,85,186,1160,65,53,124,119,76,58,76,113,698,41,31,63,53,45,36,44,60,375,28,16,39,28,38,26,36,54,262,17,12,21,18,34,12,29,35,192,8685,4275,5896,4124,2251,1213,1069,6210,33722
89499,14,0,0,0,0,0,0,3,20,31,0,0,0,0,0,0,9,42,20,0,0,0,0,0,0,0,21,14,0,3,0,0,0,0,3,20,12,4,4,0,0,0,0,9,25,8,0,3,0,0,0,0,0,9,0,0,3,3,0,0,0,0,11,0,0,6,3,0,0,0,3,15,6,3,3,3,3,0,0,0,22,3,0,3,4,0,0,0,0,15,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,101,14,30,21,7,7,0,29,209
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,10962,46,13,0,0,0,4,1097,12124,13353,624,214,52,6,0,3,1272,15525,11631,2122,1117,297,88,24,4,1228,16512,7129,3932,3632,1005,218,74,44,1094,17122,3638,2813,5273,1952,456,148,69,790,15147,2594,2091,5556,2320,688,179,103,736,14281,2305,1922,5143,2339,719,164,104,692,13377,2065,1642,4687,2438,787,213,98,648,12573,1723,1496,4120,2398,825,208,132,637,11541,1243,1144,3617,2260,837,228,86,605,10024,974,970,3341,2145,789,230,132,501,9073,587,548,2240,1611,656,225,121,444,6428,351,362,1273,1188,633,250,182,387,4623,228,237,789,793,487,210,195,347,3294,215,317,794,759,492,244,242,776,3839,59000,20268,41811,21560,7679,2396,1520,11251,165485
99499,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,6,3,0,0,0,4,30
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,74,0,0,0,0,0,0,24,107,46,6,0,0,0,0,0,11,63,42,19,13,7,0,0,0,9,95,46,27,30,20,3,0,0,15,144,29,18,40,30,3,0,4,9,137,30,25,46,24,8,3,0,18,148,30,18,49,23,10,3,3,15,162,27,19,53,26,16,6,0,29,174,19,15,61,42,14,4,0,29,184,23,13,53,23,11,6,4,25,157,13,10,37,28,14,0,3,18,120,13,13,19,18,8,10,0,8,86,8,3,12,9,9,4,3,9,54,0,5,3,9,8,3,7,8,38,3,0,5,8,7,0,3,3,29,409,190,419,270,116,41,27,225,1702
