GCCSA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
6GHOB,0,4,10,53,47,25,4,3,0,151,12,48,84,255,132,111,50,13,3,714,3,3,8,72,35,55,84,52,58,372,0,26,23,116,164,181,251,184,60,1012,3,18,130,96,39,33,13,8,3,344,3,43,68,293,123,125,113,48,18,820,0,0,0,4,7,14,10,19,0,48,0,8,19,78,26,27,18,11,0,197,9,4,12,90,11,5,0,0,0,131,9,60,60,174,32,21,8,0,0,370,0,0,0,0,0,4,0,0,0,8,0,4,0,6,8,5,4,3,0,34,14,77,77,249,140,140,125,31,11,859,13,14,37,134,18,25,9,0,0,253,0,8,4,32,36,51,47,35,16,232,0,7,17,35,33,29,12,4,3,139,49,233,362,1220,474,431,340,248,138,3494,602,1102,1382,3372,1983,2167,1784,1254,554,14199,12995,27099,27607,56063,29598,29440,22183,12093,5275,222356
6RTAS,0,4,0,61,53,27,13,3,0,170,8,59,63,339,162,156,84,19,4,900,0,0,0,38,18,45,40,25,32,199,0,14,17,87,171,264,442,203,69,1265,3,17,42,78,31,30,12,8,0,229,0,44,74,191,131,127,92,38,7,705,0,0,0,0,8,8,15,21,3,52,4,32,8,82,36,20,9,6,0,195,3,3,18,137,4,4,0,0,0,169,9,19,35,97,40,21,4,0,0,236,0,0,0,0,0,0,6,0,0,9,0,0,3,7,11,7,9,0,0,35,19,56,47,163,126,155,141,45,9,766,5,12,20,83,20,11,3,0,0,149,0,3,7,34,49,64,115,51,21,337,0,6,12,43,29,29,25,6,0,146,33,160,221,824,424,461,425,263,106,2927,814,1737,2030,4663,3365,3949,3554,1999,811,22915,15434,34604,33168,61431,40297,42594,35104,17500,6490,286627
79499,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0,3,3,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,11,16,0,9,3,0,0,36,16,23,71,290,150,99,52,9,0,702,81,123,218,850,461,438,278,38,0,2489
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,5,47,9,3,0,3,0,70
7GDAR,0,17,30,171,128,65,22,9,0,437,85,607,619,2295,735,404,162,41,13,4963,0,3,0,44,4,25,9,5,3,92,6,19,28,129,113,120,78,33,7,531,3,11,15,93,44,47,25,14,0,259,7,50,80,269,117,58,24,9,0,618,0,0,0,4,11,10,7,10,0,41,25,64,45,314,79,55,34,19,6,635,15,6,33,390,15,14,0,3,0,479,31,75,105,313,159,74,33,11,0,805,0,0,0,6,3,3,3,0,0,13,0,3,0,18,11,3,5,0,0,42,13,62,54,151,65,48,40,5,0,438,8,44,74,349,135,108,44,14,0,768,0,3,7,54,25,13,22,9,0,137,3,35,55,224,61,39,7,0,0,420,77,306,342,1534,718,508,364,186,42,4080,981,1546,1855,6116,2369,1833,934,296,87,16010,10155,17377,17153,48648,18951,14042,7413,2470,626,136828
7RNTE,6,12,11,68,43,17,9,0,0,151,11,92,123,394,173,103,24,10,3,927,0,0,0,12,6,11,0,0,0,29,0,0,3,31,34,45,29,15,0,153,0,5,0,19,7,8,0,0,0,36,0,32,26,103,65,29,8,3,0,262,0,0,0,0,0,5,8,0,0,15,8,14,7,81,17,10,0,0,0,141,0,3,18,108,7,8,0,0,0,149,3,17,14,74,27,4,4,0,0,144,0,0,0,3,0,3,0,0,0,10,0,0,0,3,3,0,0,0,0,9,41,100,74,282,126,99,28,6,0,762,0,7,22,74,40,13,5,0,3,165,0,0,0,4,9,7,3,8,0,41,3,35,23,111,50,18,7,0,0,251,10,53,63,375,169,108,67,20,3,878,550,1011,1136,2934,1485,1228,590,192,55,9175,7398,14346,13345,28116,11887,8810,3969,1266,310,89443
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,4,3,0,0,0,19,0,0,13,28,8,14,0,0,0,64,12,22,114,213,68,78,24,8,3,538
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,11,24,57,262,238,104,27,7,3,741,49,271,435,1785,619,375,185,49,19,3789,3,11,20,282,100,219,153,82,73,942,11,37,59,279,322,358,426,254,93,1841,21,88,206,388,142,100,56,21,7,1026,9,180,327,686,406,199,121,44,22,2008,0,0,7,49,76,90,62,68,10,360,14,183,227,1128,479,388,219,101,29,2774,10,15,72,319,50,31,15,3,3,522,29,106,210,631,148,116,49,8,3,1302,0,3,19,123,66,102,55,27,3,405,8,4,21,96,44,26,20,8,0,231,99,384,356,927,382,324,224,68,13,2775,26,112,259,1326,695,620,182,98,30,3340,3,18,26,101,62,82,82,61,22,449,0,43,111,264,113,68,23,3,0,623,158,798,1227,5019,2018,1673,1258,808,351,13322,1139,1662,2787,7129,2779,2395,1921,1346,955,22131,26782,47659,55821,124308,50915,41426,29428,14352,6155,396857
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,3,0,0,0,0,0,0,9,3,3,11,9,9,11,13,0,0,55
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6
9OTER,0,0,4,4,6,0,0,0,0,16,0,9,3,32,14,3,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,14,0,0,0,11,16,18,5,0,0,51,0,3,4,15,3,7,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0,4,14,9,0,0,0,0,24,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,12,0,0,6,13,4,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6,14,58,13,5,3,3,0,106,16,47,50,143,101,108,60,29,11,570,261,543,410,1201,707,701,463,182,51,4523
