SED_NAME16	Age5yr	ChildrenEverBorn	females
Barwon	30-34		243
Barwon	30-34	0	452
Barwon	30-34	1	347
Barwon	30-34	2	605
Barwon	30-34	3	367
Barwon	30-34	4	153
Barwon	30-34	5	51
Barwon	30-34	6	32
Barwon	35-39		211
Barwon	35-39	0	282
Barwon	35-39	1	215
Barwon	35-39	2	540
Barwon	35-39	3	427
Barwon	35-39	4	190
Barwon	35-39	5	72
Barwon	35-39	6	59
Barwon	40-44		262
Barwon	40-44	0	232
Barwon	40-44	1	187
Barwon	40-44	2	614
Barwon	40-44	3	482
Barwon	40-44	4	270
Barwon	40-44	5	89
Barwon	40-44	6	85
Barwon	45-49		281
Barwon	45-49	0	246
Barwon	45-49	1	219
Barwon	45-49	2	701
Barwon	45-49	3	509
Barwon	45-49	4	245
Barwon	45-49	5	96
Barwon	45-49	6	90
Barwon	50-54		320
Barwon	50-54	0	277
Barwon	50-54	1	226
Barwon	50-54	2	836
Barwon	50-54	3	653
Barwon	50-54	4	283
Barwon	50-54	5	80
Barwon	50-54	6	90
Barwon	55-59		304
Barwon	55-59	0	245
Barwon	55-59	1	221
Barwon	55-59	2	875
Barwon	55-59	3	640
Barwon	55-59	4	317
Barwon	55-59	5	110
Barwon	55-59	6	69
Barwon	60-64		254
Barwon	60-64	0	187
Barwon	60-64	1	184
Barwon	60-64	2	760
Barwon	60-64	3	593
Barwon	60-64	4	270
Barwon	60-64	5	87
Barwon	60-64	6	65
Barwon	65-69		273
Barwon	65-69	0	157
Barwon	65-69	1	129
Barwon	65-69	2	690
Barwon	65-69	3	544
Barwon	65-69	4	294
Barwon	65-69	5	91
Barwon	65-69	6	74
Barwon	70-74		211
Barwon	70-74	0	116
Barwon	70-74	1	104
Barwon	70-74	2	482
Barwon	70-74	3	457
Barwon	70-74	4	278
Barwon	70-74	5	115
Barwon	70-74	6	75
Barwon	75-79		221
Barwon	75-79	0	92
Barwon	75-79	1	45
Barwon	75-79	2	311
Barwon	75-79	3	366
Barwon	75-79	4	263
Barwon	75-79	5	127
Barwon	75-79	6	93
Barwon	80-84		177
Barwon	80-84	0	58
Barwon	80-84	1	59
Barwon	80-84	2	189
Barwon	80-84	3	210
Barwon	80-84	4	184
Barwon	80-84	5	112
Barwon	80-84	6	101
Barwon	85+		308
Barwon	85+	0	76
Barwon	85+	1	57
Barwon	85+	2	188
Barwon	85+	3	220
Barwon	85+	4	182
Barwon	85+	5	73
Barwon	85+	6	120
Bathurst	15-19		394
Bathurst	15-19	0	2040
Bathurst	15-19	1	47
Bathurst	15-19	2	3
Bathurst	15-19	6	3
Bathurst	20-24		272
Bathurst	20-24	0	1643
Bathurst	20-24	1	256
Bathurst	20-24	2	139
Bathurst	20-24	3	40
Bathurst	20-24	4	6
Bathurst	20-24	5	4
Bathurst	25-29		166
Bathurst	25-29	0	971
Bathurst	25-29	1	439
Bathurst	25-29	2	384
Bathurst	25-29	3	143
Bathurst	25-29	4	48
Bathurst	25-29	5	11
Bathurst	25-29	6	6
Bathurst	30-34		138
Bathurst	30-34	0	482
Bathurst	30-34	1	353
Bathurst	30-34	2	586
Bathurst	30-34	3	280
Bathurst	30-34	4	105
Bathurst	30-34	5	29
Bathurst	30-34	6	24
Bathurst	35-39		148
Bathurst	35-39	0	288
Bathurst	35-39	1	263
Bathurst	35-39	2	691
Bathurst	35-39	3	451
Bathurst	35-39	4	168
