SED_NAME16	MotorVehicles.min	occupied_private_dwellings
Oakleigh (Southern Metropolitan)	1	10843
Oakleigh (Southern Metropolitan)	2	8311
Oakleigh (Southern Metropolitan)	3	1980
Oakleigh (Southern Metropolitan)	4	876
Ovens Valley (Northern Victoria)		1105
Ovens Valley (Northern Victoria)	0	1105
Ovens Valley (Northern Victoria)	1	7084
Ovens Valley (Northern Victoria)	2	7879
Ovens Valley (Northern Victoria)	3	2757
Ovens Valley (Northern Victoria)	4	1702
Pascoe Vale (Northern Metropolitan)		915
Pascoe Vale (Northern Metropolitan)	0	2777
Pascoe Vale (Northern Metropolitan)	1	11342
Pascoe Vale (Northern Metropolitan)	2	8718
Pascoe Vale (Northern Metropolitan)	3	2268
Pascoe Vale (Northern Metropolitan)	4	1075
Polwarth (Western Victoria)		932
Polwarth (Western Victoria)	0	854
Polwarth (Western Victoria)	1	6371
Polwarth (Western Victoria)	2	8257
Polwarth (Western Victoria)	3	3353
Polwarth (Western Victoria)	4	2222
Prahran (Southern Metropolitan)		1106
Prahran (Southern Metropolitan)	0	7709
Prahran (Southern Metropolitan)	1	17377
Prahran (Southern Metropolitan)	2	6585
Prahran (Southern Metropolitan)	3	1011
Prahran (Southern Metropolitan)	4	366
Preston (Northern Metropolitan)		1119
Preston (Northern Metropolitan)	0	3298
Preston (Northern Metropolitan)	1	11112
Preston (Northern Metropolitan)	2	7330
Preston (Northern Metropolitan)	3	1906
Preston (Northern Metropolitan)	4	831
Richmond (Northern Metropolitan)		1104
Richmond (Northern Metropolitan)	0	6543
Richmond (Northern Metropolitan)	1	15051
Richmond (Northern Metropolitan)	2	6415
Richmond (Northern Metropolitan)	3	1155
Richmond (Northern Metropolitan)	4	306
Ringwood (Eastern Metropolitan)		602
Ringwood (Eastern Metropolitan)	0	1485
Ringwood (Eastern Metropolitan)	1	8947
Ringwood (Eastern Metropolitan)	2	9034
Ringwood (Eastern Metropolitan)	3	2185
Ringwood (Eastern Metropolitan)	4	999
Ripon (Western Victoria)		1213
Ripon (Western Victoria)	0	1314
Ripon (Western Victoria)	1	7615
Ripon (Western Victoria)	2	8656
Ripon (Western Victoria)	3	3309
Ripon (Western Victoria)	4	2228
Rowville (South-Eastern Metropolitan)		388
Rowville (South-Eastern Metropolitan)	0	320
Rowville (South-Eastern Metropolitan)	1	3929
Rowville (South-Eastern Metropolitan)	2	7942
Rowville (South-Eastern Metropolitan)	3	3188
Rowville (South-Eastern Metropolitan)	4	2060
Sandringham (Southern Metropolitan)		567
Sandringham (Southern Metropolitan)	0	1296
Sandringham (Southern Metropolitan)	1	8280
Sandringham (Southern Metropolitan)	2	8875
Sandringham (Southern Metropolitan)	3	2180
Sandringham (Southern Metropolitan)	4	970
Shepparton (Northern Victoria)		1138
Shepparton (Northern Victoria)	0	1405
Shepparton (Northern Victoria)	1	8129
Shepparton (Northern Victoria)	2	9078
Shepparton (Northern Victoria)	3	3255
Shepparton (Northern Victoria)	4	1841
South Barwon (Western Victoria)		637
South Barwon (Western Victoria)	0	750
South Barwon (Western Victoria)	1	6769
South Barwon (Western Victoria)	2	10864
South Barwon (Western Victoria)	3	3152
South Barwon (Western Victoria)	4	1686
South-West Coast (Western Victoria)		991
South-West Coast (Western Victoria)	0	1187
South-West Coast (Western Victoria)	1	7646
South-West Coast (Western Victoria)	2	8899
South-West Coast (Western Victoria)	3	2990
South-West Coast (Western Victoria)	4	1728
St Albans (Western Metropolitan)		1307
St Albans (Western Metropolitan)	0	2422
St Albans (Western Metropolitan)	1	8699
St Albans (Western Metropolitan)	2	7703
St Albans (Western Metropolitan)	3	2891
St Albans (Western Metropolitan)	4	1443
Sunbury (Western Metropolitan)		610
Sunbury (Western Metropolitan)	0	886
Sunbury (Western Metropolitan)	1	6581
Sunbury (Western Metropolitan)	2	8516
Sunbury (Western Metropolitan)	3	3044
Sunbury (Western Metropolitan)	4	1743
Sydenham (Western Metropolitan)		579
Sydenham (Western Metropolitan)	0	590
Sydenham (Western Metropolitan)	1	5291
Sydenham (Western Metropolitan)	2	9887
Sydenham (Western Metropolitan)	3	3863
Sydenham (Western Metropolitan)	4	2282
Tarneit (Western Metropolitan)		824
Tarneit (Western Metropolitan)	0	753
Tarneit (Western Metropolitan)	1	8806
Tarneit (Western Metropolitan)	2	12392
Tarneit (Western Metropolitan)	3	3724
Tarneit (Western Metropolitan)	4	1817
Thomastown (Northern Metropolitan)		876
Thomastown (Northern Metropolitan)	0	1634
Thomastown (Northern Metropolitan)	1	7622
Thomastown (Northern Metropolitan)	2	8236
Thomastown (Northern Metropolitan)	3	2693
Thomastown (Northern Metropolitan)	4	1305
Warrandyte (Eastern Metropolitan)		492
Warrandyte (Eastern Metropolitan)	0	579
Warrandyte (Eastern Metropolitan)	1	4930
Warrandyte (Eastern Metropolitan)	2	8462
Warrandyte (Eastern Metropolitan)	3	3223
Warrandyte (Eastern Metropolitan)	4	2072
Wendouree (Western Victoria)		832
Wendouree (Western Victoria)	0	1615
Wendouree (Western Victoria)	1	8349
Wendouree (Western Victoria)	2	8004
Wendouree (Western Victoria)	3	2243
Wendouree (Western Victoria)	4	1034
Werribee (Western Metropolitan)		790
Werribee (Western Metropolitan)	0	1373
Werribee (Western Metropolitan)	1	8370
Werribee (Western Metropolitan)	2	8931
Werribee (Western Metropolitan)	3	2813
Werribee (Western Metropolitan)	4	1425
Williamstown (Western Metropolitan)		786
Williamstown (Western Metropolitan)	0	2389
Williamstown (Western Metropolitan)	1	10675
Williamstown (Western Metropolitan)	2	9622
Williamstown (Western Metropolitan)	3	2095
Williamstown (Western Metropolitan)	4	816
Yan Yean (Northern Victoria)		585
Yan Yean (Northern Victoria)	0	428
Yan Yean (Northern Victoria)	1	5945
Yan Yean (Northern Victoria)	2	11899
Yan Yean (Northern Victoria)	3	3915
Yan Yean (Northern Victoria)	4	2532
Yuroke (Northern Metropolitan)		660
Yuroke (Northern Metropolitan)	0	643
Yuroke (Northern Metropolitan)	1	6600
Yuroke (Northern Metropolitan)	2	11055
Yuroke (Northern Metropolitan)	3	3931
Yuroke (Northern Metropolitan)	4	2437
Albert		526
Albert	0	365
Albert	1	5221
Albert	2	9694
Albert	3	3679
Albert	4	2110
Algester		423
Algester	0	541
Algester	1	5090
Algester	2	7323
Algester	3	2663
Algester	4	1281
Ashgrove		349
Ashgrove	0	911
Ashgrove	1	5545
Ashgrove	2	6618
Ashgrove	3	1874
Ashgrove	4	806
Aspley		385
Aspley	0	817
Aspley	1	4853
Aspley	2	6489
Aspley	3	2149
Aspley	4	1070
Barron River		625
Barron River	0	719
Barron River	1	7462
Barron River	2	9370
Barron River	3	2686
Barron River	4	1088
Beaudesert		642
Beaudesert	0	439
Beaudesert	1	5087
Beaudesert	2	7635
Beaudesert	3	3334
Beaudesert	4	2314
Brisbane Central		861
Brisbane Central	0	5598
Brisbane Central	1	12331
Brisbane Central	2	5437
Brisbane Central	3	1046
Brisbane Central	4	401
Broadwater		792
Broadwater	0	1407
Broadwater	1	9230
Broadwater	2	7209
Broadwater	3	1787
Broadwater	4	792
Buderim		489
Buderim	0	690
Buderim	1	5700
Buderim	2	7383
Buderim	3	2465
Buderim	4	1195
Bulimba		463
Bulimba	0	1065
Bulimba	1	7275
Bulimba	2	7549
Bulimba	3	1963
Bulimba	4	787
Bundaberg		810
Bundaberg	0	1610
Bundaberg	1	6989
Bundaberg	2	5402
Bundaberg	3	1525
Bundaberg	4	654
Bundamba		739
Bundamba	0	1018
Bundamba	1	8090
Bundamba	2	10130
Bundamba	3	3100
Bundamba	4	1372
Burdekin		756
Burdekin	0	784
Burdekin	1	5356
Burdekin	2	6586
Burdekin	3	2331
Burdekin	4	1158
Burleigh		688
Burleigh	0	1050
Burleigh	1	7176
Burleigh	2	7613
Burleigh	3	2159
Burleigh	4	916
Burnett		667
Burnett	0	489
Burnett	1	6073
Burnett	2	7100
Burnett	3	2442
Burnett	4	1274
Cairns		1219
Cairns	0	2697
Cairns	1	9281
Cairns	2	6579
Cairns	3	1730
Cairns	4	762
Callide		817
Callide	0	809
Callide	1	5032
Callide	2	5797
Callide	3	2560
Callide	4	1648
Caloundra		605
Caloundra	0	1008
Caloundra	1	7042
Caloundra	2	7181
Caloundra	3	2270
Caloundra	4	1137
Capalaba		444
Capalaba	0	641
Capalaba	1	4848
Capalaba	2	6730
Capalaba	3	2553
Capalaba	4	1483
Chatsworth		333
Chatsworth	0	772
Chatsworth	1	5355
Chatsworth	2	7472
Chatsworth	3	2387
Chatsworth	4	1295
Clayfield		574
Clayfield	0	1901
Clayfield	1	8762
Clayfield	2	7028
Clayfield	3	1782
Clayfield	4	763
Cleveland		544
Cleveland	0	915
Cleveland	1	5801
Cleveland	2	7081
Cleveland	3	2580
Cleveland	4	1360
Condamine		624
Condamine	0	553
Condamine	1	4762
Condamine	2	7464
Condamine	3	3275
Condamine	4	2233
Cook		943
Cook	0	2410
Cook	1	5326
Cook	2	4849
Cook	3	1665
Cook	4	847
Coomera		738
Coomera	0	859
Coomera	1	7901
Coomera	2	10209
Coomera	3	3382
Coomera	4	1619
Currumbin		630
Currumbin	0	974
Currumbin	1	6363
Currumbin	2	6708
Currumbin	3	2176
Currumbin	4	1227
Dalrymple		736
Dalrymple	0	769
Dalrymple	1	5651
Dalrymple	2	6212
Dalrymple	3	2278
Dalrymple	4	1244
Everton		327
Everton	0	764
Everton	1	4936
Everton	2	6846
Everton	3	2212
Everton	4	1214
Ferny Grove		298
Ferny Grove	0	438
Ferny Grove	1	4066
Ferny Grove	2	6676
Ferny Grove	3	2364
Ferny Grove	4	1403
Gaven		601
Gaven	0	649
Gaven	1	5497
Gaven	2	8081
Gaven	3	3002
Gaven	4	1698
Gladstone		543
Gladstone	0	795
Gladstone	1	5709
Gladstone	2	7928
Gladstone	3	2797
Gladstone	4	1292
Glass House		545
Glass House	0	351
Glass House	1	4982
Glass House	2	7384
Glass House	3	3120
Glass House	4	2181
Greenslopes		442
Greenslopes	0	1399
Greenslopes	1	6715
Greenslopes	2	6595
Greenslopes	3	1724
Greenslopes	4	786
Gregory		600
Gregory	0	635
Gregory	1	4171
Gregory	2	5037
Gregory	3	2042
Gregory	4	1336
Gympie		694
Gympie	0	894
Gympie	1	6454
Gympie	2	6730
Gympie	3	2459
Gympie	4	1352
Hervey Bay		864
Hervey Bay	0	1364
Hervey Bay	1	8912
Hervey Bay	2	6737
Hervey Bay	3	1973
Hervey Bay	4	823
Hinchinbrook		754
Hinchinbrook	0	566
Hinchinbrook	1	5717
Hinchinbrook	2	8101
Hinchinbrook	3	2678
Hinchinbrook	4	1213
Inala		733
Inala	0	1218
Inala	1	5834
Inala	2	6200
Inala	3	2283
Inala	4	1130
Indooroopilly		398
Indooroopilly	0	1916
Indooroopilly	1	6988
Indooroopilly	2	5735
Indooroopilly	3	1611
Indooroopilly	4	662
Ipswich		667
Ipswich	0	1420
Ipswich	1	6500
Ipswich	2	6587
Ipswich	3	2265
Ipswich	4	1072
Ipswich West		594
Ipswich West	0	934
Ipswich West	1	5625
Ipswich West	2	6712
Ipswich West	3	2810
Ipswich West	4	1839
Kallangur		451
Kallangur	0	715
Kallangur	1	5915
Kallangur	2	7385
Kallangur	3	2490
Kallangur	4	1344
Kawana		549
Kawana	0	827
Kawana	1	7109
Kawana	2	7445
Kawana	3	2361
Kawana	4	1023
Keppel		779
Keppel	0	811
Keppel	1	6065
Keppel	2	7506
Keppel	3	2644
Keppel	4	1345
Lockyer		758
Lockyer	0	505
Lockyer	1	4069
Lockyer	2	6865
Lockyer	3	3255
Lockyer	4	2407
Logan		409
Logan	0	346
Logan	1	3562
Logan	2	5924
Logan	3	2823
Logan	4	2283
Lytton		692
Lytton	0	1130
Lytton	1	6230
Lytton	2	6912
Lytton	3	2228
Lytton	4	976
Mackay		628
Mackay	0	1444
Mackay	1	6143
Mackay	2	5621
Mackay	3	1835
Mackay	4	712
Mansfield		373
Mansfield	0	968
Mansfield	1	5137
Mansfield	2	6159
Mansfield	3	2043
Mansfield	4	1068
Maroochydore		752
Maroochydore	0	1175
Maroochydore	1	8776
Maroochydore	2	7688
Maroochydore	3	2036
Maroochydore	4	809
Maryborough		841
Maryborough	0	1105
Maryborough	1	6889
Maryborough	2	6729
Maryborough	3	2429
Maryborough	4	1237
Mermaid Beach		617
Mermaid Beach	0	968
Mermaid Beach	1	6957
Mermaid Beach	2	7874
Mermaid Beach	3	2326
Mermaid Beach	4	1028
Mirani		834
Mirani	0	481
Mirani	1	4488
Mirani	2	7087
Mirani	3	2991
Mirani	4	1758
Moggill		307
Moggill	0	341
Moggill	1	3905
Moggill	2	7042
Moggill	3	2528
Moggill	4	1361
Morayfield		484
Morayfield	0	752
Morayfield	1	5089
Morayfield	2	7055
Morayfield	3	2799
Morayfield	4	1801
Mount Coot-tha		477
Mount Coot-tha	0	1773
Mount Coot-tha	1	7202
Mount Coot-tha	2	5753
Mount Coot-tha	3	1513
Mount Coot-tha	4	661
Mount Isa		625
Mount Isa	0	972
Mount Isa	1	3371
Mount Isa	2	3525
Mount Isa	3	1271
Mount Isa	4	761
Mount Ommaney		250
Mount Ommaney	0	567
Mount Ommaney	1	4967
Mount Ommaney	2	6982
Mount Ommaney	3	2136
Mount Ommaney	4	889
Mudgeeraba		650
Mudgeeraba	0	470
Mudgeeraba	1	5512
Mudgeeraba	2	7874
Mudgeeraba	3	2847
Mudgeeraba	4	1618
Mulgrave		679
Mulgrave	0	1049
Mulgrave	1	5710
Mulgrave	2	6602
Mulgrave	3	2134
Mulgrave	4	1039
Mundingburra		460
Mundingburra	0	1056
Mundingburra	1	5396
Mundingburra	2	5920
Mundingburra	3	1960
Mundingburra	4	877
Murrumba		679
Murrumba	0	964
Murrumba	1	8265
Murrumba	2	9863
Murrumba	3	3063
Murrumba	4	1556
Nanango		784
Nanango	0	724
Nanango	1	6071
Nanango	2	6675
Nanango	3	2643
Nanango	4	1681
Nicklin		574
Nicklin	0	797
Nicklin	1	5833
Nicklin	2	7188
Nicklin	3	2543
Nicklin	4	1518
Noosa		647
Noosa	0	738
Noosa	1	6787
Noosa	2	7951
Noosa	3	2398
Noosa	4	1099
Nudgee		682
Nudgee	0	1802
Nudgee	1	8368
Nudgee	2	7335
Nudgee	3	1926
Nudgee	4	840
Pine Rivers		385
Pine Rivers	0	678
Pine Rivers	1	5098
Pine Rivers	2	7387
Pine Rivers	3	2843
Pine Rivers	4	1597
Pumicestone		883
Pumicestone	0	1600
Pumicestone	1	8744
Pumicestone	2	6901
Pumicestone	3	2144
Pumicestone	4	1123
Redcliffe		753
Redcliffe	0	1862
Redcliffe	1	8070
Redcliffe	2	6461
Redcliffe	3	2003
Redcliffe	4	1014
Redlands		513
Redlands	0	852
Redlands	1	5420
Redlands	2	7019
Redlands	3	2744
Redlands	4	1619
Rockhampton		729
Rockhampton	0	1512
Rockhampton	1	6623
Rockhampton	2	6113
Rockhampton	3	1996
Rockhampton	4	887
Sandgate		530
Sandgate	0	1210
Sandgate	1	6827
Sandgate	2	6892
Sandgate	3	2078
Sandgate	4	922
South Brisbane		772
South Brisbane	0	3468
South Brisbane	1	10428
South Brisbane	2	5671
South Brisbane	3	1332
South Brisbane	4	554
Southern Downs		755
Southern Downs	0	982
Southern Downs	1	5912
Southern Downs	2	6594
Southern Downs	3	2562
Southern Downs	4	1537
Southport		1093
Southport	0	1959
Southport	1	8883
Southport	2	7107
Southport	3	2127
Southport	4	985
Springwood		337
Springwood	0	475
Springwood	1	4674
Springwood	2	7127
Springwood	3	2665
Springwood	4	1497
Stafford		567
Stafford	0	1595
Stafford	1	7248
Stafford	2	6592
Stafford	3	1720
Stafford	4	679
Stretton		487
Stretton	0	565
Stretton	1	5239
Stretton	2	7959
Stretton	3	2579
Stretton	4	1192
Sunnybank		824
Sunnybank	0	1253
Sunnybank	1	6322
Sunnybank	2	6161
Sunnybank	3	2154
Sunnybank	4	1006
Surfers Paradise		846
Surfers Paradise	0	1912
Surfers Paradise	1	9636
Surfers Paradise	2	7410
Surfers Paradise	3	1898
Surfers Paradise	4	835
Thuringowa		536
Thuringowa	0	643
Thuringowa	1	5243
Thuringowa	2	7361
Thuringowa	3	2463
Thuringowa	4	1206
Toowoomba North		626
Toowoomba North	0	1385
Toowoomba North	1	7098
Toowoomba North	2	6808
Toowoomba North	3	2147
Toowoomba North	4	1019
Toowoomba South		705
Toowoomba South	0	1473
Toowoomba South	1	7705
Toowoomba South	2	6855
Toowoomba South	3	1906
Toowoomba South	4	797
Townsville		699
Townsville	0	1931
Townsville	1	7903
Townsville	2	6486
Townsville	3	1678
Townsville	4	700
Warrego		682
Warrego	0	701
Warrego	1	4308
Warrego	2	4921
Warrego	3	2193
Warrego	4	1531
Waterford		838
Waterford	0	1525
Waterford	1	7378
Waterford	2	7675
Waterford	3	2732
Waterford	4	1328
Whitsunday		838
Whitsunday	0	710
Whitsunday	1	5925
Whitsunday	2	8231
Whitsunday	3	2819
Whitsunday	4	1269
Woodridge		874
Woodridge	0	1603
Woodridge	1	6767
Woodridge	2	6491
Woodridge	3	2322
Woodridge	4	1122
Yeerongpilly		546
Yeerongpilly	0	1592
Yeerongpilly	1	7269
Yeerongpilly	2	6744
Yeerongpilly	3	1837
Yeerongpilly	4	850
Adelaide		546
Adelaide	0	3322
Adelaide	1	6624
Adelaide	2	4165
Adelaide	3	1043
Adelaide	4	474
Ashford		401
Ashford	0	1349
Ashford	1	5785
Ashford	2	4675
Ashford	3	1253
Ashford	4	572
Bragg		254
Bragg	0	596
Bragg	1	4056
Bragg	2	5196
Bragg	3	1598
Bragg	4	778
Bright		330
Bright	0	740
Bright	1	4436
Bright	2	5083
Bright	3	1581
Bright	4	660
Chaffey		579
Chaffey	0	747
Chaffey	1	4326
Chaffey	2	4845
Chaffey	3	1918
Chaffey	4	1251
Cheltenham		563
Cheltenham	0	1755
Cheltenham	1	5854
Cheltenham	2	4886
Cheltenham	3	1460
Cheltenham	4	645
Colton		386
Colton	0	1022
Colton	1	4917
Colton	2	4907
Colton	3	1541
Colton	4	772
Croydon		481
Croydon	0	1571
Croydon	1	5392
Croydon	2	4487
Croydon	3	1300
Croydon	4	555
Davenport		251
Davenport	0	341
Davenport	1	3389
Davenport	2	5487
Davenport	3	1789
Davenport	4	862
Dunstan		380
Dunstan	0	1589
Dunstan	1	6258
Dunstan	2	4720
Dunstan	3	1199
Dunstan	4	514
Elder		493
Elder	0	1846
Elder	1	6174
Elder	2	4546
Elder	3	1200
Elder	4	472
Enfield		527
Enfield	0	1723
Enfield	1	5488
Enfield	2	4690
Enfield	3	1368
Enfield	4	613
Finniss		459
Finniss	0	592
Finniss	1	5212
Finniss	2	4946
Finniss	3	1551
Finniss	4	804
Fisher		265
Fisher	0	420
Fisher	1	4042
Fisher	2	5245
Fisher	3	1910
Fisher	4	970
Flinders		512
Flinders	0	679
Flinders	1	3899
Flinders	2	4758
Flinders	3	1769
Flinders	4	946
Florey		327
Florey	0	783
Florey	1	4791
Florey	2	4459
Florey	3	1278
Florey	4	622
Frome		513
Frome	0	921
Frome	1	4787
Frome	2	4730
Frome	3	1828
Frome	4	1174
Giles		576
Giles	0	1519
Giles	1	4528
Giles	2	4071
Giles	3	1416
Giles	4	677
Goyder (SA)		519
Goyder (SA)	0	553
Goyder (SA)	1	4452
Goyder (SA)	2	4910
Goyder (SA)	3	1802
Goyder (SA)	4	1127
Hammond		528
Hammond	0	770
Hammond	1	4958
Hammond	2	4521
Hammond	3	1663
Hammond	4	966
Hartley		425
Hartley	0	1431
Hartley	1	5793
Hartley	2	4777
Hartley	3	1295
Hartley	4	584
Heysen		288
Heysen	0	275
Heysen	1	3199
Heysen	2	5461
Heysen	3	2100
Heysen	4	1299
Kaurna		445
Kaurna	0	681
Kaurna	1	5193
Kaurna	2	5506
Kaurna	3	1616
Kaurna	4	668
Kavel		369
Kavel	0	468
Kavel	1	3849
Kavel	2	5414
Kavel	3	2049
Kavel	4	1170
Lee		414
Lee	0	1201
Lee	1	5681
Lee	2	4957
Lee	3	1388
Lee	4	636
Light		397
Light	0	751
Light	1	4429
Light	2	5271
Light	3	1847
Light	4	1152
Little Para		662
Little Para	0	1871
Little Para	1	5638
Little Para	2	4402
Little Para	3	1450
Little Para	4	733
Mackillop		469
Mackillop	0	521
Mackillop	1	3606
Mackillop	2	4695
Mackillop	3	2000
Mackillop	4	1228
Mawson		376
Mawson	0	709
Mawson	1	4297
Mawson	2	4869
Mawson	3	1685
Mawson	4	882
Mitchell		339
Mitchell	0	856
Mitchell	1	4916
Mitchell	2	5314
Mitchell	3	1629
Mitchell	4	662
Morialta		336
Morialta	0	537
Morialta	1	4000
Morialta	2	5196
Morialta	3	1756
Morialta	4	993
Morphett		370
Morphett	0	1179
Morphett	1	5403
Morphett	2	4754
Morphett	3	1222
Morphett	4	532
Mount Gambier		456
Mount Gambier	0	783
Mount Gambier	1	4426
Mount Gambier	2	4760
Mount Gambier	3	1681
Mount Gambier	4	940
Napier		535
Napier	0	1260
Napier	1	5129
Napier	2	4858
Napier	3	1450
Napier	4	695
Newland		240
Newland	0	466
Newland	1	3867
Newland	2	5351
Newland	3	1766
Newland	4	846
Playford		382
Playford	0	871
Playford	1	4954
Playford	2	4968
Playford	3	1459
Playford	4	684
Port Adelaide		440
Port Adelaide	0	1196
Port Adelaide	1	5696
Port Adelaide	2	5647
Port Adelaide	3	1709
Port Adelaide	4	728
Ramsay		556
Ramsay	0	1441
Ramsay	1	5323
Ramsay	2	4343
Ramsay	3	1445
Ramsay	4	672
Reynell		543
Reynell	0	1279
Reynell	1	5801
Reynell	2	4438
Reynell	3	1315
Reynell	4	564
Schubert		352
Schubert	0	400
Schubert	1	3845
Schubert	2	5189
Schubert	3	2108
Schubert	4	1368
Stuart (SA)		523
Stuart (SA)	0	813
Stuart (SA)	1	4203
Stuart (SA)	2	4176
Stuart (SA)	3	1787
Stuart (SA)	4	1122
Taylor		395
Taylor	0	522
Taylor	1	4141
Taylor	2	5317
Taylor	3	1926
Taylor	4	1038
Torrens		407
Torrens	0	1213
Torrens	1	5833
Torrens	2	5563
Torrens	3	1333
Torrens	4	507
Unley		351
Unley	0	1215
Unley	1	5614
Unley	2	4821
Unley	3	1218
Unley	4	512
Waite		297
Waite	0	725
Waite	1	4254
Waite	2	5071
Waite	3	1566
Waite	4	774
West Torrens		450
West Torrens	0	1673
West Torrens	1	6165
West Torrens	2	4512
West Torrens	3	1255
West Torrens	4	499
Wright		310
Wright	0	672
Wright	1	4323
Wright	2	4972
Wright	3	1736
Wright	4	861
Albany (South West)		501
Albany (South West)	0	604
Albany (South West)	1	4188
Albany (South West)	2	4986
Albany (South West)	3	1904
Albany (South West)	4	1244
Alfred Cove (South Metropolitan)		270
Alfred Cove (South Metropolitan)	0	529
Alfred Cove (South Metropolitan)	1	4186
Alfred Cove (South Metropolitan)	2	5482
Alfred Cove (South Metropolitan)	3	1762
Alfred Cove (South Metropolitan)	4	871
Armadale (East Metropolitan)		595
Armadale (East Metropolitan)	0	1029
Armadale (East Metropolitan)	1	5603
Armadale (East Metropolitan)	2	5779
Armadale (East Metropolitan)	3	2003
Armadale (East Metropolitan)	4	1171
Balcatta (North Metropolitan)		469
Balcatta (North Metropolitan)	0	1124
Balcatta (North Metropolitan)	1	6358
Balcatta (North Metropolitan)	2	5752
Balcatta (North Metropolitan)	3	1561
Balcatta (North Metropolitan)	4	767
Bassendean (East Metropolitan)		441
Bassendean (East Metropolitan)	0	848
Bassendean (East Metropolitan)	1	4664
Bassendean (East Metropolitan)	2	5083
Bassendean (East Metropolitan)	3	1834
Bassendean (East Metropolitan)	4	1017
Bateman (South Metropolitan)		269
Bateman (South Metropolitan)	0	500
Bateman (South Metropolitan)	1	3629
Bateman (South Metropolitan)	2	4907
Bateman (South Metropolitan)	3	1842
Bateman (South Metropolitan)	4	966
Belmont (East Metropolitan)		625
Belmont (East Metropolitan)	0	1107
Belmont (East Metropolitan)	1	5757
Belmont (East Metropolitan)	2	5577
Belmont (East Metropolitan)	3	1633
Belmont (East Metropolitan)	4	866
Bunbury (South West)		481
Bunbury (South West)	0	911
Bunbury (South West)	1	5108
Bunbury (South West)	2	5193
Bunbury (South West)	3	1570
Bunbury (South West)	4	663
Butler (North Metropolitan)		711
Butler (North Metropolitan)	0	780
Butler (North Metropolitan)	1	8290
Butler (North Metropolitan)	2	10486
Butler (North Metropolitan)	3	3285
Butler (North Metropolitan)	4	1469
Cannington (South Metropolitan)		545
Cannington (South Metropolitan)	0	916
Cannington (South Metropolitan)	1	5669
Cannington (South Metropolitan)	2	6030
Cannington (South Metropolitan)	3	2059
Cannington (South Metropolitan)	4	1112
Carine (North Metropolitan)		212
Carine (North Metropolitan)	0	297
Carine (North Metropolitan)	1	2948
Carine (North Metropolitan)	2	5837
Carine (North Metropolitan)	3	1781
Carine (North Metropolitan)	4	991
Central Wheatbelt (Agricultural)		523
Central Wheatbelt (Agricultural)	0	590
Central Wheatbelt (Agricultural)	1	3632
Central Wheatbelt (Agricultural)	2	4306
Central Wheatbelt (Agricultural)	3	1926
Central Wheatbelt (Agricultural)	4	1646
Churchlands (North Metropolitan)		416
Churchlands (North Metropolitan)	0	721
Churchlands (North Metropolitan)	1	4706
Churchlands (North Metropolitan)	2	6114
Churchlands (North Metropolitan)	3	1862
Churchlands (North Metropolitan)	4	958
Cockburn (South Metropolitan)		399
Cockburn (South Metropolitan)	0	565
Cockburn (South Metropolitan)	1	4585
Cockburn (South Metropolitan)	2	7208
Cockburn (South Metropolitan)	3	2448
Cockburn (South Metropolitan)	4	1320
Collie-Preston (South West)		398
Collie-Preston (South West)	0	375
Collie-Preston (South West)	1	3544
Collie-Preston (South West)	2	5562
Collie-Preston (South West)	3	2391
Collie-Preston (South West)	4	1428
Cottesloe (North Metropolitan)		356
Cottesloe (North Metropolitan)	0	768
Cottesloe (North Metropolitan)	1	4834
Cottesloe (North Metropolitan)	2	5568
Cottesloe (North Metropolitan)	3	1668
Cottesloe (North Metropolitan)	4	771
Darling Range (East Metropolitan)		383
Darling Range (East Metropolitan)	0	224
Darling Range (East Metropolitan)	1	4047
Darling Range (East Metropolitan)	2	8924
Darling Range (East Metropolitan)	3	3645
Darling Range (East Metropolitan)	4	2804
Dawesville (South West)		450
Dawesville (South West)	0	464
Dawesville (South West)	1	5327
Dawesville (South West)	2	6054
Dawesville (South West)	3	1914
Dawesville (South West)	4	971
Eyre (Mining and Pastoral)		738
Eyre (Mining and Pastoral)	0	823
Eyre (Mining and Pastoral)	1	5132
Eyre (Mining and Pastoral)	2	6502
Eyre (Mining and Pastoral)	3	2607
Eyre (Mining and Pastoral)	4	1574
Forrestfield (East Metropolitan)		432
Forrestfield (East Metropolitan)	0	505
Forrestfield (East Metropolitan)	1	4463
Forrestfield (East Metropolitan)	2	5756
Forrestfield (East Metropolitan)	3	2388
Forrestfield (East Metropolitan)	4	1541
Fremantle (South Metropolitan)		582
Fremantle (South Metropolitan)	0	1278
Fremantle (South Metropolitan)	1	6100
Fremantle (South Metropolitan)	2	5896
Fremantle (South Metropolitan)	3	1549
Fremantle (South Metropolitan)	4	679
Geraldton (Agricultural)		499
Geraldton (Agricultural)	0	718
Geraldton (Agricultural)	1	4153
Geraldton (Agricultural)	2	5082
Geraldton (Agricultural)	3	1961
Geraldton (Agricultural)	4	1115
Girrawheen (North Metropolitan)		390
Girrawheen (North Metropolitan)	0	508
Girrawheen (North Metropolitan)	1	4089
Girrawheen (North Metropolitan)	2	6559
Girrawheen (North Metropolitan)	3	2627
Girrawheen (North Metropolitan)	4	1344
Gosnells (East Metropolitan)		441
Gosnells (East Metropolitan)	0	791
Gosnells (East Metropolitan)	1	4907
Gosnells (East Metropolitan)	2	5245
Gosnells (East Metropolitan)	3	2053
Gosnells (East Metropolitan)	4	1182
