SED_NAME16	MaxSchoolingCompleted	adults
Ivanhoe (Eastern Metropolitan)	Year 9	2288
Ivanhoe (Eastern Metropolitan)	Year 10	4878
Ivanhoe (Eastern Metropolitan)	Year 11	4900
Ivanhoe (Eastern Metropolitan)	Year 12	33612
Kew (Southern Metropolitan)	Did not go to school	385
Kew (Southern Metropolitan)	Year 8	1675
Kew (Southern Metropolitan)	Year 9	1696
Kew (Southern Metropolitan)	Year 10	3285
Kew (Southern Metropolitan)	Year 11	3865
Kew (Southern Metropolitan)	Year 12	38144
Keysborough (South-Eastern Metropolitan)	Did not go to school	2449
Keysborough (South-Eastern Metropolitan)	Year 8	4510
Keysborough (South-Eastern Metropolitan)	Year 9	3249
Keysborough (South-Eastern Metropolitan)	Year 10	6795
Keysborough (South-Eastern Metropolitan)	Year 11	5156
Keysborough (South-Eastern Metropolitan)	Year 12	31483
Kororoit (Western Metropolitan)	Did not go to school	1595
Kororoit (Western Metropolitan)	Year 8	4702
Kororoit (Western Metropolitan)	Year 9	3239
Kororoit (Western Metropolitan)	Year 10	7253
Kororoit (Western Metropolitan)	Year 11	5907
Kororoit (Western Metropolitan)	Year 12	35514
Lara (Western Victoria)	Did not go to school	692
Lara (Western Victoria)	Year 8	4407
Lara (Western Victoria)	Year 9	4531
Lara (Western Victoria)	Year 10	9541
Lara (Western Victoria)	Year 11	8002
Lara (Western Victoria)	Year 12	19943
Lowan (Western Victoria)	Did not go to school	183
Lowan (Western Victoria)	Year 8	3851
Lowan (Western Victoria)	Year 9	4295
Lowan (Western Victoria)	Year 10	9026
Lowan (Western Victoria)	Year 11	8734
Lowan (Western Victoria)	Year 12	16059
Macedon (Northern Victoria)	Did not go to school	114
Macedon (Northern Victoria)	Year 8	2005
Macedon (Northern Victoria)	Year 9	2976
Macedon (Northern Victoria)	Year 10	7257
Macedon (Northern Victoria)	Year 11	6994
Macedon (Northern Victoria)	Year 12	22948
Malvern (Southern Metropolitan)	Did not go to school	212
Malvern (Southern Metropolitan)	Year 8	1270
Malvern (Southern Metropolitan)	Year 9	1187
Malvern (Southern Metropolitan)	Year 10	2741
Malvern (Southern Metropolitan)	Year 11	3312
Malvern (Southern Metropolitan)	Year 12	37509
Melbourne (Northern Metropolitan)	Did not go to school	736
Melbourne (Northern Metropolitan)	Year 8	1537
Melbourne (Northern Metropolitan)	Year 9	1478
Melbourne (Northern Metropolitan)	Year 10	3173
Melbourne (Northern Metropolitan)	Year 11	4476
Melbourne (Northern Metropolitan)	Year 12	83435
Melton (Western Victoria)	Did not go to school	524
Melton (Western Victoria)	Year 8	3389
Melton (Western Victoria)	Year 9	5114
Melton (Western Victoria)	Year 10	11971
Melton (Western Victoria)	Year 11	9024
Melton (Western Victoria)	Year 12	25339
Mildura (Northern Victoria)	Did not go to school	561
Mildura (Northern Victoria)	Year 8	4341
Mildura (Northern Victoria)	Year 9	4862
Mildura (Northern Victoria)	Year 10	10569
Mildura (Northern Victoria)	Year 11	7741
Mildura (Northern Victoria)	Year 12	16964
Mill Park (Northern Metropolitan)	Did not go to school	699
Mill Park (Northern Metropolitan)	Year 8	3604
Mill Park (Northern Metropolitan)	Year 9	3260
Mill Park (Northern Metropolitan)	Year 10	7203
Mill Park (Northern Metropolitan)	Year 11	6499
Mill Park (Northern Metropolitan)	Year 12	30098
Monbulk (Eastern Victoria)	Did not go to school	135
Monbulk (Eastern Victoria)	Year 8	1524
Monbulk (Eastern Victoria)	Year 9	2844
Monbulk (Eastern Victoria)	Year 10	7201
Monbulk (Eastern Victoria)	Year 11	7038
Monbulk (Eastern Victoria)	Year 12	24549
Mordialloc (South-Eastern Metropolitan)	Did not go to school	310
Mordialloc (South-Eastern Metropolitan)	Year 8	2130
Mordialloc (South-Eastern Metropolitan)	Year 9	2508
Mordialloc (South-Eastern Metropolitan)	Year 10	6406
Mordialloc (South-Eastern Metropolitan)	Year 11	6296
Mordialloc (South-Eastern Metropolitan)	Year 12	29758
Mornington (Eastern Victoria)	Did not go to school	113
Mornington (Eastern Victoria)	Year 8	1815
Mornington (Eastern Victoria)	Year 9	2874
Mornington (Eastern Victoria)	Year 10	7837
Mornington (Eastern Victoria)	Year 11	7152
Mornington (Eastern Victoria)	Year 12	26509
Morwell (Eastern Victoria)	Did not go to school	254
Morwell (Eastern Victoria)	Year 8	3646
Morwell (Eastern Victoria)	Year 9	4411
Morwell (Eastern Victoria)	Year 10	10555
Morwell (Eastern Victoria)	Year 11	9091
Morwell (Eastern Victoria)	Year 12	18939
Mount Waverley (Eastern Metropolitan)	Did not go to school	458
Mount Waverley (Eastern Metropolitan)	Year 8	2001
Mount Waverley (Eastern Metropolitan)	Year 9	2046
Mount Waverley (Eastern Metropolitan)	Year 10	4509
Mount Waverley (Eastern Metropolitan)	Year 11	4260
Mount Waverley (Eastern Metropolitan)	Year 12	35644
Mulgrave (South-Eastern Metropolitan)	Did not go to school	1131
Mulgrave (South-Eastern Metropolitan)	Year 8	3678
Mulgrave (South-Eastern Metropolitan)	Year 9	2501
Mulgrave (South-Eastern Metropolitan)	Year 10	5443
Mulgrave (South-Eastern Metropolitan)	Year 11	4623
Mulgrave (South-Eastern Metropolitan)	Year 12	31261
Murray Plains (Northern Victoria)	Did not go to school	300
Murray Plains (Northern Victoria)	Year 8	4223
Murray Plains (Northern Victoria)	Year 9	5146
Murray Plains (Northern Victoria)	Year 10	10956
Murray Plains (Northern Victoria)	Year 11	8861
Murray Plains (Northern Victoria)	Year 12	15550
Narracan (Eastern Victoria)	Did not go to school	230
Narracan (Eastern Victoria)	Year 8	3661
Narracan (Eastern Victoria)	Year 9	4964
Narracan (Eastern Victoria)	Year 10	11276
Narracan (Eastern Victoria)	Year 11	9052
Narracan (Eastern Victoria)	Year 12	19766
Narre Warren North (South-Eastern Metrop	Did not go to school	909
Narre Warren North (South-Eastern Metrop	Year 8	3226
Narre Warren North (South-Eastern Metrop	Year 9	3259
Narre Warren North (South-Eastern Metrop	Year 10	7829
Narre Warren North (South-Eastern Metrop	Year 11	6455
Narre Warren North (South-Eastern Metrop	Year 12	28449
Narre Warren South (South-Eastern Metrop	Did not go to school	1329
Narre Warren South (South-Eastern Metrop	Year 8	2910
Narre Warren South (South-Eastern Metrop	Year 9	3648
Narre Warren South (South-Eastern Metrop	Year 10	8975
Narre Warren South (South-Eastern Metrop	Year 11	7502
Narre Warren South (South-Eastern Metrop	Year 12	34010
Nepean (Eastern Victoria)	Did not go to school	261
Nepean (Eastern Victoria)	Year 8	2915
Nepean (Eastern Victoria)	Year 9	3804
Nepean (Eastern Victoria)	Year 10	9168
Nepean (Eastern Victoria)	Year 11	7566
Nepean (Eastern Victoria)	Year 12	21643
Niddrie (Western Metropolitan)	Did not go to school	782
Niddrie (Western Metropolitan)	Year 8	4320
Niddrie (Western Metropolitan)	Year 9	2671
Niddrie (Western Metropolitan)	Year 10	5925
Niddrie (Western Metropolitan)	Year 11	5606
Niddrie (Western Metropolitan)	Year 12	26640
Northcote (Northern Metropolitan)	Did not go to school	831
Northcote (Northern Metropolitan)	Year 8	3278
Northcote (Northern Metropolitan)	Year 9	1526
Northcote (Northern Metropolitan)	Year 10	3315
Northcote (Northern Metropolitan)	Year 11	3493
Northcote (Northern Metropolitan)	Year 12	37627
Oakleigh (Southern Metropolitan)	Did not go to school	657
Oakleigh (Southern Metropolitan)	Year 8	2972
Oakleigh (Southern Metropolitan)	Year 9	1842
Oakleigh (Southern Metropolitan)	Year 10	4046
Oakleigh (Southern Metropolitan)	Year 11	4093
Oakleigh (Southern Metropolitan)	Year 12	43766
Ovens Valley (Northern Victoria)	Did not go to school	204
Ovens Valley (Northern Victoria)	Year 8	3443
Ovens Valley (Northern Victoria)	Year 9	4059
Ovens Valley (Northern Victoria)	Year 10	9732
Ovens Valley (Northern Victoria)	Year 11	7682
Ovens Valley (Northern Victoria)	Year 12	16422
Pascoe Vale (Northern Metropolitan)	Did not go to school	1125
Pascoe Vale (Northern Metropolitan)	Year 8	5074
Pascoe Vale (Northern Metropolitan)	Year 9	2644
Pascoe Vale (Northern Metropolitan)	Year 10	5764
Pascoe Vale (Northern Metropolitan)	Year 11	5246
Pascoe Vale (Northern Metropolitan)	Year 12	36679
Polwarth (Western Victoria)	Did not go to school	218
Polwarth (Western Victoria)	Year 8	3308
Polwarth (Western Victoria)	Year 9	4233
Polwarth (Western Victoria)	Year 10	8988
Polwarth (Western Victoria)	Year 11	8632
Polwarth (Western Victoria)	Year 12	18488
Prahran (Southern Metropolitan)	Did not go to school	340
Prahran (Southern Metropolitan)	Year 8	1358
Prahran (Southern Metropolitan)	Year 9	1008
Prahran (Southern Metropolitan)	Year 10	3130
Prahran (Southern Metropolitan)	Year 11	3615
Prahran (Southern Metropolitan)	Year 12	50242
Preston (Northern Metropolitan)	Did not go to school	1278
Preston (Northern Metropolitan)	Year 8	5166
Preston (Northern Metropolitan)	Year 9	2615
Preston (Northern Metropolitan)	Year 10	5166
Preston (Northern Metropolitan)	Year 11	4588
Preston (Northern Metropolitan)	Year 12	32646
Richmond (Northern Metropolitan)	Did not go to school	864
Richmond (Northern Metropolitan)	Year 8	2110
Richmond (Northern Metropolitan)	Year 9	1295
Richmond (Northern Metropolitan)	Year 10	3020
Richmond (Northern Metropolitan)	Year 11	3249
Richmond (Northern Metropolitan)	Year 12	47106
Ringwood (Eastern Metropolitan)	Did not go to school	650
Ringwood (Eastern Metropolitan)	Year 8	2462
Ringwood (Eastern Metropolitan)	Year 9	2355
Ringwood (Eastern Metropolitan)	Year 10	5608
Ringwood (Eastern Metropolitan)	Year 11	5570
Ringwood (Eastern Metropolitan)	Year 12	31170
Ripon (Western Victoria)	Did not go to school	244
Ripon (Western Victoria)	Year 8	4385
Ripon (Western Victoria)	Year 9	5196
Ripon (Western Victoria)	Year 10	10452
Ripon (Western Victoria)	Year 11	8331
Ripon (Western Victoria)	Year 12	17080
Rowville (South-Eastern Metropolitan)	Did not go to school	309
Rowville (South-Eastern Metropolitan)	Year 8	1676
Rowville (South-Eastern Metropolitan)	Year 9	2547
Rowville (South-Eastern Metropolitan)	Year 10	6354
Rowville (South-Eastern Metropolitan)	Year 11	6188
Rowville (South-Eastern Metropolitan)	Year 12	25847
Sandringham (Southern Metropolitan)	Did not go to school	164
Sandringham (Southern Metropolitan)	Year 8	1505
Sandringham (Southern Metropolitan)	Year 9	1854
Sandringham (Southern Metropolitan)	Year 10	4593
Sandringham (Southern Metropolitan)	Year 11	4959
Sandringham (Southern Metropolitan)	Year 12	31801
Shepparton (Northern Victoria)	Did not go to school	789
Shepparton (Northern Victoria)	Year 8	4506
Shepparton (Northern Victoria)	Year 9	5012
Shepparton (Northern Victoria)	Year 10	10670
Shepparton (Northern Victoria)	Year 11	8700
Shepparton (Northern Victoria)	Year 12	19777
South Barwon (Western Victoria)	Did not go to school	135
South Barwon (Western Victoria)	Year 8	2011
South Barwon (Western Victoria)	Year 9	2991
South Barwon (Western Victoria)	Year 10	7514
South Barwon (Western Victoria)	Year 11	8177
South Barwon (Western Victoria)	Year 12	30888
South-West Coast (Western Victoria)	Did not go to school	152
South-West Coast (Western Victoria)	Year 8	3533
South-West Coast (Western Victoria)	Year 9	4434
South-West Coast (Western Victoria)	Year 10	9457
South-West Coast (Western Victoria)	Year 11	8974
South-West Coast (Western Victoria)	Year 12	19472
St Albans (Western Metropolitan)	Did not go to school	2539
St Albans (Western Metropolitan)	Year 8	6774
St Albans (Western Metropolitan)	Year 9	3560
St Albans (Western Metropolitan)	Year 10	7123
St Albans (Western Metropolitan)	Year 11	5090
St Albans (Western Metropolitan)	Year 12	31327
Sunbury (Western Metropolitan)	Did not go to school	375
Sunbury (Western Metropolitan)	Year 8	2695
Sunbury (Western Metropolitan)	Year 9	3176
Sunbury (Western Metropolitan)	Year 10	8496
Sunbury (Western Metropolitan)	Year 11	7408
Sunbury (Western Metropolitan)	Year 12	23546
Sydenham (Western Metropolitan)	Did not go to school	841
Sydenham (Western Metropolitan)	Year 8	3490
Sydenham (Western Metropolitan)	Year 9	2833
Sydenham (Western Metropolitan)	Year 10	7150
Sydenham (Western Metropolitan)	Year 11	6660
Sydenham (Western Metropolitan)	Year 12	34116
Tarneit (Western Metropolitan)	Did not go to school	811
Tarneit (Western Metropolitan)	Year 8	2827
Tarneit (Western Metropolitan)	Year 9	3458
Tarneit (Western Metropolitan)	Year 10	8834
Tarneit (Western Metropolitan)	Year 11	6820
Tarneit (Western Metropolitan)	Year 12	43704
Thomastown (Northern Metropolitan)	Did not go to school	1925
Thomastown (Northern Metropolitan)	Year 8	6988
Thomastown (Northern Metropolitan)	Year 9	3117
Thomastown (Northern Metropolitan)	Year 10	6113
Thomastown (Northern Metropolitan)	Year 11	4530
Thomastown (Northern Metropolitan)	Year 12	27959
Warrandyte (Eastern Metropolitan)	Did not go to school	455
Warrandyte (Eastern Metropolitan)	Year 8	2196
Warrandyte (Eastern Metropolitan)	Year 9	2370
Warrandyte (Eastern Metropolitan)	Year 10	5200
Warrandyte (Eastern Metropolitan)	Year 11	5393
Warrandyte (Eastern Metropolitan)	Year 12	31466
Wendouree (Western Victoria)	Did not go to school	152
Wendouree (Western Victoria)	Year 8	2823
Wendouree (Western Victoria)	Year 9	3679
Wendouree (Western Victoria)	Year 10	8006
Wendouree (Western Victoria)	Year 11	7067
Wendouree (Western Victoria)	Year 12	21151
Werribee (Western Metropolitan)	Did not go to school	782
Werribee (Western Metropolitan)	Year 8	3580
Werribee (Western Metropolitan)	Year 9	4039
Werribee (Western Metropolitan)	Year 10	9146
Werribee (Western Metropolitan)	Year 11	7284
Werribee (Western Metropolitan)	Year 12	26130
Williamstown (Western Metropolitan)	Did not go to school	848
Williamstown (Western Metropolitan)	Year 8	3670
Williamstown (Western Metropolitan)	Year 9	2258
Williamstown (Western Metropolitan)	Year 10	5265
Williamstown (Western Metropolitan)	Year 11	5177
Williamstown (Western Metropolitan)	Year 12	36000
Yan Yean (Northern Victoria)	Did not go to school	240
Yan Yean (Northern Victoria)	Year 8	2257
Yan Yean (Northern Victoria)	Year 9	3812
Yan Yean (Northern Victoria)	Year 10	9623
Yan Yean (Northern Victoria)	Year 11	8907
Yan Yean (Northern Victoria)	Year 12	31497
Yuroke (Northern Metropolitan)	Did not go to school	1494
Yuroke (Northern Metropolitan)	Year 8	4311
Yuroke (Northern Metropolitan)	Year 9	4101
Yuroke (Northern Metropolitan)	Year 10	8936
Yuroke (Northern Metropolitan)	Year 11	7448
Yuroke (Northern Metropolitan)	Year 12	37065
No usual address (Vic.)	Did not go to school	85
No usual address (Vic.)	Year 8	238
No usual address (Vic.)	Year 9	404
No usual address (Vic.)	Year 10	776
No usual address (Vic.)	Year 11	627
No usual address (Vic.)	Year 12	2698
Migratory - Offshore - Shipping (Vic.)	Year 10	10
Migratory - Offshore - Shipping (Vic.)	Year 11	4
Migratory - Offshore - Shipping (Vic.)	Year 12	13
Albert	Did not go to school	145
Albert	Year 8	1449
Albert	Year 9	2799
Albert	Year 10	13038
Albert	Year 11	5301
Albert	Year 12	26239
Algester	Did not go to school	388
Algester	Year 8	1460
Algester	Year 9	1736
Algester	Year 10	8484
Algester	Year 11	3269
Algester	Year 12	24535
Ashgrove	Did not go to school	81
Ashgrove	Year 8	733
Ashgrove	Year 9	840
Ashgrove	Year 10	4695
Ashgrove	Year 11	2029
Ashgrove	Year 12	26554
Aspley	Did not go to school	146
Aspley	Year 8	1509
Aspley	Year 9	1150
Aspley	Year 10	7056
Aspley	Year 11	2321
Aspley	Year 12	22200
Barron River	Did not go to school	108
Barron River	Year 8	1170
Barron River	Year 9	1926
Barron River	Year 10	9967
Barron River	Year 11	4668
Barron River	Year 12	26245
Beaudesert	Did not go to school	127
Beaudesert	Year 8	2623
Beaudesert	Year 9	2787
Beaudesert	Year 10	12486
Beaudesert	Year 11	3936
Beaudesert	Year 12	19499
Brisbane Central	Did not go to school	248
Brisbane Central	Year 8	902
Brisbane Central	Year 9	785
Brisbane Central	Year 10	4151
Brisbane Central	Year 11	2312
Brisbane Central	Year 12	41877
Broadwater	Did not go to school	200
Broadwater	Year 8	1887
Broadwater	Year 9	2380
Broadwater	Year 10	10600
Broadwater	Year 11	3670
Broadwater	Year 12	21079
Buderim	Did not go to school	73
Buderim	Year 8	1160
Buderim	Year 9	1820
Buderim	Year 10	9087
Buderim	Year 11	3622
Buderim	Year 12	21615
Bulimba	Did not go to school	111
Bulimba	Year 8	1133
Bulimba	Year 9	958
Bulimba	Year 10	5486
Bulimba	Year 11	2387
Bulimba	Year 12	29125
Bundaberg	Did not go to school	199
Bundaberg	Year 8	3511
Bundaberg	Year 9	2731
Bundaberg	Year 10	10639
Bundaberg	Year 11	2777
Bundaberg	Year 12	12255
Bundamba	Did not go to school	501
Bundamba	Year 8	2309
Bundamba	Year 9	2761
Bundamba	Year 10	12273
Bundamba	Year 11	5408
Bundamba	Year 12	30231
Burdekin	Did not go to school	168
Burdekin	Year 8	2813
Burdekin	Year 9	2260
Burdekin	Year 10	10895
Burdekin	Year 11	3131
Burdekin	Year 12	15011
Burleigh	Did not go to school	104
Burleigh	Year 8	1384
Burleigh	Year 9	2025
Burleigh	Year 10	9542
Burleigh	Year 11	3489
Burleigh	Year 12	22223
Burnett	Did not go to school	108
Burnett	Year 8	2902
Burnett	Year 9	2978
Burnett	Year 10	12923
Burnett	Year 11	3422
Burnett	Year 12	13928
Cairns	Did not go to school	569
Cairns	Year 8	2321
Cairns	Year 9	2162
Cairns	Year 10	9873
Cairns	Year 11	3999
Cairns	Year 12	23646
Callide	Did not go to school	197
Callide	Year 8	3796
Callide	Year 9	2700
Callide	Year 10	11273
Callide	Year 11	2893
Callide	Year 12	11705
Caloundra	Did not go to school	93
Caloundra	Year 8	2166
Caloundra	Year 9	2476
Caloundra	Year 10	11805
Caloundra	Year 11	3680
Caloundra	Year 12	18541
Capalaba	Did not go to school	118
Capalaba	Year 8	1679
Capalaba	Year 9	1939
Capalaba	Year 10	10257
Capalaba	Year 11	3154
Capalaba	Year 12	19068
Chatsworth	Did not go to school	138
Chatsworth	Year 8	1517
Chatsworth	Year 9	1244
Chatsworth	Year 10	6881
Chatsworth	Year 11	2485
Chatsworth	Year 12	26462
Clayfield	Did not go to school	127
Clayfield	Year 8	1052
Clayfield	Year 9	1002
Clayfield	Year 10	5329
Clayfield	Year 11	2287
Clayfield	Year 12	30544
Cleveland	Did not go to school	86
Cleveland	Year 8	1582
Cleveland	Year 9	1779
Cleveland	Year 10	10293
Cleveland	Year 11	3344
Cleveland	Year 12	21605
Condamine	Did not go to school	147
Condamine	Year 8	3040
Condamine	Year 9	2493
Condamine	Year 10	12880
Condamine	Year 11	3358
Condamine	Year 12	18533
Cook	Did not go to school	263
Cook	Year 8	3029
Cook	Year 9	2185
Cook	Year 10	9351
Cook	Year 11	3824
Cook	Year 12	15436
Coomera	Did not go to school	200
Coomera	Year 8	2014
Coomera	Year 9	3260
Coomera	Year 10	13880
Coomera	Year 11	5611
Coomera	Year 12	27578
Currumbin	Did not go to school	84
Currumbin	Year 8	1396
Currumbin	Year 9	2141
Currumbin	Year 10	10556
Currumbin	Year 11	3356
Currumbin	Year 12	19321
Dalrymple	Did not go to school	151
Dalrymple	Year 8	2606
Dalrymple	Year 9	2313
Dalrymple	Year 10	10320
Dalrymple	Year 11	3022
Dalrymple	Year 12	14453
Everton	Did not go to school	81
Everton	Year 8	1209
Everton	Year 9	1207
Everton	Year 10	7095
Everton	Year 11	2513
Everton	Year 12	22912
Ferny Grove	Did not go to school	77
Ferny Grove	Year 8	1080
Ferny Grove	Year 9	1096
Ferny Grove	Year 10	7000
Ferny Grove	Year 11	2455
Ferny Grove	Year 12	22365
Gaven	Did not go to school	147
Gaven	Year 8	1434
Gaven	Year 9	2557
Gaven	Year 10	11390
Gaven	Year 11	4557
Gaven	Year 12	22526
Gladstone	Did not go to school	106
Gladstone	Year 8	1843
Gladstone	Year 9	2227
Gladstone	Year 10	11739
Gladstone	Year 11	4392
Gladstone	Year 12	18539
Glass House	Did not go to school	115
Glass House	Year 8	2066
Glass House	Year 9	2452
Glass House	Year 10	12248
Glass House	Year 11	3789
Glass House	Year 12	19727
Greenslopes	Did not go to school	150
Greenslopes	Year 8	1216
Greenslopes	Year 9	916
Greenslopes	Year 10	4937
Greenslopes	Year 11	1954
Greenslopes	Year 12	26781
Gregory	Did not go to school	112
Gregory	Year 8	1813
Gregory	Year 9	1601
Gregory	Year 10	8355
Gregory	Year 11	2518
Gregory	Year 12	13017
Gympie	Did not go to school	118
Gympie	Year 8	2971
Gympie	Year 9	2905
Gympie	Year 10	12405
Gympie	Year 11	3448
Gympie	Year 12	14408
Hervey Bay	Did not go to school	164
Hervey Bay	Year 8	3163
Hervey Bay	Year 9	3416
Hervey Bay	Year 10	13484
Hervey Bay	Year 11	3923
Hervey Bay	Year 12	15583
Hinchinbrook	Did not go to school	164
Hinchinbrook	Year 8	2727
Hinchinbrook	Year 9	2380
Hinchinbrook	Year 10	11559
Hinchinbrook	Year 11	3919
Hinchinbrook	Year 12	17120
Inala	Did not go to school	1112
Inala	Year 8	2780
Inala	Year 9	2104
Inala	Year 10	8319
Inala	Year 11	3266
Inala	Year 12	21197
Indooroopilly	Did not go to school	92
Indooroopilly	Year 8	465
Indooroopilly	Year 9	666
Indooroopilly	Year 10	2968
Indooroopilly	Year 11	1506
Indooroopilly	Year 12	34161
Ipswich	Did not go to school	231
Ipswich	Year 8	2888
Ipswich	Year 9	2466
Ipswich	Year 10	10985
Ipswich	Year 11	3239
Ipswich	Year 12	17862
Ipswich West	Did not go to school	140
Ipswich West	Year 8	2904
Ipswich West	Year 9	2696
Ipswich West	Year 10	11964
Ipswich West	Year 11	3530
Ipswich West	Year 12	17598
Kallangur	Did not go to school	119
Kallangur	Year 8	1723
Kallangur	Year 9	2084
Kallangur	Year 10	10493
Kallangur	Year 11	3724
Kallangur	Year 12	20324
Kawana	Did not go to school	98
Kawana	Year 8	1945
Kawana	Year 9	2269
Kawana	Year 10	11020
Kawana	Year 11	3844
Kawana	Year 12	20996
Keppel	Did not go to school	170
Keppel	Year 8	2639
Keppel	Year 9	2365
Keppel	Year 10	11944
Keppel	Year 11	3528
Keppel	Year 12	18547
Lockyer	Did not go to school	202
Lockyer	Year 8	3175
Lockyer	Year 9	2745
Lockyer	Year 10	12340
Lockyer	Year 11	3393
Lockyer	Year 12	17428
Logan	Did not go to school	331
Logan	Year 8	1772
Logan	Year 9	2341
Logan	Year 10	10766
Logan	Year 11	3603
Logan	Year 12	17724
Lytton	Did not go to school	120
Lytton	Year 8	2021
Lytton	Year 9	1769
Lytton	Year 10	8961
Lytton	Year 11	3090
Lytton	Year 12	21203
Mackay	Did not go to school	138
Mackay	Year 8	2379
Mackay	Year 9	2058
Mackay	Year 10	9689
Mackay	Year 11	3027
Mackay	Year 12	14244
Mansfield	Did not go to school	227
Mansfield	Year 8	1553
Mansfield	Year 9	1145
Mansfield	Year 10	6064
Mansfield	Year 11	2073
Mansfield	Year 12	24868
Maroochydore	Did not go to school	89
Maroochydore	Year 8	1503
Maroochydore	Year 9	2045
Maroochydore	Year 10	10855
Maroochydore	Year 11	3819
Maroochydore	Year 12	22583
Maryborough	Did not go to school	150
Maryborough	Year 8	3614
Maryborough	Year 9	3353
Maryborough	Year 10	14285
Maryborough	Year 11	3298
Maryborough	Year 12	12556
Mermaid Beach	Did not go to school	161
Mermaid Beach	Year 8	1202
Mermaid Beach	Year 9	1747
Mermaid Beach	Year 10	8450
Mermaid Beach	Year 11	3719
Mermaid Beach	Year 12	26230
Mirani	Did not go to school	124
Mirani	Year 8	2787
Mirani	Year 9	2507
Mirani	Year 10	12747
Mirani	Year 11	3641
Mirani	Year 12	14643
Moggill	Did not go to school	50
Moggill	Year 8	515
Moggill	Year 9	931
Moggill	Year 10	4686
Moggill	Year 11	2177
Moggill	Year 12	27247
Morayfield	Did not go to school	130
Morayfield	Year 8	1914
Morayfield	Year 9	2772
Morayfield	Year 10	12049
Morayfield	Year 11	4151
Morayfield	Year 12	18838
Mount Coot-tha	Did not go to school	83
Mount Coot-tha	Year 8	577
Mount Coot-tha	Year 9	548
Mount Coot-tha	Year 10	2822
Mount Coot-tha	Year 11	1536
Mount Coot-tha	Year 12	30822
Mount Isa	Did not go to school	173
Mount Isa	Year 8	1634
Mount Isa	Year 9	1415
Mount Isa	Year 10	6567
Mount Isa	Year 11	2058
Mount Isa	Year 12	9767
Mount Ommaney	Did not go to school	216
Mount Ommaney	Year 8	963
Mount Ommaney	Year 9	986
Mount Ommaney	Year 10	5524
Mount Ommaney	Year 11	2217
Mount Ommaney	Year 12	25031
Mudgeeraba	Did not go to school	90
Mudgeeraba	Year 8	1149
Mudgeeraba	Year 9	2072
Mudgeeraba	Year 10	10035
Mudgeeraba	Year 11	4074
Mudgeeraba	Year 12	23708
Mulgrave	Did not go to school	358
Mulgrave	Year 8	2412
Mulgrave	Year 9	2303
Mulgrave	Year 10	10509
Mulgrave	Year 11	4051
Mulgrave	Year 12	16239
Mundingburra	Did not go to school	226
Mundingburra	Year 8	1743
Mundingburra	Year 9	1605
Mundingburra	Year 10	7981
Mundingburra	Year 11	2826
Mundingburra	Year 12	19210
Murrumba	Did not go to school	188
Murrumba	Year 8	2437
Murrumba	Year 9	3004
Murrumba	Year 10	13376
Murrumba	Year 11	4957
Murrumba	Year 12	27558
Nanango	Did not go to school	147
Nanango	Year 8	3652
Nanango	Year 9	3014
Nanango	Year 10	12440
Nanango	Year 11	3171
Nanango	Year 12	13734
Nicklin	Did not go to school	110
Nicklin	Year 8	1990
Nicklin	Year 9	2247
Nicklin	Year 10	11321
Nicklin	Year 11	3929
Nicklin	Year 12	18529
Noosa	Did not go to school	71
Noosa	Year 8	1178
Noosa	Year 9	1982
Noosa	Year 10	9973
Noosa	Year 11	3981
Noosa	Year 12	22395
Nudgee	Did not go to school	296
Nudgee	Year 8	2147
Nudgee	Year 9	1475
Nudgee	Year 10	8007
Nudgee	Year 11	2848
Nudgee	Year 12	27031
Pine Rivers	Did not go to school	138
Pine Rivers	Year 8	1616
Pine Rivers	Year 9	1820
Pine Rivers	Year 10	10129
Pine Rivers	Year 11	3449
Pine Rivers	Year 12	22322
Pumicestone	Did not go to school	187
Pumicestone	Year 8	3373
Pumicestone	Year 9	3348
Pumicestone	Year 10	13839
Pumicestone	Year 11	3885
Pumicestone	Year 12	16333
Redcliffe	Did not go to school	158
Redcliffe	Year 8	2507
Redcliffe	Year 9	2525
Redcliffe	Year 10	11176
Redcliffe	Year 11	3432
Redcliffe	Year 12	17947
Redlands	Did not go to school	84
Redlands	Year 8	2010
Redlands	Year 9	2231
Redlands	Year 10	11625
Redlands	Year 11	3606
Redlands	Year 12	19550
Rockhampton	Did not go to school	155
Rockhampton	Year 8	2988
Rockhampton	Year 9	2271
Rockhampton	Year 10	10442
Rockhampton	Year 11	3125
Rockhampton	Year 12	15981
Sandgate	Did not go to school	203
Sandgate	Year 8	2133
Sandgate	Year 9	1696
Sandgate	Year 10	8702
Sandgate	Year 11	2790
Sandgate	Year 12	22235
South Brisbane	Did not go to school	302
South Brisbane	Year 8	1212
South Brisbane	Year 9	869
South Brisbane	Year 10	4278
South Brisbane	Year 11	2131
South Brisbane	Year 12	36198
Southern Downs	Did not go to school	154
Southern Downs	Year 8	3345
Southern Downs	Year 9	2655
Southern Downs	Year 10	12029
Southern Downs	Year 11	2918
Southern Downs	Year 12	14298
Southport	Did not go to school	272
Southport	Year 8	1840
Southport	Year 9	2312
Southport	Year 10	9925
Southport	Year 11	3923
Southport	Year 12	27526
Springwood	Did not go to school	118
Springwood	Year 8	1223
Springwood	Year 9	1533
Springwood	Year 10	8594
Springwood	Year 11	3072
Springwood	Year 12	22809
Stafford	Did not go to school	188
