SED_NAME16	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Cabramatta	20-24		F	198
Cabramatta	20-24		M	225
Cabramatta	20-24	0	F	2698
Cabramatta	20-24	0	M	2895
Cabramatta	20-24	1	F	268
Cabramatta	20-24	1	M	254
Cabramatta	25-34		F	384
Cabramatta	25-34		M	367
Cabramatta	25-34	0	F	4690
Cabramatta	25-34	0	M	4584
Cabramatta	25-34	1	F	687
Cabramatta	25-34	1	M	470
Cabramatta	35-44		F	366
Cabramatta	35-44		M	322
Cabramatta	35-44	0	F	4060
Cabramatta	35-44	0	M	3784
Cabramatta	35-44	1	F	955
Cabramatta	35-44	1	M	505
Cabramatta	45-54		F	370
Cabramatta	45-54		M	400
Cabramatta	45-54	0	F	4365
Cabramatta	45-54	0	M	4515
Cabramatta	45-54	1	F	1138
Cabramatta	45-54	1	M	714
Cabramatta	55-64		F	343
Cabramatta	55-64		M	335
Cabramatta	55-64	0	F	4106
Cabramatta	55-64	0	M	4090
Cabramatta	55-64	1	F	1041
Cabramatta	55-64	1	M	620
Cabramatta	65-74		F	216
Cabramatta	65-74		M	220
Cabramatta	65-74	0	F	2321
Cabramatta	65-74	0	M	2499
Cabramatta	65-74	1	F	438
Cabramatta	65-74	1	M	295
Cabramatta	75-84		F	155
Cabramatta	75-84		M	128
Cabramatta	75-84	0	F	1469
Cabramatta	75-84	0	M	1184
Cabramatta	75-84	1	F	146
Cabramatta	75-84	1	M	143
Cabramatta	85+		F	65
Cabramatta	85+		M	70
Cabramatta	85+	0	F	737
Cabramatta	85+	0	M	471
Cabramatta	85+	1	F	31
Cabramatta	85+	1	M	36
Camden	15-19		F	209
Camden	15-19		M	234
Camden	15-19	0	F	2626
Camden	15-19	0	M	2659
Camden	15-19	1	F	164
Camden	15-19	1	M	128
Camden	20-24		F	200
Camden	20-24		M	193
Camden	20-24	0	F	2391
Camden	20-24	0	M	2486
Camden	20-24	1	F	159
Camden	20-24	1	M	119
Camden	25-34		F	381
Camden	25-34		M	375
Camden	25-34	0	F	5746
Camden	25-34	0	M	5500
Camden	25-34	1	F	642
Camden	25-34	1	M	350
Camden	35-44		F	358
Camden	35-44		M	366
Camden	35-44	0	F	5367
Camden	35-44	0	M	5519
Camden	35-44	1	F	1077
Camden	35-44	1	M	609
Camden	45-54		F	296
Camden	45-54		M	356
Camden	45-54	0	F	4251
Camden	45-54	0	M	4508
Camden	45-54	1	F	1149
Camden	45-54	1	M	672
Camden	55-64		F	277
Camden	55-64		M	251
Camden	55-64	0	F	3209
Camden	55-64	0	M	3341
Camden	55-64	1	F	929
Camden	55-64	1	M	511
Camden	65-74		F	283
Camden	65-74		M	267
Camden	65-74	0	F	2263
Camden	65-74	0	M	2284
Camden	65-74	1	F	477
Camden	65-74	1	M	337
Camden	75-84		F	217
Camden	75-84		M	158
Camden	75-84	0	F	1102
Camden	75-84	0	M	931
Camden	75-84	1	F	148
Camden	75-84	1	M	146
Camden	85+		F	185
Camden	85+		M	99
Camden	85+	0	F	584
Camden	85+	0	M	294
Camden	85+	1	F	16
Camden	85+	1	M	22
Campbelltown	15-19		F	266
Campbelltown	15-19		M	288
Campbelltown	15-19	0	F	2253
Campbelltown	15-19	0	M	2409
Campbelltown	15-19	1	F	174
Campbelltown	15-19	1	M	161
Campbelltown	20-24		F	254
Campbelltown	20-24		M	276
Campbelltown	20-24	0	F	2561
Campbelltown	20-24	0	M	2509
Campbelltown	20-24	1	F	238
Campbelltown	20-24	1	M	176
Campbelltown	25-34		F	466
Campbelltown	25-34		M	437
Campbelltown	25-34	0	F	4736
Campbelltown	25-34	0	M	4651
Campbelltown	25-34	1	F	768
Campbelltown	25-34	1	M	441
Campbelltown	35-44		F	405
Campbelltown	35-44		M	383
Campbelltown	35-44	0	F	3848
Campbelltown	35-44	0	M	3926
Campbelltown	35-44	1	F	1030
Campbelltown	35-44	1	M	583
Campbelltown	45-54		F	357
Campbelltown	45-54		M	337
Campbelltown	45-54	0	F	3584
Campbelltown	45-54	0	M	3599
Campbelltown	45-54	1	F	1013
Campbelltown	45-54	1	M	588
Campbelltown	55-64		F	367
Campbelltown	55-64		M	320
Campbelltown	55-64	0	F	3485
Campbelltown	55-64	0	M	3453
Campbelltown	55-64	1	F	929
Campbelltown	55-64	1	M	541
Campbelltown	65-74		F	363
Campbelltown	65-74		M	325
Campbelltown	65-74	0	F	2571
Campbelltown	65-74	0	M	2478
Campbelltown	65-74	1	F	520
Campbelltown	65-74	1	M	403
Campbelltown	75-84		F	195
Campbelltown	75-84		M	170
Campbelltown	75-84	0	F	1086
Campbelltown	75-84	0	M	924
Campbelltown	75-84	1	F	135
Campbelltown	75-84	1	M	144
Campbelltown	85+		F	139
Campbelltown	85+		M	56
Campbelltown	85+	0	F	363
Campbelltown	85+	0	M	203
Campbelltown	85+	1	F	15
Campbelltown	85+	1	M	25
Canterbury	15-19		F	208
Canterbury	15-19		M	213
Canterbury	15-19	0	F	2128
Canterbury	15-19	0	M	2283
Canterbury	15-19	1	F	144
Canterbury	15-19	1	M	112
Canterbury	20-24		F	241
Canterbury	20-24		M	237
Canterbury	20-24	0	F	2487
Canterbury	20-24	0	M	2648
Canterbury	20-24	1	F	212
Canterbury	20-24	1	M	171
Canterbury	25-34		F	527
Canterbury	25-34		M	561
Canterbury	25-34	0	F	5981
Canterbury	25-34	0	M	6114
Canterbury	25-34	1	F	644
Canterbury	25-34	1	M	480
Canterbury	35-44		F	467
Canterbury	35-44		M	487
Canterbury	35-44	0	F	4864
Canterbury	35-44	0	M	5045
Canterbury	35-44	1	F	1002
Canterbury	35-44	1	M	690
Canterbury	45-54		F	435
Canterbury	45-54		M	416
Canterbury	45-54	0	F	4548
Canterbury	45-54	0	M	4657
Canterbury	45-54	1	F	1245
Canterbury	45-54	1	M	793
Canterbury	55-64		F	349
Canterbury	55-64		M	317
Canterbury	55-64	0	F	3564
Canterbury	55-64	0	M	3602
Canterbury	55-64	1	F	969
Canterbury	55-64	1	M	562
Canterbury	65-74		F	304
Canterbury	65-74		M	269
Canterbury	65-74	0	F	2626
Canterbury	65-74	0	M	2581
