SED_NAME16	DwellingStructure	InternetAccessedFromDwelling	occupied_private_dwellings
Evelyn (Eastern Victoria)		1	56
Evelyn (Eastern Victoria)	(Other)		3
Evelyn (Eastern Victoria)	(Other)	0	36
Evelyn (Eastern Victoria)	(Other)	1	43
Evelyn (Eastern Victoria)	Flat/apartment		5
Evelyn (Eastern Victoria)	Flat/apartment	0	8
Evelyn (Eastern Victoria)	Flat/apartment	1	66
Evelyn (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.		46
Evelyn (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	317
Evelyn (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	941
Evelyn (Eastern Victoria)	Separate house		332
Evelyn (Eastern Victoria)	Separate house	0	1680
Evelyn (Eastern Victoria)	Separate house	1	15981
Ferntree Gully (Eastern Metropolitan)			7
Ferntree Gully (Eastern Metropolitan)		0	3
Ferntree Gully (Eastern Metropolitan)		1	27
Ferntree Gully (Eastern Metropolitan)	(Other)		5
Ferntree Gully (Eastern Metropolitan)	(Other)	0	57
Ferntree Gully (Eastern Metropolitan)	(Other)	1	77
Ferntree Gully (Eastern Metropolitan)	Flat/apartment		27
Ferntree Gully (Eastern Metropolitan)	Flat/apartment	0	100
Ferntree Gully (Eastern Metropolitan)	Flat/apartment	1	207
Ferntree Gully (Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		85
Ferntree Gully (Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	501
Ferntree Gully (Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	1865
Ferntree Gully (Eastern Metropolitan)	Separate house		314
Ferntree Gully (Eastern Metropolitan)	Separate house	0	1473
Ferntree Gully (Eastern Metropolitan)	Separate house	1	15451
Footscray (Western Metropolitan)			21
Footscray (Western Metropolitan)		0	24
Footscray (Western Metropolitan)		1	73
Footscray (Western Metropolitan)	(Other)		6
Footscray (Western Metropolitan)	(Other)	0	17
Footscray (Western Metropolitan)	(Other)	1	75
Footscray (Western Metropolitan)	Flat/apartment		194
Footscray (Western Metropolitan)	Flat/apartment	0	945
Footscray (Western Metropolitan)	Flat/apartment	1	5091
Footscray (Western Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		236
Footscray (Western Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	913
Footscray (Western Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	5887
Footscray (Western Metropolitan)	Separate house		554
Footscray (Western Metropolitan)	Separate house	0	2832
Footscray (Western Metropolitan)	Separate house	1	12088
Forest Hill (Eastern Metropolitan)			5
Forest Hill (Eastern Metropolitan)		0	3
Forest Hill (Eastern Metropolitan)		1	26
Forest Hill (Eastern Metropolitan)	(Other)	1	17
Forest Hill (Eastern Metropolitan)	Flat/apartment		28
Forest Hill (Eastern Metropolitan)	Flat/apartment	0	208
Forest Hill (Eastern Metropolitan)	Flat/apartment	1	252
Forest Hill (Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		77
Forest Hill (Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	536
Forest Hill (Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	2607
Forest Hill (Eastern Metropolitan)	Separate house		306
Forest Hill (Eastern Metropolitan)	Separate house	0	1719
Forest Hill (Eastern Metropolitan)	Separate house	1	15075
Frankston (South-Eastern Metropolitan)			9
Frankston (South-Eastern Metropolitan)		0	4
Frankston (South-Eastern Metropolitan)		1	40
Frankston (South-Eastern Metropolitan)	(Other)		3
Frankston (South-Eastern Metropolitan)	(Other)	0	15
Frankston (South-Eastern Metropolitan)	(Other)	1	52
Frankston (South-Eastern Metropolitan)	Flat/apartment		44
Frankston (South-Eastern Metropolitan)	Flat/apartment	0	299
Frankston (South-Eastern Metropolitan)	Flat/apartment	1	600
Frankston (South-Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		157
Frankston (South-Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	1001
Frankston (South-Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	2863
Frankston (South-Eastern Metropolitan)	Separate house		517
Frankston (South-Eastern Metropolitan)	Separate house	0	2253
Frankston (South-Eastern Metropolitan)	Separate house	1	15788
Geelong (Western Victoria)			11
Geelong (Western Victoria)		0	11
Geelong (Western Victoria)		1	52
Geelong (Western Victoria)	(Other)		10
Geelong (Western Victoria)	(Other)	0	87
Geelong (Western Victoria)	(Other)	1	129
Geelong (Western Victoria)	Flat/apartment		64
Geelong (Western Victoria)	Flat/apartment	0	391
Geelong (Western Victoria)	Flat/apartment	1	1141
Geelong (Western Victoria)	Semi-detached, row/terrace house, townhouse etc.		123
Geelong (Western Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	961
Geelong (Western Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	3037
Geelong (Western Victoria)	Separate house		465
Geelong (Western Victoria)	Separate house	0	3173
Geelong (Western Victoria)	Separate house	1	15874
Gembrook (Eastern Victoria)			14
Gembrook (Eastern Victoria)		0	4
Gembrook (Eastern Victoria)		1	44
Gembrook (Eastern Victoria)	(Other)		3
Gembrook (Eastern Victoria)	(Other)	0	29
Gembrook (Eastern Victoria)	(Other)	1	43
Gembrook (Eastern Victoria)	Flat/apartment		13
Gembrook (Eastern Victoria)	Flat/apartment	0	89
Gembrook (Eastern Victoria)	Flat/apartment	1	79
Gembrook (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.		91
Gembrook (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	523
Gembrook (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	1926
Gembrook (Eastern Victoria)	Separate house		351
Gembrook (Eastern Victoria)	Separate house	0	1563
Gembrook (Eastern Victoria)	Separate house	1	18092
Gippsland East (Eastern Victoria)			70
Gippsland East (Eastern Victoria)		0	44
Gippsland East (Eastern Victoria)		1	137
Gippsland East (Eastern Victoria)	(Other)		22
Gippsland East (Eastern Victoria)	(Other)	0	134
Gippsland East (Eastern Victoria)	(Other)	1	179
Gippsland East (Eastern Victoria)	Flat/apartment		17
Gippsland East (Eastern Victoria)	Flat/apartment	0	147
Gippsland East (Eastern Victoria)	Flat/apartment	1	202
Gippsland East (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.		38
Gippsland East (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	264
Gippsland East (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	369
Gippsland East (Eastern Victoria)	Separate house		616
Gippsland East (Eastern Victoria)	Separate house	0	4261
Gippsland East (Eastern Victoria)	Separate house	1	16366
Gippsland South (Eastern Victoria)			7
Gippsland South (Eastern Victoria)		0	18
Gippsland South (Eastern Victoria)		1	72
Gippsland South (Eastern Victoria)	(Other)		9
Gippsland South (Eastern Victoria)	(Other)	0	75
Gippsland South (Eastern Victoria)	(Other)	1	104
Gippsland South (Eastern Victoria)	Flat/apartment		26
Gippsland South (Eastern Victoria)	Flat/apartment	0	231
Gippsland South (Eastern Victoria)	Flat/apartment	1	342
Gippsland South (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.		42
Gippsland South (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	295
Gippsland South (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	420
Gippsland South (Eastern Victoria)	Separate house		538
Gippsland South (Eastern Victoria)	Separate house	0	3486
Gippsland South (Eastern Victoria)	Separate house	1	15699
Hastings (Eastern Victoria)			3
Hastings (Eastern Victoria)		0	8
Hastings (Eastern Victoria)		1	24
Hastings (Eastern Victoria)	(Other)		9
Hastings (Eastern Victoria)	(Other)	0	93
Hastings (Eastern Victoria)	(Other)	1	128
Hastings (Eastern Victoria)	Flat/apartment		4
Hastings (Eastern Victoria)	Flat/apartment	0	21
Hastings (Eastern Victoria)	Flat/apartment	1	109
Hastings (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.		106
Hastings (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	711
Hastings (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	2330
Hastings (Eastern Victoria)	Separate house		452
Hastings (Eastern Victoria)	Separate house	0	1911
Hastings (Eastern Victoria)	Separate house	1	17926
Hawthorn (Southern Metropolitan)			6
Hawthorn (Southern Metropolitan)		0	11
Hawthorn (Southern Metropolitan)		1	82
Hawthorn (Southern Metropolitan)	(Other)	0	5
Hawthorn (Southern Metropolitan)	(Other)	1	78
Hawthorn (Southern Metropolitan)	Flat/apartment		323
Hawthorn (Southern Metropolitan)	Flat/apartment	0	771
Hawthorn (Southern Metropolitan)	Flat/apartment	1	8759
Hawthorn (Southern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		91
Hawthorn (Southern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	339
Hawthorn (Southern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	4419
Hawthorn (Southern Metropolitan)	Separate house		158
Hawthorn (Southern Metropolitan)	Separate house	0	540
Hawthorn (Southern Metropolitan)	Separate house	1	9504
Ivanhoe (Eastern Metropolitan)			14
Ivanhoe (Eastern Metropolitan)		0	18
Ivanhoe (Eastern Metropolitan)		1	63
Ivanhoe (Eastern Metropolitan)	(Other)	0	3
Ivanhoe (Eastern Metropolitan)	(Other)	1	30
Ivanhoe (Eastern Metropolitan)	Flat/apartment		69
Ivanhoe (Eastern Metropolitan)	Flat/apartment	0	349
Ivanhoe (Eastern Metropolitan)	Flat/apartment	1	2056
Ivanhoe (Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		136
Ivanhoe (Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	658
Ivanhoe (Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	3741
Ivanhoe (Eastern Metropolitan)	Separate house		369
Ivanhoe (Eastern Metropolitan)	Separate house	0	1890
Ivanhoe (Eastern Metropolitan)	Separate house	1	14164
Kew (Southern Metropolitan)			9
Kew (Southern Metropolitan)		0	4
Kew (Southern Metropolitan)		1	49
Kew (Southern Metropolitan)	(Other)		3
Kew (Southern Metropolitan)	(Other)	1	42
Kew (Southern Metropolitan)	Flat/apartment		71
Kew (Southern Metropolitan)	Flat/apartment	0	246
Kew (Southern Metropolitan)	Flat/apartment	1	2482
Kew (Southern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		62
Kew (Southern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	373
Kew (Southern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	3877
Kew (Southern Metropolitan)	Separate house		273
Kew (Southern Metropolitan)	Separate house	0	1117
Kew (Southern Metropolitan)	Separate house	1	12928
Keysborough (South-Eastern Metropolitan)			3
Keysborough (South-Eastern Metropolitan)		0	13
Keysborough (South-Eastern Metropolitan)		1	41
Keysborough (South-Eastern Metropolitan)	(Other)		3
Keysborough (South-Eastern Metropolitan)	(Other)	0	48
Keysborough (South-Eastern Metropolitan)	(Other)	1	46
Keysborough (South-Eastern Metropolitan)	Flat/apartment		54
Keysborough (South-Eastern Metropolitan)	Flat/apartment	0	243
Keysborough (South-Eastern Metropolitan)	Flat/apartment	1	789
Keysborough (South-Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		115
Keysborough (South-Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	440
Keysborough (South-Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	2154
Keysborough (South-Eastern Metropolitan)	Separate house		519
Keysborough (South-Eastern Metropolitan)	Separate house	0	2082
Keysborough (South-Eastern Metropolitan)	Separate house	1	15459
Kororoit (Western Metropolitan)			4
Kororoit (Western Metropolitan)		0	3
Kororoit (Western Metropolitan)		1	18
Kororoit (Western Metropolitan)	(Other)		3
Kororoit (Western Metropolitan)	(Other)	0	61
Kororoit (Western Metropolitan)	(Other)	1	56
Kororoit (Western Metropolitan)	Flat/apartment		17
Kororoit (Western Metropolitan)	Flat/apartment	0	61
Kororoit (Western Metropolitan)	Flat/apartment	1	178
Kororoit (Western Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		64
Kororoit (Western Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	324
Kororoit (Western Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	1683
Kororoit (Western Metropolitan)	Separate house		671
Kororoit (Western Metropolitan)	Separate house	0	2545
Kororoit (Western Metropolitan)	Separate house	1	18808
Lara (Western Victoria)			6
Lara (Western Victoria)		0	15
Lara (Western Victoria)		1	47
Lara (Western Victoria)	(Other)	0	21
Lara (Western Victoria)	(Other)	1	88
Lara (Western Victoria)	Flat/apartment		26
Lara (Western Victoria)	Flat/apartment	0	152
Lara (Western Victoria)	Flat/apartment	1	318
Lara (Western Victoria)	Semi-detached, row/terrace house, townhouse etc.		112
Lara (Western Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	720
Lara (Western Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	1552
Lara (Western Victoria)	Separate house		649
Lara (Western Victoria)	Separate house	0	4119
Lara (Western Victoria)	Separate house	1	15852
Lowan (Western Victoria)			20
Lowan (Western Victoria)		0	39
Lowan (Western Victoria)		1	141
Lowan (Western Victoria)	(Other)		8
Lowan (Western Victoria)	(Other)	0	31
Lowan (Western Victoria)	(Other)	1	99
Lowan (Western Victoria)	Flat/apartment		33
Lowan (Western Victoria)	Flat/apartment	0	293
Lowan (Western Victoria)	Flat/apartment	1	329
Lowan (Western Victoria)	Semi-detached, row/terrace house, townhouse etc.		41
Lowan (Western Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	329
Lowan (Western Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	410
Lowan (Western Victoria)	Separate house		583
Lowan (Western Victoria)	Separate house	0	4532
Lowan (Western Victoria)	Separate house	1	15515
Macedon (Northern Victoria)			26
Macedon (Northern Victoria)		0	23
Macedon (Northern Victoria)		1	86
Macedon (Northern Victoria)	(Other)		11
Macedon (Northern Victoria)	(Other)	0	34
Macedon (Northern Victoria)	(Other)	1	89
Macedon (Northern Victoria)	Flat/apartment		6
Macedon (Northern Victoria)	Flat/apartment	0	65
Macedon (Northern Victoria)	Flat/apartment	1	126
Macedon (Northern Victoria)	Semi-detached, row/terrace house, townhouse etc.		26
Macedon (Northern Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	203
Macedon (Northern Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	516
Macedon (Northern Victoria)	Separate house		422
Macedon (Northern Victoria)	Separate house	0	2175
Macedon (Northern Victoria)	Separate house	1	16482
Malvern (Southern Metropolitan)			4
Malvern (Southern Metropolitan)		0	7
Malvern (Southern Metropolitan)		1	61
Malvern (Southern Metropolitan)	(Other)		11
Malvern (Southern Metropolitan)	(Other)	0	18
Malvern (Southern Metropolitan)	(Other)	1	181
Malvern (Southern Metropolitan)	Flat/apartment		192
Malvern (Southern Metropolitan)	Flat/apartment	0	820
Malvern (Southern Metropolitan)	Flat/apartment	1	6926
Malvern (Southern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		90
Malvern (Southern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	356
Malvern (Southern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	4189
Malvern (Southern Metropolitan)	Separate house		173
Malvern (Southern Metropolitan)	Separate house	0	680
Malvern (Southern Metropolitan)	Separate house	1	8927
Melbourne (Northern Metropolitan)			42
Melbourne (Northern Metropolitan)		0	24
Melbourne (Northern Metropolitan)		1	311
Melbourne (Northern Metropolitan)	(Other)		48
Melbourne (Northern Metropolitan)	(Other)	0	17
Melbourne (Northern Metropolitan)	(Other)	1	117
Melbourne (Northern Metropolitan)	Flat/apartment		1149
Melbourne (Northern Metropolitan)	Flat/apartment	0	3083
Melbourne (Northern Metropolitan)	Flat/apartment	1	32373
Melbourne (Northern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		210
Melbourne (Northern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	589
Melbourne (Northern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	8057
Melbourne (Northern Metropolitan)	Separate house		61
Melbourne (Northern Metropolitan)	Separate house	0	161
Melbourne (Northern Metropolitan)	Separate house	1	1507
Melton (Western Victoria)			12
Melton (Western Victoria)		0	5
Melton (Western Victoria)		1	42
Melton (Western Victoria)	(Other)	0	13
Melton (Western Victoria)	(Other)	1	38
Melton (Western Victoria)	Flat/apartment		5
Melton (Western Victoria)	Flat/apartment	0	74
Melton (Western Victoria)	Flat/apartment	1	60
Melton (Western Victoria)	Semi-detached, row/terrace house, townhouse etc.		123
Melton (Western Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	722
Melton (Western Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	2263
Melton (Western Victoria)	Separate house		639
Melton (Western Victoria)	Separate house	0	2716
Melton (Western Victoria)	Separate house	1	19702
Mildura (Northern Victoria)			19
Mildura (Northern Victoria)		0	25
Mildura (Northern Victoria)		1	91
Mildura (Northern Victoria)	(Other)		16
Mildura (Northern Victoria)	(Other)	0	127
Mildura (Northern Victoria)	(Other)	1	154
Mildura (Northern Victoria)	Flat/apartment		96
Mildura (Northern Victoria)	Flat/apartment	0	559
Mildura (Northern Victoria)	Flat/apartment	1	565
Mildura (Northern Victoria)	Semi-detached, row/terrace house, townhouse etc.		90
Mildura (Northern Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	619
Mildura (Northern Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	1033
Mildura (Northern Victoria)	Separate house		655
Mildura (Northern Victoria)	Separate house	0	4079
Mildura (Northern Victoria)	Separate house	1	15115
Mill Park (Northern Metropolitan)		1	22
Mill Park (Northern Metropolitan)	(Other)		3
Mill Park (Northern Metropolitan)	(Other)	1	4
Mill Park (Northern Metropolitan)	Flat/apartment		20
Mill Park (Northern Metropolitan)	Flat/apartment	0	84
Mill Park (Northern Metropolitan)	Flat/apartment	1	258
Mill Park (Northern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		81
Mill Park (Northern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	467
Mill Park (Northern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	3031
Mill Park (Northern Metropolitan)	Separate house		405
Mill Park (Northern Metropolitan)	Separate house	0	1592
Mill Park (Northern Metropolitan)	Separate house	1	15734
Monbulk (Eastern Victoria)			10
Monbulk (Eastern Victoria)		0	5
Monbulk (Eastern Victoria)		1	57
Monbulk (Eastern Victoria)	(Other)	0	4
Monbulk (Eastern Victoria)	(Other)	1	18
Monbulk (Eastern Victoria)	Flat/apartment	0	16
Monbulk (Eastern Victoria)	Flat/apartment	1	65
Monbulk (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.		22
Monbulk (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	120
Monbulk (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	374
Monbulk (Eastern Victoria)	Separate house		332
Monbulk (Eastern Victoria)	Separate house	0	1377
Monbulk (Eastern Victoria)	Separate house	1	16957
Mordialloc (South-Eastern Metropolitan)			4
Mordialloc (South-Eastern Metropolitan)		0	18
Mordialloc (South-Eastern Metropolitan)		1	79
Mordialloc (South-Eastern Metropolitan)	(Other)		3
Mordialloc (South-Eastern Metropolitan)	(Other)	0	11
Mordialloc (South-Eastern Metropolitan)	(Other)	1	57
Mordialloc (South-Eastern Metropolitan)	Flat/apartment		139
Mordialloc (South-Eastern Metropolitan)	Flat/apartment	0	788
Mordialloc (South-Eastern Metropolitan)	Flat/apartment	1	3389
Mordialloc (South-Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		98
Mordialloc (South-Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	601
Mordialloc (South-Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	4590
Mordialloc (South-Eastern Metropolitan)	Separate house		256
Mordialloc (South-Eastern Metropolitan)	Separate house	0	1331
Mordialloc (South-Eastern Metropolitan)	Separate house	1	11925
Mornington (Eastern Victoria)			6
Mornington (Eastern Victoria)		0	4
Mornington (Eastern Victoria)		1	38
Mornington (Eastern Victoria)	(Other)		6
Mornington (Eastern Victoria)	(Other)	0	49
Mornington (Eastern Victoria)	(Other)	1	73
Mornington (Eastern Victoria)	Flat/apartment		88
Mornington (Eastern Victoria)	Flat/apartment	0	539
Mornington (Eastern Victoria)	Flat/apartment	1	1690
Mornington (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.		50
Mornington (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	295
Mornington (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	1463
Mornington (Eastern Victoria)	Separate house		342
Mornington (Eastern Victoria)	Separate house	0	1426
Mornington (Eastern Victoria)	Separate house	1	16072
Morwell (Eastern Victoria)			37
Morwell (Eastern Victoria)		0	11
Morwell (Eastern Victoria)		1	50
Morwell (Eastern Victoria)	(Other)		4
Morwell (Eastern Victoria)	(Other)	0	16
Morwell (Eastern Victoria)	(Other)	1	63
Morwell (Eastern Victoria)	Flat/apartment		79
Morwell (Eastern Victoria)	Flat/apartment	0	438
Morwell (Eastern Victoria)	Flat/apartment	1	700
Morwell (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.		60
Morwell (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	477
Morwell (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	680
Morwell (Eastern Victoria)	Separate house		575
Morwell (Eastern Victoria)	Separate house	0	3485
Morwell (Eastern Victoria)	Separate house	1	17706
Mount Waverley (Eastern Metropolitan)			8
Mount Waverley (Eastern Metropolitan)		0	3
Mount Waverley (Eastern Metropolitan)		1	41
Mount Waverley (Eastern Metropolitan)	(Other)		3
Mount Waverley (Eastern Metropolitan)	(Other)	0	3
Mount Waverley (Eastern Metropolitan)	(Other)	1	7
Mount Waverley (Eastern Metropolitan)	Flat/apartment		52
Mount Waverley (Eastern Metropolitan)	Flat/apartment	0	290
Mount Waverley (Eastern Metropolitan)	Flat/apartment	1	2853
Mount Waverley (Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		40
Mount Waverley (Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	134
Mount Waverley (Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	1688
Mount Waverley (Eastern Metropolitan)	Separate house		324
Mount Waverley (Eastern Metropolitan)	Separate house	0	1558
Mount Waverley (Eastern Metropolitan)	Separate house	1	14165
Mulgrave (South-Eastern Metropolitan)			7
Mulgrave (South-Eastern Metropolitan)		0	5
Mulgrave (South-Eastern Metropolitan)		1	26
Mulgrave (South-Eastern Metropolitan)	(Other)		6
Mulgrave (South-Eastern Metropolitan)	(Other)	0	41
Mulgrave (South-Eastern Metropolitan)	(Other)	1	48
Mulgrave (South-Eastern Metropolitan)	Flat/apartment		59
Mulgrave (South-Eastern Metropolitan)	Flat/apartment	0	321
Mulgrave (South-Eastern Metropolitan)	Flat/apartment	1	1091
Mulgrave (South-Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.		110
Mulgrave (South-Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	0	413
Mulgrave (South-Eastern Metropolitan)	Semi-detached, row/terrace house, townhouse etc.	1	2043
Mulgrave (South-Eastern Metropolitan)	Separate house		421
Mulgrave (South-Eastern Metropolitan)	Separate house	0	2128
Mulgrave (South-Eastern Metropolitan)	Separate house	1	14486
Murray Plains (Northern Victoria)			17
Murray Plains (Northern Victoria)		0	21
Murray Plains (Northern Victoria)		1	110
Murray Plains (Northern Victoria)	(Other)		9
Murray Plains (Northern Victoria)	(Other)	0	83
Murray Plains (Northern Victoria)	(Other)	1	111
Murray Plains (Northern Victoria)	Flat/apartment		60
Murray Plains (Northern Victoria)	Flat/apartment	0	439
Murray Plains (Northern Victoria)	Flat/apartment	1	454
Murray Plains (Northern Victoria)	Semi-detached, row/terrace house, townhouse etc.		63
Murray Plains (Northern Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	394
Murray Plains (Northern Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	586
Murray Plains (Northern Victoria)	Separate house		635
Murray Plains (Northern Victoria)	Separate house	0	4432
Murray Plains (Northern Victoria)	Separate house	1	15801
Narracan (Eastern Victoria)			12
Narracan (Eastern Victoria)		0	11
Narracan (Eastern Victoria)		1	77
Narracan (Eastern Victoria)	(Other)		11
Narracan (Eastern Victoria)	(Other)	0	86
Narracan (Eastern Victoria)	(Other)	1	86
Narracan (Eastern Victoria)	Flat/apartment		53
Narracan (Eastern Victoria)	Flat/apartment	0	422
Narracan (Eastern Victoria)	Flat/apartment	1	590
Narracan (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.		65
Narracan (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	472
Narracan (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	695
Narracan (Eastern Victoria)	Separate house		559
Narracan (Eastern Victoria)	Separate house	0	3378
Narracan (Eastern Victoria)	Separate house	1	17941
Narre Warren North (South-Eastern Metrop			3
Narre Warren North (South-Eastern Metrop		0	4
Narre Warren North (South-Eastern Metrop		1	15
Narre Warren North (South-Eastern Metrop	(Other)		5
Narre Warren North (South-Eastern Metrop	(Other)	0	51
Narre Warren North (South-Eastern Metrop	(Other)	1	65
Narre Warren North (South-Eastern Metrop	Flat/apartment		11
Narre Warren North (South-Eastern Metrop	Flat/apartment	0	69
Narre Warren North (South-Eastern Metrop	Flat/apartment	1	171
Narre Warren North (South-Eastern Metrop	Semi-detached, row/terrace house, townhouse etc.		46
Narre Warren North (South-Eastern Metrop	Semi-detached, row/terrace house, townhouse etc.	0	229
Narre Warren North (South-Eastern Metrop	Semi-detached, row/terrace house, townhouse etc.	1	1419
Narre Warren North (South-Eastern Metrop	Separate house		477
Narre Warren North (South-Eastern Metrop	Separate house	0	1757
Narre Warren North (South-Eastern Metrop	Separate house	1	16626
Narre Warren South (South-Eastern Metrop			5
Narre Warren South (South-Eastern Metrop		0	4
Narre Warren South (South-Eastern Metrop		1	12
Narre Warren South (South-Eastern Metrop	(Other)	0	3
Narre Warren South (South-Eastern Metrop	(Other)	1	21
Narre Warren South (South-Eastern Metrop	Flat/apartment		4
Narre Warren South (South-Eastern Metrop	Flat/apartment	0	34
Narre Warren South (South-Eastern Metrop	Flat/apartment	1	55
Narre Warren South (South-Eastern Metrop	Semi-detached, row/terrace house, townhouse etc.		29
Narre Warren South (South-Eastern Metrop	Semi-detached, row/terrace house, townhouse etc.	0	146
Narre Warren South (South-Eastern Metrop	Semi-detached, row/terrace house, townhouse etc.	1	1039
Narre Warren South (South-Eastern Metrop	Separate house		526
Narre Warren South (South-Eastern Metrop	Separate house	0	1653
Narre Warren South (South-Eastern Metrop	Separate house	1	20104
Nepean (Eastern Victoria)			3
Nepean (Eastern Victoria)		0	22
Nepean (Eastern Victoria)		1	57
Nepean (Eastern Victoria)	(Other)		22
Nepean (Eastern Victoria)	(Other)	0	103
Nepean (Eastern Victoria)	(Other)	1	136
Nepean (Eastern Victoria)	Flat/apartment		34
Nepean (Eastern Victoria)	Flat/apartment	0	126
Nepean (Eastern Victoria)	Flat/apartment	1	190
Nepean (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.		100
Nepean (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	0	526
Nepean (Eastern Victoria)	Semi-detached, row/terrace house, townhouse etc.	1	1351
Nepean (Eastern Victoria)	Separate house		651
