SED_NAME16	FamilyComposition	families_with_children
Caulfield (Southern Metropolitan)	Blended family with no other children present	76
Caulfield (Southern Metropolitan)	Intact family with no other children present	6884
Caulfield (Southern Metropolitan)	Intact family with other children present	35
Caulfield (Southern Metropolitan)	Other couple family with other children only	11
Caulfield (Southern Metropolitan)	Step family with no other children present	304
Caulfield (Southern Metropolitan)	Step family with other children present	3
Clarinda (South-Eastern Metropolitan)	Blended family with no other children present	184
Clarinda (South-Eastern Metropolitan)	Intact family with no other children present	8361
Clarinda (South-Eastern Metropolitan)	Intact family with other children present	150
Clarinda (South-Eastern Metropolitan)	Other couple family with other children only	40
Clarinda (South-Eastern Metropolitan)	Step family with no other children present	421
Clarinda (South-Eastern Metropolitan)	Step family with other children present	15
Cranbourne (South-Eastern Metropolitan)	Blended family with no other children present	617
Cranbourne (South-Eastern Metropolitan)	Blended family with other children present	9
Cranbourne (South-Eastern Metropolitan)	Intact family with no other children present	12668
Cranbourne (South-Eastern Metropolitan)	Intact family with other children present	188
Cranbourne (South-Eastern Metropolitan)	Other couple family with other children only	44
Cranbourne (South-Eastern Metropolitan)	Step family with no other children present	873
Cranbourne (South-Eastern Metropolitan)	Step family with other children present	20
Croydon (Eastern Metropolitan)	Blended family with no other children present	246
Croydon (Eastern Metropolitan)	Blended family with other children present	3
Croydon (Eastern Metropolitan)	Intact family with no other children present	6595
Croydon (Eastern Metropolitan)	Intact family with other children present	67
Croydon (Eastern Metropolitan)	Other couple family with other children only	23
Croydon (Eastern Metropolitan)	Step family with no other children present	485
Croydon (Eastern Metropolitan)	Step family with other children present	6
Dandenong (South-Eastern Metropolitan)	Blended family with no other children present	204
Dandenong (South-Eastern Metropolitan)	Blended family with other children present	6
Dandenong (South-Eastern Metropolitan)	Intact family with no other children present	8023
Dandenong (South-Eastern Metropolitan)	Intact family with other children present	145
Dandenong (South-Eastern Metropolitan)	Other couple family with other children only	34
Dandenong (South-Eastern Metropolitan)	Step family with no other children present	417
Dandenong (South-Eastern Metropolitan)	Step family with other children present	19
Eildon (Northern Victoria)	Blended family with no other children present	308
Eildon (Northern Victoria)	Blended family with other children present	4
Eildon (Northern Victoria)	Intact family with no other children present	5424
Eildon (Northern Victoria)	Intact family with other children present	52
Eildon (Northern Victoria)	Other couple family with other children only	22
Eildon (Northern Victoria)	Step family with no other children present	499
Eildon (Northern Victoria)	Step family with other children present	9
Eltham (Eastern Metropolitan)	Blended family with no other children present	169
Eltham (Eastern Metropolitan)	Intact family with no other children present	8200
Eltham (Eastern Metropolitan)	Intact family with other children present	45
Eltham (Eastern Metropolitan)	Other couple family with other children only	10
Eltham (Eastern Metropolitan)	Step family with no other children present	451
Eltham (Eastern Metropolitan)	Step family with other children present	4
Essendon (Western Metropolitan)	Blended family with no other children present	123
Essendon (Western Metropolitan)	Blended family with other children present	3
Essendon (Western Metropolitan)	Intact family with no other children present	7294
Essendon (Western Metropolitan)	Intact family with other children present	33
Essendon (Western Metropolitan)	Other couple family with other children only	12
Essendon (Western Metropolitan)	Step family with no other children present	312
Essendon (Western Metropolitan)	Step family with other children present	3
Euroa (Northern Victoria)	Blended family with no other children present	289
Euroa (Northern Victoria)	Blended family with other children present	3
Euroa (Northern Victoria)	Intact family with no other children present	5371
Euroa (Northern Victoria)	Intact family with other children present	57
Euroa (Northern Victoria)	Other couple family with other children only	44
Euroa (Northern Victoria)	Step family with no other children present	498
Euroa (Northern Victoria)	Step family with other children present	15
Evelyn (Eastern Victoria)	Blended family with no other children present	316
Evelyn (Eastern Victoria)	Blended family with other children present	3
Evelyn (Eastern Victoria)	Intact family with no other children present	6768
Evelyn (Eastern Victoria)	Intact family with other children present	66
Evelyn (Eastern Victoria)	Other couple family with other children only	26
Evelyn (Eastern Victoria)	Step family with no other children present	552
Evelyn (Eastern Victoria)	Step family with other children present	15
Ferntree Gully (Eastern Metropolitan)	Blended family with no other children present	194
Ferntree Gully (Eastern Metropolitan)	Blended family with other children present	3
Ferntree Gully (Eastern Metropolitan)	Intact family with no other children present	7058
Ferntree Gully (Eastern Metropolitan)	Intact family with other children present	81
Ferntree Gully (Eastern Metropolitan)	Other couple family with other children only	11
Ferntree Gully (Eastern Metropolitan)	Step family with no other children present	466
Ferntree Gully (Eastern Metropolitan)	Step family with other children present	6
Footscray (Western Metropolitan)	Blended family with no other children present	177
Footscray (Western Metropolitan)	Blended family with other children present	9
Footscray (Western Metropolitan)	Intact family with no other children present	7636
Footscray (Western Metropolitan)	Intact family with other children present	137
Footscray (Western Metropolitan)	Other couple family with other children only	40
Footscray (Western Metropolitan)	Step family with no other children present	402
Footscray (Western Metropolitan)	Step family with other children present	10
Forest Hill (Eastern Metropolitan)	Blended family with no other children present	163
Forest Hill (Eastern Metropolitan)	Intact family with no other children present	7715
Forest Hill (Eastern Metropolitan)	Intact family with other children present	87
Forest Hill (Eastern Metropolitan)	Other couple family with other children only	21
Forest Hill (Eastern Metropolitan)	Step family with no other children present	333
Forest Hill (Eastern Metropolitan)	Step family with other children present	8
Frankston (South-Eastern Metropolitan)	Blended family with no other children present	298
Frankston (South-Eastern Metropolitan)	Blended family with other children present	3
Frankston (South-Eastern Metropolitan)	Intact family with no other children present	5289
Frankston (South-Eastern Metropolitan)	Intact family with other children present	61
Frankston (South-Eastern Metropolitan)	Other couple family with other children only	23
Frankston (South-Eastern Metropolitan)	Step family with no other children present	561
Frankston (South-Eastern Metropolitan)	Step family with other children present	6
Geelong (Western Victoria)	Blended family with no other children present	169
Geelong (Western Victoria)	Intact family with no other children present	5657
Geelong (Western Victoria)	Intact family with other children present	21
Geelong (Western Victoria)	Other couple family with other children only	34
Geelong (Western Victoria)	Step family with no other children present	374
Geelong (Western Victoria)	Step family with other children present	9
Gembrook (Eastern Victoria)	Blended family with no other children present	390
Gembrook (Eastern Victoria)	Blended family with other children present	6
Gembrook (Eastern Victoria)	Intact family with no other children present	8240
Gembrook (Eastern Victoria)	Intact family with other children present	71
Gembrook (Eastern Victoria)	Other couple family with other children only	36
Gembrook (Eastern Victoria)	Step family with no other children present	639
Gembrook (Eastern Victoria)	Step family with other children present	5
Gippsland East (Eastern Victoria)	Blended family with no other children present	262
Gippsland East (Eastern Victoria)	Blended family with other children present	8
Gippsland East (Eastern Victoria)	Intact family with no other children present	4601
Gippsland East (Eastern Victoria)	Intact family with other children present	47
Gippsland East (Eastern Victoria)	Other couple family with other children only	54
Gippsland East (Eastern Victoria)	Step family with no other children present	389
Gippsland East (Eastern Victoria)	Step family with other children present	15
Gippsland South (Eastern Victoria)	Blended family with no other children present	270
Gippsland South (Eastern Victoria)	Blended family with other children present	5
Gippsland South (Eastern Victoria)	Intact family with no other children present	4804
Gippsland South (Eastern Victoria)	Intact family with other children present	48
Gippsland South (Eastern Victoria)	Other couple family with other children only	42
Gippsland South (Eastern Victoria)	Step family with no other children present	434
Gippsland South (Eastern Victoria)	Step family with other children present	3
Hastings (Eastern Victoria)	Blended family with no other children present	467
Hastings (Eastern Victoria)	Blended family with other children present	8
Hastings (Eastern Victoria)	Intact family with no other children present	7163
Hastings (Eastern Victoria)	Intact family with other children present	88
Hastings (Eastern Victoria)	Other couple family with other children only	37
Hastings (Eastern Victoria)	Step family with no other children present	754
Hastings (Eastern Victoria)	Step family with other children present	14
Hawthorn (Southern Metropolitan)	Blended family with no other children present	96
Hawthorn (Southern Metropolitan)	Blended family with other children present	3
Hawthorn (Southern Metropolitan)	Intact family with no other children present	7190
Hawthorn (Southern Metropolitan)	Intact family with other children present	38
Hawthorn (Southern Metropolitan)	Other couple family with other children only	5
Hawthorn (Southern Metropolitan)	Step family with no other children present	304
Hawthorn (Southern Metropolitan)	Step family with other children present	7
Ivanhoe (Eastern Metropolitan)	Blended family with no other children present	143
Ivanhoe (Eastern Metropolitan)	Intact family with no other children present	7604
Ivanhoe (Eastern Metropolitan)	Intact family with other children present	57
Ivanhoe (Eastern Metropolitan)	Other couple family with other children only	26
Ivanhoe (Eastern Metropolitan)	Step family with no other children present	346
Ivanhoe (Eastern Metropolitan)	Step family with other children present	3
Kew (Southern Metropolitan)	Blended family with no other children present	130
Kew (Southern Metropolitan)	Blended family with other children present	4
Kew (Southern Metropolitan)	Intact family with no other children present	8250
Kew (Southern Metropolitan)	Intact family with other children present	66
Kew (Southern Metropolitan)	Other couple family with other children only	6
Kew (Southern Metropolitan)	Step family with no other children present	326
Kew (Southern Metropolitan)	Step family with other children present	3
Keysborough (South-Eastern Metropolitan)	Blended family with no other children present	245
Keysborough (South-Eastern Metropolitan)	Blended family with other children present	7
Keysborough (South-Eastern Metropolitan)	Intact family with no other children present	8693
Keysborough (South-Eastern Metropolitan)	Intact family with other children present	227
Keysborough (South-Eastern Metropolitan)	Other couple family with other children only	31
Keysborough (South-Eastern Metropolitan)	Step family with no other children present	489
Keysborough (South-Eastern Metropolitan)	Step family with other children present	18
Kororoit (Western Metropolitan)	Blended family with no other children present	371
Kororoit (Western Metropolitan)	Blended family with other children present	11
Kororoit (Western Metropolitan)	Intact family with no other children present	10744
Kororoit (Western Metropolitan)	Intact family with other children present	238
Kororoit (Western Metropolitan)	Other couple family with other children only	57
Kororoit (Western Metropolitan)	Step family with no other children present	571
Kororoit (Western Metropolitan)	Step family with other children present	19
Lara (Western Victoria)	Blended family with no other children present	329
Lara (Western Victoria)	Blended family with other children present	4
Lara (Western Victoria)	Intact family with no other children present	5889
Lara (Western Victoria)	Intact family with other children present	65
Lara (Western Victoria)	Other couple family with other children only	40
Lara (Western Victoria)	Step family with no other children present	540
Lara (Western Victoria)	Step family with other children present	8
Lowan (Western Victoria)	Blended family with no other children present	268
Lowan (Western Victoria)	Blended family with other children present	3
Lowan (Western Victoria)	Intact family with no other children present	4885
Lowan (Western Victoria)	Intact family with other children present	36
Lowan (Western Victoria)	Other couple family with other children only	49
Lowan (Western Victoria)	Step family with no other children present	323
Lowan (Western Victoria)	Step family with other children present	8
Macedon (Northern Victoria)	Blended family with no other children present	242
Macedon (Northern Victoria)	Intact family with no other children present	6463
Macedon (Northern Victoria)	Intact family with other children present	43
Macedon (Northern Victoria)	Other couple family with other children only	29
Macedon (Northern Victoria)	Step family with no other children present	398
Macedon (Northern Victoria)	Step family with other children present	10
Malvern (Southern Metropolitan)	Blended family with no other children present	91
Malvern (Southern Metropolitan)	Intact family with no other children present	6423
Malvern (Southern Metropolitan)	Intact family with other children present	36
Malvern (Southern Metropolitan)	Other couple family with other children only	10
Malvern (Southern Metropolitan)	Step family with no other children present	287
Melbourne (Northern Metropolitan)	Blended family with no other children present	67
Melbourne (Northern Metropolitan)	Intact family with no other children present	4628
Melbourne (Northern Metropolitan)	Intact family with other children present	20
Melbourne (Northern Metropolitan)	Other couple family with other children only	15
Melbourne (Northern Metropolitan)	Step family with no other children present	241
Melton (Western Victoria)	Blended family with no other children present	524
Melton (Western Victoria)	Blended family with other children present	14
Melton (Western Victoria)	Intact family with no other children present	8157
Melton (Western Victoria)	Intact family with other children present	120
Melton (Western Victoria)	Other couple family with other children only	52
Melton (Western Victoria)	Step family with no other children present	720
Melton (Western Victoria)	Step family with other children present	18
Mildura (Northern Victoria)	Blended family with no other children present	300
Mildura (Northern Victoria)	Blended family with other children present	6
Mildura (Northern Victoria)	Intact family with no other children present	5423
Mildura (Northern Victoria)	Intact family with other children present	64
Mildura (Northern Victoria)	Other couple family with other children only	49
Mildura (Northern Victoria)	Step family with no other children present	461
Mildura (Northern Victoria)	Step family with other children present	16
Mill Park (Northern Metropolitan)	Blended family with no other children present	277
Mill Park (Northern Metropolitan)	Blended family with other children present	7
Mill Park (Northern Metropolitan)	Intact family with no other children present	9593
Mill Park (Northern Metropolitan)	Intact family with other children present	116
Mill Park (Northern Metropolitan)	Other couple family with other children only	29
Mill Park (Northern Metropolitan)	Step family with no other children present	482
Mill Park (Northern Metropolitan)	Step family with other children present	12
Monbulk (Eastern Victoria)	Blended family with no other children present	265
Monbulk (Eastern Victoria)	Intact family with no other children present	6911
Monbulk (Eastern Victoria)	Intact family with other children present	67
Monbulk (Eastern Victoria)	Other couple family with other children only	20
Monbulk (Eastern Victoria)	Step family with no other children present	575
Monbulk (Eastern Victoria)	Step family with other children present	9
Mordialloc (South-Eastern Metropolitan)	Blended family with no other children present	223
Mordialloc (South-Eastern Metropolitan)	Intact family with no other children present	7721
Mordialloc (South-Eastern Metropolitan)	Intact family with other children present	55
Mordialloc (South-Eastern Metropolitan)	Other couple family with other children only	13
Mordialloc (South-Eastern Metropolitan)	Step family with no other children present	463
Mordialloc (South-Eastern Metropolitan)	Step family with other children present	5
Mornington (Eastern Victoria)	Blended family with no other children present	238
Mornington (Eastern Victoria)	Blended family with other children present	3
Mornington (Eastern Victoria)	Intact family with no other children present	6948
Mornington (Eastern Victoria)	Intact family with other children present	37
Mornington (Eastern Victoria)	Other couple family with other children only	17
Mornington (Eastern Victoria)	Step family with no other children present	523
Mornington (Eastern Victoria)	Step family with other children present	9
Morwell (Eastern Victoria)	Blended family with no other children present	341
Morwell (Eastern Victoria)	Blended family with other children present	5
Morwell (Eastern Victoria)	Intact family with no other children present	5509
Morwell (Eastern Victoria)	Intact family with other children present	60
Morwell (Eastern Victoria)	Other couple family with other children only	54
Morwell (Eastern Victoria)	Step family with no other children present	539
Morwell (Eastern Victoria)	Step family with other children present	11
Mount Waverley (Eastern Metropolitan)	Blended family with no other children present	113
Mount Waverley (Eastern Metropolitan)	Blended family with other children present	3
Mount Waverley (Eastern Metropolitan)	Intact family with no other children present	8395
Mount Waverley (Eastern Metropolitan)	Intact family with other children present	121
Mount Waverley (Eastern Metropolitan)	Other couple family with other children only	9
Mount Waverley (Eastern Metropolitan)	Step family with no other children present	302
Mount Waverley (Eastern Metropolitan)	Step family with other children present	8
Mulgrave (South-Eastern Metropolitan)	Blended family with no other children present	154
Mulgrave (South-Eastern Metropolitan)	Intact family with no other children present	7598
Mulgrave (South-Eastern Metropolitan)	Intact family with other children present	124
Mulgrave (South-Eastern Metropolitan)	Other couple family with other children only	26
Mulgrave (South-Eastern Metropolitan)	Step family with no other children present	353
Mulgrave (South-Eastern Metropolitan)	Step family with other children present	11
Murray Plains (Northern Victoria)	Blended family with no other children present	274
Murray Plains (Northern Victoria)	Blended family with other children present	4
Murray Plains (Northern Victoria)	Intact family with no other children present	5491
Murray Plains (Northern Victoria)	Intact family with other children present	53
Murray Plains (Northern Victoria)	Other couple family with other children only	42
Murray Plains (Northern Victoria)	Step family with no other children present	403
Murray Plains (Northern Victoria)	Step family with other children present	4
Narracan (Eastern Victoria)	Blended family with no other children present	334
Narracan (Eastern Victoria)	Blended family with other children present	3
Narracan (Eastern Victoria)	Intact family with no other children present	6224
Narracan (Eastern Victoria)	Intact family with other children present	51
Narracan (Eastern Victoria)	Other couple family with other children only	48
Narracan (Eastern Victoria)	Step family with no other children present	532
Narracan (Eastern Victoria)	Step family with other children present	11
Narre Warren North (South-Eastern Metrop	Blended family with no other children present	252
Narre Warren North (South-Eastern Metrop	Blended family with other children present	5
Narre Warren North (South-Eastern Metrop	Intact family with no other children present	8610
Narre Warren North (South-Eastern Metrop	Intact family with other children present	140
Narre Warren North (South-Eastern Metrop	Other couple family with other children only	25
Narre Warren North (South-Eastern Metrop	Step family with no other children present	534
Narre Warren North (South-Eastern Metrop	Step family with other children present	12
Narre Warren South (South-Eastern Metrop	Blended family with no other children present	452
Narre Warren South (South-Eastern Metrop	Blended family with other children present	17
Narre Warren South (South-Eastern Metrop	Intact family with no other children present	11714
Narre Warren South (South-Eastern Metrop	Intact family with other children present	216
Narre Warren South (South-Eastern Metrop	Other couple family with other children only	31
Narre Warren South (South-Eastern Metrop	Step family with no other children present	702
Narre Warren South (South-Eastern Metrop	Step family with other children present	13
Nepean (Eastern Victoria)	Blended family with no other children present	205
Nepean (Eastern Victoria)	Intact family with no other children present	4680
Nepean (Eastern Victoria)	Intact family with other children present	30
Nepean (Eastern Victoria)	Other couple family with other children only	30
Nepean (Eastern Victoria)	Step family with no other children present	441
Nepean (Eastern Victoria)	Step family with other children present	7
Niddrie (Western Metropolitan)	Blended family with no other children present	158
Niddrie (Western Metropolitan)	Blended family with other children present	3
Niddrie (Western Metropolitan)	Intact family with no other children present	7425
Niddrie (Western Metropolitan)	Intact family with other children present	59
Niddrie (Western Metropolitan)	Other couple family with other children only	19
Niddrie (Western Metropolitan)	Step family with no other children present	380
Niddrie (Western Metropolitan)	Step family with other children present	6
Northcote (Northern Metropolitan)	Blended family with no other children present	96
Northcote (Northern Metropolitan)	Blended family with other children present	3
Northcote (Northern Metropolitan)	Intact family with no other children present	6566
Northcote (Northern Metropolitan)	Intact family with other children present	43
Northcote (Northern Metropolitan)	Other couple family with other children only	16
Northcote (Northern Metropolitan)	Step family with no other children present	307
Oakleigh (Southern Metropolitan)	Blended family with no other children present	86
Oakleigh (Southern Metropolitan)	Blended family with other children present	3
Oakleigh (Southern Metropolitan)	Intact family with no other children present	7462
Oakleigh (Southern Metropolitan)	Intact family with other children present	60
Oakleigh (Southern Metropolitan)	Other couple family with other children only	15
Oakleigh (Southern Metropolitan)	Step family with no other children present	294
Oakleigh (Southern Metropolitan)	Step family with other children present	3
Ovens Valley (Northern Victoria)	Blended family with no other children present	253
Ovens Valley (Northern Victoria)	Intact family with no other children present	4759
Ovens Valley (Northern Victoria)	Intact family with other children present	48
Ovens Valley (Northern Victoria)	Other couple family with other children only	48
Ovens Valley (Northern Victoria)	Step family with no other children present	360
Ovens Valley (Northern Victoria)	Step family with other children present	3
Pascoe Vale (Northern Metropolitan)	Blended family with no other children present	171
Pascoe Vale (Northern Metropolitan)	Intact family with no other children present	8282
Pascoe Vale (Northern Metropolitan)	Intact family with other children present	61
Pascoe Vale (Northern Metropolitan)	Other couple family with other children only	16
Pascoe Vale (Northern Metropolitan)	Step family with no other children present	362
Pascoe Vale (Northern Metropolitan)	Step family with other children present	4
Polwarth (Western Victoria)	Blended family with no other children present	267
Polwarth (Western Victoria)	Intact family with no other children present	5722
Polwarth (Western Victoria)	Intact family with other children present	37
Polwarth (Western Victoria)	Other couple family with other children only	25
Polwarth (Western Victoria)	Step family with no other children present	397
Polwarth (Western Victoria)	Step family with other children present	4
Prahran (Southern Metropolitan)	Blended family with no other children present	70
Prahran (Southern Metropolitan)	Intact family with no other children present	3628
Prahran (Southern Metropolitan)	Intact family with other children present	10
Prahran (Southern Metropolitan)	Other couple family with other children only	11
Prahran (Southern Metropolitan)	Step family with no other children present	249
Prahran (Southern Metropolitan)	Step family with other children present	5
Preston (Northern Metropolitan)	Blended family with no other children present	158
Preston (Northern Metropolitan)	Blended family with other children present	4
Preston (Northern Metropolitan)	Intact family with no other children present	6735
Preston (Northern Metropolitan)	Intact family with other children present	95
Preston (Northern Metropolitan)	Other couple family with other children only	14
Preston (Northern Metropolitan)	Step family with no other children present	307
Preston (Northern Metropolitan)	Step family with other children present	8
Richmond (Northern Metropolitan)	Blended family with no other children present	77
Richmond (Northern Metropolitan)	Intact family with no other children present	4320
Richmond (Northern Metropolitan)	Intact family with other children present	36
Richmond (Northern Metropolitan)	Other couple family with other children only	11
Richmond (Northern Metropolitan)	Step family with no other children present	299
Richmond (Northern Metropolitan)	Step family with other children present	3
Ringwood (Eastern Metropolitan)	Blended family with no other children present	154
Ringwood (Eastern Metropolitan)	Intact family with no other children present	7380
Ringwood (Eastern Metropolitan)	Intact family with other children present	56
Ringwood (Eastern Metropolitan)	Other couple family with other children only	8
Ringwood (Eastern Metropolitan)	Step family with no other children present	370
Ringwood (Eastern Metropolitan)	Step family with other children present	4
Ripon (Western Victoria)	Blended family with no other children present	303
Ripon (Western Victoria)	Blended family with other children present	6
Ripon (Western Victoria)	Intact family with no other children present	4963
Ripon (Western Victoria)	Intact family with other children present	51
Ripon (Western Victoria)	Other couple family with other children only	53
Ripon (Western Victoria)	Step family with no other children present	440
Ripon (Western Victoria)	Step family with other children present	5
Rowville (South-Eastern Metropolitan)	Blended family with no other children present	250
Rowville (South-Eastern Metropolitan)	Blended family with other children present	5
Rowville (South-Eastern Metropolitan)	Intact family with no other children present	8108
Rowville (South-Eastern Metropolitan)	Intact family with other children present	77
Rowville (South-Eastern Metropolitan)	Other couple family with other children only	24
Rowville (South-Eastern Metropolitan)	Step family with no other children present	452
Rowville (South-Eastern Metropolitan)	Step family with other children present	3
Sandringham (Southern Metropolitan)	Blended family with no other children present	137
Sandringham (Southern Metropolitan)	Intact family with no other children present	7177
Sandringham (Southern Metropolitan)	Intact family with other children present	36
Sandringham (Southern Metropolitan)	Other couple family with other children only	13
Sandringham (Southern Metropolitan)	Step family with no other children present	367
Shepparton (Northern Victoria)	Blended family with no other children present	314
Shepparton (Northern Victoria)	Blended family with other children present	6
Shepparton (Northern Victoria)	Intact family with no other children present	6412
Shepparton (Northern Victoria)	Intact family with other children present	77
Shepparton (Northern Victoria)	Other couple family with other children only	42
Shepparton (Northern Victoria)	Step family with no other children present	462
Shepparton (Northern Victoria)	Step family with other children present	12
South Barwon (Western Victoria)	Blended family with no other children present	287
South Barwon (Western Victoria)	Blended family with other children present	7
South Barwon (Western Victoria)	Intact family with no other children present	8014
South Barwon (Western Victoria)	Intact family with other children present	41
South Barwon (Western Victoria)	Other couple family with other children only	20
South Barwon (Western Victoria)	Step family with no other children present	498
South Barwon (Western Victoria)	Step family with other children present	13
South-West Coast (Western Victoria)	Blended family with no other children present	293
South-West Coast (Western Victoria)	Blended family with other children present	3
South-West Coast (Western Victoria)	Intact family with no other children present	5676
South-West Coast (Western Victoria)	Intact family with other children present	33
South-West Coast (Western Victoria)	Other couple family with other children only	46
South-West Coast (Western Victoria)	Step family with no other children present	435
South-West Coast (Western Victoria)	Step family with other children present	10
St Albans (Western Metropolitan)	Blended family with no other children present	263
St Albans (Western Metropolitan)	Blended family with other children present	8
St Albans (Western Metropolitan)	Intact family with no other children present	7507
St Albans (Western Metropolitan)	Intact family with other children present	185
St Albans (Western Metropolitan)	Other couple family with other children only	50
St Albans (Western Metropolitan)	Step family with no other children present	433
St Albans (Western Metropolitan)	Step family with other children present	16
Sunbury (Western Metropolitan)	Blended family with no other children present	292
Sunbury (Western Metropolitan)	Blended family with other children present	6
Sunbury (Western Metropolitan)	Intact family with no other children present	6918
Sunbury (Western Metropolitan)	Intact family with other children present	62
Sunbury (Western Metropolitan)	Other couple family with other children only	31
Sunbury (Western Metropolitan)	Step family with no other children present	493
Sunbury (Western Metropolitan)	Step family with other children present	10
Sydenham (Western Metropolitan)	Blended family with no other children present	264
Sydenham (Western Metropolitan)	Blended family with other children present	9
Sydenham (Western Metropolitan)	Intact family with no other children present	11297
Sydenham (Western Metropolitan)	Intact family with other children present	126
Sydenham (Western Metropolitan)	Other couple family with other children only	23
Sydenham (Western Metropolitan)	Step family with no other children present	519
Sydenham (Western Metropolitan)	Step family with other children present	7
Tarneit (Western Metropolitan)	Blended family with no other children present	406
Tarneit (Western Metropolitan)	Blended family with other children present	8
Tarneit (Western Metropolitan)	Intact family with no other children present	13468
Tarneit (Western Metropolitan)	Intact family with other children present	231
Tarneit (Western Metropolitan)	Other couple family with other children only	46
Tarneit (Western Metropolitan)	Step family with no other children present	653
Tarneit (Western Metropolitan)	Step family with other children present	26
Thomastown (Northern Metropolitan)	Blended family with no other children present	185
Thomastown (Northern Metropolitan)	Blended family with other children present	3
Thomastown (Northern Metropolitan)	Intact family with no other children present	8610
Thomastown (Northern Metropolitan)	Intact family with other children present	158
Thomastown (Northern Metropolitan)	Other couple family with other children only	29
Thomastown (Northern Metropolitan)	Step family with no other children present	306
Thomastown (Northern Metropolitan)	Step family with other children present	8
Warrandyte (Eastern Metropolitan)	Blended family with no other children present	176
Warrandyte (Eastern Metropolitan)	Blended family with other children present	3
Warrandyte (Eastern Metropolitan)	Intact family with no other children present	8548
Warrandyte (Eastern Metropolitan)	Intact family with other children present	78
Warrandyte (Eastern Metropolitan)	Other couple family with other children only	14
Warrandyte (Eastern Metropolitan)	Step family with no other children present	393
Warrandyte (Eastern Metropolitan)	Step family with other children present	6
Wendouree (Western Victoria)	Blended family with no other children present	255
Wendouree (Western Victoria)	Intact family with no other children present	5008
Wendouree (Western Victoria)	Intact family with other children present	35
Wendouree (Western Victoria)	Other couple family with other children only	28
Wendouree (Western Victoria)	Step family with no other children present	421
Wendouree (Western Victoria)	Step family with other children present	12
Werribee (Western Metropolitan)	Blended family with no other children present	366
Werribee (Western Metropolitan)	Blended family with other children present	14
Werribee (Western Metropolitan)	Intact family with no other children present	7962
Werribee (Western Metropolitan)	Intact family with other children present	111
Werribee (Western Metropolitan)	Other couple family with other children only	30
Werribee (Western Metropolitan)	Step family with no other children present	597
Werribee (Western Metropolitan)	Step family with other children present	15
Williamstown (Western Metropolitan)	Blended family with no other children present	148
Williamstown (Western Metropolitan)	Blended family with other children present	3
Williamstown (Western Metropolitan)	Intact family with no other children present	8383
Williamstown (Western Metropolitan)	Intact family with other children present	54
Williamstown (Western Metropolitan)	Other couple family with other children only	16
Williamstown (Western Metropolitan)	Step family with no other children present	393
Williamstown (Western Metropolitan)	Step family with other children present	3
Yan Yean (Northern Victoria)	Blended family with no other children present	486
Yan Yean (Northern Victoria)	Blended family with other children present	4
Yan Yean (Northern Victoria)	Intact family with no other children present	10695
Yan Yean (Northern Victoria)	Intact family with other children present	91
Yan Yean (Northern Victoria)	Other couple family with other children only	22
Yan Yean (Northern Victoria)	Step family with no other children present	718
Yan Yean (Northern Victoria)	Step family with other children present	10
Yuroke (Northern Metropolitan)	Blended family with no other children present	359
Yuroke (Northern Metropolitan)	Blended family with other children present	8
Yuroke (Northern Metropolitan)	Intact family with no other children present	12893
Yuroke (Northern Metropolitan)	Intact family with other children present	191
Yuroke (Northern Metropolitan)	Other couple family with other children only	40
Yuroke (Northern Metropolitan)	Step family with no other children present	601
Yuroke (Northern Metropolitan)	Step family with other children present	8
Albert	Blended family with no other children present	586
Albert	Blended family with other children present	11
Albert	Intact family with no other children present	8114
Albert	Intact family with other children present	119
Albert	Other couple family with other children only	43
Albert	Step family with no other children present	794
Albert	Step family with other children present	21
Algester	Blended family with no other children present	327
Algester	Blended family with other children present	10
Algester	Intact family with no other children present	6586
Algester	Intact family with other children present	124
Algester	Other couple family with other children only	32
Algester	Step family with no other children present	505
Algester	Step family with other children present	17
Ashgrove	Blended family with no other children present	161
Ashgrove	Intact family with no other children present	5696
Ashgrove	Intact family with other children present	26
Ashgrove	Other couple family with other children only	9
Ashgrove	Step family with no other children present	345
Ashgrove	Step family with other children present	7
Aspley	Blended family with no other children present	195
Aspley	Blended family with other children present	3
Aspley	Intact family with no other children present	5341
Aspley	Intact family with other children present	68
Aspley	Other couple family with other children only	18
Aspley	Step family with no other children present	360
Aspley	Step family with other children present	3
Barron River	Blended family with no other children present	262
Barron River	Blended family with other children present	8
Barron River	Intact family with no other children present	5988
Barron River	Intact family with other children present	65
Barron River	Other couple family with other children only	43
Barron River	Step family with no other children present	509
Barron River	Step family with other children present	16
Beaudesert	Blended family with no other children present	393
Beaudesert	Blended family with other children present	5
Beaudesert	Intact family with no other children present	5671
Beaudesert	Intact family with other children present	77
Beaudesert	Other couple family with other children only	67
Beaudesert	Step family with no other children present	574
Beaudesert	Step family with other children present	26
Brisbane Central	Blended family with no other children present	50
Brisbane Central	Intact family with no other children present	3054
Brisbane Central	Intact family with other children present	11
Brisbane Central	Other couple family with other children only	10
Brisbane Central	Step family with no other children present	205
Brisbane Central	Step family with other children present	3
Broadwater	Blended family with no other children present	165
Broadwater	Intact family with no other children present	3565
Broadwater	Intact family with other children present	33
Broadwater	Other couple family with other children only	19
Broadwater	Step family with no other children present	428
Broadwater	Step family with other children present	4
Buderim	Blended family with no other children present	234
Buderim	Intact family with no other children present	5277
Buderim	Intact family with other children present	53
Buderim	Other couple family with other children only	21
