SSC_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SSC11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC11386,3,4,3,0,7,0,0,15,5,0,3,3,5,0,0,21,4,4,7,4,3,0,0,25,123,126,80,40,72,16,5,459,0,0,0,0,0,0,0,0,136,138,98,47,82,11,5,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,18,28,18,10,14,7,0,101,5,3,3,0,0,0,0,8,26,38,17,12,14,7,0,121,163,177,112,60,100,22,4,633
SSC11387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,12,0,0,3,0,0,0,0,4,0,6,9,0,4,0,0,19,13,11,10,0,3,0,0,38
SSC11389,29,31,25,15,24,8,6,140,46,57,31,11,17,10,4,176,31,32,24,6,8,6,4,109,171,218,126,68,79,27,11,695,0,3,0,0,0,0,0,3,274,341,209,104,129,47,23,1119,0,0,0,0,3,0,0,8,5,8,5,3,3,0,0,22,3,3,3,0,5,0,0,14,11,7,14,7,19,9,4,76,0,0,0,0,0,0,0,7,20,22,22,10,28,8,9,118,296,357,226,117,161,57,31,1246
SSC11390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,9
SSC11391,31,34,13,22,23,9,6,137,35,28,13,16,15,6,3,108,20,27,8,3,8,0,0,69,355,309,158,97,104,34,19,1078,3,0,0,0,0,0,0,4,444,405,197,138,154,47,24,1401,0,6,10,4,10,3,3,29,0,3,3,3,8,4,4,26,0,0,7,0,3,0,0,10,27,65,48,23,23,7,7,207,0,0,0,0,0,0,0,0,34,78,60,34,44,16,11,271,478,483,257,172,196,58,35,1675
SSC11392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,3,0,0,18,0,0,0,0,0,0,0,0,6,0,7,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,9,0,6,4,3,0,0,29
SSC11393,18,18,20,10,16,10,4,96,20,30,14,11,13,11,3,105,18,26,12,10,13,3,0,91,208,273,146,123,158,65,38,1014,0,0,0,0,0,0,0,0,270,351,194,152,204,96,48,1302,0,3,3,0,3,0,0,6,0,4,0,3,0,0,0,14,0,0,0,0,3,0,0,7,13,28,24,22,25,7,7,125,0,0,0,0,0,0,0,3,13,34,34,23,30,7,8,155,283,389,227,173,237,98,53,1457
SSC11394,41,32,19,6,18,3,0,126,22,9,7,7,9,5,0,52,26,25,7,5,5,7,9,79,183,178,113,76,93,24,13,694,0,0,0,0,0,0,0,3,278,242,148,96,126,38,22,957,0,3,3,0,4,0,0,17,3,4,3,3,3,3,3,27,0,4,9,3,5,0,0,18,48,68,33,22,28,6,5,205,0,0,4,0,0,0,0,5,58,84,46,28,41,8,4,271,337,322,194,124,169,50,34,1226
SSC11395,23,9,6,0,0,0,0,45,11,9,0,0,0,3,0,18,25,6,4,3,0,0,0,38,46,25,3,3,4,0,0,84,0,0,0,0,0,0,0,0,100,45,15,8,9,3,3,186,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,3,3,3,0,0,0,6,3,3,5,0,0,0,0,16,0,0,0,0,0,0,0,0,7,9,5,4,0,3,4,35,105,55,23,12,11,11,8,222
SSC11396,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,6,3,0,4,0,0,20,0,0,0,0,0,0,0,0,3,12,6,3,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,9,7,15,7,4,5,0,0,40
SSC11397,124,122,75,43,60,34,16,483,35,15,12,0,3,0,0,73,30,22,6,4,0,0,0,62,80,41,12,5,6,3,3,146,3,0,0,0,0,0,0,3,267,201,112,56,70,40,23,764,8,3,7,9,6,3,0,40,7,0,3,0,0,0,0,16,0,3,0,0,0,0,0,3,10,8,7,4,0,0,0,30,3,3,0,4,0,0,0,13,26,20,20,16,11,3,5,93,295,219,125,74,81,39,24,861
SSC11398,0,4,0,0,0,0,0,4,3,0,0,0,0,0,0,9,0,0,5,3,4,0,0,10,41,42,31,15,30,0,3,163,0,0,0,0,0,0,0,4,39,49,36,20,35,3,3,183,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,18,14,6,3,0,0,58,0,0,0,0,0,0,0,3,11,19,17,7,10,0,0,68,52,71,54,25,43,3,3,254
SSC11399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,7,15,3,9,3,0,45,0,0,0,0,0,0,0,0,8,13,15,9,7,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,13,15,9,14,3,0,56
SSC11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,6,8,0,6,5,0,0,35,0,0,0,0,0,0,0,3,5,13,3,10,5,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,3,0,0,16,0,0,0,0,0,0,0,3,7,3,4,0,3,0,0,18,13,10,8,13,9,0,0,62
SSC11401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,7,6,3,0,0,0,0,19,0,0,0,0,0,0,0,0,10,6,3,3,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,10,9,3,3,3,0,0,30
SSC11402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,5,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,5,7,10,0,0,0,0,0,23
SSC11403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,17,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,18
SSC11404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,14
SSC11405,0,3,3,6,5,3,0,22,3,9,3,4,3,0,0,23,4,3,3,0,0,0,0,9,26,43,28,10,20,4,7,146,0,0,0,0,0,0,0,0,32,55,41,17,31,13,7,192,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,10,0,0,0,0,0,0,0,0,6,4,3,0,0,0,0,14,0,0,0,0,0,0,0,0,4,11,6,0,0,0,0,26,35,63,50,17,32,11,7,218
SSC11406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,3,0,3,0,0,18,0,0,0,0,0,0,0,0,11,4,3,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,11,7,3,0,3,0,0,18
SSC11407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,3,0,0,0,14,0,0,0,0,0,0,0,0,4,6,6,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,3,0,0,0,17
SSC11408,15,9,5,13,15,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,0,11,0,0,0,0,0,0,0,0,21,15,8,13,14,0,0,66,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,13,0,0,0,0,0,0,0,0,4,3,3,0,3,0,0,13,21,14,10,14,22,3,0,82
SSC11409,6,0,0,0,0,0,0,3,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,8,13,8,10,9,3,0,52,0,0,0,0,0,0,0,0,11,19,12,11,9,3,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,19,11,14,12,3,0,73
SSC11410,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SSC11411,11,16,4,3,3,0,0,33,6,13,5,5,3,3,0,43,11,9,4,3,7,0,0,30,89,83,70,46,49,0,0,332,0,0,0,0,0,0,0,0,117,123,83,58,62,7,0,445,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,4,0,0,0,0,5,11,28,23,7,11,6,0,86,0,0,0,0,0,0,0,0,11,28,28,9,14,3,0,96,133,150,111,66,75,13,0,539
SSC11412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,3,0,0,0,24,0,0,0,0,0,0,0,0,8,9,3,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,9,12,8,3,0,0,0,25
SSC11413,54,63,37,21,23,8,0,201,11,14,9,3,4,0,0,38,13,7,9,3,0,0,3,28,25,37,12,10,12,3,0,91,0,4,0,0,0,0,0,8,95,113,58,35,42,7,5,368,10,11,10,12,13,3,0,55,10,10,3,6,3,0,0,34,0,0,3,0,0,0,0,5,52,34,27,5,12,0,0,136,6,0,3,0,0,0,0,12,72,53,52,19,25,11,3,239,173,174,111,53,65,19,12,604
SSC11414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,12,15,5,4,0,0,51,0,0,0,0,0,0,0,0,14,16,17,6,5,4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,3,0,0,18,0,0,0,0,0,0,0,0,5,3,3,0,3,0,0,18,22,18,22,6,11,4,0,77
SSC11415,3,11,3,3,3,3,0,25,13,11,7,6,11,5,0,52,13,9,3,0,3,3,0,39,101,79,60,33,59,20,8,360,0,0,0,0,0,0,0,0,130,112,75,50,79,26,8,479,0,0,0,0,0,0,0,3,3,7,4,0,3,0,0,15,3,0,0,0,0,0,0,3,22,24,15,12,22,3,0,106,0,0,0,0,0,0,0,0,27,30,18,19,29,7,0,128,160,144,95,62,107,27,8,610
SSC11416,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,3,0,6,3,6,11,0,0,29,0,0,0,0,0,0,0,0,0,7,11,6,11,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,8,6,11,0,0,38
SSC11417,7,9,10,3,14,3,4,45,21,28,10,14,17,9,3,98,16,18,8,3,3,0,3,52,126,135,92,60,73,31,7,532,0,0,0,0,0,0,0,0,173,189,116,78,113,44,21,736,0,0,0,0,0,0,0,0,0,6,5,3,4,0,0,20,0,0,0,3,0,0,0,6,25,42,20,9,20,10,0,126,0,0,0,0,0,0,0,0,27,49,28,12,28,10,3,154,201,240,142,96,139,51,24,892
SSC11418,23,37,16,5,21,11,5,124,43,47,20,19,19,6,9,163,23,36,11,12,22,3,9,112,362,366,173,109,146,42,25,1221,7,0,3,0,0,0,0,10,452,490,225,142,200,66,36,1622,0,0,3,0,8,0,3,16,4,16,3,3,3,0,0,32,5,11,0,3,3,3,0,27,40,65,36,34,45,14,10,237,0,0,0,0,0,0,0,8,48,91,42,45,59,18,11,318,505,582,273,189,263,90,54,1938
SSC11419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,5,3,9,5,0,0,27,0,0,0,0,0,0,0,0,3,12,3,9,5,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,5,9,5,0,0,34
SSC11420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11421,58,41,24,24,25,24,18,214,15,23,13,8,12,11,4,79,14,10,7,6,3,3,0,46,24,40,20,22,29,18,4,157,0,0,0,0,0,0,0,0,112,111,64,57,70,60,24,493,7,8,11,4,7,3,7,53,3,0,3,3,3,0,0,14,0,3,0,5,0,0,0,10,0,12,8,0,3,0,0,25,3,0,0,0,0,0,0,4,14,21,18,16,13,5,7,101,128,132,84,72,88,65,31,597
SSC11422,90,94,37,30,47,31,14,335,120,111,69,44,53,16,5,409,105,116,39,23,19,23,9,327,839,983,507,301,343,135,54,3158,0,3,0,0,0,0,0,4,1152,1298,652,397,460,202,81,4239,7,5,3,5,9,9,7,41,9,35,18,14,12,6,3,95,10,20,11,9,12,7,3,62,60,103,77,69,74,28,14,430,3,3,0,0,0,0,0,7,87,167,107,98,110,50,25,642,1240,1463,756,494,571,253,110,4883
SSC11423,17,8,3,0,4,0,0,37,3,0,0,0,0,0,0,7,3,4,0,0,0,0,0,11,19,4,3,3,0,0,0,27,0,0,0,0,0,0,0,0,43,19,9,5,4,0,0,82,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,3,3,0,0,14,0,0,0,0,0,0,0,0,7,10,0,6,7,0,0,24,52,28,11,8,13,0,0,106
SSC11424,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC11425,23,26,7,0,8,7,3,82,24,23,13,3,4,0,0,64,20,16,3,3,3,3,0,55,90,61,24,24,18,12,5,226,0,0,0,0,0,0,0,0,160,129,43,29,32,16,7,427,0,0,4,0,3,0,3,12,3,4,3,0,3,0,0,14,8,4,3,0,3,0,5,21,0,5,10,4,4,0,0,26,0,0,0,0,0,0,0,0,9,16,19,10,11,0,3,73,168,144,59,38,45,21,17,496
SSC11426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,5,0,0,0,0,22,0,0,0,0,0,0,0,0,7,14,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,10,13,7,0,0,0,0,33
SSC11427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11428,869,906,439,275,438,341,188,3456,64,63,33,24,39,24,16,263,73,86,38,24,33,27,18,290,178,198,129,100,148,108,62,932,5,4,0,0,3,0,0,13,1184,1255,640,428,657,498,291,4949,43,105,55,67,87,89,49,487,3,8,11,8,16,7,0,39,3,13,3,4,10,4,4,35,16,26,19,11,25,10,4,112,0,0,0,0,0,0,0,5,72,142,86,97,130,104,58,689,1259,1393,725,522,790,604,343,5639
SSC11429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,3,6,0,0,34,0,0,0,0,0,0,0,0,6,8,9,8,6,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,6,14,10,8,10,0,0,43
SSC11430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
SSC11431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,18
SSC11432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,3,3,3,0,3,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,0,19
SSC11433,25,38,17,6,9,11,3,110,17,12,7,10,13,5,0,64,11,12,9,6,10,3,0,48,100,86,58,39,53,23,5,363,0,0,0,0,0,0,0,3,147,149,91,65,81,41,13,585,0,0,7,0,3,4,0,19,6,3,3,0,6,0,0,19,3,9,3,0,4,0,0,25,8,25,16,12,14,3,0,79,0,0,0,0,0,0,0,0,21,36,28,17,28,7,0,140,173,182,118,81,107,55,14,729
SSC11434,0,5,3,0,0,0,0,15,0,0,3,0,3,0,0,8,3,0,0,0,3,0,0,6,13,23,19,9,11,0,3,74,0,0,0,0,0,0,0,0,15,33,26,9,16,3,3,108,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,11,0,0,0,0,0,0,0,0,3,0,3,4,4,0,0,15,17,31,28,15,17,5,3,116
SSC11435,297,223,131,67,129,98,43,986,79,53,37,17,16,10,4,215,74,60,32,20,25,8,0,232,315,245,101,67,88,32,16,858,5,3,0,0,0,0,0,5,763,583,299,175,251,156,61,2290,10,17,21,16,27,17,16,129,14,7,11,9,4,3,0,51,7,12,0,4,3,3,3,34,21,53,29,31,29,6,5,181,3,4,0,0,0,0,0,11,54,95,65,61,72,35,26,408,820,675,367,237,326,188,89,2699
SSC11436,0,0,0,0,0,0,0,3,0,4,3,5,3,0,0,22,0,0,0,0,0,0,0,3,13,24,12,3,11,0,0,62,0,0,0,0,0,0,0,0,17,29,20,7,15,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,9,5,3,3,3,0,0,16,0,0,0,0,0,0,0,0,9,6,5,3,6,0,0,25,20,35,19,13,18,0,0,113
SSC11437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,6
SSC11438,67,75,56,37,62,49,35,375,31,28,20,10,20,13,4,118,32,29,21,9,18,5,3,115,176,197,121,92,125,48,17,781,3,0,0,0,0,0,0,4,306,328,207,151,234,114,61,1398,3,14,7,8,17,7,7,55,0,10,8,5,10,3,0,33,6,3,3,7,4,0,3,25,38,44,16,20,18,3,0,143,3,0,0,0,0,0,0,3,50,62,37,28,47,18,10,253,363,395,250,176,277,130,65,1653
SSC11439,103,75,16,9,11,9,4,216,72,45,16,11,13,4,3,157,55,32,11,5,8,0,0,116,137,90,29,19,27,11,4,315,0,0,0,0,0,0,0,0,367,230,74,43,58,21,9,813,6,0,10,8,4,3,0,31,8,8,9,0,3,0,3,33,3,4,3,0,4,3,0,22,10,14,3,9,11,6,3,59,0,3,0,0,0,0,0,3,25,39,25,18,29,12,5,145,392,268,96,58,85,39,18,959
SSC11440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,3,0,4,0,17,0,0,0,0,0,0,0,0,4,5,7,3,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,7,3,0,4,0,24
SSC11441,22,26,20,8,17,10,7,111,18,10,8,0,13,0,0,58,3,9,9,0,3,0,3,28,107,95,42,22,30,7,4,311,0,0,0,0,0,0,0,0,154,141,74,38,61,23,15,504,4,3,3,3,5,4,0,23,6,0,6,3,4,0,0,23,4,0,0,3,0,0,0,11,17,24,21,11,11,10,3,93,3,3,0,0,0,0,0,4,33,33,36,14,24,15,3,154,184,171,108,50,89,31,19,660
