LGA_NAME16	MaxSchoolingCompleted	adults
Migratory - Offshore - Shipping (NSW)	Year 10	93
Migratory - Offshore - Shipping (NSW)	Year 11	22
Migratory - Offshore - Shipping (NSW)	Year 12	125
Alpine (S)	Did not go to school	41
Alpine (S)	Year 8	655
Alpine (S)	Year 9	760
Alpine (S)	Year 10	2060
Alpine (S)	Year 11	1731
Alpine (S)	Year 12	3963
Ararat (RC)	Did not go to school	70
Ararat (RC)	Year 8	788
Ararat (RC)	Year 9	840
Ararat (RC)	Year 10	1718
Ararat (RC)	Year 11	1609
Ararat (RC)	Year 12	3151
Ballarat (C)	Did not go to school	261
Ballarat (C)	Year 8	4752
Ballarat (C)	Year 9	6480
Ballarat (C)	Year 10	14213
Ballarat (C)	Year 11	12199
Ballarat (C)	Year 12	37250
Banyule (C)	Did not go to school	735
Banyule (C)	Year 8	4994
Banyule (C)	Year 9	4945
Banyule (C)	Year 10	11068
Banyule (C)	Year 11	10962
Banyule (C)	Year 12	60819
Bass Coast (S)	Did not go to school	102
Bass Coast (S)	Year 8	1821
Bass Coast (S)	Year 9	2528
Bass Coast (S)	Year 10	5621
Bass Coast (S)	Year 11	4373
Bass Coast (S)	Year 12	10043
Baw Baw (S)	Did not go to school	147
Baw Baw (S)	Year 8	2487
Baw Baw (S)	Year 9	3471
Baw Baw (S)	Year 10	8078
Baw Baw (S)	Year 11	6490
Baw Baw (S)	Year 12	14964
Bayside (C)	Did not go to school	284
Bayside (C)	Year 8	2258
Bayside (C)	Year 9	2813
Bayside (C)	Year 10	6829
Bayside (C)	Year 11	7592
Bayside (C)	Year 12	53602
Benalla (RC)	Did not go to school	32
Benalla (RC)	Year 8	889
Benalla (RC)	Year 9	1032
Benalla (RC)	Year 10	2337
Benalla (RC)	Year 11	2063
Benalla (RC)	Year 12	4017
Boroondara (C)	Did not go to school	762
Boroondara (C)	Year 8	3682
Boroondara (C)	Year 9	3985
Boroondara (C)	Year 10	8221
Boroondara (C)	Year 11	9952
Boroondara (C)	Year 12	103517
Brimbank (C)	Did not go to school	5168
Brimbank (C)	Year 8	15328
Brimbank (C)	Year 9	8606
Brimbank (C)	Year 10	18385
Brimbank (C)	Year 11	14567
Brimbank (C)	Year 12	82929
Buloke (S)	Did not go to school	11
Buloke (S)	Year 8	485
Buloke (S)	Year 9	522
Buloke (S)	Year 10	1014
Buloke (S)	Year 11	933
Buloke (S)	Year 12	1562
Campaspe (S)	Did not go to school	98
Campaspe (S)	Year 8	2467
Campaspe (S)	Year 9	3170
Campaspe (S)	Year 10	6705
Campaspe (S)	Year 11	5322
Campaspe (S)	Year 12	9315
Cardinia (S)	Did not go to school	282
Cardinia (S)	Year 8	3431
Cardinia (S)	Year 9	5631
Cardinia (S)	Year 10	14102
Cardinia (S)	Year 11	11304
Cardinia (S)	Year 12	32258
Casey (C)	Did not go to school	3966
Casey (C)	Year 8	12155
Casey (C)	Year 9	14610
Casey (C)	Year 10	35533
Casey (C)	Year 11	28440
Casey (C)	Year 12	121074
Central Goldfields (S)	Did not go to school	39
Central Goldfields (S)	Year 8	1082
Central Goldfields (S)	Year 9	1253
Central Goldfields (S)	Year 10	2534
Central Goldfields (S)	Year 11	1690
Central Goldfields (S)	Year 12	3223
Colac-Otway (S)	Did not go to school	146
Colac-Otway (S)	Year 8	1333
Colac-Otway (S)	Year 9	1552
Colac-Otway (S)	Year 10	3320
Colac-Otway (S)	Year 11	2999
Colac-Otway (S)	Year 12	6162
Corangamite (S)	Did not go to school	34
Corangamite (S)	Year 8	1089
Corangamite (S)	Year 9	1338
Corangamite (S)	Year 10	2524
Corangamite (S)	Year 11	2406
Corangamite (S)	Year 12	4270
Darebin (C)	Did not go to school	2397
Darebin (C)	Year 8	9662
Darebin (C)	Year 9	4688
Darebin (C)	Year 10	9461
Darebin (C)	Year 11	8952
Darebin (C)	Year 12	77273
East Gippsland (S)	Did not go to school	132
East Gippsland (S)	Year 8	2702
East Gippsland (S)	Year 9	3656
East Gippsland (S)	Year 10	8135
East Gippsland (S)	Year 11	6007
East Gippsland (S)	Year 12	12675
Frankston (C)	Did not go to school	467
Frankston (C)	Year 8	4952
Frankston (C)	Year 9	7843
Frankston (C)	Year 10	19783
Frankston (C)	Year 11	15995
Frankston (C)	Year 12	50610
Gannawarra (S)	Did not go to school	25
Gannawarra (S)	Year 8	861
Gannawarra (S)	Year 9	1077
Gannawarra (S)	Year 10	2013
Gannawarra (S)	Year 11	1621
Gannawarra (S)	Year 12	2317
Glen Eira (C)	Did not go to school	707
Glen Eira (C)	Year 8	4343
Glen Eira (C)	Year 9	3628
Glen Eira (C)	Year 10	8564
Glen Eira (C)	Year 11	8856
Glen Eira (C)	Year 12	82002
Glenelg (S)	Did not go to school	48
Glenelg (S)	Year 8	1390
Glenelg (S)	Year 9	1661
Glenelg (S)	Year 10	3532
Glenelg (S)	Year 11	3025
Glenelg (S)	Year 12	4938
Golden Plains (S)	Did not go to school	23
Golden Plains (S)	Year 8	851
Golden Plains (S)	Year 9	1412
Golden Plains (S)	Year 10	3367
Golden Plains (S)	Year 11	3065
Golden Plains (S)	Year 12	6789
Greater Bendigo (C)	Did not go to school	482
Greater Bendigo (C)	Year 8	5503
Greater Bendigo (C)	Year 9	7618
Greater Bendigo (C)	Year 10	17193
Greater Bendigo (C)	Year 11	13244
Greater Bendigo (C)	Year 12	36822
Greater Dandenong (C)	Did not go to school	6449
Greater Dandenong (C)	Year 8	11508
Greater Dandenong (C)	Year 9	6745
Greater Dandenong (C)	Year 10	14154
Greater Dandenong (C)	Year 11	10020
Greater Dandenong (C)	Year 12	65840
Greater Geelong (C)	Did not go to school	1193
Greater Geelong (C)	Year 8	11437
Greater Geelong (C)	Year 9	13657
Greater Geelong (C)	Year 10	30745
Greater Geelong (C)	Year 11	28796
Greater Geelong (C)	Year 12	88621
Greater Shepparton (C)	Did not go to school	776
Greater Shepparton (C)	Year 8	4067
Greater Shepparton (C)	Year 9	4505
Greater Shepparton (C)	Year 10	9522
Greater Shepparton (C)	Year 11	7927
Greater Shepparton (C)	Year 12	18473
Hepburn (S)	Did not go to school	26
Hepburn (S)	Year 8	752
Hepburn (S)	Year 9	974
Hepburn (S)	Year 10	2184
Hepburn (S)	Year 11	1865
Hepburn (S)	Year 12	5591
Hindmarsh (S)	Did not go to school	47
Hindmarsh (S)	Year 8	564
Hindmarsh (S)	Year 9	537
Hindmarsh (S)	Year 10	991
Hindmarsh (S)	Year 11	842
Hindmarsh (S)	Year 12	1396
Hobsons Bay (C)	Did not go to school	1040
Hobsons Bay (C)	Year 8	4977
Hobsons Bay (C)	Year 9	3644
Hobsons Bay (C)	Year 10	8767
Hobsons Bay (C)	Year 11	7702
Hobsons Bay (C)	Year 12	40822
Horsham (RC)	Did not go to school	38
Horsham (RC)	Year 8	1157
Horsham (RC)	Year 9	1383
Horsham (RC)	Year 10	2904
Horsham (RC)	Year 11	3165
Horsham (RC)	Year 12	5894
Hume (C)	Did not go to school	3741
Hume (C)	Year 8	11933
Hume (C)	Year 9	10044
Hume (C)	Year 10	21701
Hume (C)	Year 11	17923
Hume (C)	Year 12	76736
Indigo (S)	Did not go to school	33
Indigo (S)	Year 8	689
Indigo (S)	Year 9	954
Indigo (S)	Year 10	2779
Indigo (S)	Year 11	2011
Indigo (S)	Year 12	5271
Kingston (C) (Vic.)	Did not go to school	1322
Kingston (C) (Vic.)	Year 8	6566
Kingston (C) (Vic.)	Year 9	6083
Kingston (C) (Vic.)	Year 10	14970
Kingston (C) (Vic.)	Year 11	14098
Kingston (C) (Vic.)	Year 12	72874
Knox (C)	Did not go to school	908
Knox (C)	Year 8	5460
Knox (C)	Year 9	7738
Knox (C)	Year 10	18744
Knox (C)	Year 11	17100
Knox (C)	Year 12	69888
Latrobe (C) (Vic.)	Did not go to school	315
Latrobe (C) (Vic.)	Year 8	4362
Latrobe (C) (Vic.)	Year 9	5229
Latrobe (C) (Vic.)	Year 10	12115
Latrobe (C) (Vic.)	Year 11	10314
Latrobe (C) (Vic.)	Year 12	21063
Loddon (S)	Did not go to school	18
Loddon (S)	Year 8	625
Loddon (S)	Year 9	672
Loddon (S)	Year 10	1289
Loddon (S)	Year 11	1047
Loddon (S)	Year 12	1724
Macedon Ranges (S)	Did not go to school	89
Macedon Ranges (S)	Year 8	1516
Macedon Ranges (S)	Year 9	2326
Macedon Ranges (S)	Year 10	5689
Macedon Ranges (S)	Year 11	5571
Macedon Ranges (S)	Year 12	18328
Manningham (C)	Did not go to school	1169
Manningham (C)	Year 8	5608
Manningham (C)	Year 9	4419
Manningham (C)	Year 10	9562
Manningham (C)	Year 11	9253
Manningham (C)	Year 12	61959
Mansfield (S)	Did not go to school	10
Mansfield (S)	Year 8	449
Mansfield (S)	Year 9	596
Mansfield (S)	Year 10	1267
Mansfield (S)	Year 11	1156
Mansfield (S)	Year 12	2809
Maribyrnong (C)	Did not go to school	1385
Maribyrnong (C)	Year 8	3819
Maribyrnong (C)	Year 9	2351
Maribyrnong (C)	Year 10	5174
Maribyrnong (C)	Year 11	4584
Maribyrnong (C)	Year 12	45698
Maroondah (C)	Did not go to school	747
Maroondah (C)	Year 8	4065
Maroondah (C)	Year 9	4996
Maroondah (C)	Year 10	12667
Maroondah (C)	Year 11	12313
Maroondah (C)	Year 12	49677
Melbourne (C)	Did not go to school	794
Melbourne (C)	Year 8	1620
Melbourne (C)	Year 9	1707
Melbourne (C)	Year 10	3944
Melbourne (C)	Year 11	5474
Melbourne (C)	Year 12	97978
Melton (C)	Did not go to school	1145
Melton (C)	Year 8	5334
Melton (C)	Year 9	6583
Melton (C)	Year 10	15858
Melton (C)	Year 11	12589
Melton (C)	Year 12	51932
Mildura (RC)	Did not go to school	470
Mildura (RC)	Year 8	3647
Mildura (RC)	Year 9	4098
Mildura (RC)	Year 10	9109
Mildura (RC)	Year 11	6529
Mildura (RC)	Year 12	14623
Mitchell (S)	Did not go to school	104
Mitchell (S)	Year 8	1835
Mitchell (S)	Year 9	2930
Mitchell (S)	Year 10	6391
Mitchell (S)	Year 11	5096
Mitchell (S)	Year 12	12580
Moira (S)	Did not go to school	109
Moira (S)	Year 8	2006
Moira (S)	Year 9	2464
Moira (S)	Year 10	5395
Moira (S)	Year 11	3942
Moira (S)	Year 12	7222
Monash (C)	Did not go to school	1788
Monash (C)	Year 8	7683
Monash (C)	Year 9	5876
Monash (C)	Year 10	12767
Monash (C)	Year 11	11913
Monash (C)	Year 12	104354
Moonee Valley (C)	Did not go to school	1384
Moonee Valley (C)	Year 8	6267
Moonee Valley (C)	Year 9	4042
Moonee Valley (C)	Year 10	9187
Moonee Valley (C)	Year 11	9266
Moonee Valley (C)	Year 12	59324
Moorabool (S)	Did not go to school	71
Moorabool (S)	Year 8	1347
Moorabool (S)	Year 9	2122
Moorabool (S)	Year 10	4971
Moorabool (S)	Year 11	4216
Moorabool (S)	Year 12	10456
Moreland (C)	Did not go to school	2535
Moreland (C)	Year 8	10477
Moreland (C)	Year 9	5005
Moreland (C)	Year 10	10918
Moreland (C)	Year 11	9988
Moreland (C)	Year 12	86790
Mornington Peninsula (S)	Did not go to school	468
Mornington Peninsula (S)	Year 8	6178
Mornington Peninsula (S)	Year 9	9124
Mornington Peninsula (S)	Year 10	23115
Mornington Peninsula (S)	Year 11	19273
Mornington Peninsula (S)	Year 12	59354
Mount Alexander (S)	Did not go to school	38
Mount Alexander (S)	Year 8	782
Mount Alexander (S)	Year 9	1112
Mount Alexander (S)	Year 10	2497
Mount Alexander (S)	Year 11	2202
Mount Alexander (S)	Year 12	6922
Moyne (S)	Did not go to school	38
Moyne (S)	Year 8	842
Moyne (S)	Year 9	1115
Moyne (S)	Year 10	2370
Moyne (S)	Year 11	2345
Moyne (S)	Year 12	5036
Murrindindi (S)	Did not go to school	42
Murrindindi (S)	Year 8	700
Murrindindi (S)	Year 9	1016
Murrindindi (S)	Year 10	2366
Murrindindi (S)	Year 11	1794
Murrindindi (S)	Year 12	4319
Nillumbik (S)	Did not go to school	120
Nillumbik (S)	Year 8	1417
Nillumbik (S)	Year 9	2496
Nillumbik (S)	Year 10	6380
Nillumbik (S)	Year 11	7066
Nillumbik (S)	Year 12	29268
Northern Grampians (S)	Did not go to school	84
Northern Grampians (S)	Year 8	859
Northern Grampians (S)	Year 9	1020
Northern Grampians (S)	Year 10	1913
Northern Grampians (S)	Year 11	1632
Northern Grampians (S)	Year 12	3205
Port Phillip (C)	Did not go to school	429
Port Phillip (C)	Year 8	2140
Port Phillip (C)	Year 9	1749
Port Phillip (C)	Year 10	5237
Port Phillip (C)	Year 11	5731
Port Phillip (C)	Year 12	63550
Pyrenees (S)	Did not go to school	13
Pyrenees (S)	Year 8	463
Pyrenees (S)	Year 9	602
Pyrenees (S)	Year 10	1224
Pyrenees (S)	Year 11	939
Pyrenees (S)	Year 12	1825
Queenscliffe (B)	Did not go to school	7
Queenscliffe (B)	Year 8	84
Queenscliffe (B)	Year 9	115
Queenscliffe (B)	Year 10	326
Queenscliffe (B)	Year 11	370
Queenscliffe (B)	Year 12	1345
South Gippsland (S)	Did not go to school	65
South Gippsland (S)	Year 8	1543
South Gippsland (S)	Year 9	2111
South Gippsland (S)	Year 10	4761
South Gippsland (S)	Year 11	4283
South Gippsland (S)	Year 12	8364
Southern Grampians (S)	Did not go to school	40
Southern Grampians (S)	Year 8	1012
Southern Grampians (S)	Year 9	1195
Southern Grampians (S)	Year 10	2576
Southern Grampians (S)	Year 11	2367
Southern Grampians (S)	Year 12	4745
Stonnington (C)	Did not go to school	467
Stonnington (C)	Year 8	2208
Stonnington (C)	Year 9	1813
Stonnington (C)	Year 10	4576
Stonnington (C)	Year 11	5374
Stonnington (C)	Year 12	68704
Strathbogie (S)	Did not go to school	17
Strathbogie (S)	Year 8	643
Strathbogie (S)	Year 9	817
Strathbogie (S)	Year 10	1814
Strathbogie (S)	Year 11	1356
Strathbogie (S)	Year 12	3112
Surf Coast (S)	Did not go to school	44
Surf Coast (S)	Year 8	767
Surf Coast (S)	Year 9	1173
Surf Coast (S)	Year 10	3123
Surf Coast (S)	Year 11	3671
Surf Coast (S)	Year 12	12886
Swan Hill (RC)	Did not go to school	254
Swan Hill (RC)	Year 8	1333
Swan Hill (RC)	Year 9	1434
Swan Hill (RC)	Year 10	3135
Swan Hill (RC)	Year 11	2534
Swan Hill (RC)	Year 12	5329
Towong (S)	Did not go to school	7
Towong (S)	Year 8	374
Towong (S)	Year 9	439
Towong (S)	Year 10	1179
Towong (S)	Year 11	888
Towong (S)	Year 12	1626
Wangaratta (RC)	Did not go to school	81
Wangaratta (RC)	Year 8	1613
Wangaratta (RC)	Year 9	1911
Wangaratta (RC)	Year 10	4719
Wangaratta (RC)	Year 11	3875
Wangaratta (RC)	Year 12	8620
Warrnambool (C)	Did not go to school	90
Warrnambool (C)	Year 8	1795
Warrnambool (C)	Year 9	2237
Warrnambool (C)	Year 10	4733
Warrnambool (C)	Year 11	4672
Warrnambool (C)	Year 12	11287
Wellington (S)	Did not go to school	125
Wellington (S)	Year 8	2340
Wellington (S)	Year 9	3254
Wellington (S)	Year 10	7263
Wellington (S)	Year 11	6041
Wellington (S)	Year 12	11857
West Wimmera (S)	Did not go to school	8
West Wimmera (S)	Year 8	256
West Wimmera (S)	Year 9	287
West Wimmera (S)	Year 10	701
West Wimmera (S)	Year 11	651
West Wimmera (S)	Year 12	1054
Whitehorse (C)	Did not go to school	1583
Whitehorse (C)	Year 8	5898
Whitehorse (C)	Year 9	5632
Whitehorse (C)	Year 10	11862
Whitehorse (C)	Year 11	12138
Whitehorse (C)	Year 12	90323
Whittlesea (C)	Did not go to school	2874
Whittlesea (C)	Year 8	12084
Whittlesea (C)	Year 9	9001
Whittlesea (C)	Year 10	19867
Whittlesea (C)	Year 11	16875
Whittlesea (C)	Year 12	84023
Wodonga (C)	Did not go to school	172
Wodonga (C)	Year 8	1658
Wodonga (C)	Year 9	2427
Wodonga (C)	Year 10	7181
Wodonga (C)	Year 11	4650
Wodonga (C)	Year 12	12455
Wyndham (C)	Did not go to school	1867
Wyndham (C)	Year 8	7218
Wyndham (C)	Year 9	8716
Wyndham (C)	Year 10	21399
Wyndham (C)	Year 11	17202
Wyndham (C)	Year 12	95006
Yarra (C)	Did not go to school	955
Yarra (C)	Year 8	2475
Yarra (C)	Year 9	1565
Yarra (C)	Year 10	3534
Yarra (C)	Year 11	3922
Yarra (C)	Year 12	56621
Yarra Ranges (S)	Did not go to school	487
Yarra Ranges (S)	Year 8	5300
Yarra Ranges (S)	Year 9	8858
Yarra Ranges (S)	Year 10	21792
Yarra Ranges (S)	Year 11	19497
Yarra Ranges (S)	Year 12	57063
Yarriambiack (S)	Did not go to school	33
Yarriambiack (S)	Year 8	548
Yarriambiack (S)	Year 9	539
Yarriambiack (S)	Year 10	1142
Yarriambiack (S)	Year 11	1086
Yarriambiack (S)	Year 12	1596
Unincorporated Vic	Did not go to school	3
Unincorporated Vic	Year 8	13
Unincorporated Vic	Year 9	8
Unincorporated Vic	Year 10	58
Unincorporated Vic	Year 11	62
Unincorporated Vic	Year 12	392
No usual address (Vic.)	Did not go to school	85
No usual address (Vic.)	Year 8	238
No usual address (Vic.)	Year 9	404
No usual address (Vic.)	Year 10	776
No usual address (Vic.)	Year 11	627
No usual address (Vic.)	Year 12	2698
Migratory - Offshore - Shipping (Vic.)	Year 10	10
Migratory - Offshore - Shipping (Vic.)	Year 11	4
Migratory - Offshore - Shipping (Vic.)	Year 12	13
Aurukun (S)	Did not go to school	15
Aurukun (S)	Year 8	220
Aurukun (S)	Year 9	111
Aurukun (S)	Year 10	315
Aurukun (S)	Year 11	62
Aurukun (S)	Year 12	148
Balonne (S)	Did not go to school	23
Balonne (S)	Year 8	304
Balonne (S)	Year 9	174
Balonne (S)	Year 10	929
Balonne (S)	Year 11	268
Balonne (S)	Year 12	1357
Banana (S)	Did not go to school	56
Banana (S)	Year 8	1012
Banana (S)	Year 9	648
Banana (S)	Year 10	3150
Banana (S)	Year 11	880
Banana (S)	Year 12	4261
Barcaldine (R)	Did not go to school	9
Barcaldine (R)	Year 8	244
Barcaldine (R)	Year 9	114
Barcaldine (R)	Year 10	662
Barcaldine (R)	Year 11	144
Barcaldine (R)	Year 12	898
Barcoo (S)	Did not go to school	3
Barcoo (S)	Year 8	35
Barcoo (S)	Year 9	10
Barcoo (S)	Year 10	63
Barcoo (S)	Year 11	23
Barcoo (S)	Year 12	76
Blackall-Tambo (R)	Did not go to school	12
Blackall-Tambo (R)	Year 8	203
Blackall-Tambo (R)	Year 9	116
Blackall-Tambo (R)	Year 10	474
Blackall-Tambo (R)	Year 11	99
Blackall-Tambo (R)	Year 12	541
Boulia (S)	Year 8	36
Boulia (S)	Year 9	30
Boulia (S)	Year 10	94
Boulia (S)	Year 11	16
Boulia (S)	Year 12	110
Brisbane (C)	Did not go to school	5906
Brisbane (C)	Year 8	30845
Brisbane (C)	Year 9	25295
Brisbane (C)	Year 10	128877
Brisbane (C)	Year 11	50857
Brisbane (C)	Year 12	621352
Bulloo (S)	Did not go to school	4
Bulloo (S)	Year 8	29
Bulloo (S)	Year 9	21
Bulloo (S)	Year 10	80
Bulloo (S)	Year 11	26
Bulloo (S)	Year 12	99
Bundaberg (R)	Did not go to school	322
Bundaberg (R)	Year 8	6587
Bundaberg (R)	Year 9	5768
Bundaberg (R)	Year 10	23692
Bundaberg (R)	Year 11	6254
Bundaberg (R)	Year 12	26229
Burdekin (S)	Did not go to school	76
Burdekin (S)	Year 8	1343
Burdekin (S)	Year 9	881
Burdekin (S)	Year 10	4382
Burdekin (S)	Year 11	1169
Burdekin (S)	Year 12	4765
Burke (S)	Did not go to school	3
Burke (S)	Year 8	29
Burke (S)	Year 9	11
Burke (S)	Year 10	51
Burke (S)	Year 11	22
Burke (S)	Year 12	93
Cairns (R)	Did not go to school	923
Cairns (R)	Year 8	4862
Cairns (R)	Year 9	5565
Cairns (R)	Year 10	26907
Cairns (R)	Year 11	11471
Cairns (R)	Year 12	61172
Carpentaria (S)	Did not go to school	22
Carpentaria (S)	Year 8	145
Carpentaria (S)	Year 9	122
Carpentaria (S)	Year 10	468
Carpentaria (S)	Year 11	134
Carpentaria (S)	Year 12	440
Cassowary Coast (R)	Did not go to school	165
Cassowary Coast (R)	Year 8	1922
Cassowary Coast (R)	Year 9	1410
Cassowary Coast (R)	Year 10	6462
Cassowary Coast (R)	Year 11	2114
Cassowary Coast (R)	Year 12	8487
Central Highlands (R) (Qld)	Did not go to school	69
Central Highlands (R) (Qld)	Year 8	880
Central Highlands (R) (Qld)	Year 9	966
Central Highlands (R) (Qld)	Year 10	5343
Central Highlands (R) (Qld)	Year 11	1763
Central Highlands (R) (Qld)	Year 12	8929
Charters Towers (R)	Did not go to school	42
Charters Towers (R)	Year 8	888
Charters Towers (R)	Year 9	713
Charters Towers (R)	Year 10	2601
Charters Towers (R)	Year 11	784
Charters Towers (R)	Year 12	3098
Cherbourg (S)	Did not go to school	26
Cherbourg (S)	Year 8	85
Cherbourg (S)	Year 9	126
Cherbourg (S)	Year 10	251
Cherbourg (S)	Year 11	131
Cherbourg (S)	Year 12	128
Cloncurry (S)	Did not go to school	15
Cloncurry (S)	Year 8	170
Cloncurry (S)	Year 9	128
Cloncurry (S)	Year 10	577
Cloncurry (S)	Year 11	192
Cloncurry (S)	Year 12	941
Cook (S)	Did not go to school	25
Cook (S)	Year 8	191
Cook (S)	Year 9	199
Cook (S)	Year 10	836
Cook (S)	Year 11	274
Cook (S)	Year 12	1265
Croydon (S)	Did not go to school	3
Croydon (S)	Year 8	10
Croydon (S)	Year 9	11
Croydon (S)	Year 10	68
Croydon (S)	Year 11	15
Croydon (S)	Year 12	52
Diamantina (S)	Year 8	14
Diamantina (S)	Year 9	14
Diamantina (S)	Year 10	48
Diamantina (S)	Year 11	21
Diamantina (S)	Year 12	103
Doomadgee (S)	Did not go to school	7
Doomadgee (S)	Year 8	109
Doomadgee (S)	Year 9	74
Doomadgee (S)	Year 10	390
Doomadgee (S)	Year 11	105
Doomadgee (S)	Year 12	129
Douglas (S)	Did not go to school	20
Douglas (S)	Year 8	352
Douglas (S)	Year 9	426
Douglas (S)	Year 10	2051
Douglas (S)	Year 11	938
Douglas (S)	Year 12	4411
Etheridge (S)	Did not go to school	11
Etheridge (S)	Year 8	79
Etheridge (S)	Year 9	53
Etheridge (S)	Year 10	209
Etheridge (S)	Year 11	39
Etheridge (S)	Year 12	167
Flinders (S) (Qld)	Did not go to school	17
Flinders (S) (Qld)	Year 8	148
Flinders (S) (Qld)	Year 9	79
Flinders (S) (Qld)	Year 10	381
Flinders (S) (Qld)	Year 11	91
Flinders (S) (Qld)	Year 12	420
Fraser Coast (R)	Did not go to school	297
Fraser Coast (R)	Year 8	6619
Fraser Coast (R)	Year 9	6596
Fraser Coast (R)	Year 10	27043
Fraser Coast (R)	Year 11	7037
Fraser Coast (R)	Year 12	27591
Gladstone (R)	Did not go to school	114
Gladstone (R)	Year 8	2176
Gladstone (R)	Year 9	2644
Gladstone (R)	Year 10	13458
Gladstone (R)	Year 11	4854
Gladstone (R)	Year 12	20046
Gold Coast (C)	Did not go to school	1492
Gold Coast (C)	Year 8	13783
Gold Coast (C)	Year 9	21673
Gold Coast (C)	Year 10	100129
Gold Coast (C)	Year 11	39425
Gold Coast (C)	Year 12	236229
Goondiwindi (R)	Did not go to school	29
Goondiwindi (R)	Year 8	658
Goondiwindi (R)	Year 9	507
Goondiwindi (R)	Year 10	2277
Goondiwindi (R)	Year 11	580
Goondiwindi (R)	Year 12	3230
Gympie (R)	Did not go to school	132
Gympie (R)	Year 8	3208
Gympie (R)	Year 9	3046
Gympie (R)	Year 10	12816
Gympie (R)	Year 11	3435
Gympie (R)	Year 12	13591
Hinchinbrook (S)	Did not go to school	51
Hinchinbrook (S)	Year 8	1063
Hinchinbrook (S)	Year 9	556
Hinchinbrook (S)	Year 10	2677
Hinchinbrook (S)	Year 11	750
Hinchinbrook (S)	Year 12	3112
Hope Vale (S)	Did not go to school	3
Hope Vale (S)	Year 8	80
Hope Vale (S)	Year 9	66
Hope Vale (S)	Year 10	192
Hope Vale (S)	Year 11	92
Hope Vale (S)	Year 12	151
Ipswich (C)	Did not go to school	912
Ipswich (C)	Year 8	8102
Ipswich (C)	Year 9	7996
Ipswich (C)	Year 10	36383
Ipswich (C)	Year 11	12670
Ipswich (C)	Year 12	69279
Isaac (R)	Did not go to school	33
Isaac (R)	Year 8	523
Isaac (R)	Year 9	707
Isaac (R)	Year 10	3856
Isaac (R)	Year 11	1256
Isaac (R)	Year 12	6503
Kowanyama (S)	Did not go to school	4
Kowanyama (S)	Year 8	96
Kowanyama (S)	Year 9	37
Kowanyama (S)	Year 10	246
Kowanyama (S)	Year 11	131
Kowanyama (S)	Year 12	149
Livingstone (S)	Did not go to school	64
Livingstone (S)	Year 8	1762
Livingstone (S)	Year 9	1677
Livingstone (S)	Year 10	8384
Livingstone (S)	Year 11	2479
Livingstone (S)	Year 12	11462
Lockhart River (S)	Did not go to school	10
Lockhart River (S)	Year 8	48
Lockhart River (S)	Year 9	62
Lockhart River (S)	Year 10	121
Lockhart River (S)	Year 11	72
Lockhart River (S)	Year 12	107
Lockyer Valley (R)	Did not go to school	150
Lockyer Valley (R)	Year 8	2617
Lockyer Valley (R)	Year 9	2059
Lockyer Valley (R)	Year 10	8822
Lockyer Valley (R)	Year 11	2245
Lockyer Valley (R)	Year 12	11532
Logan (C)	Did not go to school	2521
Logan (C)	Year 8	11650
Logan (C)	Year 9	13489
Logan (C)	Year 10	57864
Logan (C)	Year 11	20716
Logan (C)	Year 12	109864
Longreach (R)	Did not go to school	9
Longreach (R)	Year 8	190
Longreach (R)	Year 9	156
Longreach (R)	Year 10	729
Longreach (R)	Year 11	209
Longreach (R)	Year 12	1289
Mackay (R)	Did not go to school	253
Mackay (R)	Year 8	5428
Mackay (R)	Year 9	5128
Mackay (R)	Year 10	25902
Mackay (R)	Year 11	8261
Mackay (R)	Year 12	36659
McKinlay (S)	Year 8	43
McKinlay (S)	Year 9	40
McKinlay (S)	Year 10	207
McKinlay (S)	Year 11	43
McKinlay (S)	Year 12	270
Mapoon (S)	Year 8	31
Mapoon (S)	Year 9	26
Mapoon (S)	Year 10	85
Mapoon (S)	Year 11	25
Mapoon (S)	Year 12	44
Maranoa (R)	Did not go to school	60
Maranoa (R)	Year 8	753
Maranoa (R)	Year 9	502
Maranoa (R)	Year 10	2751
Maranoa (R)	Year 11	676
Maranoa (R)	Year 12	3919
Mareeba (S)	Did not go to school	131
Mareeba (S)	Year 8	1438
Mareeba (S)	Year 9	953
Mareeba (S)	Year 10	4241
Mareeba (S)	Year 11	1336
Mareeba (S)	Year 12	6304
Moreton Bay (R)	Did not go to school	1061
Moreton Bay (R)	Year 8	15874
Moreton Bay (R)	Year 9	18176
Moreton Bay (R)	Year 10	85909
Moreton Bay (R)	Year 11	28676
Moreton Bay (R)	Year 12	160484
Mornington (S)	Did not go to school	16
Mornington (S)	Year 8	85
Mornington (S)	Year 9	53
Mornington (S)	Year 10	233
Mornington (S)	Year 11	108
Mornington (S)	Year 12	194
Mount Isa (C)	Did not go to school	78
Mount Isa (C)	Year 8	623
Mount Isa (C)	Year 9	714
Mount Isa (C)	Year 10	3352
Mount Isa (C)	Year 11	1175
Mount Isa (C)	Year 12	6300
Murweh (S)	Did not go to school	27
Murweh (S)	Year 8	353
Murweh (S)	Year 9	226
Murweh (S)	Year 10	932
Murweh (S)	Year 11	255
Murweh (S)	Year 12	1248
Napranum (S)	Did not go to school	4
Napranum (S)	Year 8	64
Napranum (S)	Year 9	74
Napranum (S)	Year 10	202
Napranum (S)	Year 11	117
Napranum (S)	Year 12	179
Noosa (S)	Did not go to school	92
