LGA_NAME16	OnlyEnglishSpokenHome	persons
Mount Isa (C)	0	1602
Mount Isa (C)	1	14855
Murweh (S)	0	185
Murweh (S)	1	3831
Napranum (S)	0	324
Napranum (S)	1	608
Noosa (S)	0	2646
Noosa (S)	1	46145
North Burnett (R)	0	499
North Burnett (R)	1	8803
Northern Peninsula Area (R)	0	2237
Northern Peninsula Area (R)	1	400
Palm Island (S)	0	142
Palm Island (S)	1	2238
Paroo (S)	0	19
Paroo (S)	1	1503
Pormpuraaw (S)	0	452
Pormpuraaw (S)	1	268
Quilpie (S)	0	9
Quilpie (S)	1	764
Redland (C)	0	9772
Redland (C)	1	130749
Richmond (S)	0	18
Richmond (S)	1	710
Rockhampton (R)	0	4624
Rockhampton (R)	1	69520
Scenic Rim (R)	0	1282
Scenic Rim (R)	1	35640
Somerset (R)	0	1012
Somerset (R)	1	21618
South Burnett (R)	0	792
South Burnett (R)	1	28966
Southern Downs (R)	0	1536
Southern Downs (R)	1	31421
Sunshine Coast (R)	0	14832
Sunshine Coast (R)	1	262574
Tablelands (R)	0	1064
Tablelands (R)	1	21661
Toowoomba (R)	0	10471
Toowoomba (R)	1	139538
Torres (S)	0	1689
Torres (S)	1	1335
Torres Strait Island (R)	0	3901
Torres Strait Island (R)	1	243
Townsville (C)	0	13417
Townsville (C)	1	159081
Weipa (T)	0	331
Weipa (T)	1	3173
Western Downs (R)	0	1181
Western Downs (R)	1	28657
Whitsunday (R)	0	2127
Whitsunday (R)	1	27373
Winton (S)	0	19
Winton (S)	1	1004
Woorabinda (S)	0	90
Woorabinda (S)	1	817
Wujal Wujal (S)	0	186
Wujal Wujal (S)	1	88
Yarrabah (S)	0	303
Yarrabah (S)	1	2165
No usual address (Qld)	0	1293
No usual address (Qld)	1	8697
Migratory - Offshore - Shipping (Qld)	0	21
Migratory - Offshore - Shipping (Qld)	1	110
Adelaide (C)	0	8011
Adelaide (C)	1	11637
Adelaide Hills (DC)	0	2171
Adelaide Hills (DC)	1	34930
Alexandrina (DC)	0	660
Alexandrina (DC)	1	23629
Anangu Pitjantjatjara (AC)	0	1718
Anangu Pitjantjatjara (AC)	1	292
Barossa (DC)	0	540
Barossa (DC)	1	21788
Barunga West (DC)	0	18
Barunga West (DC)	1	2337
Berri and Barmera (DC)	0	960
Berri and Barmera (DC)	1	8858
Burnside (C)	0	10604
Burnside (C)	1	31629
Campbelltown (C) (SA)	0	17358
Campbelltown (C) (SA)	1	31131
Ceduna (DC)	0	231
Ceduna (DC)	1	2723
Charles Sturt (C)	0	30471
Charles Sturt (C)	1	75979
Clare and Gilbert Valleys (DC)	0	197
Clare and Gilbert Valleys (DC)	1	8273
Cleve (DC)	0	20
Cleve (DC)	1	1634
Coober Pedy (DC)	0	431
Coober Pedy (DC)	1	1059
Copper Coast (DC)	0	300
Copper Coast (DC)	1	12742
Elliston (DC)	0	7
Elliston (DC)	1	986
Flinders Ranges (DC)	0	59
Flinders Ranges (DC)	1	1458
Franklin Harbour (DC)	0	10
Franklin Harbour (DC)	1	1152
Gawler (T)	0	993
Gawler (T)	1	20809
Goyder (DC)	0	81
Goyder (DC)	1	3775
Grant (DC)	0	158
Grant (DC)	1	7118
Holdfast Bay (C)	0	3423
Holdfast Bay (C)	1	29888
Kangaroo Island (DC)	0	160
Kangaroo Island (DC)	1	4113
Karoonda East Murray (DC)	0	20
Karoonda East Murray (DC)	1	1003
Kimba (DC)	0	20
Kimba (DC)	1	979
Kingston (DC) (SA)	0	26
Kingston (DC) (SA)	1	2159
Light (RegC)	0	353
Light (RegC)	1	13715
Lower Eyre Peninsula (DC)	0	75
Lower Eyre Peninsula (DC)	1	4868
Loxton Waikerie (DC)	0	497
Loxton Waikerie (DC)	1	10272
Mallala (DC)	0	398
Mallala (DC)	1	7826
Maralinga Tjarutja (AC)	0	7
Maralinga Tjarutja (AC)	1	12
Marion (C)	0	16684
Marion (C)	1	68154
Mid Murray (DC)	0	205
Mid Murray (DC)	1	7618
Mitcham (C)	0	9542
Mitcham (C)	1	52904
Mount Barker (DC)	0	1359
Mount Barker (DC)	1	30357
Mount Gambier (C)	0	1589
Mount Gambier (C)	1	23266
Mount Remarkable (DC)	0	58
Mount Remarkable (DC)	1	2614
Murray Bridge (RC)	0	2096
Murray Bridge (RC)	1	17158
Naracoorte and Lucindale (DC)	0	791
Naracoorte and Lucindale (DC)	1	7103
Northern Areas (DC)	0	52
Northern Areas (DC)	1	4210
Norwood Payneham St Peters (C)	0	9375
