LGA_NAME16	Sex	persons
Shark Bay (S)	F	433
Shark Bay (S)	M	510
South Perth (C)	F	21440
South Perth (C)	M	20544
Stirling (C)	F	107542
Stirling (C)	M	102664
Subiaco (C)	F	9934
Subiaco (C)	M	9421
Swan (C)	F	67372
Swan (C)	M	66480
Tammin (S)	F	185
Tammin (S)	M	217
Three Springs (S)	F	290
Three Springs (S)	M	306
Toodyay (S)	F	2188
Toodyay (S)	M	2245
Trayning (S)	F	153
Trayning (S)	M	191
Upper Gascoyne (S)	F	119
Upper Gascoyne (S)	M	158
Victoria Park (T)	F	17562
Victoria Park (T)	M	17429
Victoria Plains (S)	F	417
Victoria Plains (S)	M	494
Vincent (C)	F	16891
Vincent (C)	M	16807
Wagin (S)	F	941
Wagin (S)	M	907
Wandering (S)	F	219
Wandering (S)	M	226
Wanneroo (C)	F	95199
Wanneroo (C)	M	93015
Waroona (S)	F	2076
Waroona (S)	M	2071
West Arthur (S)	F	392
West Arthur (S)	M	418
Westonia (S)	F	121
Westonia (S)	M	182
Wickepin (S)	F	343
Wickepin (S)	M	378
Williams (S)	F	458
Williams (S)	M	521
Wiluna (S)	F	237
Wiluna (S)	M	510
Wongan-Ballidu (S)	F	621
Wongan-Ballidu (S)	M	708
Woodanilling (S)	F	194
Woodanilling (S)	M	215
Wyalkatchem (S)	F	238
Wyalkatchem (S)	M	271
Wyndham-East Kimberley (S)	F	3618
Wyndham-East Kimberley (S)	M	3534
Yalgoo (S)	F	120
Yalgoo (S)	M	221
Yilgarn (S)	F	471
Yilgarn (S)	M	731
York (S)	F	1793
York (S)	M	1806
No usual address (WA)	F	2415
No usual address (WA)	M	3532
Migratory - Offshore - Shipping (WA)	F	26
Migratory - Offshore - Shipping (WA)	M	408
Break O'Day (M)	F	3008
Break O'Day (M)	M	3096
Brighton (M)	F	8456
Brighton (M)	M	8061
Burnie (C)	F	9809
Burnie (C)	M	9084
Central Coast (M) (Tas.)	F	10983
Central Coast (M) (Tas.)	M	10385
Central Highlands (M) (Tas.)	F	998
Central Highlands (M) (Tas.)	M	1141
Circular Head (M)	F	3876
Circular Head (M)	M	4046
Clarence (C)	F	28234
Clarence (C)	M	26587
Derwent Valley (M)	F	5011
Derwent Valley (M)	M	5015
Devonport (C)	F	13031
Devonport (C)	M	11668
Dorset (M)	F	3298
Dorset (M)	M	3318
Flinders (M) (Tas.)	F	412
Flinders (M) (Tas.)	M	490
George Town (M)	F	3391
George Town (M)	M	3375
Glamorgan/Spring Bay (M)	F	2159
Glamorgan/Spring Bay (M)	M	2238
Glenorchy (C)	F	23863
Glenorchy (C)	M	22388
Hobart (C)	F	25866
Hobart (C)	M	24573
Huon Valley (M)	F	8119
Huon Valley (M)	M	8079
Kentish (M)	F	2993
Kentish (M)	M	3133
King Island (M)	F	776
King Island (M)	M	810
Kingborough (M)	F	18525
Kingborough (M)	M	17327
Latrobe (M) (Tas.)	F	5447
Latrobe (M) (Tas.)	M	5256
Launceston (C)	F	33706
Launceston (C)	M	31569
Meander Valley (M)	F	9857
Meander Valley (M)	M	9425
Northern Midlands (M)	F	6458
Northern Midlands (M)	M	6359
Sorell (M)	F	7282
Sorell (M)	M	7134
Southern Midlands (M)	F	2930
Southern Midlands (M)	M	3116
Tasman (M)	F	1154
Tasman (M)	M	1222
Waratah/Wynyard (M)	F	6861
Waratah/Wynyard (M)	M	6719
West Coast (M)	F	1992
West Coast (M)	M	2159
West Tamar (M)	F	11589
West Tamar (M)	M	11131
No usual address (Tas.)	F	393
No usual address (Tas.)	M	524
Migratory - Offshore - Shipping (Tas.)	F	21
Migratory - Offshore - Shipping (Tas.)	M	49
Alice Springs (T)	F	12621
Alice Springs (T)	M	12131
Barkly (R)	F	3231
Barkly (R)	M	3425
Belyuen (S)	F	71
Belyuen (S)	M	92
Central Desert (R)	F	1894
Central Desert (R)	M	1780
Coomalie (S)	F	623
Coomalie (S)	M	693
Darwin (C)	F	38355
Darwin (C)	M	40446
East Arnhem (R)	F	4551
East Arnhem (R)	M	4478
Katherine (T)	F	4658
Katherine (T)	M	5062
Litchfield (M)	F	9689
Litchfield (M)	M	14169
MacDonnell (R)	F	2891
MacDonnell (R)	M	3144
Palmerston (C)	F	16749
Palmerston (C)	M	17042
Roper Gulf (R)	F	3182
Roper Gulf (R)	M	3320
Tiwi Islands (R)	F	1226
Tiwi Islands (R)	M	1227
Victoria Daly (R)	F	1369
Victoria Daly (R)	M	1445
Wagait (S)	F	226
Wagait (S)	M	237
West Arnhem (R)	F	3032
West Arnhem (R)	M	3159
West Daly (R)	F	1613
West Daly (R)	M	1554
Unincorporated NT	F	3132
Unincorporated NT	M	3778
No usual address (NT)	F	1157
No usual address (NT)	M	1332
Migratory - Offshore - Shipping (NT)	F	14
Migratory - Offshore - Shipping (NT)	M	61
Unincorporated ACT	F	201425
Unincorporated ACT	M	195432
No usual address (ACT)	F	228
No usual address (ACT)	M	312
Unincorp. Other Territories	F	2090
Unincorp. Other Territories	M	2432
No usual address (OT)	F	28
No usual address (OT)	M	21
Migratory - Offshore - Shipping (OT)	M	3
