LGA_NAME16	Age	HoursHousekeeping	Sex	adults
Federation (A)	35-44	5-14	M	194
Federation (A)	35-44	15-29	F	136
Federation (A)	35-44	15-29	M	50
Federation (A)	35-44	30+	F	150
Federation (A)	35-44	30+	M	31
Federation (A)	45-54		F	66
Federation (A)	45-54		M	90
Federation (A)	45-54	0	F	74
Federation (A)	45-54	0	M	134
Federation (A)	45-54	<5	F	72
Federation (A)	45-54	<5	M	204
Federation (A)	45-54	5-14	F	256
Federation (A)	45-54	5-14	M	246
Federation (A)	45-54	15-29	F	191
Federation (A)	45-54	15-29	M	63
Federation (A)	45-54	30+	F	121
Federation (A)	45-54	30+	M	29
Federation (A)	55-64		F	92
Federation (A)	55-64		M	86
Federation (A)	55-64	0	F	163
Federation (A)	55-64	0	M	225
Federation (A)	55-64	<5	F	69
Federation (A)	55-64	<5	M	217
Federation (A)	55-64	5-14	F	265
Federation (A)	55-64	5-14	M	271
Federation (A)	55-64	15-29	F	194
Federation (A)	55-64	15-29	M	77
Federation (A)	55-64	30+	F	173
Federation (A)	55-64	30+	M	50
Federation (A)	65-74		F	114
Federation (A)	65-74		M	143
Federation (A)	65-74	0	F	195
Federation (A)	65-74	0	M	288
Federation (A)	65-74	<5	F	65
Federation (A)	65-74	<5	M	135
Federation (A)	65-74	5-14	F	166
Federation (A)	65-74	5-14	M	199
Federation (A)	65-74	15-29	F	172
Federation (A)	65-74	15-29	M	118
Federation (A)	65-74	30+	F	201
Federation (A)	65-74	30+	M	87
Federation (A)	75-84		F	123
Federation (A)	75-84		M	118
Federation (A)	75-84	0	F	172
Federation (A)	75-84	0	M	180
Federation (A)	75-84	<5	F	35
Federation (A)	75-84	<5	M	57
Federation (A)	75-84	5-14	F	86
Federation (A)	75-84	5-14	M	76
Federation (A)	75-84	15-29	F	84
Federation (A)	75-84	15-29	M	51
Federation (A)	75-84	30+	F	74
Federation (A)	75-84	30+	M	47
Federation (A)	85+		F	64
Federation (A)	85+		M	58
Federation (A)	85+	0	F	74
Federation (A)	85+	0	M	66
Federation (A)	85+	<5	F	16
Federation (A)	85+	<5	M	20
Federation (A)	85+	5-14	F	32
Federation (A)	85+	5-14	M	21
Federation (A)	85+	15-29	F	16
Federation (A)	85+	15-29	M	9
Federation (A)	85+	30+	F	20
Federation (A)	85+	30+	M	12
Forbes (A)	15-19		F	45
Forbes (A)	15-19		M	43
Forbes (A)	15-19	0	F	108
Forbes (A)	15-19	0	M	128
Forbes (A)	15-19	<5	F	106
Forbes (A)	15-19	<5	M	129
Forbes (A)	15-19	5-14	F	35
Forbes (A)	15-19	5-14	M	25
Forbes (A)	15-19	15-29	F	4
Forbes (A)	15-19	30+	F	3
Forbes (A)	20-24		F	23
Forbes (A)	20-24		M	41
Forbes (A)	20-24	0	F	30
Forbes (A)	20-24	0	M	82
Forbes (A)	20-24	<5	F	49
Forbes (A)	20-24	<5	M	94
Forbes (A)	20-24	5-14	F	59
Forbes (A)	20-24	5-14	M	46
Forbes (A)	20-24	15-29	F	17
Forbes (A)	20-24	15-29	M	13
Forbes (A)	20-24	30+	F	25
Forbes (A)	20-24	30+	M	3
Forbes (A)	25-34		F	46
Forbes (A)	25-34		M	53
Forbes (A)	25-34	0	F	56
Forbes (A)	25-34	0	M	74
Forbes (A)	25-34	<5	F	81
Forbes (A)	25-34	<5	M	148
Forbes (A)	25-34	5-14	F	143
Forbes (A)	25-34	5-14	M	145
Forbes (A)	25-34	15-29	F	89
Forbes (A)	25-34	15-29	M	39
Forbes (A)	25-34	30+	F	123
Forbes (A)	25-34	30+	M	12
Forbes (A)	35-44		F	40
Forbes (A)	35-44		M	44
Forbes (A)	35-44	0	F	41
Forbes (A)	35-44	0	M	97
Forbes (A)	35-44	<5	F	35
Forbes (A)	35-44	<5	M	133
Forbes (A)	35-44	5-14	F	144
Forbes (A)	35-44	5-14	M	147
Forbes (A)	35-44	15-29	F	100
Forbes (A)	35-44	15-29	M	48
Forbes (A)	35-44	30+	F	124
Forbes (A)	35-44	30+	M	24
Forbes (A)	45-54		F	68
Forbes (A)	45-54		M	74
Forbes (A)	45-54	0	F	56
Forbes (A)	45-54	0	M	136
Forbes (A)	45-54	<5	F	61
Forbes (A)	45-54	<5	M	155
Forbes (A)	45-54	5-14	F	209
Forbes (A)	45-54	5-14	M	171
Forbes (A)	45-54	15-29	F	132
Forbes (A)	45-54	15-29	M	44
Forbes (A)	45-54	30+	F	103
Forbes (A)	45-54	30+	M	31
Forbes (A)	55-64		F	55
Forbes (A)	55-64		M	69
Forbes (A)	55-64	0	F	93
Forbes (A)	55-64	0	M	137
Forbes (A)	55-64	<5	F	43
Forbes (A)	55-64	<5	M	149
Forbes (A)	55-64	5-14	F	168
Forbes (A)	55-64	5-14	M	177
Forbes (A)	55-64	15-29	F	123
Forbes (A)	55-64	15-29	M	58
Forbes (A)	55-64	30+	F	105
Forbes (A)	55-64	30+	M	34
Forbes (A)	65-74		F	73
Forbes (A)	65-74		M	89
Forbes (A)	65-74	0	F	106
Forbes (A)	65-74	0	M	174
Forbes (A)	65-74	<5	F	30
Forbes (A)	65-74	<5	M	87
Forbes (A)	65-74	5-14	F	95
Forbes (A)	65-74	5-14	M	122
Forbes (A)	65-74	15-29	F	117
Forbes (A)	65-74	15-29	M	70
Forbes (A)	65-74	30+	F	109
Forbes (A)	65-74	30+	M	49
Forbes (A)	75-84		F	73
Forbes (A)	75-84		M	69
Forbes (A)	75-84	0	F	122
Forbes (A)	75-84	0	M	104
Forbes (A)	75-84	<5	F	28
Forbes (A)	75-84	<5	M	46
Forbes (A)	75-84	5-14	F	57
Forbes (A)	75-84	5-14	M	64
Forbes (A)	75-84	15-29	F	46
Forbes (A)	75-84	15-29	M	29
Forbes (A)	75-84	30+	F	56
Forbes (A)	75-84	30+	M	28
Forbes (A)	85+		F	28
Forbes (A)	85+		M	24
Forbes (A)	85+	0	F	92
Forbes (A)	85+	0	M	48
Forbes (A)	85+	<5	F	7
Forbes (A)	85+	<5	M	7
Forbes (A)	85+	5-14	F	20
Forbes (A)	85+	5-14	M	12
Forbes (A)	85+	15-29	F	11
Forbes (A)	85+	15-29	M	4
Forbes (A)	85+	30+	F	7
Forbes (A)	85+	30+	M	8
Georges River (A)	15-19		F	252
Georges River (A)	15-19		M	270
Georges River (A)	15-19	0	F	1763
Georges River (A)	15-19	0	M	2177
Georges River (A)	15-19	<5	F	1848
Georges River (A)	15-19	<5	M	1737
Georges River (A)	15-19	5-14	F	421
Georges River (A)	15-19	5-14	M	343
Georges River (A)	15-19	15-29	F	51
Georges River (A)	15-19	15-29	M	21
Georges River (A)	15-19	30+	F	20
Georges River (A)	15-19	30+	M	8
Georges River (A)	20-24		F	280
Georges River (A)	20-24		M	306
Georges River (A)	20-24	0	F	1994
Georges River (A)	20-24	0	M	2846
Georges River (A)	20-24	<5	F	1836
Georges River (A)	20-24	<5	M	1998
Georges River (A)	20-24	5-14	F	919
Georges River (A)	20-24	5-14	M	640
Georges River (A)	20-24	15-29	F	161
Georges River (A)	20-24	15-29	M	96
Georges River (A)	20-24	30+	F	96
Georges River (A)	20-24	30+	M	27
Georges River (A)	25-34		F	679
Georges River (A)	25-34		M	719
Georges River (A)	25-34	0	F	3272
Georges River (A)	25-34	0	M	4614
Georges River (A)	25-34	<5	F	2878
Georges River (A)	25-34	<5	M	3861
Georges River (A)	25-34	5-14	F	3038
Georges River (A)	25-34	5-14	M	2342
Georges River (A)	25-34	15-29	F	1162
Georges River (A)	25-34	15-29	M	422
Georges River (A)	25-34	30+	F	1270
Georges River (A)	25-34	30+	M	180
Georges River (A)	35-44		F	471
Georges River (A)	35-44		M	456
Georges River (A)	35-44	0	F	1488
Georges River (A)	35-44	0	M	2322
Georges River (A)	35-44	<5	F	1306
Georges River (A)	35-44	<5	M	2899
Georges River (A)	35-44	5-14	F	2815
Georges River (A)	35-44	5-14	M	2661
Georges River (A)	35-44	15-29	F	1870
Georges River (A)	35-44	15-29	M	601
Georges River (A)	35-44	30+	F	2074
Georges River (A)	35-44	30+	M	270
Georges River (A)	45-54		F	462
Georges River (A)	45-54		M	473
Georges River (A)	45-54	0	F	1557
Georges River (A)	45-54	0	M	2342
Georges River (A)	45-54	<5	F	1194
Georges River (A)	45-54	<5	M	2734
Georges River (A)	45-54	5-14	F	3051
Georges River (A)	45-54	5-14	M	2746
Georges River (A)	45-54	15-29	F	2156
Georges River (A)	45-54	15-29	M	714
Georges River (A)	45-54	30+	F	1579
Georges River (A)	45-54	30+	M	247
Georges River (A)	55-64		F	420
Georges River (A)	55-64		M	417
Georges River (A)	55-64	0	F	1548
Georges River (A)	55-64	0	M	2123
Georges River (A)	55-64	<5	F	1031
Georges River (A)	55-64	<5	M	1999
Georges River (A)	55-64	5-14	F	2505
Georges River (A)	55-64	5-14	M	2361
Georges River (A)	55-64	15-29	F	1884
Georges River (A)	55-64	15-29	M	699
Georges River (A)	55-64	30+	F	1402
Georges River (A)	55-64	30+	M	291
Georges River (A)	65-74		F	434
Georges River (A)	65-74		M	358
Georges River (A)	65-74	0	F	1259
Georges River (A)	65-74	0	M	1604
Georges River (A)	65-74	<5	F	530
Georges River (A)	65-74	<5	M	1083
Georges River (A)	65-74	5-14	F	1396
Georges River (A)	65-74	5-14	M	1471
Georges River (A)	65-74	15-29	F	1307
Georges River (A)	65-74	15-29	M	696
Georges River (A)	65-74	30+	F	1100
Georges River (A)	65-74	30+	M	338
Georges River (A)	75-84		F	364
Georges River (A)	75-84		M	330
Georges River (A)	75-84	0	F	1188
Georges River (A)	75-84	0	M	1129
Georges River (A)	75-84	<5	F	383
Georges River (A)	75-84	<5	M	521
Georges River (A)	75-84	5-14	F	779
Georges River (A)	75-84	5-14	M	695
Georges River (A)	75-84	15-29	F	630
Georges River (A)	75-84	15-29	M	362
Georges River (A)	75-84	30+	F	575
Georges River (A)	75-84	30+	M	232
Georges River (A)	85+		F	352
Georges River (A)	85+		M	160
Georges River (A)	85+	0	F	1265
Georges River (A)	85+	0	M	626
Georges River (A)	85+	<5	F	253
Georges River (A)	85+	<5	M	174
Georges River (A)	85+	5-14	F	339
Georges River (A)	85+	5-14	M	186
Georges River (A)	85+	15-29	F	145
Georges River (A)	85+	15-29	M	109
Georges River (A)	85+	30+	F	109
Georges River (A)	85+	30+	M	59
Gilgandra (A)	15-19		F	22
Gilgandra (A)	15-19		M	17
Gilgandra (A)	15-19	0	F	33
Gilgandra (A)	15-19	0	M	43
Gilgandra (A)	15-19	<5	F	38
Gilgandra (A)	15-19	<5	M	43
Gilgandra (A)	15-19	5-14	F	17
Gilgandra (A)	15-19	5-14	M	6
Gilgandra (A)	15-19	15-29	M	3
Gilgandra (A)	20-24		F	14
Gilgandra (A)	20-24		M	7
Gilgandra (A)	20-24	0	F	32
Gilgandra (A)	20-24	0	M	45
Gilgandra (A)	20-24	<5	F	18
Gilgandra (A)	20-24	<5	M	30
Gilgandra (A)	20-24	5-14	F	24
Gilgandra (A)	20-24	5-14	M	12
Gilgandra (A)	20-24	15-29	F	9
Gilgandra (A)	20-24	15-29	M	5
Gilgandra (A)	20-24	30+	F	13
Gilgandra (A)	20-24	30+	M	3
Gilgandra (A)	25-34		F	20
Gilgandra (A)	25-34		M	16
Gilgandra (A)	25-34	0	F	25
Gilgandra (A)	25-34	0	M	47
Gilgandra (A)	25-34	<5	F	30
Gilgandra (A)	25-34	<5	M	61
Gilgandra (A)	25-34	5-14	F	56
Gilgandra (A)	25-34	5-14	M	52
Gilgandra (A)	25-34	15-29	F	39
Gilgandra (A)	25-34	15-29	M	15
Gilgandra (A)	25-34	30+	F	48
Gilgandra (A)	25-34	30+	M	8
Gilgandra (A)	35-44		F	12
Gilgandra (A)	35-44		M	19
Gilgandra (A)	35-44	0	F	22
Gilgandra (A)	35-44	0	M	42
Gilgandra (A)	35-44	<5	F	11
Gilgandra (A)	35-44	<5	M	58
Gilgandra (A)	35-44	5-14	F	64
Gilgandra (A)	35-44	5-14	M	57
Gilgandra (A)	35-44	15-29	F	45
Gilgandra (A)	35-44	15-29	M	18
Gilgandra (A)	35-44	30+	F	56
Gilgandra (A)	35-44	30+	M	8
Gilgandra (A)	45-54		F	12
Gilgandra (A)	45-54		M	34
Gilgandra (A)	45-54	0	F	37
Gilgandra (A)	45-54	0	M	52
Gilgandra (A)	45-54	<5	F	19
Gilgandra (A)	45-54	<5	M	79
Gilgandra (A)	45-54	5-14	F	78
Gilgandra (A)	45-54	5-14	M	83
Gilgandra (A)	45-54	15-29	F	73
Gilgandra (A)	45-54	15-29	M	22
Gilgandra (A)	45-54	30+	F	47
Gilgandra (A)	45-54	30+	M	11
Gilgandra (A)	55-64		F	21
Gilgandra (A)	55-64		M	36
Gilgandra (A)	55-64	0	F	46
Gilgandra (A)	55-64	0	M	87
Gilgandra (A)	55-64	<5	F	26
Gilgandra (A)	55-64	<5	M	61
Gilgandra (A)	55-64	5-14	F	90
Gilgandra (A)	55-64	5-14	M	76
Gilgandra (A)	55-64	15-29	F	62
Gilgandra (A)	55-64	15-29	M	23
Gilgandra (A)	55-64	30+	F	60
Gilgandra (A)	55-64	30+	M	11
Gilgandra (A)	65-74		F	41
Gilgandra (A)	65-74		M	36
Gilgandra (A)	65-74	0	F	58
Gilgandra (A)	65-74	0	M	68
Gilgandra (A)	65-74	<5	F	15
Gilgandra (A)	65-74	<5	M	39
Gilgandra (A)	65-74	5-14	F	34
Gilgandra (A)	65-74	5-14	M	60
Gilgandra (A)	65-74	15-29	F	50
Gilgandra (A)	65-74	15-29	M	19
Gilgandra (A)	65-74	30+	F	66
Gilgandra (A)	65-74	30+	M	23
Gilgandra (A)	75-84		F	33
Gilgandra (A)	75-84		M	31
Gilgandra (A)	75-84	0	F	65
Gilgandra (A)	75-84	0	M	56
Gilgandra (A)	75-84	<5	F	15
Gilgandra (A)	75-84	<5	M	24
Gilgandra (A)	75-84	5-14	F	19
Gilgandra (A)	75-84	5-14	M	28
Gilgandra (A)	75-84	15-29	F	28
Gilgandra (A)	75-84	15-29	M	13
Gilgandra (A)	75-84	30+	F	31
Gilgandra (A)	75-84	30+	M	17
Gilgandra (A)	85+		F	13
Gilgandra (A)	85+		M	17
Gilgandra (A)	85+	0	F	37
Gilgandra (A)	85+	0	M	29
Gilgandra (A)	85+	<5	F	6
Gilgandra (A)	85+	<5	M	4
Gilgandra (A)	85+	5-14	F	4
Gilgandra (A)	85+	5-14	M	8
Gilgandra (A)	85+	15-29	F	3
Gilgandra (A)	85+	15-29	M	8
Gilgandra (A)	85+	30+	F	4
Glen Innes Severn (A)	15-19		F	37
Glen Innes Severn (A)	15-19		M	39
Glen Innes Severn (A)	15-19	0	F	61
Glen Innes Severn (A)	15-19	0	M	80
Glen Innes Severn (A)	15-19	<5	F	94
Glen Innes Severn (A)	15-19	<5	M	90
Glen Innes Severn (A)	15-19	5-14	F	31
Glen Innes Severn (A)	15-19	5-14	M	33
Glen Innes Severn (A)	15-19	15-29	F	7
Glen Innes Severn (A)	15-19	15-29	M	11
Glen Innes Severn (A)	15-19	30+	M	9
Glen Innes Severn (A)	20-24		F	23
Glen Innes Severn (A)	20-24		M	23
Glen Innes Severn (A)	20-24	0	F	28
Glen Innes Severn (A)	20-24	0	M	59
Glen Innes Severn (A)	20-24	<5	F	45
Glen Innes Severn (A)	20-24	<5	M	60
Glen Innes Severn (A)	20-24	5-14	F	57
Glen Innes Severn (A)	20-24	5-14	M	43
Glen Innes Severn (A)	20-24	15-29	F	15
Glen Innes Severn (A)	20-24	15-29	M	6
Glen Innes Severn (A)	20-24	30+	F	20
Glen Innes Severn (A)	20-24	30+	M	7
Glen Innes Severn (A)	25-34		F	36
Glen Innes Severn (A)	25-34		M	111
Glen Innes Severn (A)	25-34	0	F	27
Glen Innes Severn (A)	25-34	0	M	78
Glen Innes Severn (A)	25-34	<5	F	32
Glen Innes Severn (A)	25-34	<5	M	110
Glen Innes Severn (A)	25-34	5-14	F	98
Glen Innes Severn (A)	25-34	5-14	M	100
Glen Innes Severn (A)	25-34	15-29	F	75
Glen Innes Severn (A)	25-34	15-29	M	21
Glen Innes Severn (A)	25-34	30+	F	107
Glen Innes Severn (A)	25-34	30+	M	16
Glen Innes Severn (A)	35-44		F	48
Glen Innes Severn (A)	35-44		M	112
Glen Innes Severn (A)	35-44	0	F	32
Glen Innes Severn (A)	35-44	0	M	55
Glen Innes Severn (A)	35-44	<5	F	30
Glen Innes Severn (A)	35-44	<5	M	104
Glen Innes Severn (A)	35-44	5-14	F	149
Glen Innes Severn (A)	35-44	5-14	M	124
Glen Innes Severn (A)	35-44	15-29	F	94
Glen Innes Severn (A)	35-44	15-29	M	36
Glen Innes Severn (A)	35-44	30+	F	107
Glen Innes Severn (A)	35-44	30+	M	32
Glen Innes Severn (A)	45-54		F	46
Glen Innes Severn (A)	45-54		M	83
Glen Innes Severn (A)	45-54	0	F	65
Glen Innes Severn (A)	45-54	0	M	101
Glen Innes Severn (A)	45-54	<5	F	55
Glen Innes Severn (A)	45-54	<5	M	110
Glen Innes Severn (A)	45-54	5-14	F	170
Glen Innes Severn (A)	45-54	5-14	M	154
Glen Innes Severn (A)	45-54	15-29	F	135
Glen Innes Severn (A)	45-54	15-29	M	43
Glen Innes Severn (A)	45-54	30+	F	87
Glen Innes Severn (A)	45-54	30+	M	27
Glen Innes Severn (A)	55-64		F	63
Glen Innes Severn (A)	55-64		M	80
Glen Innes Severn (A)	55-64	0	F	92
Glen Innes Severn (A)	55-64	0	M	167
Glen Innes Severn (A)	55-64	<5	F	63
Glen Innes Severn (A)	55-64	<5	M	142
Glen Innes Severn (A)	55-64	5-14	F	187
Glen Innes Severn (A)	55-64	5-14	M	200
Glen Innes Severn (A)	55-64	15-29	F	139
Glen Innes Severn (A)	55-64	15-29	M	75
Glen Innes Severn (A)	55-64	30+	F	123
Glen Innes Severn (A)	55-64	30+	M	40
Glen Innes Severn (A)	65-74		F	99
Glen Innes Severn (A)	65-74		M	98
Glen Innes Severn (A)	65-74	0	F	133
Glen Innes Severn (A)	65-74	0	M	174
Glen Innes Severn (A)	65-74	<5	F	40
Glen Innes Severn (A)	65-74	<5	M	103
Glen Innes Severn (A)	65-74	5-14	F	109
Glen Innes Severn (A)	65-74	5-14	M	133
Glen Innes Severn (A)	65-74	15-29	F	125
Glen Innes Severn (A)	65-74	15-29	M	73
Glen Innes Severn (A)	65-74	30+	F	147
Glen Innes Severn (A)	65-74	30+	M	60
Glen Innes Severn (A)	75-84		F	85
Glen Innes Severn (A)	75-84		M	64
Glen Innes Severn (A)	75-84	0	F	92
Glen Innes Severn (A)	75-84	0	M	107
Glen Innes Severn (A)	75-84	<5	F	33
Glen Innes Severn (A)	75-84	<5	M	41
Glen Innes Severn (A)	75-84	5-14	F	44
Glen Innes Severn (A)	75-84	5-14	M	60
Glen Innes Severn (A)	75-84	15-29	F	58
Glen Innes Severn (A)	75-84	15-29	M	31
Glen Innes Severn (A)	75-84	30+	F	61
Glen Innes Severn (A)	75-84	30+	M	33
Glen Innes Severn (A)	85+		F	55
Glen Innes Severn (A)	85+		M	28
Glen Innes Severn (A)	85+	0	F	72
Glen Innes Severn (A)	85+	0	M	40
Glen Innes Severn (A)	85+	<5	F	17
Glen Innes Severn (A)	85+	<5	M	16
Glen Innes Severn (A)	85+	5-14	F	22
Glen Innes Severn (A)	85+	5-14	M	9
Glen Innes Severn (A)	85+	15-29	F	15
Glen Innes Severn (A)	85+	15-29	M	6
Glen Innes Severn (A)	85+	30+	F	11
Glen Innes Severn (A)	85+	30+	M	6
Goulburn Mulwaree (A)	15-19		F	87
Goulburn Mulwaree (A)	15-19		M	111
Goulburn Mulwaree (A)	15-19	0	F	279
Goulburn Mulwaree (A)	15-19	0	M	373
Goulburn Mulwaree (A)	15-19	<5	F	342
Goulburn Mulwaree (A)	15-19	<5	M	351
Goulburn Mulwaree (A)	15-19	5-14	F	90
Goulburn Mulwaree (A)	15-19	5-14	M	69
Goulburn Mulwaree (A)	15-19	15-29	F	12
Goulburn Mulwaree (A)	15-19	15-29	M	7
Goulburn Mulwaree (A)	15-19	30+	F	16
Goulburn Mulwaree (A)	20-24		F	47
Goulburn Mulwaree (A)	20-24		M	144
Goulburn Mulwaree (A)	20-24	0	F	146
Goulburn Mulwaree (A)	20-24	0	M	310
Goulburn Mulwaree (A)	20-24	<5	F	230
Goulburn Mulwaree (A)	20-24	<5	M	306
Goulburn Mulwaree (A)	20-24	5-14	F	177
Goulburn Mulwaree (A)	20-24	5-14	M	147
Goulburn Mulwaree (A)	20-24	15-29	F	57
Goulburn Mulwaree (A)	20-24	15-29	M	28
Goulburn Mulwaree (A)	20-24	30+	F	57
Goulburn Mulwaree (A)	20-24	30+	M	5
Goulburn Mulwaree (A)	25-34		F	131
Goulburn Mulwaree (A)	25-34		M	345
Goulburn Mulwaree (A)	25-34	0	F	208
Goulburn Mulwaree (A)	25-34	0	M	378
Goulburn Mulwaree (A)	25-34	<5	F	244
Goulburn Mulwaree (A)	25-34	<5	M	521
Goulburn Mulwaree (A)	25-34	5-14	F	506
Goulburn Mulwaree (A)	25-34	5-14	M	427
Goulburn Mulwaree (A)	25-34	15-29	F	299
Goulburn Mulwaree (A)	25-34	15-29	M	91
Goulburn Mulwaree (A)	25-34	30+	F	361
Goulburn Mulwaree (A)	25-34	30+	M	51
Goulburn Mulwaree (A)	35-44		F	117
Goulburn Mulwaree (A)	35-44		M	309
Goulburn Mulwaree (A)	35-44	0	F	144
Goulburn Mulwaree (A)	35-44	0	M	270
Goulburn Mulwaree (A)	35-44	<5	F	150
Goulburn Mulwaree (A)	35-44	<5	M	473
Goulburn Mulwaree (A)	35-44	5-14	F	581
Goulburn Mulwaree (A)	35-44	5-14	M	552
Goulburn Mulwaree (A)	35-44	15-29	F	360
Goulburn Mulwaree (A)	35-44	15-29	M	127
Goulburn Mulwaree (A)	35-44	30+	F	359
Goulburn Mulwaree (A)	35-44	30+	M	82
Goulburn Mulwaree (A)	45-54		F	138
Goulburn Mulwaree (A)	45-54		M	269
Goulburn Mulwaree (A)	45-54	0	F	214
Goulburn Mulwaree (A)	45-54	0	M	393
Goulburn Mulwaree (A)	45-54	<5	F	198
Goulburn Mulwaree (A)	45-54	<5	M	506
Goulburn Mulwaree (A)	45-54	5-14	F	707
Goulburn Mulwaree (A)	45-54	5-14	M	631
Goulburn Mulwaree (A)	45-54	15-29	F	441
Goulburn Mulwaree (A)	45-54	15-29	M	184
Goulburn Mulwaree (A)	45-54	30+	F	290
Goulburn Mulwaree (A)	45-54	30+	M	76
Goulburn Mulwaree (A)	55-64		F	150
Goulburn Mulwaree (A)	55-64		M	180
Goulburn Mulwaree (A)	55-64	0	F	312
Goulburn Mulwaree (A)	55-64	0	M	455
Goulburn Mulwaree (A)	55-64	<5	F	204
Goulburn Mulwaree (A)	55-64	<5	M	436
Goulburn Mulwaree (A)	55-64	5-14	F	632
Goulburn Mulwaree (A)	55-64	5-14	M	574
Goulburn Mulwaree (A)	55-64	15-29	F	413
Goulburn Mulwaree (A)	55-64	15-29	M	187
Goulburn Mulwaree (A)	55-64	30+	F	307
Goulburn Mulwaree (A)	55-64	30+	M	109
Goulburn Mulwaree (A)	65-74		F	204
Goulburn Mulwaree (A)	65-74		M	224
Goulburn Mulwaree (A)	65-74	0	F	327
Goulburn Mulwaree (A)	65-74	0	M	408
Goulburn Mulwaree (A)	65-74	<5	F	134
Goulburn Mulwaree (A)	65-74	<5	M	270
Goulburn Mulwaree (A)	65-74	5-14	F	326
Goulburn Mulwaree (A)	65-74	5-14	M	405
Goulburn Mulwaree (A)	65-74	15-29	F	319
Goulburn Mulwaree (A)	65-74	15-29	M	203
Goulburn Mulwaree (A)	65-74	30+	F	314
Goulburn Mulwaree (A)	65-74	30+	M	125
Goulburn Mulwaree (A)	75-84		F	201
Goulburn Mulwaree (A)	75-84		M	154
Goulburn Mulwaree (A)	75-84	0	F	263
Goulburn Mulwaree (A)	75-84	0	M	258
Goulburn Mulwaree (A)	75-84	<5	F	84
Goulburn Mulwaree (A)	75-84	<5	M	106
Goulburn Mulwaree (A)	75-84	5-14	F	145
Goulburn Mulwaree (A)	75-84	5-14	M	140
Goulburn Mulwaree (A)	75-84	15-29	F	128
Goulburn Mulwaree (A)	75-84	15-29	M	83
Goulburn Mulwaree (A)	75-84	30+	F	125
Goulburn Mulwaree (A)	75-84	30+	M	80
Goulburn Mulwaree (A)	85+		F	184
Goulburn Mulwaree (A)	85+		M	68
Goulburn Mulwaree (A)	85+	0	F	147
Goulburn Mulwaree (A)	85+	0	M	80
Goulburn Mulwaree (A)	85+	<5	F	43
Goulburn Mulwaree (A)	85+	<5	M	36
Goulburn Mulwaree (A)	85+	5-14	F	57
Goulburn Mulwaree (A)	85+	5-14	M	42
Goulburn Mulwaree (A)	85+	15-29	F	33
Goulburn Mulwaree (A)	85+	15-29	M	22
Goulburn Mulwaree (A)	85+	30+	F	28
Goulburn Mulwaree (A)	85+	30+	M	6
Greater Hume Shire (A)	15-19		F	30
Greater Hume Shire (A)	15-19		M	40
Greater Hume Shire (A)	15-19	0	F	85
Greater Hume Shire (A)	15-19	0	M	126
Greater Hume Shire (A)	15-19	<5	F	157
Greater Hume Shire (A)	15-19	<5	M	156
Greater Hume Shire (A)	15-19	5-14	F	40
Greater Hume Shire (A)	15-19	5-14	M	28
Greater Hume Shire (A)	15-19	15-29	F	7
Greater Hume Shire (A)	15-19	15-29	M	8
Greater Hume Shire (A)	15-19	30+	F	6
Greater Hume Shire (A)	20-24		F	14
Greater Hume Shire (A)	20-24		M	22
Greater Hume Shire (A)	20-24	0	F	27
Greater Hume Shire (A)	20-24	0	M	66
Greater Hume Shire (A)	20-24	<5	F	44
Greater Hume Shire (A)	20-24	<5	M	87
Greater Hume Shire (A)	20-24	5-14	F	43
Greater Hume Shire (A)	20-24	5-14	M	37
Greater Hume Shire (A)	20-24	15-29	F	17
Greater Hume Shire (A)	20-24	15-29	M	3
Greater Hume Shire (A)	20-24	30+	F	12
Greater Hume Shire (A)	20-24	30+	M	3
Greater Hume Shire (A)	25-34		F	40
Greater Hume Shire (A)	25-34		M	34
Greater Hume Shire (A)	25-34	0	F	32
Greater Hume Shire (A)	25-34	0	M	74
Greater Hume Shire (A)	25-34	<5	F	57
Greater Hume Shire (A)	25-34	<5	M	128
Greater Hume Shire (A)	25-34	5-14	F	125
Greater Hume Shire (A)	25-34	5-14	M	126
Greater Hume Shire (A)	25-34	15-29	F	101
Greater Hume Shire (A)	25-34	15-29	M	42
Greater Hume Shire (A)	25-34	30+	F	123
Greater Hume Shire (A)	25-34	30+	M	15
Greater Hume Shire (A)	35-44		F	46
Greater Hume Shire (A)	35-44		M	35
Greater Hume Shire (A)	35-44	0	F	31
Greater Hume Shire (A)	35-44	0	M	80
Greater Hume Shire (A)	35-44	<5	F	30
Greater Hume Shire (A)	35-44	<5	M	144
Greater Hume Shire (A)	35-44	5-14	F	161
Greater Hume Shire (A)	35-44	5-14	M	191
Greater Hume Shire (A)	35-44	15-29	F	137
Greater Hume Shire (A)	35-44	15-29	M	40
Greater Hume Shire (A)	35-44	30+	F	157
Greater Hume Shire (A)	35-44	30+	M	28
Greater Hume Shire (A)	45-54		F	52
Greater Hume Shire (A)	45-54		M	46
Greater Hume Shire (A)	45-54	0	F	47
Greater Hume Shire (A)	45-54	0	M	107
Greater Hume Shire (A)	45-54	<5	F	51
Greater Hume Shire (A)	45-54	<5	M	202
Greater Hume Shire (A)	45-54	5-14	F	241
Greater Hume Shire (A)	45-54	5-14	M	239
Greater Hume Shire (A)	45-54	15-29	F	195
Greater Hume Shire (A)	45-54	15-29	M	65
Greater Hume Shire (A)	45-54	30+	F	149
Greater Hume Shire (A)	45-54	30+	M	26
Greater Hume Shire (A)	55-64		F	61
