LGA_NAME16	MotorVehicles.min	occupied_private_dwellings
Loddon (S)		158
Loddon (S)	0	132
Loddon (S)	1	826
Loddon (S)	2	981
Loddon (S)	3	454
Loddon (S)	4	406
Macedon Ranges (S)		486
Macedon Ranges (S)	0	393
Macedon Ranges (S)	1	3758
Macedon Ranges (S)	2	6625
Macedon Ranges (S)	3	2692
Macedon Ranges (S)	4	1780
Manningham (C)		1074
Manningham (C)	0	1584
Manningham (C)	1	11668
Manningham (C)	2	16781
Manningham (C)	3	5693
Manningham (C)	4	3286
Mansfield (S)		171
Mansfield (S)	0	107
Mansfield (S)	1	970
Mansfield (S)	2	1207
Mansfield (S)	3	470
Mansfield (S)	4	281
Maribyrnong (C)		1098
Maribyrnong (C)	0	4189
Maribyrnong (C)	1	13277
Maribyrnong (C)	2	9141
Maribyrnong (C)	3	1990
Maribyrnong (C)	4	788
Maroondah (C)		1058
Maroondah (C)	0	1895
Maroondah (C)	1	13397
Maroondah (C)	2	16250
Maroondah (C)	3	4786
Maroondah (C)	4	2581
Melbourne (C)		2124
Melbourne (C)	0	26466
Melbourne (C)	1	21111
Melbourne (C)	2	6096
Melbourne (C)	3	902
Melbourne (C)	4	314
Melton (C)		1422
Melton (C)	0	1330
Melton (C)	1	11432
Melton (C)	2	18370
Melton (C)	3	5936
Melton (C)	4	3211
Mildura (RC)		990
Mildura (RC)	0	1298
Mildura (RC)	1	6496
Mildura (RC)	2	7076
Mildura (RC)	3	2480
Mildura (RC)	4	1469
Mitchell (S)		568
Mitchell (S)	0	474
Mitchell (S)	1	3732
Mitchell (S)	2	5300
Mitchell (S)	3	2135
Mitchell (S)	4	1506
Moira (S)		604
Moira (S)	0	529
Moira (S)	1	3469
Moira (S)	2	3798
Moira (S)	3	1517
Moira (S)	4	980
Monash (C)		1662
Monash (C)	0	4666
Monash (C)	1	21230
Monash (C)	2	24373
Monash (C)	3	7153
Monash (C)	4	3147
Moonee Valley (C)		1486
Moonee Valley (C)	0	4382
Moonee Valley (C)	1	16534
Moonee Valley (C)	2	15004
Moonee Valley (C)	3	4132
Moonee Valley (C)	4	1978
Moorabool (S)		424
Moorabool (S)	0	361
Moorabool (S)	1	2942
Moorabool (S)	2	4252
Moorabool (S)	3	1874
Moorabool (S)	4	1296
Moreland (C)		2054
Moreland (C)	0	8299
Moreland (C)	1	26868
Moreland (C)	2	17574
Moreland (C)	3	4416
Moreland (C)	4	2006
Mornington Peninsula (S)		2299
Mornington Peninsula (S)	0	2338
Mornington Peninsula (S)	1	18914
Mornington Peninsula (S)	2	23267
Mornington Peninsula (S)	3	7205
Mornington Peninsula (S)	4	3775
Mount Alexander (S)		307
Mount Alexander (S)	0	362
Mount Alexander (S)	1	2643
Mount Alexander (S)	2	2583
Mount Alexander (S)	3	906
Mount Alexander (S)	4	569
Moyne (S)		239
Moyne (S)	0	171
Moyne (S)	1	1485
Moyne (S)	2	2300
Moyne (S)	3	955
Moyne (S)	4	740
Murrindindi (S)		308
Murrindindi (S)	0	156
Murrindindi (S)	1	1462
Murrindindi (S)	2	1952
Murrindindi (S)	3	819
Murrindindi (S)	4	574
Nillumbik (S)		369
Nillumbik (S)	0	365
Nillumbik (S)	1	3955
Nillumbik (S)	2	8734
Nillumbik (S)	3	3672
Nillumbik (S)	4	2660
Northern Grampians (S)		242
Northern Grampians (S)	0	310
Northern Grampians (S)	1	1506
Northern Grampians (S)	2	1627
Northern Grampians (S)	3	637
Northern Grampians (S)	4	366
Port Phillip (C)		1448
Port Phillip (C)	0	7942
Port Phillip (C)	1	23000
Port Phillip (C)	2	10629
Port Phillip (C)	3	1522
Port Phillip (C)	4	572
Pyrenees (S)		129
Pyrenees (S)	0	92
Pyrenees (S)	1	726
Pyrenees (S)	2	1016
Pyrenees (S)	3	416
Pyrenees (S)	4	348
Queenscliffe (B)		49
Queenscliffe (B)	0	49
Queenscliffe (B)	1	500
Queenscliffe (B)	2	440
Queenscliffe (B)	3	96
Queenscliffe (B)	4	44
South Gippsland (S)		388
South Gippsland (S)	0	385
South Gippsland (S)	1	3350
South Gippsland (S)	2	4080
South Gippsland (S)	3	1609
South Gippsland (S)	4	977
Southern Grampians (S)		268
Southern Grampians (S)	0	343
Southern Grampians (S)	1	2035
Southern Grampians (S)	2	2161
Southern Grampians (S)	3	899
Southern Grampians (S)	4	622
Stonnington (C)		1286
Stonnington (C)	0	7250
Stonnington (C)	1	19309
Stonnington (C)	2	11995
Stonnington (C)	3	2631
Stonnington (C)	4	1251
Strathbogie (S)		203
Strathbogie (S)	0	157
Strathbogie (S)	1	1363
Strathbogie (S)	2	1517
Strathbogie (S)	3	574
Strathbogie (S)	4	359
Surf Coast (S)		309
Surf Coast (S)	0	237
Surf Coast (S)	1	2735
Surf Coast (S)	2	4576
Surf Coast (S)	3	1484
Surf Coast (S)	4	827
Swan Hill (RC)		439
Swan Hill (RC)	0	446
Swan Hill (RC)	1	2202
Swan Hill (RC)	2	2583
Swan Hill (RC)	3	932
Swan Hill (RC)	4	602
Towong (S)		115
Towong (S)	0	66
Towong (S)	1	655
Towong (S)	2	859
Towong (S)	3	374
Towong (S)	4	260
Wangaratta (RC)		510
Wangaratta (RC)	0	575
Wangaratta (RC)	1	3552
Wangaratta (RC)	2	4112
Wangaratta (RC)	3	1381
Wangaratta (RC)	4	856
Warrnambool (C)		528
Warrnambool (C)	0	755
Warrnambool (C)	1	4516
Warrnambool (C)	2	4844
Warrnambool (C)	3	1325
Warrnambool (C)	4	663
Wellington (S)		658
Wellington (S)	0	807
Wellington (S)	1	5140
Wellington (S)	2	5856
Wellington (S)	3	2244
Wellington (S)	4	1375
West Wimmera (S)		69
West Wimmera (S)	0	56
West Wimmera (S)	1	428
West Wimmera (S)	2	546
West Wimmera (S)	3	264
West Wimmera (S)	4	227
Whitehorse (C)		1527
Whitehorse (C)	0	4672
Whitehorse (C)	1	21557
Whitehorse (C)	2	22400
Whitehorse (C)	3	5627
Whitehorse (C)	4	2530
Whittlesea (C)		1968
Whittlesea (C)	0	2910
Whittlesea (C)	1	19220
Whittlesea (C)	2	26434
Whittlesea (C)	3	8583
Whittlesea (C)	4	4569
Wodonga (C)		483
Wodonga (C)	0	765
Wodonga (C)	1	4765
Wodonga (C)	2	5763
Wodonga (C)	3	1710
Wodonga (C)	4	780
Wyndham (C)		1895
Wyndham (C)	0	2371
Wyndham (C)	1	21620
Wyndham (C)	2	28824
Wyndham (C)	3	8322
Wyndham (C)	4	3909
Yarra (C)		1292
Yarra (C)	0	7500
Yarra (C)	1	17772
Yarra (C)	2	7834
Yarra (C)	3	1444
Yarra (C)	4	406
Yarra Ranges (S)		1497
Yarra Ranges (S)	0	1536
Yarra Ranges (S)	1	13836
Yarra Ranges (S)	2	21241
Yarra Ranges (S)	3	8202
Yarra Ranges (S)	4	5590
Yarriambiack (S)		131
Yarriambiack (S)	0	142
Yarriambiack (S)	1	867
Yarriambiack (S)	2	905
Yarriambiack (S)	3	372
Yarriambiack (S)	4	264
Unincorporated Vic		16
Unincorporated Vic	0	47
Unincorporated Vic	1	56
Unincorporated Vic	2	27
Unincorporated Vic	3	3
Unincorporated Vic	4	3
Aurukun (S)		6
Aurukun (S)	0	176
Aurukun (S)	1	52
Aurukun (S)	2	19
Aurukun (S)	3	4
Balonne (S)		79
Balonne (S)	0	66
Balonne (S)	1	393
Balonne (S)	2	546
Balonne (S)	3	267
Balonne (S)	4	180
Banana (S)		234
Banana (S)	0	199
Banana (S)	1	1258
Banana (S)	2	1790
Banana (S)	3	867
Banana (S)	4	617
Barcaldine (R)		47
Barcaldine (R)	0	51
Barcaldine (R)	1	350
Barcaldine (R)	2	342
Barcaldine (R)	3	146
Barcaldine (R)	4	158
Barcoo (S)		3
Barcoo (S)	0	9
Barcoo (S)	1	36
Barcoo (S)	2	32
Barcoo (S)	3	18
Barcoo (S)	4	18
Blackall-Tambo (R)		39
Blackall-Tambo (R)	0	50
Blackall-Tambo (R)	1	266
Blackall-Tambo (R)	2	197
Blackall-Tambo (R)	3	118
Blackall-Tambo (R)	4	84
Boulia (S)		10
Boulia (S)	0	20
Boulia (S)	1	46
Boulia (S)	2	25
Boulia (S)	3	16
Boulia (S)	4	23
Brisbane (C)		11462
Brisbane (C)	0	32882
Brisbane (C)	1	149517
Brisbane (C)	2	147487
Brisbane (C)	3	43208
Brisbane (C)	4	19599
Bulloo (S)		10
Bulloo (S)	0	6
Bulloo (S)	1	43
Bulloo (S)	2	36
Bulloo (S)	3	17
Bulloo (S)	4	25
Bundaberg (R)		1489
Bundaberg (R)	0	2104
Bundaberg (R)	1	13064
Bundaberg (R)	2	12580
Bundaberg (R)	3	4033
Bundaberg (R)	4	1972
Burdekin (S)		300
Burdekin (S)	0	375
Burdekin (S)	1	1923
Burdekin (S)	2	2500
Burdekin (S)	3	954
Burdekin (S)	4	474
Burke (S)		7
Burke (S)	0	15
Burke (S)	1	37
Burke (S)	2	20
Burke (S)	3	7
Burke (S)	4	4
Cairns (R)		2284
Cairns (R)	0	3876
Cairns (R)	1	20367
Cairns (R)	2	20656
Cairns (R)	3	5966
Cairns (R)	4	2639
Carpentaria (S)		53
Carpentaria (S)	0	63
Carpentaria (S)	1	246
Carpentaria (S)	2	185
Carpentaria (S)	3	68
Carpentaria (S)	4	39
Cassowary Coast (R)		506
Cassowary Coast (R)	0	661
Cassowary Coast (R)	1	3803
Cassowary Coast (R)	2	3911
Cassowary Coast (R)	3	1219
Cassowary Coast (R)	4	514
Central Highlands (R) (Qld)		359
Central Highlands (R) (Qld)	0	273
Central Highlands (R) (Qld)	1	2577
Central Highlands (R) (Qld)	2	3483
Central Highlands (R) (Qld)	3	1393
Central Highlands (R) (Qld)	4	819
Charters Towers (R)		197
Charters Towers (R)	0	271
Charters Towers (R)	1	1442
Charters Towers (R)	2	1390
Charters Towers (R)	3	525
Charters Towers (R)	4	332
Cherbourg (S)	0	128
Cherbourg (S)	1	98
Cherbourg (S)	2	36
Cherbourg (S)	3	17
Cherbourg (S)	4	3
Cloncurry (S)		60
Cloncurry (S)	0	96
Cloncurry (S)	1	293
Cloncurry (S)	2	291
Cloncurry (S)	3	102
Cloncurry (S)	4	72
Cook (S)		117
Cook (S)	0	115
Cook (S)	1	489
Cook (S)	2	437
Cook (S)	3	155
Cook (S)	4	88
Croydon (S)		5
Croydon (S)	1	30
Croydon (S)	2	25
Croydon (S)	3	8
Croydon (S)	4	13
Diamantina (S)		4
Diamantina (S)	0	13
Diamantina (S)	1	21
Diamantina (S)	2	29
Diamantina (S)	3	8
Diamantina (S)	4	8
Doomadgee (S)		27
Doomadgee (S)	0	127
Doomadgee (S)	1	78
Doomadgee (S)	2	29
Doomadgee (S)	4	7
Douglas (S)		222
Douglas (S)	0	257
Douglas (S)	1	1638
Douglas (S)	2	1467
Douglas (S)	3	436
Douglas (S)	4	183
Etheridge (S)		44
Etheridge (S)	0	6
Etheridge (S)	1	86
Etheridge (S)	2	88
Etheridge (S)	3	52
Etheridge (S)	4	35
Flinders (S) (Qld)		38
Flinders (S) (Qld)	0	25
Flinders (S) (Qld)	1	173
Flinders (S) (Qld)	2	189
Flinders (S) (Qld)	3	102
Flinders (S) (Qld)	4	62
Fraser Coast (R)		1664
Fraser Coast (R)	0	2452
Fraser Coast (R)	1	15506
Fraser Coast (R)	2	13115
Fraser Coast (R)	3	4271
Fraser Coast (R)	4	1987
Gladstone (R)		643
Gladstone (R)	0	845
Gladstone (R)	1	6498
Gladstone (R)	2	8834
Gladstone (R)	3	3119
Gladstone (R)	4	1429
Gold Coast (C)		6852
Gold Coast (C)	0	10050
Gold Coast (C)	1	68889
Gold Coast (C)	2	76501
Gold Coast (C)	3	24210
Gold Coast (C)	4	12162
Goondiwindi (R)		177
Goondiwindi (R)	0	168
Goondiwindi (R)	1	1126
Goondiwindi (R)	2	1446
Goondiwindi (R)	3	558
Goondiwindi (R)	4	321
Gympie (R)		742
Gympie (R)	0	913
Gympie (R)	1	6543
Gympie (R)	2	6647
Gympie (R)	3	2431
Gympie (R)	4	1401
Hinchinbrook (S)		201
Hinchinbrook (S)	0	199
Hinchinbrook (S)	1	1373
Hinchinbrook (S)	2	1618
Hinchinbrook (S)	3	579
Hinchinbrook (S)	4	302
Hope Vale (S)		3
Hope Vale (S)	0	74
Hope Vale (S)	1	92
Hope Vale (S)	2	40
Hope Vale (S)	3	18
Hope Vale (S)	4	3
Ipswich (C)		2077
Ipswich (C)	0	3430
Ipswich (C)	1	20612
Ipswich (C)	2	24435
Ipswich (C)	3	8612
Ipswich (C)	4	4492
Isaac (R)		240
Isaac (R)	0	161
Isaac (R)	1	1707
Isaac (R)	2	2580
Isaac (R)	3	947
Isaac (R)	4	551
Kowanyama (S)		9
Kowanyama (S)	0	120
Kowanyama (S)	1	71
Kowanyama (S)	2	33
Kowanyama (S)	3	7
Kowanyama (S)	4	3
Livingstone (S)		595
Livingstone (S)	0	514
Livingstone (S)	1	3874
Livingstone (S)	2	4824
Livingstone (S)	3	1825
Livingstone (S)	4	1021
Lockhart River (S)		9
Lockhart River (S)	0	48
Lockhart River (S)	1	55
Lockhart River (S)	2	23
Lockhart River (S)	3	7
Lockyer Valley (R)		624
Lockyer Valley (R)	0	447
Lockyer Valley (R)	1	3362
Lockyer Valley (R)	2	4850
Lockyer Valley (R)	3	2138
Lockyer Valley (R)	4	1463
Logan (C)		3202
Logan (C)	0	4819
Logan (C)	1	29097
Logan (C)	2	36371
Logan (C)	3	14616
Logan (C)	4	9120
Longreach (R)		69
Longreach (R)	0	82
Longreach (R)	1	451
Longreach (R)	2	461
Longreach (R)	3	182
Longreach (R)	4	118
Mackay (R)		1657
Mackay (R)	0	2015
Mackay (R)	1	12603
Mackay (R)	2	16027
Mackay (R)	3	5742
Mackay (R)	4	2629
McKinlay (S)		14
McKinlay (S)	0	9
McKinlay (S)	1	81
McKinlay (S)	2	77
McKinlay (S)	3	44
McKinlay (S)	4	47
Mapoon (S)		4
Mapoon (S)	0	37
Mapoon (S)	1	19
Mapoon (S)	2	19
Maranoa (R)		199
Maranoa (R)	0	197
Maranoa (R)	1	1270
Maranoa (R)	2	1574
Maranoa (R)	3	695
Maranoa (R)	4	503
Mareeba (S)		356
Mareeba (S)	0	470
Mareeba (S)	1	2342
Mareeba (S)	2	2618
Mareeba (S)	3	1013
Mareeba (S)	4	605
Moreton Bay (R)		4210
Moreton Bay (R)	0	7090
Moreton Bay (R)	1	47687
Moreton Bay (R)	2	56988
Moreton Bay (R)	3	20120
Moreton Bay (R)	4	11565
Mornington (S)		9
Mornington (S)	0	123
Mornington (S)	1	85
Mornington (S)	2	38
Mornington (S)	3	3
Mornington (S)	4	4
Mount Isa (C)		290
Mount Isa (C)	0	424
Mount Isa (C)	1	1951
Mount Isa (C)	2	2310
Mount Isa (C)	3	753
Mount Isa (C)	4	353
Murweh (S)		94
Murweh (S)	0	109
Murweh (S)	1	540
Murweh (S)	2	531
Murweh (S)	3	215
Murweh (S)	4	125
Napranum (S)		3
Napranum (S)	0	112
Napranum (S)	1	72
Napranum (S)	2	40
Napranum (S)	3	12
Napranum (S)	4	5
Noosa (S)		708
Noosa (S)	0	821
Noosa (S)	1	7127
Noosa (S)	2	7840
Noosa (S)	3	2508
Noosa (S)	4	1149
North Burnett (R)		228
North Burnett (R)	0	212
North Burnett (R)	1	1227
North Burnett (R)	2	1304
North Burnett (R)	3	571
North Burnett (R)	4	377
Northern Peninsula Area (R)		43
Northern Peninsula Area (R)	0	186
Northern Peninsula Area (R)	1	253
Northern Peninsula Area (R)	2	140
Northern Peninsula Area (R)	3	31
Northern Peninsula Area (R)	4	18
Palm Island (S)		7
Palm Island (S)	0	262
Palm Island (S)	1	153
Palm Island (S)	2	51
Palm Island (S)	3	13
Paroo (S)		46
Paroo (S)	0	64
Paroo (S)	1	201
Paroo (S)	2	178
Paroo (S)	3	86
Paroo (S)	4	75
Pormpuraaw (S)		6
Pormpuraaw (S)	0	94
Pormpuraaw (S)	1	72
Pormpuraaw (S)	2	29
Pormpuraaw (S)	3	13
Pormpuraaw (S)	4	6
Quilpie (S)		27
Quilpie (S)	0	15
Quilpie (S)	1	100
Quilpie (S)	2	110
Quilpie (S)	3	39
Quilpie (S)	4	33
Redland (C)		1476
Redland (C)	0	2393
Redland (C)	1	15941
Redland (C)	2	20626
Redland (C)	3	7730
Redland (C)	4	4281
Richmond (S)		18
Richmond (S)	0	14
Richmond (S)	1	79
Richmond (S)	2	85
Richmond (S)	3	48
Richmond (S)	4	46
Rockhampton (R)		1081
Rockhampton (R)	0	1968
Rockhampton (R)	1	9841
Rockhampton (R)	2	10226
Rockhampton (R)	3	3539
Rockhampton (R)	4	1725
Scenic Rim (R)		481
Scenic Rim (R)	0	388
Scenic Rim (R)	1	4041
Scenic Rim (R)	2	5362
Scenic Rim (R)	3	2233
Scenic Rim (R)	4	1532
Somerset (R)		352
Somerset (R)	0	268
Somerset (R)	1	2616
Somerset (R)	2	3095
Somerset (R)	3	1375
Somerset (R)	4	880
South Burnett (R)		548
South Burnett (R)	0	614
South Burnett (R)	1	4364
South Burnett (R)	2	4221
South Burnett (R)	3	1577
South Burnett (R)	4	938
Southern Downs (R)		514
Southern Downs (R)	0	782
Southern Downs (R)	1	4477
Southern Downs (R)	2	4701
Southern Downs (R)	3	1823
Southern Downs (R)	4	1067
Sunshine Coast (R)		3286
Sunshine Coast (R)	0	4673
Sunshine Coast (R)	1	37840
Sunshine Coast (R)	2	42270
Sunshine Coast (R)	3	13611
Sunshine Coast (R)	4	6907
Tablelands (R)		410
Tablelands (R)	0	427
Tablelands (R)	1	3292
Tablelands (R)	2	3446
Tablelands (R)	3	1211
Tablelands (R)	4	614
Toowoomba (R)		2029
Toowoomba (R)	0	3263
Toowoomba (R)	1	19541
Toowoomba (R)	2	21565
Toowoomba (R)	3	7528
Toowoomba (R)	4	4283
Torres (S)		164
Torres (S)	0	196
Torres (S)	1	289
Torres (S)	2	176
Torres (S)	3	50
Torres (S)	4	34
Torres Strait Island (R)		39
Torres Strait Island (R)	0	574
Torres Strait Island (R)	1	287
Torres Strait Island (R)	2	74
Torres Strait Island (R)	3	15
Torres Strait Island (R)	4	3
Townsville (C)		2092
Townsville (C)	0	3606
Townsville (C)	1	22095
Townsville (C)	2	25924
Townsville (C)	3	8156
Townsville (C)	4	3733
Weipa (T)		55
Weipa (T)	0	19
Weipa (T)	1	268
Weipa (T)	2	538
Weipa (T)	3	199
Weipa (T)	4	72
Western Downs (R)		425
Western Downs (R)	0	554
Western Downs (R)	1	3534
Western Downs (R)	2	3988
Western Downs (R)	3	1709
Western Downs (R)	4	1135
Whitsunday (R)		629
Whitsunday (R)	0	643
Whitsunday (R)	1	3901
Whitsunday (R)	2	4102
Whitsunday (R)	3	1351
Whitsunday (R)	4	628
Winton (S)		35
Winton (S)	0	35
Winton (S)	1	158
Winton (S)	2	142
Winton (S)	3	60
Winton (S)	4	40
Woorabinda (S)		12
Woorabinda (S)	0	119
Woorabinda (S)	1	78
Woorabinda (S)	2	28
Woorabinda (S)	3	3
Wujal Wujal (S)	0	40
Wujal Wujal (S)	1	23
Wujal Wujal (S)	2	11
Wujal Wujal (S)	3	3
Yarrabah (S)		10
Yarrabah (S)	0	143
Yarrabah (S)	1	184
Yarrabah (S)	2	87
Yarrabah (S)	3	31
Yarrabah (S)	4	14
Adelaide (C)		331
Adelaide (C)	0	2631
Adelaide (C)	1	3897
Adelaide (C)	2	1498
Adelaide (C)	3	226
Adelaide (C)	4	94
Adelaide Hills (DC)		298
Adelaide Hills (DC)	0	275
Adelaide Hills (DC)	1	3282
Adelaide Hills (DC)	2	6000
Adelaide Hills (DC)	3	2368
Adelaide Hills (DC)	4	1536
Alexandrina (DC)		335
Alexandrina (DC)	0	333
Alexandrina (DC)	1	3575
Alexandrina (DC)	2	3831
Alexandrina (DC)	3	1364
Alexandrina (DC)	4	789
Anangu Pitjantjatjara (AC)		18
Anangu Pitjantjatjara (AC)	0	223
Anangu Pitjantjatjara (AC)	1	184
Anangu Pitjantjatjara (AC)	2	42
Anangu Pitjantjatjara (AC)	3	20
Anangu Pitjantjatjara (AC)	4	10
Barossa (DC)		215
Barossa (DC)	0	289
Barossa (DC)	1	2663
Barossa (DC)	2	3540
Barossa (DC)	3	1321
Barossa (DC)	4	889
Barunga West (DC)		38
Barunga West (DC)	0	44
Barunga West (DC)	1	353
Barunga West (DC)	2	368
Barunga West (DC)	3	141
Barunga West (DC)	4	94
Berri and Barmera (DC)		208
Berri and Barmera (DC)	0	285
Berri and Barmera (DC)	1	1419
Berri and Barmera (DC)	2	1439
Berri and Barmera (DC)	3	516
Berri and Barmera (DC)	4	315
Burnside (C)		361
Burnside (C)	0	1052
Burnside (C)	1	6129
Burnside (C)	2	6549
Burnside (C)	3	1841
Burnside (C)	4	839
Campbelltown (C) (SA)		544
Campbelltown (C) (SA)	0	1489
Campbelltown (C) (SA)	1	7236
Campbelltown (C) (SA)	2	6931
Campbelltown (C) (SA)	3	2073
Campbelltown (C) (SA)	4	1010
Ceduna (DC)		81
Ceduna (DC)	0	92
Ceduna (DC)	1	347
Ceduna (DC)	2	451
Ceduna (DC)	3	169
Ceduna (DC)	4	110
Charles Sturt (C)		1447
Charles Sturt (C)	0	4178
Charles Sturt (C)	1	16816
Charles Sturt (C)	2	15319
Charles Sturt (C)	3	4551
Charles Sturt (C)	4	2049
Clare and Gilbert Valleys (DC)		133
Clare and Gilbert Valleys (DC)	0	131
Clare and Gilbert Valleys (DC)	1	1048
Clare and Gilbert Valleys (DC)	2	1327
Clare and Gilbert Valleys (DC)	3	529
Clare and Gilbert Valleys (DC)	4	353
Cleve (DC)		19
Cleve (DC)	0	22
Cleve (DC)	1	202
Cleve (DC)	2	231
Cleve (DC)	3	125
Cleve (DC)	4	91
Coober Pedy (DC)		51
Coober Pedy (DC)	0	58
Coober Pedy (DC)	1	268
Coober Pedy (DC)	2	215
Coober Pedy (DC)	3	64
Coober Pedy (DC)	4	32
Copper Coast (DC)		219
Copper Coast (DC)	0	305
Copper Coast (DC)	1	2087
Copper Coast (DC)	2	2098
Copper Coast (DC)	3	675
Copper Coast (DC)	4	343
Elliston (DC)		11
Elliston (DC)	0	14
Elliston (DC)	1	117
Elliston (DC)	2	154
Elliston (DC)	3	79
Elliston (DC)	4	45
Flinders Ranges (DC)		28
Flinders Ranges (DC)	0	41
Flinders Ranges (DC)	1	223
Flinders Ranges (DC)	2	235
Flinders Ranges (DC)	3	92
Flinders Ranges (DC)	4	68
Franklin Harbour (DC)		19
Franklin Harbour (DC)	0	20
Franklin Harbour (DC)	1	128
Franklin Harbour (DC)	2	179
Franklin Harbour (DC)	3	76
Franklin Harbour (DC)	4	61
Gawler (T)		273
Gawler (T)	0	691
Gawler (T)	1	3363
Gawler (T)	2	3106
Gawler (T)	3	1048
Gawler (T)	4	553
Goyder (DC)		58
Goyder (DC)	0	53
Goyder (DC)	1	478
Goyder (DC)	2	585
Goyder (DC)	3	268
Goyder (DC)	4	203
Grant (DC)		94
Grant (DC)	0	32
Grant (DC)	1	499
Grant (DC)	2	1089
Grant (DC)	3	555
Grant (DC)	4	447
Holdfast Bay (C)		440
Holdfast Bay (C)	0	1337
Holdfast Bay (C)	1	6046
Holdfast Bay (C)	2	5162
Holdfast Bay (C)	3	1324
Holdfast Bay (C)	4	563
Kangaroo Island (DC)		79
Kangaroo Island (DC)	0	88
Kangaroo Island (DC)	1	573
Kangaroo Island (DC)	2	726
Kangaroo Island (DC)	3	228
Kangaroo Island (DC)	4	123
Karoonda East Murray (DC)		13
Karoonda East Murray (DC)	0	12
Karoonda East Murray (DC)	1	113
Karoonda East Murray (DC)	2	129
Karoonda East Murray (DC)	3	84
Karoonda East Murray (DC)	4	72
Kimba (DC)		10
Kimba (DC)	0	9
Kimba (DC)	1	87
Kimba (DC)	2	153
Kimba (DC)	3	76
Kimba (DC)	4	59
Kingston (DC) (SA)		50
Kingston (DC) (SA)	0	33
Kingston (DC) (SA)	1	280
Kingston (DC) (SA)	2	358
Kingston (DC) (SA)	3	141
Kingston (DC) (SA)	4	89
Light (RegC)		129
Light (RegC)	0	91
Light (RegC)	1	1108
Light (RegC)	2	2081
Light (RegC)	3	947
Light (RegC)	4	672
Lower Eyre Peninsula (DC)		61
Lower Eyre Peninsula (DC)	0	34
Lower Eyre Peninsula (DC)	1	452
Lower Eyre Peninsula (DC)	2	840
Lower Eyre Peninsula (DC)	3	347
Lower Eyre Peninsula (DC)	4	196
Loxton Waikerie (DC)		168
Loxton Waikerie (DC)	0	211
Loxton Waikerie (DC)	1	1347
Loxton Waikerie (DC)	2	1650
Loxton Waikerie (DC)	3	673
Loxton Waikerie (DC)	4	450
Mallala (DC)		100
Mallala (DC)	0	49
Mallala (DC)	1	625
Mallala (DC)	2	1170
Mallala (DC)	3	644
Mallala (DC)	4	446
Maralinga Tjarutja (AC)	0	8
Maralinga Tjarutja (AC)	1	3
Maralinga Tjarutja (AC)	2	3
Marion (C)		993
Marion (C)	0	3100
Marion (C)	1	13351
Marion (C)	2	12653
Marion (C)	3	3683
Marion (C)	4	1498
Mid Murray (DC)		126
Mid Murray (DC)	0	131
Mid Murray (DC)	1	1153
Mid Murray (DC)	2	1209
Mid Murray (DC)	3	542
Mid Murray (DC)	4	343
Mitcham (C)		580
Mitcham (C)	0	1284
Mitcham (C)	1	7813
Mitcham (C)	2	9733
Mitcham (C)	3	2926
Mitcham (C)	4	1470
Mount Barker (DC)		329
Mount Barker (DC)	0	425
Mount Barker (DC)	1	3425
Mount Barker (DC)	2	4973
Mount Barker (DC)	3	1845
Mount Barker (DC)	4	1015
Mount Gambier (C)		364
Mount Gambier (C)	0	753
Mount Gambier (C)	1	3929
Mount Gambier (C)	2	3664
Mount Gambier (C)	3	1129
Mount Gambier (C)	4	486
Mount Remarkable (DC)		45
Mount Remarkable (DC)	0	27
Mount Remarkable (DC)	1	320
Mount Remarkable (DC)	2	365
Mount Remarkable (DC)	3	229
Mount Remarkable (DC)	4	171
Murray Bridge (RC)		329
Murray Bridge (RC)	0	551
Murray Bridge (RC)	1	2754
Murray Bridge (RC)	2	2646
Murray Bridge (RC)	3	1049
Murray Bridge (RC)	4	609
Naracoorte and Lucindale (DC)		131
Naracoorte and Lucindale (DC)	0	132
Naracoorte and Lucindale (DC)	1	868
Naracoorte and Lucindale (DC)	2	1190
Naracoorte and Lucindale (DC)	3	501
Naracoorte and Lucindale (DC)	4	317
Northern Areas (DC)		68
Northern Areas (DC)	0	70
Northern Areas (DC)	1	550
Northern Areas (DC)	2	625
Northern Areas (DC)	3	300
Northern Areas (DC)	4	212
Norwood Payneham St Peters (C)		402
Norwood Payneham St Peters (C)	0	1707
Norwood Payneham St Peters (C)	1	6373
Norwood Payneham St Peters (C)	2	4633
Norwood Payneham St Peters (C)	3	1193
Norwood Payneham St Peters (C)	4	504
Onkaparinga (C)		1820
Onkaparinga (C)	0	3339
Onkaparinga (C)	1	22090
Onkaparinga (C)	2	24066
Onkaparinga (C)	3	7967
Onkaparinga (C)	4	3740
Orroroo/Carrieton (DC)		11
Orroroo/Carrieton (DC)	0	12
Orroroo/Carrieton (DC)	1	86
Orroroo/Carrieton (DC)	2	120
Orroroo/Carrieton (DC)	3	69
Orroroo/Carrieton (DC)	4	48
Peterborough (DC)		49
Peterborough (DC)	0	88
Peterborough (DC)	1	308
Peterborough (DC)	2	193
Peterborough (DC)	3	87
Peterborough (DC)	4	35
Playford (C)		1293
Playford (C)	0	3153
Playford (C)	1	11697
Playford (C)	2	10592
Playford (C)	3	3253
Playford (C)	4	1662
Port Adelaide Enfield (C)		1541
Port Adelaide Enfield (C)	0	4955
Port Adelaide Enfield (C)	1	18466
Port Adelaide Enfield (C)	2	15524
Port Adelaide Enfield (C)	3	4312
