LGA_NAME16	persons
Walkerville (M)	7550
Wattle Range (DC)	11677
West Torrens (C)	57901
Whyalla (C)	21828
Wudinna (DC)	1250
Yankalilla (DC)	5159
Yorke Peninsula (DC)	11056
Unincorporated SA	3524
No usual address (SA)	2863
Migratory - Offshore - Shipping (SA)	3
Albany (C)	36583
Armadale (C)	79602
Ashburton (S)	13026
Augusta-Margaret River (S)	14258
Bassendean (T)	15092
Bayswater (C)	64677
Belmont (C)	39682
Beverley (S)	1745
Boddington (S)	1844
Boyup Brook (S)	1701
Bridgetown-Greenbushes (S)	4660
Brookton (S)	975
Broome (S)	16222
Broomehill-Tambellup (S)	1144
Bruce Rock (S)	930
Bunbury (C)	31919
Busselton (C)	36686
Cambridge (T)	26783
Canning (C)	90184
Capel (S)	17123
Carnamah (S)	548
Carnarvon (S)	5528
Chapman Valley (S)	1422
Chittering (S)	5472
Claremont (T)	10054
Cockburn (C)	104473
Collie (S)	8798
Coolgardie (S)	3610
Coorow (S)	1036
Corrigin (S)	1146
Cottesloe (T)	7597
Cranbrook (S)	1089
Cuballing (S)	863
Cue (S)	194
Cunderdin (S)	1457
Dalwallinu (S)	1429
Dandaragan (S)	3213
Dardanup (S)	14033
Denmark (S)	5845
Derby-West Kimberley (S)	7730
Donnybrook-Balingup (S)	5870
Dowerin (S)	690
Dumbleyung (S)	671
Dundas (S)	772
East Fremantle (T)	7376
East Pilbara (S)	10591
Esperance (S)	14236
Exmouth (S)	2728
Fremantle (C)	28893
Gingin (S)	5217
Gnowangerup (S)	1215
Goomalling (S)	1033
Gosnells (C)	118073
Greater Geraldton (C)	38634
Halls Creek (S)	3269
Harvey (S)	26553
Irwin (S)	3569
Jerramungup (S)	1109
Joondalup (C)	154445
Kalamunda (S)	57449
Kalgoorlie/Boulder (C)	30059
Karratha (C)	21473
Katanning (S)	4151
Kellerberrin (S)	1224
Kent (S)	559
Kojonup (S)	1985
Kondinin (S)	873
Koorda (S)	414
Kulin (S)	765
Kwinana (C)	38918
Lake Grace (S)	1268
Laverton (S)	1153
Leonora (S)	1411
Mandurah (C)	80813
Manjimup (S)	9250
Meekatharra (S)	1067
Melville (C)	98083
Menzies (S)	490
Merredin (S)	3350
Mingenew (S)	455
Moora (S)	2428
Morawa (S)	750
Mosman Park (T)	8757
Mount Magnet (S)	482
Mount Marshall (S)	527
Mukinbudin (S)	555
Mundaring (S)	38157
Murchison (S)	153
Murray (S)	16698
Nannup (S)	1328
Narembeen (S)	809
Narrogin (S)	5162
Nedlands (C)	21121
Ngaanyatjarraku (S)	1606
Northam (S)	11112
Northampton (S)	3319
Nungarin (S)	257
Peppermint Grove (S)	1636
Perenjori (S)	617
Perth (C)	21797
Pingelly (S)	1146
Plantagenet (S)	5079
Port Hedland (T)	14469
Quairading (S)	1019
Ravensthorpe (S)	1733
Rockingham (C)	125114
Sandstone (S)	89
Serpentine-Jarrahdale (S)	26833
Shark Bay (S)	946
South Perth (C)	41989
Stirling (C)	210208
Subiaco (C)	19359
Swan (C)	133851
Tammin (S)	402
Three Springs (S)	594
Toodyay (S)	4439
Trayning (S)	350
Upper Gascoyne (S)	278
Victoria Park (T)	34990
Victoria Plains (S)	910
Vincent (C)	33693
Wagin (S)	1852
Wandering (S)	444
Wanneroo (C)	188212
Waroona (S)	4148
West Arthur (S)	809
Westonia (S)	304
Wickepin (S)	718
Williams (S)	981
Wiluna (S)	742
Wongan-Ballidu (S)	1331
Woodanilling (S)	409
Wyalkatchem (S)	516
Wyndham-East Kimberley (S)	7148
Yalgoo (S)	337
Yilgarn (S)	1202
York (S)	3606
No usual address (WA)	5950
Migratory - Offshore - Shipping (WA)	434
Break O'Day (M)	6104
Brighton (M)	16512
Burnie (C)	18895
Central Coast (M) (Tas.)	21362
Central Highlands (M) (Tas.)	2141
Circular Head (M)	7926
Clarence (C)	54819
Derwent Valley (M)	10021
Devonport (C)	24696
Dorset (M)	6617
Flinders (M) (Tas.)	906
George Town (M)	6764
Glamorgan/Spring Bay (M)	4400
Glenorchy (C)	46253
Hobart (C)	50439
Huon Valley (M)	16199
Kentish (M)	6128
King Island (M)	1585
Kingborough (M)	35853
Latrobe (M) (Tas.)	10699
Launceston (C)	65274
Meander Valley (M)	19282
Northern Midlands (M)	12822
Sorell (M)	14414
Southern Midlands (M)	6043
Tasman (M)	2372
Waratah/Wynyard (M)	13578
West Coast (M)	4149
West Tamar (M)	22718
No usual address (Tas.)	912
Migratory - Offshore - Shipping (Tas.)	68
Alice Springs (T)	24753
Barkly (R)	6655
Belyuen (S)	164
Central Desert (R)	3677
Coomalie (S)	1319
Darwin (C)	78804
East Arnhem (R)	9026
Katherine (T)	9717
