LGA_NAME16	BornAust	persons
Subiaco (C)	1	10258
Swan (C)	0	44057
Swan (C)	1	80565
Tammin (S)	0	47
Tammin (S)	1	310
Three Springs (S)	0	98
Three Springs (S)	1	447
Toodyay (S)	0	952
Toodyay (S)	1	2991
Trayning (S)	0	40
Trayning (S)	1	246
Upper Gascoyne (S)	0	20
Upper Gascoyne (S)	1	225
Victoria Park (T)	0	14023
Victoria Park (T)	1	17842
Victoria Plains (S)	0	140
Victoria Plains (S)	1	670
Vincent (C)	0	11651
Vincent (C)	1	19124
Wagin (S)	0	253
Wagin (S)	1	1387
Wandering (S)	0	53
Wandering (S)	1	344
Wanneroo (C)	0	77127
Wanneroo (C)	1	99084
Waroona (S)	0	674
Waroona (S)	1	2944
West Arthur (S)	0	79
West Arthur (S)	1	652
Westonia (S)	0	55
Westonia (S)	1	206
Wickepin (S)	0	63
Wickepin (S)	1	603
Williams (S)	0	90
Williams (S)	1	790
Wiluna (S)	0	163
Wiluna (S)	1	456
Wongan-Ballidu (S)	0	172
Wongan-Ballidu (S)	1	1088
Woodanilling (S)	0	50
Woodanilling (S)	1	322
Wyalkatchem (S)	0	52
Wyalkatchem (S)	1	386
Wyndham-East Kimberley (S)	0	935
Wyndham-East Kimberley (S)	1	5282
Yalgoo (S)	0	60
Yalgoo (S)	1	208
Yilgarn (S)	0	175
Yilgarn (S)	1	835
York (S)	0	593
York (S)	1	2583
No usual address (WA)	0	1484
No usual address (WA)	1	3512
Migratory - Offshore - Shipping (WA)	0	168
Migratory - Offshore - Shipping (WA)	1	193
Break O'Day (M)	0	770
Break O'Day (M)	1	4753
Brighton (M)	0	771
Brighton (M)	1	14406
Burnie (C)	0	1565
Burnie (C)	1	16054
Central Coast (M) (Tas.)	0	1845
Central Coast (M) (Tas.)	1	17969
Central Highlands (M) (Tas.)	0	192
Central Highlands (M) (Tas.)	1	1755
Circular Head (M)	0	647
Circular Head (M)	1	6522
Clarence (C)	0	5590
Clarence (C)	1	46228
Derwent Valley (M)	0	719
Derwent Valley (M)	1	8409
Devonport (C)	0	2087
Devonport (C)	1	20931
Dorset (M)	0	525
Dorset (M)	1	5476
Flinders (M) (Tas.)	0	86
Flinders (M) (Tas.)	1	741
George Town (M)	0	719
George Town (M)	1	5358
Glamorgan/Spring Bay (M)	0	456
Glamorgan/Spring Bay (M)	1	3488
Glenorchy (C)	0	5788
Glenorchy (C)	1	36904
Hobart (C)	0	11471
Hobart (C)	1	35872
Huon Valley (M)	0	2367
Huon Valley (M)	1	12467
Kentish (M)	0	720
Kentish (M)	1	4860
King Island (M)	0	196
King Island (M)	1	1244
Kingborough (M)	0	5955
Kingborough (M)	1	28084
Latrobe (M) (Tas.)	0	925
Latrobe (M) (Tas.)	1	8981
Launceston (C)	0	8180
Launceston (C)	1	51970
Meander Valley (M)	0	1927
Meander Valley (M)	1	15940
Northern Midlands (M)	0	1030
Northern Midlands (M)	1	10603
Sorell (M)	0	1220
Sorell (M)	1	12146
Southern Midlands (M)	0	345
Southern Midlands (M)	1	5113
Tasman (M)	0	261
Tasman (M)	1	1783
Waratah/Wynyard (M)	0	1257
Waratah/Wynyard (M)	1	11266
West Coast (M)	0	357
West Coast (M)	1	3393
West Tamar (M)	0	3107
West Tamar (M)	1	18054
No usual address (Tas.)	0	139
No usual address (Tas.)	1	659
Migratory - Offshore - Shipping (Tas.)	0	18
Migratory - Offshore - Shipping (Tas.)	1	49
Alice Springs (T)	0	5796
Alice Springs (T)	1	15930
Barkly (R)	0	506
Barkly (R)	1	5647
Belyuen (S)	1	165
Central Desert (R)	0	105
Central Desert (R)	1	3391
Coomalie (S)	0	157
Coomalie (S)	1	875
Darwin (C)	0	24961
Darwin (C)	1	44953
East Arnhem (R)	0	135
East Arnhem (R)	1	8713
Katherine (T)	0	1159
Katherine (T)	1	6577
Litchfield (M)	0	3034
Litchfield (M)	1	16859
MacDonnell (R)	0	168
MacDonnell (R)	1	5434
Palmerston (C)	0	6844
Palmerston (C)	1	23846
Roper Gulf (R)	0	206
Roper Gulf (R)	1	5894
Tiwi Islands (R)	0	74
Tiwi Islands (R)	1	2319
Victoria Daly (R)	0	96
Victoria Daly (R)	1	2316
Wagait (S)	0	82
Wagait (S)	1	351
West Arnhem (R)	0	249
West Arnhem (R)	1	5480
West Daly (R)	0	37
West Daly (R)	1	2997
Unincorporated NT	0	1347
Unincorporated NT	1	4386
No usual address (NT)	0	402
No usual address (NT)	1	1379
Migratory - Offshore - Shipping (NT)	0	53
Migratory - Offshore - Shipping (NT)	1	16
Unincorporated ACT	0	105039
Unincorporated ACT	1	269693
No usual address (ACT)	0	130
No usual address (ACT)	1	351
Unincorp. Other Territories	0	1452
Unincorp. Other Territories	1	2504
No usual address (OT)	0	22
No usual address (OT)	1	24
Migratory - Offshore - Shipping (OT)	1	4
