LGA_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Port Stephens (A)	0	5	5
Port Stephens (A)	1	2	9215
Port Stephens (A)	1	3	3503
Port Stephens (A)	1	4	3423
Port Stephens (A)	1	5	1539
Port Stephens (A)	1	6	771
Queanbeyan-Palerang Regional (A)	0	1	5171
Queanbeyan-Palerang Regional (A)	0	2	400
Queanbeyan-Palerang Regional (A)	0	3	63
Queanbeyan-Palerang Regional (A)	0	4	10
Queanbeyan-Palerang Regional (A)	0	5	3
Queanbeyan-Palerang Regional (A)	1	2	5972
Queanbeyan-Palerang Regional (A)	1	3	3139
Queanbeyan-Palerang Regional (A)	1	4	3291
Queanbeyan-Palerang Regional (A)	1	5	1427
Queanbeyan-Palerang Regional (A)	1	6	553
Randwick (C)	0	1	13096
Randwick (C)	0	2	3059
Randwick (C)	0	3	1405
Randwick (C)	0	4	616
Randwick (C)	0	5	273
Randwick (C)	0	6	146
Randwick (C)	1	2	13571
Randwick (C)	1	3	7336
Randwick (C)	1	4	7292
Randwick (C)	1	5	2593
Randwick (C)	1	6	989
Richmond Valley (A)	0	1	2507
Richmond Valley (A)	0	2	234
Richmond Valley (A)	0	3	20
Richmond Valley (A)	0	4	6
Richmond Valley (A)	0	5	3
Richmond Valley (A)	1	2	2864
Richmond Valley (A)	1	3	1117
Richmond Valley (A)	1	4	979
Richmond Valley (A)	1	5	524
Richmond Valley (A)	1	6	305
Rockdale (C)	0	1	8719
Rockdale (C)	0	2	1389
Rockdale (C)	0	3	469
Rockdale (C)	0	4	218
Rockdale (C)	0	5	97
Rockdale (C)	0	6	67
Rockdale (C)	1	2	10203
Rockdale (C)	1	3	6519
Rockdale (C)	1	4	6091
Rockdale (C)	1	5	2608
Rockdale (C)	1	6	1585
Ryde (C)	0	1	9578
Ryde (C)	0	2	1391
Ryde (C)	0	3	494
Ryde (C)	0	4	214
Ryde (C)	0	5	119
Ryde (C)	0	6	85
Ryde (C)	1	2	11314
Ryde (C)	1	3	7128
Ryde (C)	1	4	6990
Ryde (C)	1	5	2654
Ryde (C)	1	6	1307
Shellharbour (C)	0	1	4859
Shellharbour (C)	0	2	395
Shellharbour (C)	0	3	41
Shellharbour (C)	0	4	12
Shellharbour (C)	0	5	4
Shellharbour (C)	1	2	7408
Shellharbour (C)	1	3	3985
Shellharbour (C)	1	4	4238
Shellharbour (C)	1	5	1807
Shellharbour (C)	1	6	881
Shoalhaven (C)	0	1	10916
Shoalhaven (C)	0	2	876
Shoalhaven (C)	0	3	77
Shoalhaven (C)	0	4	23
Shoalhaven (C)	0	5	7
Shoalhaven (C)	0	6	3
Shoalhaven (C)	1	2	14372
Shoalhaven (C)	1	3	4818
Shoalhaven (C)	1	4	4198
Shoalhaven (C)	1	5	1937
Shoalhaven (C)	1	6	972
Singleton (A)	0	1	1719
Singleton (A)	0	2	156
Singleton (A)	0	3	10
Singleton (A)	0	4	8
Singleton (A)	1	2	2413
Singleton (A)	1	3	1234
Singleton (A)	1	4	1346
Singleton (A)	1	5	599
Singleton (A)	1	6	260
Snowy Monaro Regional (A)	0	1	2293
Snowy Monaro Regional (A)	0	2	192
Snowy Monaro Regional (A)	0	3	37
Snowy Monaro Regional (A)	0	4	17
Snowy Monaro Regional (A)	0	5	7
Snowy Monaro Regional (A)	0	6	4
Snowy Monaro Regional (A)	1	2	2589
Snowy Monaro Regional (A)	1	3	952
Snowy Monaro Regional (A)	1	4	899
Snowy Monaro Regional (A)	1	5	376
Snowy Monaro Regional (A)	1	6	149
Snowy Valleys (A)	0	1	1576
Snowy Valleys (A)	0	2	84
Snowy Valleys (A)	0	3	7
Snowy Valleys (A)	0	4	3
Snowy Valleys (A)	1	2	2006
Snowy Valleys (A)	1	3	623
Snowy Valleys (A)	1	4	661
Snowy Valleys (A)	1	5	293
Snowy Valleys (A)	1	6	129
Strathfield (A)	0	1	2214
Strathfield (A)	0	2	493
Strathfield (A)	0	3	230
Strathfield (A)	0	4	157
Strathfield (A)	0	5	80
Strathfield (A)	0	6	68
Strathfield (A)	1	2	2910
Strathfield (A)	1	3	2395
Strathfield (A)	1	4	2393
Strathfield (A)	1	5	1072
Strathfield (A)	1	6	654
Sutherland Shire (A)	0	1	16039
Sutherland Shire (A)	0	2	1451
Sutherland Shire (A)	0	3	209
Sutherland Shire (A)	0	4	60
Sutherland Shire (A)	0	5	8
Sutherland Shire (A)	0	6	5
Sutherland Shire (A)	1	2	22501
Sutherland Shire (A)	1	3	12523
Sutherland Shire (A)	1	4	14837
Sutherland Shire (A)	1	5	6454
Sutherland Shire (A)	1	6	2266
Sydney (C)	0	1	31858
Sydney (C)	0	2	7205
Sydney (C)	0	3	3108
Sydney (C)	0	4	1815
Sydney (C)	0	5	623
Sydney (C)	0	6	488
Sydney (C)	1	2	25601
Sydney (C)	1	3	7839
Sydney (C)	1	4	4882
Sydney (C)	1	5	1322
Sydney (C)	1	6	688
Tamworth Regional (A)	0	1	5972
Tamworth Regional (A)	0	2	552
Tamworth Regional (A)	0	3	81
Tamworth Regional (A)	0	4	21
Tamworth Regional (A)	0	5	11
Tamworth Regional (A)	0	6	20
Tamworth Regional (A)	1	2	7161
Tamworth Regional (A)	1	3	3117
Tamworth Regional (A)	1	4	2822
Tamworth Regional (A)	1	5	1355
Tamworth Regional (A)	1	6	633
Temora (A)	0	1	705
Temora (A)	0	2	43
Temora (A)	1	2	834
Temora (A)	1	3	278
Temora (A)	1	4	243
Temora (A)	1	5	148
Temora (A)	1	6	90
Tenterfield (A)	0	1	941
Tenterfield (A)	0	2	62
Tenterfield (A)	0	3	3
Tenterfield (A)	1	2	1013
Tenterfield (A)	1	3	256
Tenterfield (A)	1	4	224
Tenterfield (A)	1	5	112
Tenterfield (A)	1	6	61
The Hills Shire (A)	0	1	5424
The Hills Shire (A)	0	2	461
The Hills Shire (A)	0	3	149
The Hills Shire (A)	0	4	48
The Hills Shire (A)	0	5	36
The Hills Shire (A)	0	6	45
The Hills Shire (A)	1	2	12083
The Hills Shire (A)	1	3	8935
The Hills Shire (A)	1	4	12331
The Hills Shire (A)	1	5	5652
The Hills Shire (A)	1	6	2678
Tweed (A)	0	1	10104
Tweed (A)	0	2	1152
Tweed (A)	0	3	143
Tweed (A)	0	4	34
Tweed (A)	0	5	6
Tweed (A)	0	6	4
Tweed (A)	1	2	12003
Tweed (A)	1	3	4534
Tweed (A)	1	4	4298
Tweed (A)	1	5	1898
Tweed (A)	1	6	918
Upper Hunter Shire (A)	0	1	1471
Upper Hunter Shire (A)	0	2	108
Upper Hunter Shire (A)	0	3	27
Upper Hunter Shire (A)	0	4	4
Upper Hunter Shire (A)	0	5	3
Upper Hunter Shire (A)	1	2	1756
Upper Hunter Shire (A)	1	3	658
Upper Hunter Shire (A)	1	4	668
Upper Hunter Shire (A)	1	5	346
Upper Hunter Shire (A)	1	6	123
Upper Lachlan Shire (A)	0	1	845
Upper Lachlan Shire (A)	0	2	40
Upper Lachlan Shire (A)	0	3	6
Upper Lachlan Shire (A)	1	2	1087
Upper Lachlan Shire (A)	1	3	340
Upper Lachlan Shire (A)	1	4	334
Upper Lachlan Shire (A)	1	5	173
Upper Lachlan Shire (A)	1	6	83
Uralla (A)	0	1	616
Uralla (A)	0	2	55
Uralla (A)	1	2	839
Uralla (A)	1	3	262
Uralla (A)	1	4	300
Uralla (A)	1	5	151
Uralla (A)	1	6	60
Wagga Wagga (C)	0	1	5880
Wagga Wagga (C)	0	2	660
Wagga Wagga (C)	0	3	191
Wagga Wagga (C)	0	4	72
Wagga Wagga (C)	0	5	14
Wagga Wagga (C)	0	6	5
Wagga Wagga (C)	1	2	7133
Wagga Wagga (C)	1	3	3170
Wagga Wagga (C)	1	4	3033
Wagga Wagga (C)	1	5	1553
Wagga Wagga (C)	1	6	678
Walcha (A)	0	1	359
Walcha (A)	0	2	25
Walcha (A)	1	2	448
Walcha (A)	1	3	138
Walcha (A)	1	4	134
Walcha (A)	1	5	80
Walcha (A)	1	6	17
Walgett (A)	0	1	854
Walgett (A)	0	2	77
Walgett (A)	0	3	8
Walgett (A)	0	5	3
Walgett (A)	1	2	672
Walgett (A)	1	3	251
Walgett (A)	1	4	221
Walgett (A)	1	5	103
Walgett (A)	1	6	103
Warren (A)	0	1	318
Warren (A)	0	2	16
Warren (A)	0	3	6
Warren (A)	1	2	351
Warren (A)	1	3	120
Warren (A)	1	4	108
Warren (A)	1	5	59
Warren (A)	1	6	42
Warrumbungle Shire (A)	0	1	1107
Warrumbungle Shire (A)	0	2	65
Warrumbungle Shire (A)	0	3	7
Warrumbungle Shire (A)	1	2	1316
Warrumbungle Shire (A)	1	3	377
Warrumbungle Shire (A)	1	4	360
Warrumbungle Shire (A)	1	5	192
Warrumbungle Shire (A)	1	6	102
Waverley (A)	0	1	6979
Waverley (A)	0	2	1857
Waverley (A)	0	3	623
Waverley (A)	0	4	249
Waverley (A)	0	5	61
Waverley (A)	0	6	36
Waverley (A)	1	2	7197
Waverley (A)	1	3	3477
Waverley (A)	1	4	3191
Waverley (A)	1	5	1150
Waverley (A)	1	6	357
Weddin (A)	0	1	471
Weddin (A)	0	2	33
Weddin (A)	0	3	3
Weddin (A)	1	2	560
Weddin (A)	1	3	147
Weddin (A)	1	4	125
Weddin (A)	1	5	79
Weddin (A)	1	6	31
Wentworth (A)	0	1	662
Wentworth (A)	0	2	48
Wentworth (A)	0	3	5
Wentworth (A)	1	2	862
Wentworth (A)	1	3	318
Wentworth (A)	1	4	304
Wentworth (A)	1	5	161
Wentworth (A)	1	6	59
Western Plains Regional (A)	0	1	4607
Western Plains Regional (A)	0	2	438
Western Plains Regional (A)	0	3	83
Western Plains Regional (A)	0	4	18
Western Plains Regional (A)	1	2	5483
Western Plains Regional (A)	1	3	2700
Western Plains Regional (A)	1	4	2322
Western Plains Regional (A)	1	5	1188
Western Plains Regional (A)	1	6	635
Willoughby (C)	0	1	5537
Willoughby (C)	0	2	860
Willoughby (C)	0	3	288
Willoughby (C)	0	4	110
Willoughby (C)	0	5	51
Willoughby (C)	0	6	29
Willoughby (C)	1	2	7164
Willoughby (C)	1	3	4698
Willoughby (C)	1	4	4994
Willoughby (C)	1	5	1827
Willoughby (C)	1	6	603
Wingecarribee (A)	0	1	4636
Wingecarribee (A)	0	2	332
Wingecarribee (A)	0	3	30
Wingecarribee (A)	0	4	12
Wingecarribee (A)	0	5	3
Wingecarribee (A)	0	6	3
Wingecarribee (A)	1	2	6539
Wingecarribee (A)	1	3	2291
Wingecarribee (A)	1	4	2289
Wingecarribee (A)	1	5	1107
Wingecarribee (A)	1	6	519
Wollondilly (A)	0	1	2316
Wollondilly (A)	0	2	195
Wollondilly (A)	0	3	30
Wollondilly (A)	0	4	3
Wollondilly (A)	1	2	4407
Wollondilly (A)	1	3	2490
Wollondilly (A)	1	4	3043
Wollondilly (A)	1	5	1669
Wollondilly (A)	1	6	940
Wollongong (C)	0	1	18871
Wollongong (C)	0	2	2147
Wollongong (C)	0	3	690
Wollongong (C)	0	4	306
Wollongong (C)	0	5	99
Wollongong (C)	0	6	59
Wollongong (C)	1	2	22115
Wollongong (C)	1	3	10996
Wollongong (C)	1	4	11629
Wollongong (C)	1	5	4832
Wollongong (C)	1	6	2210
Woollahra (A)	0	1	6284
Woollahra (A)	0	2	1083
Woollahra (A)	0	3	388
Woollahra (A)	0	4	127
Woollahra (A)	0	5	18
Woollahra (A)	0	6	9
Woollahra (A)	1	2	6594
Woollahra (A)	1	3	2749
Woollahra (A)	1	4	2527
Woollahra (A)	1	5	1036
Woollahra (A)	1	6	289
Yass Valley (A)	0	1	1102
Yass Valley (A)	0	2	98
Yass Valley (A)	0	3	9
Yass Valley (A)	1	2	1893
Yass Valley (A)	1	3	807
Yass Valley (A)	1	4	964
Yass Valley (A)	1	5	469
Yass Valley (A)	1	6	178
Unincorporated NSW	0	1	94
Unincorporated NSW	0	2	5
Unincorporated NSW	1	2	111
Unincorporated NSW	1	3	46
Unincorporated NSW	1	4	43
Unincorporated NSW	1	5	22
Unincorporated NSW	1	6	12
Alpine (S)	0	1	1492
Alpine (S)	0	2	92
Alpine (S)	0	3	18
Alpine (S)	0	4	4
Alpine (S)	0	6	3
Alpine (S)	1	2	1845
Alpine (S)	1	3	535
Alpine (S)	1	4	520
Alpine (S)	1	5	248
Alpine (S)	1	6	81
Ararat (RC)	0	1	1370
Ararat (RC)	0	2	106
Ararat (RC)	0	3	13
Ararat (RC)	0	4	5
Ararat (RC)	0	5	3
Ararat (RC)	0	6	5
Ararat (RC)	1	2	1558
Ararat (RC)	1	3	496
Ararat (RC)	1	4	448
Ararat (RC)	1	5	186
Ararat (RC)	1	6	106
Ballarat (C)	0	1	11378
Ballarat (C)	0	2	1304
Ballarat (C)	0	3	316
Ballarat (C)	0	4	148
Ballarat (C)	0	5	35
Ballarat (C)	0	6	19
Ballarat (C)	1	2	11788
Ballarat (C)	1	3	5249
Ballarat (C)	1	4	5160
Ballarat (C)	1	5	2190
Ballarat (C)	1	6	858
Banyule (C)	0	1	10581
Banyule (C)	0	2	960
Banyule (C)	0	3	288
Banyule (C)	0	4	115
Banyule (C)	0	5	46
Banyule (C)	0	6	20
Banyule (C)	1	2	13398
Banyule (C)	1	3	7309
Banyule (C)	1	4	7950
Banyule (C)	1	5	2828
Banyule (C)	1	6	930
Bass Coast (S)	0	1	4338
Bass Coast (S)	0	2	328
Bass Coast (S)	0	3	27
Bass Coast (S)	0	4	3
Bass Coast (S)	1	2	4805
Bass Coast (S)	1	3	1521
Bass Coast (S)	1	4	1298
Bass Coast (S)	1	5	633
Bass Coast (S)	1	6	203
Baw Baw (S)	0	1	4466
Baw Baw (S)	0	2	353
Baw Baw (S)	0	3	26
Baw Baw (S)	0	4	10
Baw Baw (S)	0	5	6
Baw Baw (S)	0	6	3
Baw Baw (S)	1	2	6203
Baw Baw (S)	1	3	2420
Baw Baw (S)	1	4	2378
Baw Baw (S)	1	5	1217
Baw Baw (S)	1	6	530
Bayside (C)	0	1	8561
Bayside (C)	0	2	613
Bayside (C)	0	3	92
Bayside (C)	0	4	21
Bayside (C)	0	5	11
Bayside (C)	0	6	7
Bayside (C)	1	2	10462
Bayside (C)	1	3	5231
Bayside (C)	1	4	6875
Bayside (C)	1	5	2570
Bayside (C)	1	6	591
Benalla (RC)	0	1	1806
Benalla (RC)	0	2	140
Benalla (RC)	0	3	7
Benalla (RC)	1	2	2109
Benalla (RC)	1	3	633
Benalla (RC)	1	4	550
Benalla (RC)	1	5	246
Benalla (RC)	1	6	95
Boroondara (C)	0	1	14473
Boroondara (C)	0	2	2011
Boroondara (C)	0	3	683
Boroondara (C)	0	4	286
Boroondara (C)	0	5	105
Boroondara (C)	0	6	56
Boroondara (C)	1	2	16546
Boroondara (C)	1	3	8883
Boroondara (C)	1	4	11038
Boroondara (C)	1	5	4479
Boroondara (C)	1	6	1290
Brimbank (C)	0	1	11349
Brimbank (C)	0	2	1177
Brimbank (C)	0	3	385
Brimbank (C)	0	4	241
Brimbank (C)	0	5	135
Brimbank (C)	0	6	107
Brimbank (C)	1	2	15794
Brimbank (C)	1	3	11382
Brimbank (C)	1	4	11506
Brimbank (C)	1	5	5516
Brimbank (C)	1	6	3961
Buloke (S)	0	1	844
Buloke (S)	0	2	62
Buloke (S)	1	2	881
Buloke (S)	1	3	260
Buloke (S)	1	4	207
Buloke (S)	1	5	132
Buloke (S)	1	6	65
Campaspe (S)	0	1	3908
Campaspe (S)	0	2	290
Campaspe (S)	0	3	28
Campaspe (S)	0	4	13
Campaspe (S)	1	2	4957
Campaspe (S)	1	3	1723
Campaspe (S)	1	4	1701
Campaspe (S)	1	5	843
Campaspe (S)	1	6	371
Cardinia (S)	0	1	5770
Cardinia (S)	0	2	597
Cardinia (S)	0	3	78
Cardinia (S)	0	4	19
Cardinia (S)	0	5	5
Cardinia (S)	0	6	3
Cardinia (S)	1	2	9008
Cardinia (S)	1	3	5450
Cardinia (S)	1	4	5987
Cardinia (S)	1	5	2703
Cardinia (S)	1	6	1388
Casey (C)	0	1	14058
Casey (C)	0	2	1568
Casey (C)	0	3	278
Casey (C)	0	4	132
Casey (C)	0	5	62
Casey (C)	0	6	50
Casey (C)	1	2	23232
Casey (C)	1	3	17172
Casey (C)	1	4	20486
Casey (C)	1	5	9056
Casey (C)	1	6	6037
Central Goldfields (S)	0	1	1906
Central Goldfields (S)	0	2	158
Central Goldfields (S)	0	3	20
Central Goldfields (S)	0	5	3
Central Goldfields (S)	1	2	1918
Central Goldfields (S)	1	3	635
Central Goldfields (S)	1	4	468
Central Goldfields (S)	1	5	229
Central Goldfields (S)	1	6	122
Colac-Otway (S)	0	1	2530
Colac-Otway (S)	0	2	195
Colac-Otway (S)	0	3	38
Colac-Otway (S)	0	4	5
Colac-Otway (S)	0	5	8
Colac-Otway (S)	0	6	9
Colac-Otway (S)	1	2	2686
Colac-Otway (S)	1	3	959
Colac-Otway (S)	1	4	917
Colac-Otway (S)	1	5	452
Colac-Otway (S)	1	6	213
Corangamite (S)	0	1	1803
Corangamite (S)	0	2	121
Corangamite (S)	0	3	12
Corangamite (S)	1	2	2132
Corangamite (S)	1	3	716
Corangamite (S)	1	4	671
Corangamite (S)	1	5	379
Corangamite (S)	1	6	189
Darebin (C)	0	1	15330
Darebin (C)	0	2	2573
Darebin (C)	0	3	1094
Darebin (C)	0	4	486
Darebin (C)	0	5	151
Darebin (C)	0	6	116
Darebin (C)	1	2	15039
Darebin (C)	1	3	8112
Darebin (C)	1	4	7880
Darebin (C)	1	5	2719
Darebin (C)	1	6	1237
East Gippsland (S)	0	1	5413
East Gippsland (S)	0	2	375
East Gippsland (S)	0	3	43
East Gippsland (S)	0	4	7
East Gippsland (S)	0	5	3
East Gippsland (S)	0	6	4
East Gippsland (S)	1	2	6794
East Gippsland (S)	1	3	1986
East Gippsland (S)	1	4	1808
East Gippsland (S)	1	5	799
East Gippsland (S)	1	6	327
Frankston (C)	0	1	13310
Frankston (C)	0	2	1359
Frankston (C)	0	3	200
Frankston (C)	0	4	39
Frankston (C)	0	5	15
Frankston (C)	0	6	4
Frankston (C)	1	2	14614
Frankston (C)	1	3	8107
Frankston (C)	1	4	7745
Frankston (C)	1	5	3056
Frankston (C)	1	6	1235
Gannawarra (S)	0	1	1373
Gannawarra (S)	0	2	85
Gannawarra (S)	0	3	3
Gannawarra (S)	1	2	1568
Gannawarra (S)	1	3	450
Gannawarra (S)	1	4	391
Gannawarra (S)	1	5	233
Gannawarra (S)	1	6	107
Glen Eira (C)	0	1	13706
Glen Eira (C)	0	2	1819
Glen Eira (C)	0	3	671
Glen Eira (C)	0	4	276
Glen Eira (C)	0	5	94
Glen Eira (C)	0	6	57
Glen Eira (C)	1	2	14358
Glen Eira (C)	1	3	8021
Glen Eira (C)	1	4	9049
Glen Eira (C)	1	5	3198
Glen Eira (C)	1	6	1050
Glenelg (S)	0	1	2424
Glenelg (S)	0	2	164
Glenelg (S)	0	3	15
Glenelg (S)	0	4	4
Glenelg (S)	1	2	2741
Glenelg (S)	1	3	916
Glenelg (S)	1	4	878
Glenelg (S)	1	5	369
Glenelg (S)	1	6	128
Golden Plains (S)	0	1	1246
Golden Plains (S)	0	2	106
Golden Plains (S)	0	3	10
Golden Plains (S)	1	2	2377
Golden Plains (S)	1	3	1052
Golden Plains (S)	1	4	1441
Golden Plains (S)	1	5	669
Golden Plains (S)	1	6	283
Greater Bendigo (C)	0	1	11569
Greater Bendigo (C)	0	2	1219
Greater Bendigo (C)	0	3	317
Greater Bendigo (C)	0	4	89
Greater Bendigo (C)	0	5	27
Greater Bendigo (C)	0	6	15
Greater Bendigo (C)	1	2	13361
Greater Bendigo (C)	1	3	5841
Greater Bendigo (C)	1	4	5385
Greater Bendigo (C)	1	5	2488
Greater Bendigo (C)	1	6	1050
Greater Dandenong (C)	0	1	10194
Greater Dandenong (C)	0	2	1203
Greater Dandenong (C)	0	3	420
Greater Dandenong (C)	0	4	286
Greater Dandenong (C)	0	5	174
Greater Dandenong (C)	0	6	169
Greater Dandenong (C)	1	2	11876
Greater Dandenong (C)	1	3	8765
Greater Dandenong (C)	1	4	8042
Greater Dandenong (C)	1	5	4003
Greater Dandenong (C)	1	6	3430
Greater Geelong (C)	0	1	24186
Greater Geelong (C)	0	2	2154
Greater Geelong (C)	0	3	557
Greater Geelong (C)	0	4	241
Greater Geelong (C)	0	5	98
Greater Geelong (C)	0	6	86
Greater Geelong (C)	1	2	27640
Greater Geelong (C)	1	3	12595
Greater Geelong (C)	1	4	12400
Greater Geelong (C)	1	5	5121
Greater Geelong (C)	1	6	1924
Greater Shepparton (C)	0	1	6139
Greater Shepparton (C)	0	2	535
Greater Shepparton (C)	0	3	94
Greater Shepparton (C)	0	4	44
Greater Shepparton (C)	0	5	19
Greater Shepparton (C)	0	6	10
Greater Shepparton (C)	1	2	7111
Greater Shepparton (C)	1	3	3205
Greater Shepparton (C)	1	4	3129
Greater Shepparton (C)	1	5	1506
Greater Shepparton (C)	1	6	796
Hepburn (S)	0	1	1952
Hepburn (S)	0	2	149
Hepburn (S)	0	3	13
Hepburn (S)	0	4	6
Hepburn (S)	1	2	2186
Hepburn (S)	1	3	715
Hepburn (S)	1	4	630
Hepburn (S)	1	5	278
Hepburn (S)	1	6	103
Hindmarsh (S)	0	1	780
Hindmarsh (S)	0	2	54
Hindmarsh (S)	0	3	3
Hindmarsh (S)	0	4	3
Hindmarsh (S)	1	2	843
Hindmarsh (S)	1	3	254
Hindmarsh (S)	1	4	219
Hindmarsh (S)	1	5	117
Hindmarsh (S)	1	6	46
Hobsons Bay (C)	0	1	8097
Hobsons Bay (C)	0	2	799
Hobsons Bay (C)	0	3	222
Hobsons Bay (C)	0	4	65
Hobsons Bay (C)	0	5	30
Hobsons Bay (C)	0	6	18
Hobsons Bay (C)	1	2	9540
Hobsons Bay (C)	1	3	5460
Hobsons Bay (C)	1	4	5470
Hobsons Bay (C)	1	5	1954
Hobsons Bay (C)	1	6	847
Horsham (RC)	0	1	2427
Horsham (RC)	0	2	139
Horsham (RC)	0	3	33
Horsham (RC)	0	4	11
Horsham (RC)	1	2	2606
Horsham (RC)	1	3	945
Horsham (RC)	1	4	967
Horsham (RC)	1	5	441
Horsham (RC)	1	6	149
Hume (C)	0	1	9963
Hume (C)	0	2	991
Hume (C)	0	3	203
Hume (C)	0	4	104
Hume (C)	0	5	37
Hume (C)	0	6	32
Hume (C)	1	2	14641
Hume (C)	1	3	10993
Hume (C)	1	4	12246
Hume (C)	1	5	6386
Hume (C)	1	6	4530
Indigo (S)	0	1	1495
Indigo (S)	0	2	120
Indigo (S)	0	3	16
Indigo (S)	0	4	4
Indigo (S)	1	2	2199
Indigo (S)	1	3	800
Indigo (S)	1	4	789
Indigo (S)	1	5	332
Indigo (S)	1	6	147
Kingston (C) (Vic.)	0	1	14338
Kingston (C) (Vic.)	0	2	1271
Kingston (C) (Vic.)	0	3	238
Kingston (C) (Vic.)	0	4	96
Kingston (C) (Vic.)	0	5	44
Kingston (C) (Vic.)	0	6	40
Kingston (C) (Vic.)	1	2	16409
Kingston (C) (Vic.)	1	3	9238
Kingston (C) (Vic.)	1	4	9737
Kingston (C) (Vic.)	1	5	3512
Kingston (C) (Vic.)	1	6	1120
Knox (C)	0	1	10856
Knox (C)	0	2	986
Knox (C)	0	3	188
Knox (C)	0	4	66
Knox (C)	0	5	16
Knox (C)	0	6	8
Knox (C)	1	2	15507
Knox (C)	1	3	9741
Knox (C)	1	4	10640
Knox (C)	1	5	3990
Knox (C)	1	6	1654
Latrobe (C) (Vic.)	0	1	8776
Latrobe (C) (Vic.)	0	2	674
Latrobe (C) (Vic.)	0	3	96
Latrobe (C) (Vic.)	0	4	23
Latrobe (C) (Vic.)	0	6	3
Latrobe (C) (Vic.)	1	2	9190
Latrobe (C) (Vic.)	1	3	3899
Latrobe (C) (Vic.)	1	4	3527
Latrobe (C) (Vic.)	1	5	1414
Latrobe (C) (Vic.)	1	6	603
Loddon (S)	0	1	1015
Loddon (S)	0	2	85
Loddon (S)	0	3	3
Loddon (S)	0	4	3
Loddon (S)	1	2	1082
Loddon (S)	1	3	309
Loddon (S)	1	4	241
Loddon (S)	1	5	140
Loddon (S)	1	6	85
Macedon Ranges (S)	0	1	3174
Macedon Ranges (S)	0	2	229
Macedon Ranges (S)	0	3	33
Macedon Ranges (S)	0	4	5
Macedon Ranges (S)	0	5	7
Macedon Ranges (S)	0	6	6
Macedon Ranges (S)	1	2	5185
Macedon Ranges (S)	1	3	2400
Macedon Ranges (S)	1	4	2973
Macedon Ranges (S)	1	5	1270
Macedon Ranges (S)	1	6	455
Manningham (C)	0	1	7463
Manningham (C)	0	2	578
Manningham (C)	0	3	174
Manningham (C)	0	4	69
Manningham (C)	0	5	27
Manningham (C)	0	6	13
Manningham (C)	1	2	12293
Manningham (C)	1	3	7131
Manningham (C)	1	4	7870
Manningham (C)	1	5	3284
Manningham (C)	1	6	1178
Mansfield (S)	0	1	1013
Mansfield (S)	0	2	74
Mansfield (S)	0	3	8
Mansfield (S)	0	4	3
Mansfield (S)	1	2	1184
Mansfield (S)	1	3	345
Mansfield (S)	1	4	373
Mansfield (S)	1	5	153
Mansfield (S)	1	6	60
Maribyrnong (C)	0	1	8121
Maribyrnong (C)	0	2	1622
Maribyrnong (C)	0	3	680
Maribyrnong (C)	0	4	308
Maribyrnong (C)	0	5	110
Maribyrnong (C)	0	6	86
Maribyrnong (C)	1	2	8306
Maribyrnong (C)	1	3	4692
Maribyrnong (C)	1	4	4354
Maribyrnong (C)	1	5	1437
Maribyrnong (C)	1	6	762
Maroondah (C)	0	1	9642
Maroondah (C)	0	2	935
Maroondah (C)	0	3	148
Maroondah (C)	0	4	51
Maroondah (C)	0	5	8
Maroondah (C)	0	6	3
Maroondah (C)	1	2	11844
Maroondah (C)	1	3	6514
Maroondah (C)	1	4	6992
Maroondah (C)	1	5	2791
Maroondah (C)	1	6	1043
Melbourne (C)	0	1	20646
Melbourne (C)	0	2	7328
Melbourne (C)	0	3	2906
Melbourne (C)	0	4	1131
Melbourne (C)	0	5	382
Melbourne (C)	0	6	181
Melbourne (C)	1	2	15751
Melbourne (C)	1	3	5111
Melbourne (C)	1	4	2522
Melbourne (C)	1	5	717
Melbourne (C)	1	6	341
Melton (C)	0	1	6714
Melton (C)	0	2	801
Melton (C)	0	3	101
Melton (C)	0	4	31
Melton (C)	0	5	8
Melton (C)	0	6	3
Melton (C)	1	2	10278
Melton (C)	1	3	7827
Melton (C)	1	4	9428
Melton (C)	1	5	4123
Melton (C)	1	6	2388
Mildura (RC)	0	1	5675
Mildura (RC)	0	2	470
Mildura (RC)	0	3	77
Mildura (RC)	0	4	39
Mildura (RC)	0	5	14
Mildura (RC)	0	6	13
Mildura (RC)	1	2	6433
Mildura (RC)	1	3	2732
Mildura (RC)	1	4	2495
Mildura (RC)	1	5	1269
Mildura (RC)	1	6	596
Mitchell (S)	0	1	3000
Mitchell (S)	0	2	270
Mitchell (S)	0	3	29
Mitchell (S)	0	4	7
Mitchell (S)	0	5	9
Mitchell (S)	0	6	6
Mitchell (S)	1	2	4266
Mitchell (S)	1	3	2213
Mitchell (S)	1	4	2308
Mitchell (S)	1	5	1104
Mitchell (S)	1	6	510
Moira (S)	0	1	3160
Moira (S)	0	2	235
Moira (S)	0	3	25
Moira (S)	0	4	10
Moira (S)	0	6	3
Moira (S)	1	2	3958
Moira (S)	1	3	1343
Moira (S)	1	4	1196
Moira (S)	1	5	650
Moira (S)	1	6	324
Monash (C)	0	1	12290
Monash (C)	0	2	1672
Monash (C)	0	3	1090
Monash (C)	0	4	737
Monash (C)	0	5	270
Monash (C)	0	6	188
Monash (C)	1	2	17295
Monash (C)	1	3	10969
Monash (C)	1	4	11855
