LGA_NAME16	Age	Sex	persons
Bogan (A)	25-34	M	165
Bogan (A)	35-44	F	150
Bogan (A)	35-44	M	149
Bogan (A)	45-54	F	180
Bogan (A)	45-54	M	213
Bogan (A)	55-64	F	137
Bogan (A)	55-64	M	145
Bogan (A)	65-74	F	152
Bogan (A)	65-74	M	132
Bogan (A)	75-84	F	93
Bogan (A)	75-84	M	94
Bogan (A)	85+	F	39
Bogan (A)	85+	M	22
Botany Bay (C)	0-4	F	1405
Botany Bay (C)	0-4	M	1495
Botany Bay (C)	5-14	F	2434
Botany Bay (C)	5-14	M	2586
Botany Bay (C)	15-19	F	1270
Botany Bay (C)	15-19	M	1385
Botany Bay (C)	20-24	F	1874
Botany Bay (C)	20-24	M	1920
Botany Bay (C)	25-34	F	4328
Botany Bay (C)	25-34	M	4437
Botany Bay (C)	35-44	F	3609
Botany Bay (C)	35-44	M	3546
Botany Bay (C)	45-54	F	2895
Botany Bay (C)	45-54	M	2957
Botany Bay (C)	55-64	F	2241
Botany Bay (C)	55-64	M	2190
Botany Bay (C)	65-74	F	1770
Botany Bay (C)	65-74	M	1500
Botany Bay (C)	75-84	F	1101
Botany Bay (C)	75-84	M	953
Botany Bay (C)	85+	F	497
Botany Bay (C)	85+	M	265
Bourke (A)	0-4	F	109
Bourke (A)	0-4	M	109
Bourke (A)	5-14	F	195
Bourke (A)	5-14	M	202
Bourke (A)	15-19	F	68
Bourke (A)	15-19	M	52
Bourke (A)	20-24	F	81
Bourke (A)	20-24	M	81
Bourke (A)	25-34	F	192
Bourke (A)	25-34	M	181
Bourke (A)	35-44	F	161
Bourke (A)	35-44	M	132
Bourke (A)	45-54	F	199
Bourke (A)	45-54	M	201
Bourke (A)	55-64	F	132
Bourke (A)	55-64	M	179
Bourke (A)	65-74	F	96
Bourke (A)	65-74	M	111
Bourke (A)	75-84	F	58
Bourke (A)	75-84	M	48
Bourke (A)	85+	F	27
Bourke (A)	85+	M	11
Brewarrina (A)	0-4	F	53
Brewarrina (A)	0-4	M	69
Brewarrina (A)	5-14	F	125
Brewarrina (A)	5-14	M	131
Brewarrina (A)	15-19	F	51
Brewarrina (A)	15-19	M	41
Brewarrina (A)	20-24	F	55
Brewarrina (A)	20-24	M	62
Brewarrina (A)	25-34	F	111
Brewarrina (A)	25-34	M	118
Brewarrina (A)	35-44	F	81
Brewarrina (A)	35-44	M	81
Brewarrina (A)	45-54	F	131
Brewarrina (A)	45-54	M	145
Brewarrina (A)	55-64	F	106
Brewarrina (A)	55-64	M	113
