LGA_NAME16	HomeCensusNight	persons
Maranoa (R)	1	11706
Mareeba (S)	0	1204
Mareeba (S)	1	20352
Moreton Bay (R)	0	18573
Moreton Bay (R)	1	406732
Mornington (S)	0	83
Mornington (S)	1	1054
Mount Isa (C)	0	1283
Mount Isa (C)	1	17389
Murweh (S)	0	388
Murweh (S)	1	3928
Napranum (S)	0	48
Napranum (S)	1	908
Noosa (S)	0	3153
Noosa (S)	1	48996
North Burnett (R)	0	709
North Burnett (R)	1	9771
Northern Peninsula Area (R)	0	187
Northern Peninsula Area (R)	1	2614
Palm Island (S)	0	130
Palm Island (S)	1	2317
Paroo (S)	0	193
Paroo (S)	1	1449
Pormpuraaw (S)	0	50
Pormpuraaw (S)	1	704
Quilpie (S)	0	87
Quilpie (S)	1	727
Redland (C)	0	6886
Redland (C)	1	140128
Richmond (S)	0	93
Richmond (S)	1	701
Rockhampton (R)	0	5203
Rockhampton (R)	1	74526
Scenic Rim (R)	0	1837
Scenic Rim (R)	1	38240
Somerset (R)	0	1208
Somerset (R)	1	23386
South Burnett (R)	0	1876
South Burnett (R)	1	30310
Southern Downs (R)	0	2040
Southern Downs (R)	1	33068
Sunshine Coast (R)	0	15891
Sunshine Coast (R)	1	278479
Tablelands (R)	0	1544
Tablelands (R)	1	23284
Toowoomba (R)	0	8539
Toowoomba (R)	1	152239
Torres (S)	0	410
Torres (S)	1	3199
Torres Strait Island (R)	0	436
Torres Strait Island (R)	1	4084
Townsville (C)	0	10986
Townsville (C)	1	175770
Weipa (T)	0	278
Weipa (T)	1	3630
Western Downs (R)	0	2225
Western Downs (R)	1	31220
Whitsunday (R)	0	2469
Whitsunday (R)	1	31305
Winton (S)	0	103
Winton (S)	1	1029
Woorabinda (S)	0	49
Woorabinda (S)	1	911
Wujal Wujal (S)	0	22
Wujal Wujal (S)	1	259
Yarrabah (S)	0	88
Yarrabah (S)	1	2472
No usual address (Qld)	0	12510
Migratory - Offshore - Shipping (Qld)	0	21
Migratory - Offshore - Shipping (Qld)	1	135
Adelaide (C)	0	1238
Adelaide (C)	1	20834
Adelaide Hills (DC)	0	2014
Adelaide Hills (DC)	1	36850
Alexandrina (DC)	0	1814
Alexandrina (DC)	1	24057
Anangu Pitjantjatjara (AC)	0	133
Anangu Pitjantjatjara (AC)	1	2137
Barossa (DC)	0	1204
Barossa (DC)	1	22353
Barunga West (DC)	0	239
Barunga West (DC)	1	2306
Berri and Barmera (DC)	0	597
Berri and Barmera (DC)	1	9949
Burnside (C)	0	1978
Burnside (C)	1	41934
Campbelltown (C) (SA)	0	1855
Campbelltown (C) (SA)	1	48309
Ceduna (DC)	0	279
Ceduna (DC)	1	3128
Charles Sturt (C)	0	4930
Charles Sturt (C)	1	106827
Clare and Gilbert Valleys (DC)	0	635
Clare and Gilbert Valleys (DC)	1	8381
Cleve (DC)	0	112
Cleve (DC)	1	1657
Coober Pedy (DC)	0	135
Coober Pedy (DC)	1	1627
Copper Coast (DC)	0	1015
Copper Coast (DC)	1	13124
Elliston (DC)	0	89
Elliston (DC)	1	958
Flinders Ranges (DC)	0	192
Flinders Ranges (DC)	1	1452
Franklin Harbour (DC)	0	109
Franklin Harbour (DC)	1	1185
Gawler (T)	0	1133
Gawler (T)	1	21905
Goyder (DC)	0	288
Goyder (DC)	1	3851
Grant (DC)	0	510
Grant (DC)	1	7694
Holdfast Bay (C)	0	2071
Holdfast Bay (C)	1	33292
Kangaroo Island (DC)	0	480
Kangaroo Island (DC)	1	4224
Karoonda East Murray (DC)	0	62
Karoonda East Murray (DC)	1	1024
Kimba (DC)	0	78
Kimba (DC)	1	982
Kingston (DC) (SA)	0	208
Kingston (DC) (SA)	1	2142
Light (RegC)	0	652
Light (RegC)	1	14084
Lower Eyre Peninsula (DC)	0	377
Lower Eyre Peninsula (DC)	1	5134
Loxton Waikerie (DC)	0	666
Loxton Waikerie (DC)	1	10820
Mallala (DC)	0	391
Mallala (DC)	1	8412
Maralinga Tjarutja (AC)	0	3
Maralinga Tjarutja (AC)	1	54
Marion (C)	0	3939
Marion (C)	1	84673
Mid Murray (DC)	0	635
Mid Murray (DC)	1	8006
Mitcham (C)	0	3051
Mitcham (C)	1	61758
Mount Barker (DC)	0	1684
Mount Barker (DC)	1	31713
Mount Gambier (C)	0	1768
Mount Gambier (C)	1	24508
Mount Remarkable (DC)	0	221
Mount Remarkable (DC)	1	2641
Murray Bridge (RC)	0	1055
Murray Bridge (RC)	1	19807
Naracoorte and Lucindale (DC)	0	577
Naracoorte and Lucindale (DC)	1	7711
Northern Areas (DC)	0	247
Northern Areas (DC)	1	4278
Norwood Payneham St Peters (C)	0	1690
Norwood Payneham St Peters (C)	1	33669
Onkaparinga (C)	0	7923
Onkaparinga (C)	1	158845
Orroroo/Carrieton (DC)	0	73
Orroroo/Carrieton (DC)	1	820
Peterborough (DC)	0	135
Peterborough (DC)	1	1540
Playford (C)	0	3914
Playford (C)	1	85459
Port Adelaide Enfield (C)	0	5057
Port Adelaide Enfield (C)	1	116176
Port Augusta (C)	0	1082
Port Augusta (C)	1	12728
Port Lincoln (C)	0	1266
Port Lincoln (C)	1	12796
Port Pirie City and Dists (M)	0	1130
Port Pirie City and Dists (M)	1	16236
Prospect (C)	0	1039
Prospect (C)	1	19482
Renmark Paringa (DC)	0	631
Renmark Paringa (DC)	1	8844
Robe (DC)	0	187
Robe (DC)	1	1189
Roxby Downs (M)	0	200
Roxby Downs (M)	1	3680
Salisbury (C)	0	5417
Salisbury (C)	1	132565
Southern Mallee (DC)	0	151
Southern Mallee (DC)	1	1877
Streaky Bay (DC)	0	204
Streaky Bay (DC)	1	1871
Tatiara (DC)	0	449
Tatiara (DC)	1	6172
Tea Tree Gully (C)	0	4248
Tea Tree Gully (C)	1	93488
The Coorong (DC)	0	379
The Coorong (DC)	1	5005
Tumby Bay (DC)	0	235
Tumby Bay (DC)	1	2380
Unley (C)	0	1759
Unley (C)	1	35963
Victor Harbor (C)	0	1162
Victor Harbor (C)	1	13499
Wakefield (DC)	0	397
Wakefield (DC)	1	6404
Walkerville (M)	0	375
Walkerville (M)	1	7177
Wattle Range (DC)	0	861
Wattle Range (DC)	1	10821
West Torrens (C)	0	2441
West Torrens (C)	1	55459
Whyalla (C)	0	1474
Whyalla (C)	1	20357
Wudinna (DC)	0	83
Wudinna (DC)	1	1166
Yankalilla (DC)	0	423
Yankalilla (DC)	1	4735
Yorke Peninsula (DC)	0	1124
Yorke Peninsula (DC)	1	9936
Unincorporated SA	0	309
Unincorporated SA	1	3210
No usual address (SA)	0	2863
Migratory - Offshore - Shipping (SA)	1	3
Albany (C)	0	2700
Albany (C)	1	33884
Armadale (C)	0	3441
Armadale (C)	1	76154
Ashburton (S)	0	832
Ashburton (S)	1	12195
Augusta-Margaret River (S)	0	1310
Augusta-Margaret River (S)	1	12954
Bassendean (T)	0	683
Bassendean (T)	1	14409
Bayswater (C)	0	2909
Bayswater (C)	1	61762
Belmont (C)	0	2092
Belmont (C)	1	37590
Beverley (S)	0	176
Beverley (S)	1	1571
Boddington (S)	0	145
Boddington (S)	1	1704
Boyup Brook (S)	0	137
Boyup Brook (S)	1	1570
Bridgetown-Greenbushes (S)	0	323
Bridgetown-Greenbushes (S)	1	4331
Brookton (S)	0	64
Brookton (S)	1	913
Broome (S)	0	1122
Broome (S)	1	15096
Broomehill-Tambellup (S)	0	124
Broomehill-Tambellup (S)	1	1014
Bruce Rock (S)	0	61
Bruce Rock (S)	1	866
Bunbury (C)	0	2240
Bunbury (C)	1	29680
Busselton (C)	0	3324
Busselton (C)	1	33362
Cambridge (T)	0	1238
Cambridge (T)	1	25546
Canning (C)	0	3476
Canning (C)	1	86713
Capel (S)	0	1056
Capel (S)	1	16065
Carnamah (S)	0	48
Carnamah (S)	1	497
Carnarvon (S)	0	413
Carnarvon (S)	1	5113
Chapman Valley (S)	0	89
Chapman Valley (S)	1	1328
Chittering (S)	0	352
Chittering (S)	1	5122
Claremont (T)	0	477
Claremont (T)	1	9578
Cockburn (C)	0	4682
Cockburn (C)	1	99786
Collie (S)	0	611
Collie (S)	1	8191
Coolgardie (S)	0	209
Coolgardie (S)	1	3402
Coorow (S)	0	133
Coorow (S)	1	908
Corrigin (S)	0	128
Corrigin (S)	1	1016
Cottesloe (T)	0	537
Cottesloe (T)	1	7065
Cranbrook (S)	0	94
Cranbrook (S)	1	992
Cuballing (S)	0	87
Cuballing (S)	1	779
Cue (S)	0	13
Cue (S)	1	176
Cunderdin (S)	0	83
Cunderdin (S)	1	1376
Dalwallinu (S)	0	111
Dalwallinu (S)	1	1315
Dandaragan (S)	0	349
Dandaragan (S)	1	2864
Dardanup (S)	0	949
Dardanup (S)	1	13082
Denmark (S)	0	531
Denmark (S)	1	5319
Derby-West Kimberley (S)	0	580
Derby-West Kimberley (S)	1	7149
Donnybrook-Balingup (S)	0	459
Donnybrook-Balingup (S)	1	5410
Dowerin (S)	0	41
Dowerin (S)	1	652
Dumbleyung (S)	0	51
Dumbleyung (S)	1	620
Dundas (S)	0	70
Dundas (S)	1	696
East Fremantle (T)	0	434
East Fremantle (T)	1	6944
East Pilbara (S)	0	689
East Pilbara (S)	1	9899
Esperance (S)	0	1219
Esperance (S)	1	13018
Exmouth (S)	0	266
Exmouth (S)	1	2459
Fremantle (C)	0	1765
Fremantle (C)	1	27125
Gingin (S)	0	496
Gingin (S)	1	4715
Gnowangerup (S)	0	103
Gnowangerup (S)	1	1112
Goomalling (S)	0	67
Goomalling (S)	1	967
Gosnells (C)	0	4485
Gosnells (C)	1	113587
Greater Geraldton (C)	0	2720
Greater Geraldton (C)	1	35917
Halls Creek (S)	0	346
Halls Creek (S)	1	2916
Harvey (S)	0	1742
Harvey (S)	1	24809
Irwin (S)	0	336
Irwin (S)	1	3229
Jerramungup (S)	0	105
Jerramungup (S)	1	1003
Joondalup (C)	0	6792
Joondalup (C)	1	147650
Kalamunda (S)	0	2935
Kalamunda (S)	1	54512
Kalgoorlie/Boulder (C)	0	1777
Kalgoorlie/Boulder (C)	1	28273
Karratha (C)	0	1188
Karratha (C)	1	20286
Katanning (S)	0	288
Katanning (S)	1	3867
Kellerberrin (S)	0	65
Kellerberrin (S)	1	1156
Kent (S)	0	51
Kent (S)	1	506
Kojonup (S)	0	119
Kojonup (S)	1	1865
Kondinin (S)	0	90
Kondinin (S)	1	783
Koorda (S)	0	33
Koorda (S)	1	383
Kulin (S)	0	71
Kulin (S)	1	694
Kwinana (C)	0	1844
Kwinana (C)	1	37075
Lake Grace (S)	0	144
Lake Grace (S)	1	1122
Laverton (S)	0	73
Laverton (S)	1	1076
Leonora (S)	0	88
Leonora (S)	1	1318
Mandurah (C)	0	6139
Mandurah (C)	1	74674
Manjimup (S)	0	709
Manjimup (S)	1	8548
Meekatharra (S)	0	86
Meekatharra (S)	1	980
Melville (C)	0	4241
Melville (C)	1	93839
Menzies (S)	0	47
Menzies (S)	1	441
Merredin (S)	0	218
Merredin (S)	1	3133
Mingenew (S)	0	36
Mingenew (S)	1	416
Moora (S)	0	134
Moora (S)	1	2301
Morawa (S)	0	50
Morawa (S)	1	703
Mosman Park (T)	0	509
Mosman Park (T)	1	8248
Mount Magnet (S)	0	36
Mount Magnet (S)	1	450
Mount Marshall (S)	0	37
Mount Marshall (S)	1	490
Mukinbudin (S)	0	55
Mukinbudin (S)	1	495
Mundaring (S)	0	1980
Mundaring (S)	1	36174
Murchison (S)	0	16
Murchison (S)	1	143
Murray (S)	0	1231
Murray (S)	1	15468
Nannup (S)	0	127
Nannup (S)	1	1202
Narembeen (S)	0	76
Narembeen (S)	1	726
Narrogin (S)	0	356
Narrogin (S)	1	4804
Nedlands (C)	0	913
Nedlands (C)	1	20205
Ngaanyatjarraku (S)	0	125
Ngaanyatjarraku (S)	1	1484
Northam (S)	0	662
Northam (S)	1	10455
Northampton (S)	0	341
Northampton (S)	1	2981
Nungarin (S)	0	20
Nungarin (S)	1	229
Peppermint Grove (S)	0	77
Peppermint Grove (S)	1	1560
Perenjori (S)	0	34
Perenjori (S)	1	581
Perth (C)	0	1354
Perth (C)	1	20441
