LGA_NAME16	FamilyComposition	families_with_children
Waverley (A)	Intact family with no other children present	6289
Waverley (A)	Intact family with other children present	32
Waverley (A)	Other couple family with other children only	5
Waverley (A)	Step family with no other children present	315
Weddin (A)	Blended family with no other children present	20
Weddin (A)	Intact family with no other children present	282
Weddin (A)	Step family with no other children present	13
Wentworth (A)	Blended family with no other children present	28
Wentworth (A)	Intact family with no other children present	578
Wentworth (A)	Intact family with other children present	7
Wentworth (A)	Other couple family with other children only	9
Wentworth (A)	Step family with no other children present	49
Western Plains Regional (A)	Blended family with no other children present	257
Western Plains Regional (A)	Blended family with other children present	8
Western Plains Regional (A)	Intact family with no other children present	4347
Western Plains Regional (A)	Intact family with other children present	73
Western Plains Regional (A)	Other couple family with other children only	54
Western Plains Regional (A)	Step family with no other children present	325
Western Plains Regional (A)	Step family with other children present	11
Willoughby (C)	Blended family with no other children present	138
Willoughby (C)	Intact family with no other children present	9686
Willoughby (C)	Intact family with other children present	80
Willoughby (C)	Other couple family with other children only	29
Willoughby (C)	Step family with no other children present	353
Willoughby (C)	Step family with other children present	3
Wingecarribee (A)	Blended family with no other children present	221
Wingecarribee (A)	Blended family with other children present	8
Wingecarribee (A)	Intact family with no other children present	4325
Wingecarribee (A)	Intact family with other children present	40
Wingecarribee (A)	Other couple family with other children only	29
Wingecarribee (A)	Step family with no other children present	358
Wollondilly (A)	Blended family with no other children present	360
Wollondilly (A)	Blended family with other children present	3
Wollondilly (A)	Intact family with no other children present	6006
Wollondilly (A)	Intact family with other children present	100
Wollondilly (A)	Other couple family with other children only	49
Wollondilly (A)	Step family with no other children present	440
Wollondilly (A)	Step family with other children present	9
Wollongong (C)	Blended family with no other children present	888
Wollongong (C)	Blended family with other children present	12
Wollongong (C)	Intact family with no other children present	20984
Wollongong (C)	Intact family with other children present	198
Wollongong (C)	Other couple family with other children only	121
Wollongong (C)	Step family with no other children present	1469
Wollongong (C)	Step family with other children present	27
Woollahra (A)	Blended family with no other children present	88
Woollahra (A)	Blended family with other children present	3
Woollahra (A)	Intact family with no other children present	5181
Woollahra (A)	Intact family with other children present	20
Woollahra (A)	Other couple family with other children only	7
Woollahra (A)	Step family with no other children present	270
Yass Valley (A)	Blended family with no other children present	85
Yass Valley (A)	Intact family with no other children present	1819
Yass Valley (A)	Intact family with other children present	25
Yass Valley (A)	Other couple family with other children only	8
Yass Valley (A)	Step family with no other children present	141
Unincorporated NSW	Blended family with no other children present	3
Unincorporated NSW	Intact family with no other children present	97
Unincorporated NSW	Step family with no other children present	4
Alpine (S)	Blended family with no other children present	46
Alpine (S)	Intact family with no other children present	1010
Alpine (S)	Intact family with other children present	7
Alpine (S)	Other couple family with other children only	10
Alpine (S)	Step family with no other children present	72
Ararat (RC)	Blended family with no other children present	55
Ararat (RC)	Intact family with no other children present	832
Ararat (RC)	Intact family with other children present	17
Ararat (RC)	Other couple family with other children only	13
Ararat (RC)	Step family with no other children present	71
Ararat (RC)	Step family with other children present	4
Ballarat (C)	Blended family with no other children present	476
Ballarat (C)	Blended family with other children present	7
Ballarat (C)	Intact family with no other children present	9116
Ballarat (C)	Intact family with other children present	73
Ballarat (C)	Other couple family with other children only	39
Ballarat (C)	Step family with no other children present	740
Ballarat (C)	Step family with other children present	13
Banyule (C)	Blended family with no other children present	314
Banyule (C)	Intact family with no other children present	14743
Banyule (C)	Intact family with other children present	106
Banyule (C)	Other couple family with other children only	34
Banyule (C)	Step family with no other children present	723
Banyule (C)	Step family with other children present	9
Bass Coast (S)	Blended family with no other children present	156
Bass Coast (S)	Blended family with other children present	4
Bass Coast (S)	Intact family with no other children present	2433
Bass Coast (S)	Intact family with other children present	26
Bass Coast (S)	Other couple family with other children only	16
Bass Coast (S)	Step family with no other children present	185
Baw Baw (S)	Blended family with no other children present	257
Baw Baw (S)	Blended family with other children present	3
Baw Baw (S)	Intact family with no other children present	4566
Baw Baw (S)	Intact family with other children present	36
Baw Baw (S)	Other couple family with other children only	34
Baw Baw (S)	Step family with no other children present	387
Baw Baw (S)	Step family with other children present	4
Bayside (C)	Blended family with no other children present	226
Bayside (C)	Blended family with other children present	3
Bayside (C)	Intact family with no other children present	12533
Bayside (C)	Intact family with other children present	54
Bayside (C)	Other couple family with other children only	21
Bayside (C)	Step family with no other children present	625
Bayside (C)	Step family with other children present	6
Benalla (RC)	Blended family with no other children present	51
Benalla (RC)	Intact family with no other children present	989
Benalla (RC)	Intact family with other children present	15
Benalla (RC)	Other couple family with other children only	9
Benalla (RC)	Step family with no other children present	98
Boroondara (C)	Blended family with no other children present	303
Boroondara (C)	Blended family with other children present	6
Boroondara (C)	Intact family with no other children present	20764
Boroondara (C)	Intact family with other children present	156
Boroondara (C)	Other couple family with other children only	17
Boroondara (C)	Step family with no other children present	855
Boroondara (C)	Step family with other children present	11
Brimbank (C)	Blended family with no other children present	679
Brimbank (C)	Blended family with other children present	28
Brimbank (C)	Intact family with no other children present	22418
Brimbank (C)	Intact family with other children present	482
Brimbank (C)	Other couple family with other children only	121
Brimbank (C)	Step family with no other children present	1192
Brimbank (C)	Step family with other children present	40
Buloke (S)	Blended family with no other children present	27
Buloke (S)	Intact family with no other children present	490
Buloke (S)	Other couple family with other children only	6
Buloke (S)	Step family with no other children present	32
Campaspe (S)	Blended family with no other children present	179
Campaspe (S)	Intact family with no other children present	3246
Campaspe (S)	Intact family with other children present	26
Campaspe (S)	Other couple family with other children only	24
Campaspe (S)	Step family with no other children present	267
Campaspe (S)	Step family with other children present	3
Cardinia (S)	Blended family with no other children present	650
Cardinia (S)	Blended family with other children present	10
Cardinia (S)	Intact family with no other children present	10880
Cardinia (S)	Intact family with other children present	118
Cardinia (S)	Other couple family with other children only	65
Cardinia (S)	Step family with no other children present	951
Cardinia (S)	Step family with other children present	15
Casey (C)	Blended family with no other children present	1566
Casey (C)	Blended family with other children present	36
Casey (C)	Intact family with no other children present	39305
Casey (C)	Intact family with other children present	625
Casey (C)	Other couple family with other children only	126
Casey (C)	Step family with no other children present	2549
Casey (C)	Step family with other children present	55
Central Goldfields (S)	Blended family with no other children present	66
Central Goldfields (S)	Intact family with no other children present	875
Central Goldfields (S)	Intact family with other children present	7
Central Goldfields (S)	Other couple family with other children only	13
Central Goldfields (S)	Step family with no other children present	102
Central Goldfields (S)	Step family with other children present	3
Colac-Otway (S)	Blended family with no other children present	86
Colac-Otway (S)	Intact family with no other children present	1788
Colac-Otway (S)	Intact family with other children present	20
Colac-Otway (S)	Other couple family with other children only	13
Colac-Otway (S)	Step family with no other children present	139
Corangamite (S)	Blended family with no other children present	87
Corangamite (S)	Intact family with no other children present	1440
Corangamite (S)	Intact family with other children present	5
Corangamite (S)	Other couple family with other children only	4
Corangamite (S)	Step family with no other children present	89
Darebin (C)	Blended family with no other children present	286
Darebin (C)	Blended family with other children present	5
Darebin (C)	Intact family with no other children present	14782
Darebin (C)	Intact family with other children present	161
Darebin (C)	Other couple family with other children only	39
Darebin (C)	Step family with no other children present	680
Darebin (C)	Step family with other children present	9
East Gippsland (S)	Blended family with no other children present	181
East Gippsland (S)	Blended family with other children present	3
East Gippsland (S)	Intact family with no other children present	3304
East Gippsland (S)	Intact family with other children present	37
East Gippsland (S)	Other couple family with other children only	33
East Gippsland (S)	Step family with no other children present	294
East Gippsland (S)	Step family with other children present	7
Frankston (C)	Blended family with no other children present	738
Frankston (C)	Blended family with other children present	9
Frankston (C)	Intact family with no other children present	13297
Frankston (C)	Intact family with other children present	153
Frankston (C)	Other couple family with other children only	61
Frankston (C)	Step family with no other children present	1318
Frankston (C)	Step family with other children present	31
Gannawarra (S)	Blended family with no other children present	44
Gannawarra (S)	Intact family with no other children present	888
Gannawarra (S)	Intact family with other children present	10
Gannawarra (S)	Other couple family with other children only	15
Gannawarra (S)	Step family with no other children present	51
Glen Eira (C)	Blended family with no other children present	245
Glen Eira (C)	Intact family with no other children present	16997
Glen Eira (C)	Intact family with other children present	106
Glen Eira (C)	Other couple family with other children only	28
Glen Eira (C)	Step family with no other children present	764
Glen Eira (C)	Step family with other children present	13
Glenelg (S)	Blended family with no other children present	100
Glenelg (S)	Blended family with other children present	3
Glenelg (S)	Intact family with no other children present	1570
Glenelg (S)	Intact family with other children present	4
Glenelg (S)	Other couple family with other children only	18
Glenelg (S)	Step family with no other children present	159
Golden Plains (S)	Blended family with no other children present	123
Golden Plains (S)	Intact family with no other children present	2662
Golden Plains (S)	Intact family with other children present	16
Golden Plains (S)	Other couple family with other children only	17
Golden Plains (S)	Step family with no other children present	195
Golden Plains (S)	Step family with other children present	6
Greater Bendigo (C)	Blended family with no other children present	555
Greater Bendigo (C)	Blended family with other children present	6
Greater Bendigo (C)	Intact family with no other children present	9943
Greater Bendigo (C)	Intact family with other children present	73
Greater Bendigo (C)	Other couple family with other children only	66
Greater Bendigo (C)	Step family with no other children present	858
Greater Bendigo (C)	Step family with other children present	21
Greater Dandenong (C)	Blended family with no other children present	443
Greater Dandenong (C)	Blended family with other children present	15
Greater Dandenong (C)	Intact family with no other children present	16937
Greater Dandenong (C)	Intact family with other children present	431
Greater Dandenong (C)	Other couple family with other children only	80
Greater Dandenong (C)	Step family with no other children present	904
Greater Dandenong (C)	Step family with other children present	41
Greater Geelong (C)	Blended family with no other children present	925
Greater Geelong (C)	Blended family with other children present	12
Greater Geelong (C)	Intact family with no other children present	22572
Greater Geelong (C)	Intact family with other children present	162
Greater Geelong (C)	Other couple family with other children only	117
Greater Geelong (C)	Step family with no other children present	1756
Greater Geelong (C)	Step family with other children present	30
Greater Shepparton (C)	Blended family with no other children present	290
Greater Shepparton (C)	Blended family with other children present	3
Greater Shepparton (C)	Intact family with no other children present	6002
Greater Shepparton (C)	Intact family with other children present	71
Greater Shepparton (C)	Other couple family with other children only	43
Greater Shepparton (C)	Step family with no other children present	431
Greater Shepparton (C)	Step family with other children present	10
Hepburn (S)	Blended family with no other children present	59
Hepburn (S)	Blended family with other children present	3
Hepburn (S)	Intact family with no other children present	1206
Hepburn (S)	Intact family with other children present	9
Hepburn (S)	Other couple family with other children only	8
Hepburn (S)	Step family with no other children present	102
Hindmarsh (S)	Blended family with no other children present	21
Hindmarsh (S)	Intact family with no other children present	456
Hindmarsh (S)	Other couple family with other children only	12
Hindmarsh (S)	Step family with no other children present	35
Hobsons Bay (C)	Blended family with no other children present	259
Hobsons Bay (C)	Blended family with other children present	5
Hobsons Bay (C)	Intact family with no other children present	10336
Hobsons Bay (C)	Intact family with other children present	96
Hobsons Bay (C)	Other couple family with other children only	28
Hobsons Bay (C)	Step family with no other children present	551
Hobsons Bay (C)	Step family with other children present	8
Horsham (RC)	Blended family with no other children present	127
Horsham (RC)	Intact family with no other children present	1744
Horsham (RC)	Intact family with other children present	14
Horsham (RC)	Other couple family with other children only	12
Horsham (RC)	Step family with no other children present	130
Horsham (RC)	Step family with other children present	3
Hume (C)	Blended family with no other children present	772
Hume (C)	Blended family with other children present	16
Hume (C)	Intact family with no other children present	25385
Hume (C)	Intact family with other children present	370
Hume (C)	Other couple family with other children only	85
Hume (C)	Step family with no other children present	1321
Hume (C)	Step family with other children present	21
Indigo (S)	Blended family with no other children present	63
Indigo (S)	Intact family with no other children present	1517
Indigo (S)	Intact family with other children present	9
Indigo (S)	Other couple family with other children only	17
Indigo (S)	Step family with no other children present	124
Kingston (C) (Vic.)	Blended family with no other children present	491
Kingston (C) (Vic.)	Blended family with other children present	3
Kingston (C) (Vic.)	Intact family with no other children present	17928
Kingston (C) (Vic.)	Intact family with other children present	157
Kingston (C) (Vic.)	Other couple family with other children only	36
Kingston (C) (Vic.)	Step family with no other children present	1095
Kingston (C) (Vic.)	Step family with other children present	17
Knox (C)	Blended family with no other children present	612
Knox (C)	Blended family with other children present	7
Knox (C)	Intact family with no other children present	19440
Knox (C)	Intact family with other children present	200
Knox (C)	Other couple family with other children only	64
Knox (C)	Step family with no other children present	1268
Knox (C)	Step family with other children present	21
Latrobe (C) (Vic.)	Blended family with no other children present	379
Latrobe (C) (Vic.)	Blended family with other children present	5
Latrobe (C) (Vic.)	Intact family with no other children present	6103
Latrobe (C) (Vic.)	Intact family with other children present	66
Latrobe (C) (Vic.)	Other couple family with other children only	58
Latrobe (C) (Vic.)	Step family with no other children present	598
Latrobe (C) (Vic.)	Step family with other children present	11
Loddon (S)	Blended family with no other children present	18
Loddon (S)	Intact family with no other children present	571
Loddon (S)	Intact family with other children present	5
Loddon (S)	Other couple family with other children only	4
Loddon (S)	Step family with no other children present	35
Macedon Ranges (S)	Blended family with no other children present	212
Macedon Ranges (S)	Intact family with no other children present	5485
Macedon Ranges (S)	Intact family with other children present	35
Macedon Ranges (S)	Other couple family with other children only	24
Macedon Ranges (S)	Step family with no other children present	323
Macedon Ranges (S)	Step family with other children present	7
Manningham (C)	Blended family with no other children present	255
Manningham (C)	Blended family with other children present	9
Manningham (C)	Intact family with no other children present	15431
Manningham (C)	Intact family with other children present	165
Manningham (C)	Other couple family with other children only	35
Manningham (C)	Step family with no other children present	686
Manningham (C)	Step family with other children present	10
Mansfield (S)	Blended family with no other children present	22
Mansfield (S)	Intact family with no other children present	692
Mansfield (S)	Intact family with other children present	5
Mansfield (S)	Other couple family with other children only	4
Mansfield (S)	Step family with no other children present	54
Mansfield (S)	Step family with other children present	3
Maribyrnong (C)	Blended family with no other children present	137
Maribyrnong (C)	Blended family with other children present	7
Maribyrnong (C)	Intact family with no other children present	7986
Maribyrnong (C)	Intact family with other children present	100
Maribyrnong (C)	Other couple family with other children only	34
Maribyrnong (C)	Step family with no other children present	399
Maribyrnong (C)	Step family with other children present	4
Maroondah (C)	Blended family with no other children present	393
Maroondah (C)	Blended family with other children present	3
Maroondah (C)	Intact family with no other children present	13033
Maroondah (C)	Intact family with other children present	113
Maroondah (C)	Other couple family with other children only	27
Maroondah (C)	Step family with no other children present	848
Maroondah (C)	Step family with other children present	8
Melbourne (C)	Blended family with no other children present	79
Melbourne (C)	Intact family with no other children present	5205
Melbourne (C)	Intact family with other children present	27
Melbourne (C)	Other couple family with other children only	14
Melbourne (C)	Step family with no other children present	275
Melton (C)	Blended family with no other children present	707
Melton (C)	Blended family with other children present	15
Melton (C)	Intact family with no other children present	17237
Melton (C)	Intact family with other children present	235
Melton (C)	Other couple family with other children only	67
Melton (C)	Step family with no other children present	1075
Melton (C)	Step family with other children present	22
Mildura (RC)	Blended family with no other children present	262
Mildura (RC)	Blended family with other children present	6
Mildura (RC)	Intact family with no other children present	4627
Mildura (RC)	Intact family with other children present	55
Mildura (RC)	Other couple family with other children only	33
Mildura (RC)	Step family with no other children present	423
Mildura (RC)	Step family with other children present	9
Mitchell (S)	Blended family with no other children present	257
Mitchell (S)	Blended family with other children present	4
Mitchell (S)	Intact family with no other children present	4227
Mitchell (S)	Intact family with other children present	50
Mitchell (S)	Other couple family with other children only	26
Mitchell (S)	Step family with no other children present	375
Mitchell (S)	Step family with other children present	8
Moira (S)	Blended family with no other children present	130
Moira (S)	Blended family with other children present	4
Moira (S)	Intact family with no other children present	2379
Moira (S)	Intact family with other children present	22
Moira (S)	Other couple family with other children only	20
Moira (S)	Step family with no other children present	189
Moira (S)	Step family with other children present	3
Monash (C)	Blended family with no other children present	323
Monash (C)	Blended family with other children present	8
Monash (C)	Intact family with no other children present	22006
Monash (C)	Intact family with other children present	283
Monash (C)	Other couple family with other children only	50
Monash (C)	Step family with no other children present	873
Monash (C)	Step family with other children present	18
Moonee Valley (C)	Blended family with no other children present	250
Moonee Valley (C)	Blended family with other children present	4
Moonee Valley (C)	Intact family with no other children present	13431
Moonee Valley (C)	Intact family with other children present	77
Moonee Valley (C)	Other couple family with other children only	23
Moonee Valley (C)	Step family with no other children present	626
Moonee Valley (C)	Step family with other children present	10
Moorabool (S)	Blended family with no other children present	189
Moorabool (S)	Intact family with no other children present	3428
Moorabool (S)	Intact family with other children present	45
Moorabool (S)	Other couple family with other children only	29
Moorabool (S)	Step family with no other children present	279
Moorabool (S)	Step family with other children present	3
Moreland (C)	Blended family with no other children present	317
Moreland (C)	Blended family with other children present	3
Moreland (C)	Intact family with no other children present	16490
Moreland (C)	Intact family with other children present	135
Moreland (C)	Other couple family with other children only	28
Moreland (C)	Step family with no other children present	697
Moreland (C)	Step family with other children present	15
Mornington Peninsula (S)	Blended family with no other children present	685
Mornington Peninsula (S)	Blended family with other children present	9
Mornington Peninsula (S)	Intact family with no other children present	14845
Mornington Peninsula (S)	Intact family with other children present	113
Mornington Peninsula (S)	Other couple family with other children only	69
Mornington Peninsula (S)	Step family with no other children present	1327
Mornington Peninsula (S)	Step family with other children present	17
Mount Alexander (S)	Blended family with no other children present	56
Mount Alexander (S)	Intact family with no other children present	1478
Mount Alexander (S)	Intact family with other children present	8
Mount Alexander (S)	Other couple family with other children only	3
Mount Alexander (S)	Step family with no other children present	117
Moyne (S)	Blended family with no other children present	80
Moyne (S)	Intact family with no other children present	1650
Moyne (S)	Intact family with other children present	10
Moyne (S)	Other couple family with other children only	15
Moyne (S)	Step family with no other children present	100
Moyne (S)	Step family with other children present	3
Murrindindi (S)	Blended family with no other children present	68
Murrindindi (S)	Intact family with no other children present	1145
Murrindindi (S)	Intact family with other children present	8
Murrindindi (S)	Other couple family with other children only	8
Murrindindi (S)	Step family with no other children present	105
Nillumbik (S)	Blended family with no other children present	231
Nillumbik (S)	Intact family with no other children present	8818
Nillumbik (S)	Intact family with other children present	70
Nillumbik (S)	Other couple family with other children only	17
Nillumbik (S)	Step family with no other children present	513
Northern Grampians (S)	Blended family with no other children present	46
Northern Grampians (S)	Intact family with no other children present	903
Northern Grampians (S)	Intact family with other children present	9
Northern Grampians (S)	Other couple family with other children only	7
Northern Grampians (S)	Step family with no other children present	75
Northern Grampians (S)	Step family with other children present	5
Port Phillip (C)	Blended family with no other children present	119
Port Phillip (C)	Intact family with no other children present	6791
Port Phillip (C)	Intact family with other children present	18
Port Phillip (C)	Other couple family with other children only	11
Port Phillip (C)	Step family with no other children present	434
Port Phillip (C)	Step family with other children present	7
Pyrenees (S)	Blended family with no other children present	32
Pyrenees (S)	Blended family with other children present	4
Pyrenees (S)	Intact family with no other children present	550
Pyrenees (S)	Intact family with other children present	6
Pyrenees (S)	Other couple family with other children only	7
Pyrenees (S)	Step family with no other children present	51
Queenscliffe (B)	Blended family with no other children present	5
Queenscliffe (B)	Intact family with no other children present	198
Queenscliffe (B)	Step family with no other children present	13
South Gippsland (S)	Blended family with no other children present	133
South Gippsland (S)	Blended family with other children present	3
South Gippsland (S)	Intact family with no other children present	2484
South Gippsland (S)	Intact family with other children present	25
South Gippsland (S)	Other couple family with other children only	18
South Gippsland (S)	Step family with no other children present	210
Southern Grampians (S)	Blended family with no other children present	63
Southern Grampians (S)	Intact family with no other children present	1460
Southern Grampians (S)	Intact family with other children present	14
Southern Grampians (S)	Other couple family with other children only	12
Southern Grampians (S)	Step family with no other children present	82
Stonnington (C)	Blended family with no other children present	131
Stonnington (C)	Intact family with no other children present	8634
Stonnington (C)	Intact family with other children present	46
Stonnington (C)	Other couple family with other children only	17
Stonnington (C)	Step family with no other children present	449
Stonnington (C)	Step family with other children present	5
Strathbogie (S)	Blended family with no other children present	37
Strathbogie (S)	Intact family with no other children present	754
Strathbogie (S)	Other couple family with other children only	4
Strathbogie (S)	Step family with no other children present	69
Surf Coast (S)	Blended family with no other children present	111
Surf Coast (S)	Intact family with no other children present	3356
Surf Coast (S)	Intact family with other children present	14
Surf Coast (S)	Other couple family with other children only	4
Surf Coast (S)	Step family with no other children present	205
Swan Hill (RC)	Blended family with no other children present	77
Swan Hill (RC)	Intact family with no other children present	1793
Swan Hill (RC)	Intact family with other children present	27
Swan Hill (RC)	Other couple family with other children only	15
Swan Hill (RC)	Step family with no other children present	123
Towong (S)	Blended family with no other children present	20
Towong (S)	Intact family with no other children present	482
Towong (S)	Intact family with other children present	6
Towong (S)	Other couple family with other children only	4
Towong (S)	Step family with no other children present	42
Wangaratta (RC)	Blended family with no other children present	136
Wangaratta (RC)	Intact family with no other children present	2500
Wangaratta (RC)	Intact family with other children present	30
Wangaratta (RC)	Other couple family with other children only	27
Wangaratta (RC)	Step family with no other children present	189
Wangaratta (RC)	Step family with other children present	4
Warrnambool (C)	Blended family with no other children present	146
Warrnambool (C)	Intact family with no other children present	3025
Warrnambool (C)	Intact family with other children present	17
Warrnambool (C)	Other couple family with other children only	18
Warrnambool (C)	Step family with no other children present	216
Warrnambool (C)	Step family with other children present	3
Wellington (S)	Blended family with no other children present	219
Wellington (S)	Blended family with other children present	5
Wellington (S)	Intact family with no other children present	3675
Wellington (S)	Intact family with other children present	28
Wellington (S)	Other couple family with other children only	37
Wellington (S)	Step family with no other children present	322
Wellington (S)	Step family with other children present	3
West Wimmera (S)	Blended family with no other children present	19
West Wimmera (S)	Intact family with no other children present	348
West Wimmera (S)	Other couple family with other children only	4
West Wimmera (S)	Step family with no other children present	20
Whitehorse (C)	Blended family with no other children present	351
Whitehorse (C)	Blended family with other children present	3
Whitehorse (C)	Intact family with no other children present	19553
Whitehorse (C)	Intact family with other children present	158
Whitehorse (C)	Other couple family with other children only	38
Whitehorse (C)	Step family with no other children present	851
Whitehorse (C)	Step family with other children present	8
Whittlesea (C)	Blended family with no other children present	785
Whittlesea (C)	Blended family with other children present	14
Whittlesea (C)	Intact family with no other children present	25983
Whittlesea (C)	Intact family with other children present	342
Whittlesea (C)	Other couple family with other children only	64
Whittlesea (C)	Step family with no other children present	1294
Whittlesea (C)	Step family with other children present	33
Wodonga (C)	Blended family with no other children present	259
Wodonga (C)	Intact family with no other children present	3542
Wodonga (C)	Intact family with other children present	32
Wodonga (C)	Other couple family with other children only	19
Wodonga (C)	Step family with no other children present	336
Wodonga (C)	Step family with other children present	3
Wyndham (C)	Blended family with no other children present	1023
Wyndham (C)	Blended family with other children present	32
Wyndham (C)	Intact family with no other children present	29262
Wyndham (C)	Intact family with other children present	437
Wyndham (C)	Other couple family with other children only	91
Wyndham (C)	Step family with no other children present	1617
Wyndham (C)	Step family with other children present	51
Yarra (C)	Blended family with no other children present	88
Yarra (C)	Intact family with no other children present	5423
Yarra (C)	Intact family with other children present	40
Yarra (C)	Other couple family with other children only	11
Yarra (C)	Step family with no other children present	362
Yarra (C)	Step family with other children present	3
Yarra Ranges (S)	Blended family with no other children present	796
Yarra Ranges (S)	Blended family with other children present	11
Yarra Ranges (S)	Intact family with no other children present	16964
Yarra Ranges (S)	Intact family with other children present	174
Yarra Ranges (S)	Other couple family with other children only	61
Yarra Ranges (S)	Step family with no other children present	1463
Yarra Ranges (S)	Step family with other children present	31
Yarriambiack (S)	Blended family with no other children present	27
Yarriambiack (S)	Blended family with other children present	3
Yarriambiack (S)	Intact family with no other children present	515
Yarriambiack (S)	Intact family with other children present	3
Yarriambiack (S)	Other couple family with other children only	13
Yarriambiack (S)	Step family with no other children present	25
Unincorporated Vic	Intact family with no other children present	23
Unincorporated Vic	Step family with no other children present	3
Aurukun (S)	Blended family with no other children present	7
Aurukun (S)	Intact family with no other children present	72
Aurukun (S)	Intact family with other children present	10
Aurukun (S)	Other couple family with other children only	5
Aurukun (S)	Step family with no other children present	5
Aurukun (S)	Step family with other children present	11
Balonne (S)	Blended family with no other children present	22
Balonne (S)	Intact family with no other children present	397
Balonne (S)	Intact family with other children present	5
Balonne (S)	Step family with no other children present	25
Banana (S)	Blended family with no other children present	77
Banana (S)	Intact family with no other children present	1480
Banana (S)	Intact family with other children present	10
Banana (S)	Other couple family with other children only	13
Banana (S)	Step family with no other children present	91
Barcaldine (R)	Blended family with no other children present	7
Barcaldine (R)	Intact family with no other children present	280
Barcaldine (R)	Other couple family with other children only	3
Barcaldine (R)	Step family with no other children present	12
Barcoo (S)	Intact family with no other children present	22
Barcoo (S)	Other couple family with other children only	3
Blackall-Tambo (R)	Blended family with no other children present	11
Blackall-Tambo (R)	Intact family with no other children present	170
Blackall-Tambo (R)	Step family with no other children present	8
Boulia (S)	Intact family with no other children present	19
Boulia (S)	Step family with no other children present	4
Brisbane (C)	Blended family with no other children present	3630
Brisbane (C)	Blended family with other children present	59
Brisbane (C)	Intact family with no other children present	117181
Brisbane (C)	Intact family with other children present	1325
Brisbane (C)	Other couple family with other children only	377
Brisbane (C)	Step family with no other children present	7894
Brisbane (C)	Step family with other children present	138
Bulloo (S)	Intact family with no other children present	20
Bulloo (S)	Step family with no other children present	5
Bundaberg (R)	Blended family with no other children present	508
Bundaberg (R)	Blended family with other children present	13
Bundaberg (R)	Intact family with no other children present	7050
Bundaberg (R)	Intact family with other children present	77
Bundaberg (R)	Other couple family with other children only	73
Bundaberg (R)	Step family with no other children present	756
Bundaberg (R)	Step family with other children present	18
Burdekin (S)	Blended family with no other children present	84
Burdekin (S)	Intact family with no other children present	1592
Burdekin (S)	Intact family with other children present	18
Burdekin (S)	Other couple family with other children only	11
Burdekin (S)	Step family with no other children present	131
Burdekin (S)	Step family with other children present	4
Burke (S)	Intact family with no other children present	19
Burke (S)	Other couple family with other children only	3
Cairns (R)	Blended family with no other children present	689
Cairns (R)	Blended family with other children present	20
Cairns (R)	Intact family with no other children present	13575
Cairns (R)	Intact family with other children present	212
Cairns (R)	Other couple family with other children only	105
Cairns (R)	Step family with no other children present	1257
Cairns (R)	Step family with other children present	36
Carpentaria (S)	Blended family with no other children present	5
Carpentaria (S)	Blended family with other children present	3
Carpentaria (S)	Intact family with no other children present	105
Carpentaria (S)	Intact family with other children present	3
Carpentaria (S)	Other couple family with other children only	6
Carpentaria (S)	Step family with no other children present	14
Carpentaria (S)	Step family with other children present	3
Cassowary Coast (R)	Blended family with no other children present	118
Cassowary Coast (R)	Blended family with other children present	3
Cassowary Coast (R)	Intact family with no other children present	2303
Cassowary Coast (R)	Intact family with other children present	34
Cassowary Coast (R)	Other couple family with other children only	27
Cassowary Coast (R)	Step family with no other children present	166
Central Highlands (R) (Qld)	Blended family with no other children present	170
Central Highlands (R) (Qld)	Intact family with no other children present	2988
Central Highlands (R) (Qld)	Intact family with other children present	19
Central Highlands (R) (Qld)	Other couple family with other children only	19
Central Highlands (R) (Qld)	Step family with no other children present	170
Central Highlands (R) (Qld)	Step family with other children present	3
Charters Towers (R)	Blended family with no other children present	63
Charters Towers (R)	Intact family with no other children present	947
Charters Towers (R)	Intact family with other children present	14
Charters Towers (R)	Other couple family with other children only	7
Charters Towers (R)	Step family with no other children present	63
Cherbourg (S)	Blended family with no other children present	3
Cherbourg (S)	Intact family with no other children present	57
Cherbourg (S)	Intact family with other children present	6
Cherbourg (S)	Step family with no other children present	6
Cherbourg (S)	Step family with other children present	3
Cloncurry (S)	Blended family with no other children present	4
Cloncurry (S)	Intact family with no other children present	231
Cloncurry (S)	Intact family with other children present	10
Cloncurry (S)	Other couple family with other children only	8
Cloncurry (S)	Step family with no other children present	15
Cook (S)	Blended family with no other children present	21
Cook (S)	Blended family with other children present	3
Cook (S)	Intact family with no other children present	231
Cook (S)	Intact family with other children present	14
Cook (S)	Other couple family with other children only	12
Cook (S)	Step family with no other children present	15
Croydon (S)	Intact family with no other children present	17
Diamantina (S)	Intact family with no other children present	25
Diamantina (S)	Step family with no other children present	3
Doomadgee (S)	Blended family with no other children present	11
Doomadgee (S)	Intact family with no other children present	112
Doomadgee (S)	Intact family with other children present	20
Doomadgee (S)	Other couple family with other children only	3
Doomadgee (S)	Step family with no other children present	10
Douglas (S)	Blended family with no other children present	48
Douglas (S)	Blended family with other children present	3
Douglas (S)	Intact family with no other children present	786
Douglas (S)	Intact family with other children present	10
Douglas (S)	Other couple family with other children only	9
Douglas (S)	Step family with no other children present	68
Douglas (S)	Step family with other children present	3
Etheridge (S)	Blended family with no other children present	5
Etheridge (S)	Intact family with no other children present	67
Etheridge (S)	Step family with no other children present	7
Flinders (S) (Qld)	Blended family with no other children present	7
