LGA_NAME16	PrivateDwelling	persons
Upper Gascoyne (S)	1	203
Victoria Park (T)	0	4496
Victoria Park (T)	1	30144
Victoria Plains (S)	0	110
Victoria Plains (S)	1	807
Vincent (C)	0	3435
Vincent (C)	1	29552
Wagin (S)	0	217
Wagin (S)	1	1566
Wandering (S)	0	43
Wandering (S)	1	390
Wanneroo (C)	0	9114
Wanneroo (C)	1	174869
Waroona (S)	0	454
Waroona (S)	1	3544
West Arthur (S)	0	65
West Arthur (S)	1	724
Westonia (S)	0	165
Westonia (S)	1	198
Wickepin (S)	0	59
Wickepin (S)	1	643
Williams (S)	0	79
Williams (S)	1	863
Wiluna (S)	0	1190
Wiluna (S)	1	305
Wongan-Ballidu (S)	0	91
Wongan-Ballidu (S)	1	1236
Woodanilling (S)	0	29
Woodanilling (S)	1	359
Wyalkatchem (S)	0	84
Wyalkatchem (S)	1	423
Wyndham-East Kimberley (S)	0	4256
Wyndham-East Kimberley (S)	1	6031
Yalgoo (S)	0	661
Yalgoo (S)	1	128
Yilgarn (S)	0	979
Yilgarn (S)	1	866
York (S)	0	423
York (S)	1	3112
Migratory - Offshore - Shipping (WA)	0	3668
Break O'Day (M)	0	573
Break O'Day (M)	1	5324
Brighton (M)	0	940
Brighton (M)	1	15379
Burnie (C)	0	1399
Burnie (C)	1	17306
Central Coast (M) (Tas.)	0	1172
Central Coast (M) (Tas.)	1	19411
Central Highlands (M) (Tas.)	0	296
Central Highlands (M) (Tas.)	1	1906
Circular Head (M)	0	672
Circular Head (M)	1	7052
Clarence (C)	0	3358
Clarence (C)	1	50184
Derwent Valley (M)	0	656
Derwent Valley (M)	1	9176
Devonport (C)	0	1549
Devonport (C)	1	22479
Dorset (M)	0	454
Dorset (M)	1	5880
Flinders (M) (Tas.)	0	104
Flinders (M) (Tas.)	1	793
George Town (M)	0	611
George Town (M)	1	5978
Glamorgan/Spring Bay (M)	0	655
Glamorgan/Spring Bay (M)	1	3625
Glenorchy (C)	0	2804
Glenorchy (C)	1	42631
Hobart (C)	0	7040
Hobart (C)	1	44477
Huon Valley (M)	0	1110
Huon Valley (M)	1	14737
Kentish (M)	0	671
Kentish (M)	1	5465
King Island (M)	0	164
King Island (M)	1	1365
Kingborough (M)	0	1650
Kingborough (M)	1	33211
Latrobe (M) (Tas.)	0	744
Latrobe (M) (Tas.)	1	9586
Launceston (C)	0	6603
Launceston (C)	1	58248
Meander Valley (M)	0	1284
Meander Valley (M)	1	17480
Northern Midlands (M)	0	945
Northern Midlands (M)	1	11578
Sorell (M)	0	789
Sorell (M)	1	13135
Southern Midlands (M)	0	355
Southern Midlands (M)	1	5566
Tasman (M)	0	345
Tasman (M)	1	1953
Waratah/Wynyard (M)	0	1020
Waratah/Wynyard (M)	1	12295
West Coast (M)	0	607
West Coast (M)	1	3698
West Tamar (M)	0	1239
West Tamar (M)	1	20777
Migratory - Offshore - Shipping (Tas.)	0	691
Alice Springs (T)	0	6526
Alice Springs (T)	1	20655
Barkly (R)	0	1768
Barkly (R)	1	5776
Belyuen (S)	0	12
Belyuen (S)	1	143
Central Desert (R)	0	967
Central Desert (R)	1	3269
Coomalie (S)	0	710
Coomalie (S)	1	1034
Darwin (C)	0	17463
Darwin (C)	1	68099
East Arnhem (R)	0	553
East Arnhem (R)	1	8593
Katherine (T)	0	4300
Katherine (T)	1	7333
Litchfield (M)	0	9373
Litchfield (M)	1	17950
MacDonnell (R)	0	2525
MacDonnell (R)	1	4189
Palmerston (C)	0	2862
Palmerston (C)	1	30776
Roper Gulf (R)	0	2680
Roper Gulf (R)	1	5741
Tiwi Islands (R)	0	205
Tiwi Islands (R)	1	2300
Victoria Daly (R)	0	1233
Victoria Daly (R)	1	2248
Wagait (S)	0	23
Wagait (S)	1	422
West Arnhem (R)	0	1998
West Arnhem (R)	1	5357
West Daly (R)	0	384
West Daly (R)	1	2786
Unincorporated NT	0	4142
Unincorporated NT	1	5470
Migratory - Offshore - Shipping (NT)	0	252
Unincorporated ACT	0	35718
Unincorporated ACT	1	360035
Migratory - Offshore - Shipping (ACT)	0	12
Unincorp. Other Territories	0	1720
Unincorp. Other Territories	1	3448
Migratory - Offshore - Shipping (OT)	0	19
