LGA_NAME16	MaxSchoolingCompleted	Sex	persons
Ararat (RC)	Year 12	F	1761
Ararat (RC)	Year 12	M	1397
Ballarat (C)	Did not go to school	F	119
Ballarat (C)	Did not go to school	M	146
Ballarat (C)	Year 8	F	2542
Ballarat (C)	Year 8	M	2207
Ballarat (C)	Year 9	F	3168
Ballarat (C)	Year 9	M	3311
Ballarat (C)	Year 10	F	6998
Ballarat (C)	Year 10	M	7221
Ballarat (C)	Year 11	F	6251
Ballarat (C)	Year 11	M	5951
Ballarat (C)	Year 12	F	20468
Ballarat (C)	Year 12	M	16783
Banyule (C)	Did not go to school	F	420
Banyule (C)	Did not go to school	M	310
Banyule (C)	Year 8	F	2918
Banyule (C)	Year 8	M	2071
Banyule (C)	Year 9	F	2477
Banyule (C)	Year 9	M	2467
Banyule (C)	Year 10	F	5534
Banyule (C)	Year 10	M	5535
Banyule (C)	Year 11	F	5416
Banyule (C)	Year 11	M	5545
Banyule (C)	Year 12	F	31763
Banyule (C)	Year 12	M	29065
Bass Coast (S)	Did not go to school	F	47
Bass Coast (S)	Did not go to school	M	59
Bass Coast (S)	Year 8	F	950
Bass Coast (S)	Year 8	M	877
Bass Coast (S)	Year 9	F	1211
Bass Coast (S)	Year 9	M	1318
Bass Coast (S)	Year 10	F	2706
Bass Coast (S)	Year 10	M	2919
Bass Coast (S)	Year 11	F	2194
Bass Coast (S)	Year 11	M	2182
Bass Coast (S)	Year 12	F	5650
Bass Coast (S)	Year 12	M	4397
Baw Baw (S)	Did not go to school	F	77
Baw Baw (S)	Did not go to school	M	73
Baw Baw (S)	Year 8	F	1247
Baw Baw (S)	Year 8	M	1239
Baw Baw (S)	Year 9	F	1618
Baw Baw (S)	Year 9	M	1850
Baw Baw (S)	Year 10	F	3673
Baw Baw (S)	Year 10	M	4407
Baw Baw (S)	Year 11	F	3279
Baw Baw (S)	Year 11	M	3211
Baw Baw (S)	Year 12	F	8599
Baw Baw (S)	Year 12	M	6364
Bayside (C)	Did not go to school	F	162
Bayside (C)	Did not go to school	M	124
Bayside (C)	Year 8	F	1311
Bayside (C)	Year 8	M	944
Bayside (C)	Year 9	F	1482
Bayside (C)	Year 9	M	1327
Bayside (C)	Year 10	F	3772
Bayside (C)	Year 10	M	3053
Bayside (C)	Year 11	F	4158
Bayside (C)	Year 11	M	3437
Bayside (C)	Year 12	F	28012
Bayside (C)	Year 12	M	25590
Benalla (RC)	Did not go to school	F	17
Benalla (RC)	Did not go to school	M	15
Benalla (RC)	Year 8	F	474
Benalla (RC)	Year 8	M	410
Benalla (RC)	Year 9	F	488
Benalla (RC)	Year 9	M	542
Benalla (RC)	Year 10	F	1136
Benalla (RC)	Year 10	M	1203
Benalla (RC)	Year 11	F	1047
Benalla (RC)	Year 11	M	1014
Benalla (RC)	Year 12	F	2256
Benalla (RC)	Year 12	M	1764
Boroondara (C)	Did not go to school	F	415
Boroondara (C)	Did not go to school	M	348
Boroondara (C)	Year 8	F	2238
Boroondara (C)	Year 8	M	1448
Boroondara (C)	Year 9	F	2072
Boroondara (C)	Year 9	M	1907
Boroondara (C)	Year 10	F	4505
Boroondara (C)	Year 10	M	3712
Boroondara (C)	Year 11	F	5463
Boroondara (C)	Year 11	M	4489
Boroondara (C)	Year 12	F	53896
Boroondara (C)	Year 12	M	49623
Brimbank (C)	Did not go to school	F	2998
Brimbank (C)	Did not go to school	M	2167
Brimbank (C)	Year 8	F	8581
Brimbank (C)	Year 8	M	6746
Brimbank (C)	Year 9	F	4267
Brimbank (C)	Year 9	M	4339
Brimbank (C)	Year 10	F	8856
Brimbank (C)	Year 10	M	9529
Brimbank (C)	Year 11	F	6703
Brimbank (C)	Year 11	M	7858
Brimbank (C)	Year 12	F	41353
Brimbank (C)	Year 12	M	41580
Buloke (S)	Did not go to school	F	3
Buloke (S)	Did not go to school	M	5
Buloke (S)	Year 8	F	219
Buloke (S)	Year 8	M	268
Buloke (S)	Year 9	F	221
Buloke (S)	Year 9	M	302
Buloke (S)	Year 10	F	450
Buloke (S)	Year 10	M	564
Buloke (S)	Year 11	F	451
Buloke (S)	Year 11	M	483
Buloke (S)	Year 12	F	898
Buloke (S)	Year 12	M	662
Campaspe (S)	Did not go to school	F	38
Campaspe (S)	Did not go to school	M	58
Campaspe (S)	Year 8	F	1153
Campaspe (S)	Year 8	M	1312
Campaspe (S)	Year 9	F	1425
Campaspe (S)	Year 9	M	1749
Campaspe (S)	Year 10	F	3067
Campaspe (S)	Year 10	M	3641
Campaspe (S)	Year 11	F	2713
Campaspe (S)	Year 11	M	2607
Campaspe (S)	Year 12	F	5376
Campaspe (S)	Year 12	M	3937
Cardinia (S)	Did not go to school	F	151
Cardinia (S)	Did not go to school	M	123
Cardinia (S)	Year 8	F	1700
Cardinia (S)	Year 8	M	1728
Cardinia (S)	Year 9	F	2542
Cardinia (S)	Year 9	M	3088
Cardinia (S)	Year 10	F	6375
Cardinia (S)	Year 10	M	7725
Cardinia (S)	Year 11	F	5442
Cardinia (S)	Year 11	M	5856
Cardinia (S)	Year 12	F	18235
Cardinia (S)	Year 12	M	14023
Casey (C)	Did not go to school	F	2166
Casey (C)	Did not go to school	M	1803
Casey (C)	Year 8	F	6483
Casey (C)	Year 8	M	5669
Casey (C)	Year 9	F	7032
Casey (C)	Year 9	M	7575
Casey (C)	Year 10	F	16494
Casey (C)	Year 10	M	19037
Casey (C)	Year 11	F	13568
Casey (C)	Year 11	M	14870
Casey (C)	Year 12	F	63489
Casey (C)	Year 12	M	57586
Central Goldfields (S)	Did not go to school	F	18
Central Goldfields (S)	Did not go to school	M	21
Central Goldfields (S)	Year 8	F	516
Central Goldfields (S)	Year 8	M	562
Central Goldfields (S)	Year 9	F	601
Central Goldfields (S)	Year 9	M	653
Central Goldfields (S)	Year 10	F	1202
Central Goldfields (S)	Year 10	M	1332
Central Goldfields (S)	Year 11	F	868
Central Goldfields (S)	Year 11	M	822
Central Goldfields (S)	Year 12	F	1810
Central Goldfields (S)	Year 12	M	1420
Colac-Otway (S)	Did not go to school	F	67
Colac-Otway (S)	Did not go to school	M	82
Colac-Otway (S)	Year 8	F	637
Colac-Otway (S)	Year 8	M	693
Colac-Otway (S)	Year 9	F	683
Colac-Otway (S)	Year 9	M	870
Colac-Otway (S)	Year 10	F	1507
Colac-Otway (S)	Year 10	M	1807
Colac-Otway (S)	Year 11	F	1430
Colac-Otway (S)	Year 11	M	1567
Colac-Otway (S)	Year 12	F	3509
Colac-Otway (S)	Year 12	M	2655
Corangamite (S)	Did not go to school	F	16
Corangamite (S)	Did not go to school	M	17
Corangamite (S)	Year 8	F	481
Corangamite (S)	Year 8	M	612
Corangamite (S)	Year 9	F	579
Corangamite (S)	Year 9	M	763
Corangamite (S)	Year 10	F	1108
Corangamite (S)	Year 10	M	1414
Corangamite (S)	Year 11	F	1203
Corangamite (S)	Year 11	M	1210
Corangamite (S)	Year 12	F	2475
Corangamite (S)	Year 12	M	1789
Darebin (C)	Did not go to school	F	1423
Darebin (C)	Did not go to school	M	974
Darebin (C)	Year 8	F	5648
Darebin (C)	Year 8	M	4009
Darebin (C)	Year 9	F	2357
Darebin (C)	Year 9	M	2332
Darebin (C)	Year 10	F	4504
Darebin (C)	Year 10	M	4955
Darebin (C)	Year 11	F	4153
Darebin (C)	Year 11	M	4801
Darebin (C)	Year 12	F	40594
Darebin (C)	Year 12	M	36681
East Gippsland (S)	Did not go to school	F	56
East Gippsland (S)	Did not go to school	M	75
East Gippsland (S)	Year 8	F	1280
East Gippsland (S)	Year 8	M	1421
East Gippsland (S)	Year 9	F	1659
East Gippsland (S)	Year 9	M	1993
East Gippsland (S)	Year 10	F	3843
East Gippsland (S)	Year 10	M	4287
East Gippsland (S)	Year 11	F	3079
East Gippsland (S)	Year 11	M	2926
East Gippsland (S)	Year 12	F	7145
East Gippsland (S)	Year 12	M	5534
Frankston (C)	Did not go to school	F	243
Frankston (C)	Did not go to school	M	226
Frankston (C)	Year 8	F	2672
Frankston (C)	Year 8	M	2279
Frankston (C)	Year 9	F	3787
Frankston (C)	Year 9	M	4052
Frankston (C)	Year 10	F	9412
Frankston (C)	Year 10	M	10370
Frankston (C)	Year 11	F	7802
Frankston (C)	Year 11	M	8193
Frankston (C)	Year 12	F	27719
Frankston (C)	Year 12	M	22888
Gannawarra (S)	Did not go to school	F	15
Gannawarra (S)	Did not go to school	M	17
Gannawarra (S)	Year 8	F	406
Gannawarra (S)	Year 8	M	455
Gannawarra (S)	Year 9	F	447
Gannawarra (S)	Year 9	M	635
Gannawarra (S)	Year 10	F	899
Gannawarra (S)	Year 10	M	1111
Gannawarra (S)	Year 11	F	850
Gannawarra (S)	Year 11	M	773
Gannawarra (S)	Year 12	F	1396
Gannawarra (S)	Year 12	M	923
Glen Eira (C)	Did not go to school	F	397
Glen Eira (C)	Did not go to school	M	312
Glen Eira (C)	Year 8	F	2509
Glen Eira (C)	Year 8	M	1837
Glen Eira (C)	Year 9	F	1826
Glen Eira (C)	Year 9	M	1798
Glen Eira (C)	Year 10	F	4320
Glen Eira (C)	Year 10	M	4247
Glen Eira (C)	Year 11	F	4555
Glen Eira (C)	Year 11	M	4303
Glen Eira (C)	Year 12	F	42931
Glen Eira (C)	Year 12	M	39080
Glenelg (S)	Did not go to school	F	23
Glenelg (S)	Did not go to school	M	24
Glenelg (S)	Year 8	F	619
Glenelg (S)	Year 8	M	773
Glenelg (S)	Year 9	F	720
Glenelg (S)	Year 9	M	939
Glenelg (S)	Year 10	F	1636
Glenelg (S)	Year 10	M	1899
Glenelg (S)	Year 11	F	1507
Glenelg (S)	Year 11	M	1519
Glenelg (S)	Year 12	F	2845
Glenelg (S)	Year 12	M	2098
Golden Plains (S)	Did not go to school	F	12
Golden Plains (S)	Did not go to school	M	18
Golden Plains (S)	Year 8	F	346
Golden Plains (S)	Year 8	M	503
Golden Plains (S)	Year 9	F	616
Golden Plains (S)	Year 9	M	798
Golden Plains (S)	Year 10	F	1396
Golden Plains (S)	Year 10	M	1972
Golden Plains (S)	Year 11	F	1465
Golden Plains (S)	Year 11	M	1603
Golden Plains (S)	Year 12	F	3833
Golden Plains (S)	Year 12	M	2959
Greater Bendigo (C)	Did not go to school	F	227
Greater Bendigo (C)	Did not go to school	M	251
Greater Bendigo (C)	Year 8	F	2806
Greater Bendigo (C)	Year 8	M	2697
Greater Bendigo (C)	Year 9	F	3627
Greater Bendigo (C)	Year 9	M	3991
Greater Bendigo (C)	Year 10	F	8256
Greater Bendigo (C)	Year 10	M	8937
Greater Bendigo (C)	Year 11	F	6685
Greater Bendigo (C)	Year 11	M	6568
Greater Bendigo (C)	Year 12	F	20604
Greater Bendigo (C)	Year 12	M	16214
Greater Dandenong (C)	Did not go to school	F	3431
Greater Dandenong (C)	Did not go to school	M	3019
Greater Dandenong (C)	Year 8	F	6347
Greater Dandenong (C)	Year 8	M	5160
Greater Dandenong (C)	Year 9	F	3417
Greater Dandenong (C)	Year 9	M	3331
Greater Dandenong (C)	Year 10	F	6674
Greater Dandenong (C)	Year 10	M	7482
Greater Dandenong (C)	Year 11	F	4595
Greater Dandenong (C)	Year 11	M	5425
Greater Dandenong (C)	Year 12	F	31887
Greater Dandenong (C)	Year 12	M	33950
Greater Geelong (C)	Did not go to school	F	642
Greater Geelong (C)	Did not go to school	M	550
Greater Geelong (C)	Year 8	F	6247
Greater Geelong (C)	Year 8	M	5193
Greater Geelong (C)	Year 9	F	6869
Greater Geelong (C)	Year 9	M	6785
Greater Geelong (C)	Year 10	F	15267
Greater Geelong (C)	Year 10	M	15476
Greater Geelong (C)	Year 11	F	14156
Greater Geelong (C)	Year 11	M	14632
Greater Geelong (C)	Year 12	F	48156
Greater Geelong (C)	Year 12	M	40464
Greater Shepparton (C)	Did not go to school	F	372
Greater Shepparton (C)	Did not go to school	M	405
Greater Shepparton (C)	Year 8	F	1983
Greater Shepparton (C)	Year 8	M	2083
Greater Shepparton (C)	Year 9	F	2051
Greater Shepparton (C)	Year 9	M	2449
Greater Shepparton (C)	Year 10	F	4578
Greater Shepparton (C)	Year 10	M	4945
Greater Shepparton (C)	Year 11	F	3911
Greater Shepparton (C)	Year 11	M	4016
Greater Shepparton (C)	Year 12	F	10255
Greater Shepparton (C)	Year 12	M	8221
Hepburn (S)	Did not go to school	F	13
Hepburn (S)	Did not go to school	M	11
Hepburn (S)	Year 8	F	371
Hepburn (S)	Year 8	M	383
Hepburn (S)	Year 9	F	463
Hepburn (S)	Year 9	M	511
Hepburn (S)	Year 10	F	1013
Hepburn (S)	Year 10	M	1171
Hepburn (S)	Year 11	F	943
Hepburn (S)	Year 11	M	921
Hepburn (S)	Year 12	F	3120
Hepburn (S)	Year 12	M	2478
Hindmarsh (S)	Did not go to school	F	21
Hindmarsh (S)	Did not go to school	M	32
Hindmarsh (S)	Year 8	F	266
Hindmarsh (S)	Year 8	M	293
Hindmarsh (S)	Year 9	F	238
Hindmarsh (S)	Year 9	M	305
Hindmarsh (S)	Year 10	F	455
Hindmarsh (S)	Year 10	M	534
Hindmarsh (S)	Year 11	F	407
Hindmarsh (S)	Year 11	M	432
Hindmarsh (S)	Year 12	F	802
Hindmarsh (S)	Year 12	M	591
Hobsons Bay (C)	Did not go to school	F	621
Hobsons Bay (C)	Did not go to school	M	421
Hobsons Bay (C)	Year 8	F	2852
Hobsons Bay (C)	Year 8	M	2122
Hobsons Bay (C)	Year 9	F	1803
Hobsons Bay (C)	Year 9	M	1838
Hobsons Bay (C)	Year 10	F	4090
Hobsons Bay (C)	Year 10	M	4672
Hobsons Bay (C)	Year 11	F	3597
Hobsons Bay (C)	Year 11	M	4106
Hobsons Bay (C)	Year 12	F	21311
Hobsons Bay (C)	Year 12	M	19506
Horsham (RC)	Did not go to school	F	24
Horsham (RC)	Did not go to school	M	17
Horsham (RC)	Year 8	F	571
Horsham (RC)	Year 8	M	587
Horsham (RC)	Year 9	F	696
Horsham (RC)	Year 9	M	686
Horsham (RC)	Year 10	F	1402
Horsham (RC)	Year 10	M	1499
Horsham (RC)	Year 11	F	1585
Horsham (RC)	Year 11	M	1586
Horsham (RC)	Year 12	F	3301
Horsham (RC)	Year 12	M	2593
Hume (C)	Did not go to school	F	2267
Hume (C)	Did not go to school	M	1472
Hume (C)	Year 8	F	6375
Hume (C)	Year 8	M	5553
Hume (C)	Year 9	F	4761
Hume (C)	Year 9	M	5290
Hume (C)	Year 10	F	10148
Hume (C)	Year 10	M	11548
Hume (C)	Year 11	F	8807
Hume (C)	Year 11	M	9113
Hume (C)	Year 12	F	39774
Hume (C)	Year 12	M	36961
Indigo (S)	Did not go to school	F	20
Indigo (S)	Did not go to school	M	14
Indigo (S)	Year 8	F	316
Indigo (S)	Year 8	M	375
Indigo (S)	Year 9	F	426
Indigo (S)	Year 9	M	522
Indigo (S)	Year 10	F	1255
Indigo (S)	Year 10	M	1524
Indigo (S)	Year 11	F	999
Indigo (S)	Year 11	M	1005
Indigo (S)	Year 12	F	3031
Indigo (S)	Year 12	M	2232
Kingston (C) (Vic.)	Did not go to school	F	756
Kingston (C) (Vic.)	Did not go to school	M	560
Kingston (C) (Vic.)	Year 8	F	3791
Kingston (C) (Vic.)	Year 8	M	2770
Kingston (C) (Vic.)	Year 9	F	3060
Kingston (C) (Vic.)	Year 9	M	3026
Kingston (C) (Vic.)	Year 10	F	7397
Kingston (C) (Vic.)	Year 10	M	7580
Kingston (C) (Vic.)	Year 11	F	6837
Kingston (C) (Vic.)	Year 11	M	7260
Kingston (C) (Vic.)	Year 12	F	38213
Kingston (C) (Vic.)	Year 12	M	34660
Knox (C)	Did not go to school	F	516
Knox (C)	Did not go to school	M	392
Knox (C)	Year 8	F	3057
Knox (C)	Year 8	M	2406
Knox (C)	Year 9	F	3826
Knox (C)	Year 9	M	3911
Knox (C)	Year 10	F	8972
Knox (C)	Year 10	M	9767
Knox (C)	Year 11	F	8445
Knox (C)	Year 11	M	8653
Knox (C)	Year 12	F	37016
Knox (C)	Year 12	M	32878
Latrobe (C) (Vic.)	Did not go to school	F	167
Latrobe (C) (Vic.)	Did not go to school	M	148
Latrobe (C) (Vic.)	Year 8	F	2306
Latrobe (C) (Vic.)	Year 8	M	2055
Latrobe (C) (Vic.)	Year 9	F	2701
Latrobe (C) (Vic.)	Year 9	M	2531
Latrobe (C) (Vic.)	Year 10	F	5762
Latrobe (C) (Vic.)	Year 10	M	6357
Latrobe (C) (Vic.)	Year 11	F	5033
Latrobe (C) (Vic.)	Year 11	M	5276
Latrobe (C) (Vic.)	Year 12	F	11618
Latrobe (C) (Vic.)	Year 12	M	9442
Loddon (S)	Did not go to school	F	7
Loddon (S)	Did not go to school	M	9
Loddon (S)	Year 8	F	269
Loddon (S)	Year 8	M	353
Loddon (S)	Year 9	F	305
Loddon (S)	Year 9	M	370
Loddon (S)	Year 10	F	539
Loddon (S)	Year 10	M	750
Loddon (S)	Year 11	F	513
Loddon (S)	Year 11	M	533
Loddon (S)	Year 12	F	963
Loddon (S)	Year 12	M	760
Macedon Ranges (S)	Did not go to school	F	42
Macedon Ranges (S)	Did not go to school	M	46
Macedon Ranges (S)	Year 8	F	717
Macedon Ranges (S)	Year 8	M	800
Macedon Ranges (S)	Year 9	F	1044
Macedon Ranges (S)	Year 9	M	1281
Macedon Ranges (S)	Year 10	F	2581
Macedon Ranges (S)	Year 10	M	3104
Macedon Ranges (S)	Year 11	F	2711
Macedon Ranges (S)	Year 11	M	2867
Macedon Ranges (S)	Year 12	F	10082
Macedon Ranges (S)	Year 12	M	8242
Manningham (C)	Did not go to school	F	710
Manningham (C)	Did not go to school	M	464
Manningham (C)	Year 8	F	3267
Manningham (C)	Year 8	M	2344
Manningham (C)	Year 9	F	2308
Manningham (C)	Year 9	M	2111
Manningham (C)	Year 10	F	5001
Manningham (C)	Year 10	M	4560
Manningham (C)	Year 11	F	4705
Manningham (C)	Year 11	M	4554
Manningham (C)	Year 12	F	31887
Manningham (C)	Year 12	M	30079
Mansfield (S)	Did not go to school	F	8
Mansfield (S)	Did not go to school	M	7
Mansfield (S)	Year 8	F	210
Mansfield (S)	Year 8	M	242
Mansfield (S)	Year 9	F	245
Mansfield (S)	Year 9	M	350
Mansfield (S)	Year 10	F	543
Mansfield (S)	Year 10	M	728
Mansfield (S)	Year 11	F	573
Mansfield (S)	Year 11	M	586
Mansfield (S)	Year 12	F	1605
Mansfield (S)	Year 12	M	1212
Maribyrnong (C)	Did not go to school	F	809
Maribyrnong (C)	Did not go to school	M	581
Maribyrnong (C)	Year 8	F	2213
Maribyrnong (C)	Year 8	M	1609
Maribyrnong (C)	Year 9	F	1183
Maribyrnong (C)	Year 9	M	1165
Maribyrnong (C)	Year 10	F	2402
Maribyrnong (C)	Year 10	M	2771
Maribyrnong (C)	Year 11	F	2040
Maribyrnong (C)	Year 11	M	2540
Maribyrnong (C)	Year 12	F	22805
Maribyrnong (C)	Year 12	M	22895
Maroondah (C)	Did not go to school	F	408
Maroondah (C)	Did not go to school	M	339
Maroondah (C)	Year 8	F	2253
Maroondah (C)	Year 8	M	1815
Maroondah (C)	Year 9	F	2523
Maroondah (C)	Year 9	M	2474
Maroondah (C)	Year 10	F	6213
Maroondah (C)	Year 10	M	6451
Maroondah (C)	Year 11	F	6030
Maroondah (C)	Year 11	M	6290
Maroondah (C)	Year 12	F	26693
Maroondah (C)	Year 12	M	22988
Melbourne (C)	Did not go to school	F	481
Melbourne (C)	Did not go to school	M	310
Melbourne (C)	Year 8	F	941
Melbourne (C)	Year 8	M	686
Melbourne (C)	Year 9	F	866
Melbourne (C)	Year 9	M	842
Melbourne (C)	Year 10	F	1932
Melbourne (C)	Year 10	M	2014
Melbourne (C)	Year 11	F	2656
Melbourne (C)	Year 11	M	2817
Melbourne (C)	Year 12	F	50857
Melbourne (C)	Year 12	M	47117
Melton (C)	Did not go to school	F	663
Melton (C)	Did not go to school	M	482
Melton (C)	Year 8	F	2839
Melton (C)	Year 8	M	2490
Melton (C)	Year 9	F	3095
Melton (C)	Year 9	M	3488
Melton (C)	Year 10	F	7410
Melton (C)	Year 10	M	8450
Melton (C)	Year 11	F	5989
Melton (C)	Year 11	M	6595
Melton (C)	Year 12	F	27888
Melton (C)	Year 12	M	24048
Mildura (RC)	Did not go to school	F	223
Mildura (RC)	Did not go to school	M	251
Mildura (RC)	Year 8	F	1834
Mildura (RC)	Year 8	M	1814
Mildura (RC)	Year 9	F	1975
Mildura (RC)	Year 9	M	2122
Mildura (RC)	Year 10	F	4309
Mildura (RC)	Year 10	M	4803
Mildura (RC)	Year 11	F	3295
Mildura (RC)	Year 11	M	3238
Mildura (RC)	Year 12	F	8171
Mildura (RC)	Year 12	M	6453
Mitchell (S)	Did not go to school	F	46
Mitchell (S)	Did not go to school	M	63
Mitchell (S)	Year 8	F	902
Mitchell (S)	Year 8	M	931
Mitchell (S)	Year 9	F	1267
Mitchell (S)	Year 9	M	1659
Mitchell (S)	Year 10	F	2864
Mitchell (S)	Year 10	M	3525
Mitchell (S)	Year 11	F	2426
Mitchell (S)	Year 11	M	2668
Mitchell (S)	Year 12	F	6985
Mitchell (S)	Year 12	M	5598
Moira (S)	Did not go to school	F	51
Moira (S)	Did not go to school	M	57
Moira (S)	Year 8	F	895
Moira (S)	Year 8	M	1113
Moira (S)	Year 9	F	1068
Moira (S)	Year 9	M	1392
Moira (S)	Year 10	F	2531
Moira (S)	Year 10	M	2867
Moira (S)	Year 11	F	1937
Moira (S)	Year 11	M	1996
Moira (S)	Year 12	F	4232
Moira (S)	Year 12	M	2990
Monash (C)	Did not go to school	F	1080
Monash (C)	Did not go to school	M	707
Monash (C)	Year 8	F	4479
Monash (C)	Year 8	M	3203
Monash (C)	Year 9	F	3010
Monash (C)	Year 9	M	2867
Monash (C)	Year 10	F	6538
Monash (C)	Year 10	M	6232
Monash (C)	Year 11	F	5936
Monash (C)	Year 11	M	5977
Monash (C)	Year 12	F	52938
Monash (C)	Year 12	M	51419
Moonee Valley (C)	Did not go to school	F	869
Moonee Valley (C)	Did not go to school	M	520
Moonee Valley (C)	Year 8	F	3660
Moonee Valley (C)	Year 8	M	2605
Moonee Valley (C)	Year 9	F	2028
Moonee Valley (C)	Year 9	M	2015
Moonee Valley (C)	Year 10	F	4569
Moonee Valley (C)	Year 10	M	4624
Moonee Valley (C)	Year 11	F	4456
Moonee Valley (C)	Year 11	M	4815
Moonee Valley (C)	Year 12	F	31133
Moonee Valley (C)	Year 12	M	28192
Moorabool (S)	Did not go to school	F	29
Moorabool (S)	Did not go to school	M	43
Moorabool (S)	Year 8	F	635
Moorabool (S)	Year 8	M	714
Moorabool (S)	Year 9	F	945
Moorabool (S)	Year 9	M	1170
Moorabool (S)	Year 10	F	2198
Moorabool (S)	Year 10	M	2773
Moorabool (S)	Year 11	F	2090
Moorabool (S)	Year 11	M	2125
Moorabool (S)	Year 12	F	5910
Moorabool (S)	Year 12	M	4546
Moreland (C)	Did not go to school	F	1553
Moreland (C)	Did not go to school	M	985
Moreland (C)	Year 8	F	6108
Moreland (C)	Year 8	M	4370
Moreland (C)	Year 9	F	2492
Moreland (C)	Year 9	M	2507
Moreland (C)	Year 10	F	5064
Moreland (C)	Year 10	M	5855
Moreland (C)	Year 11	F	4719
Moreland (C)	Year 11	M	5266
Moreland (C)	Year 12	F	44886
Moreland (C)	Year 12	M	41911
Mornington Peninsula (S)	Did not go to school	F	221
Mornington Peninsula (S)	Did not go to school	M	247
Mornington Peninsula (S)	Year 8	F	3393
Mornington Peninsula (S)	Year 8	M	2787
Mornington Peninsula (S)	Year 9	F	4515
Mornington Peninsula (S)	Year 9	M	4610
Mornington Peninsula (S)	Year 10	F	11232
Mornington Peninsula (S)	Year 10	M	11886
Mornington Peninsula (S)	Year 11	F	9740
Mornington Peninsula (S)	Year 11	M	9527
Mornington Peninsula (S)	Year 12	F	32297
Mornington Peninsula (S)	Year 12	M	27056
Mount Alexander (S)	Did not go to school	F	22
Mount Alexander (S)	Did not go to school	M	18
Mount Alexander (S)	Year 8	F	402
Mount Alexander (S)	Year 8	M	385
Mount Alexander (S)	Year 9	F	521
Mount Alexander (S)	Year 9	M	592
Mount Alexander (S)	Year 10	F	1177
Mount Alexander (S)	Year 10	M	1323
Mount Alexander (S)	Year 11	F	1111
Mount Alexander (S)	Year 11	M	1095
Mount Alexander (S)	Year 12	F	3834
Mount Alexander (S)	Year 12	M	3084
Moyne (S)	Did not go to school	F	18
Moyne (S)	Did not go to school	M	18
Moyne (S)	Year 8	F	370
Moyne (S)	Year 8	M	470
Moyne (S)	Year 9	F	456
Moyne (S)	Year 9	M	658
Moyne (S)	Year 10	F	1024
Moyne (S)	Year 10	M	1346
Moyne (S)	Year 11	F	1110
Moyne (S)	Year 11	M	1235
Moyne (S)	Year 12	F	2930
Moyne (S)	Year 12	M	2102
Murrindindi (S)	Did not go to school	F	17
Murrindindi (S)	Did not go to school	M	25
Murrindindi (S)	Year 8	F	307
Murrindindi (S)	Year 8	M	393
Murrindindi (S)	Year 9	F	402
Murrindindi (S)	Year 9	M	612
Murrindindi (S)	Year 10	F	1034
Murrindindi (S)	Year 10	M	1336
Murrindindi (S)	Year 11	F	878
Murrindindi (S)	Year 11	M	914
Murrindindi (S)	Year 12	F	2430
Murrindindi (S)	Year 12	M	1888
Nillumbik (S)	Did not go to school	F	57
Nillumbik (S)	Did not go to school	M	64
Nillumbik (S)	Year 8	F	742
Nillumbik (S)	Year 8	M	680
Nillumbik (S)	Year 9	F	1182
Nillumbik (S)	Year 9	M	1317
Nillumbik (S)	Year 10	F	2882
Nillumbik (S)	Year 10	M	3499
Nillumbik (S)	Year 11	F	3435
Nillumbik (S)	Year 11	M	3629
Nillumbik (S)	Year 12	F	15550
Nillumbik (S)	Year 12	M	13717
Northern Grampians (S)	Did not go to school	F	36
Northern Grampians (S)	Did not go to school	M	54
Northern Grampians (S)	Year 8	F	406
Northern Grampians (S)	Year 8	M	453
Northern Grampians (S)	Year 9	F	484
Northern Grampians (S)	Year 9	M	534
Northern Grampians (S)	Year 10	F	928
Northern Grampians (S)	Year 10	M	990
Northern Grampians (S)	Year 11	F	805
Northern Grampians (S)	Year 11	M	829
Northern Grampians (S)	Year 12	F	1774
Northern Grampians (S)	Year 12	M	1431
Port Phillip (C)	Did not go to school	F	250
Port Phillip (C)	Did not go to school	M	184
Port Phillip (C)	Year 8	F	1152
Port Phillip (C)	Year 8	M	986
Port Phillip (C)	Year 9	F	825
Port Phillip (C)	Year 9	M	922
Port Phillip (C)	Year 10	F	2443
Port Phillip (C)	Year 10	M	2793
Port Phillip (C)	Year 11	F	2800
Port Phillip (C)	Year 11	M	2932
Port Phillip (C)	Year 12	F	33160
Port Phillip (C)	Year 12	M	30394
Pyrenees (S)	Did not go to school	M	12
Pyrenees (S)	Year 8	F	206
Pyrenees (S)	Year 8	M	256
Pyrenees (S)	Year 9	F	241
Pyrenees (S)	Year 9	M	358
Pyrenees (S)	Year 10	F	547
Pyrenees (S)	Year 10	M	676
Pyrenees (S)	Year 11	F	471
Pyrenees (S)	Year 11	M	470
Pyrenees (S)	Year 12	F	1044
Pyrenees (S)	Year 12	M	778
Queenscliffe (B)	Did not go to school	F	6
Queenscliffe (B)	Did not go to school	M	3
Queenscliffe (B)	Year 8	F	40
Queenscliffe (B)	Year 8	M	39
Queenscliffe (B)	Year 9	F	59
Queenscliffe (B)	Year 9	M	54
Queenscliffe (B)	Year 10	F	176
Queenscliffe (B)	Year 10	M	150
Queenscliffe (B)	Year 11	F	196
Queenscliffe (B)	Year 11	M	171
Queenscliffe (B)	Year 12	F	742
Queenscliffe (B)	Year 12	M	604
South Gippsland (S)	Did not go to school	F	40
South Gippsland (S)	Did not go to school	M	28
South Gippsland (S)	Year 8	F	727
South Gippsland (S)	Year 8	M	824
