POA_CODE_2016	Age	MaritalStatus	Registered	adults
POA0838	15-19	Never married		41
POA0838	20-24	Married	0	13
POA0838	20-24	Married	1	7
POA0838	20-24	Never married		16
POA0838	25-34	Married	0	42
POA0838	25-34	Married	1	28
POA0838	25-34	Never married		24
POA0838	35-44	Married	0	37
POA0838	35-44	Married	1	49
POA0838	35-44	Never married		22
POA0838	45-54	Married	0	16
POA0838	45-54	Married	1	53
POA0838	45-54	Never married		20
POA0838	55-64	Married	0	14
POA0838	55-64	Married	1	48
POA0838	55-64	Never married		33
POA0838	65-74	Married	0	8
POA0838	65-74	Married	1	27
POA0838	65-74	Never married		8
POA0838	75-84	Married	1	7
POA0838	75-84	Never married		3
POA0839	15-19	Married	0	5
POA0839	15-19	Never married		17
POA0839	20-24	Married	0	26
POA0839	20-24	Married	1	3
POA0839	20-24	Never married		40
POA0839	25-34	Married	0	39
POA0839	25-34	Married	1	20
POA0839	25-34	Never married		43
POA0839	35-44	Married	0	12
POA0839	35-44	Married	1	16
POA0839	35-44	Never married		15
POA0839	45-54	Married	0	5
POA0839	45-54	Married	1	20
POA0839	45-54	Never married		12
POA0839	55-64	Married	0	10
POA0839	55-64	Married	1	17
POA0839	55-64	Never married		14
POA0839	65-74	Married	0	3
POA0839	65-74	Married	1	11
POA0839	65-74	Never married		9
POA0839	75-84	Never married		5
POA0840	15-19	Never married		4
POA0840	20-24	Never married		5
POA0840	25-34	Married	0	7
POA0840	25-34	Married	1	5
POA0840	25-34	Never married		4
POA0840	35-44	Married	0	8
POA0840	35-44	Married	1	17
POA0840	35-44	Never married		14
POA0840	45-54	Married	0	17
POA0840	45-54	Married	1	19
POA0840	45-54	Never married		23
POA0840	55-64	Married	0	13
POA0840	55-64	Married	1	39
POA0840	55-64	Never married		33
POA0840	65-74	Married	0	10
POA0840	65-74	Married	1	39
POA0840	65-74	Never married		29
POA0840	75-84	Never married		9
POA0841	15-19	Never married		34
POA0841	20-24	Married	0	5
POA0841	20-24	Married	1	3
POA0841	20-24	Never married		12
POA0841	25-34	Married	0	28
POA0841	25-34	Married	1	15
POA0841	25-34	Never married		19
POA0841	35-44	Married	0	42
POA0841	35-44	Married	1	30
POA0841	35-44	Never married		22
POA0841	45-54	Married	0	35
POA0841	45-54	Married	1	34
POA0841	45-54	Never married		38
POA0841	55-64	Married	0	16
POA0841	55-64	Married	1	38
POA0841	55-64	Never married		21
POA0841	65-74	Married	0	3
POA0841	65-74	Married	1	28
POA0841	65-74	Never married		14
POA0841	75-84	Never married		9
POA0845	15-19	Never married		25
POA0845	20-24	Married	0	3
POA0845	20-24	Never married		14
POA0845	25-34	Married	0	6
POA0845	25-34	Married	1	10
POA0845	25-34	Never married		22
POA0845	35-44	Married	0	8
POA0845	35-44	Married	1	10
POA0845	35-44	Never married		15
POA0845	45-54	Married	0	16
POA0845	45-54	Married	1	15
POA0845	45-54	Never married		33
POA0845	55-64	Married	0	5
POA0845	55-64	Married	1	23
POA0845	55-64	Never married		31
POA0845	65-74	Married	0	3
POA0845	65-74	Married	1	11
POA0845	65-74	Never married		28
POA0845	75-84	Married	1	3
POA0845	75-84	Never married		9
POA0845	85+	Married	1	3
