POA_CODE_2016	MaxSchoolingCompleted	Sex	persons
POA2020	Year 9	F	183
POA2020	Year 9	M	182
POA2020	Year 10	F	672
POA2020	Year 10	M	765
POA2020	Year 11	F	213
POA2020	Year 11	M	271
POA2020	Year 12	F	4493
POA2020	Year 12	M	4449
POA2021	Did not go to school	F	21
POA2021	Did not go to school	M	10
POA2021	Year 8	F	71
POA2021	Year 8	M	60
POA2021	Year 9	F	100
POA2021	Year 9	M	83
POA2021	Year 10	F	458
POA2021	Year 10	M	349
POA2021	Year 11	F	228
POA2021	Year 11	M	205
POA2021	Year 12	F	5410
POA2021	Year 12	M	4864
POA2022	Did not go to school	F	19
POA2022	Did not go to school	M	16
POA2022	Year 8	F	91
POA2022	Year 8	M	66
POA2022	Year 9	F	104
POA2022	Year 9	M	114
POA2022	Year 10	F	413
POA2022	Year 10	M	353
POA2022	Year 11	F	197
POA2022	Year 11	M	192
POA2022	Year 12	F	4035
POA2022	Year 12	M	3625
POA2023	Did not go to school	F	5
POA2023	Did not go to school	M	7
POA2023	Year 8	F	45
POA2023	Year 8	M	44
POA2023	Year 9	F	85
POA2023	Year 9	M	110
POA2023	Year 10	F	297
POA2023	Year 10	M	257
POA2023	Year 11	F	141
POA2023	Year 11	M	186
POA2023	Year 12	F	3601
POA2023	Year 12	M	3221
POA2024	Did not go to school	F	16
POA2024	Did not go to school	M	9
POA2024	Year 8	F	75
POA2024	Year 8	M	71
POA2024	Year 9	F	140
POA2024	Year 9	M	94
POA2024	Year 10	F	469
POA2024	Year 10	M	377
POA2024	Year 11	F	168
POA2024	Year 11	M	165
POA2024	Year 12	F	3349
POA2024	Year 12	M	3041
POA2025	Did not go to school	F	9
POA2025	Did not go to school	M	11
POA2025	Year 8	F	41
POA2025	Year 8	M	22
POA2025	Year 9	F	68
POA2025	Year 9	M	51
POA2025	Year 10	F	231
POA2025	Year 10	M	142
POA2025	Year 11	F	136
POA2025	Year 11	M	77
POA2025	Year 12	F	2609
POA2025	Year 12	M	2189
POA2026	Did not go to school	F	29
POA2026	Did not go to school	M	43
POA2026	Year 8	F	198
POA2026	Year 8	M	171
POA2026	Year 9	F	204
POA2026	Year 9	M	249
POA2026	Year 10	F	943
POA2026	Year 10	M	983
POA2026	Year 11	F	422
POA2026	Year 11	M	524
POA2026	Year 12	F	10510
POA2026	Year 12	M	9859
POA2027	Did not go to school	F	11
POA2027	Did not go to school	M	6
POA2027	Year 8	F	29
POA2027	Year 8	M	25
POA2027	Year 9	F	67
POA2027	Year 9	M	56
POA2027	Year 10	F	295
POA2027	Year 10	M	161
POA2027	Year 11	F	140
POA2027	Year 11	M	125
POA2027	Year 12	F	2853
POA2027	Year 12	M	2485
POA2028	Did not go to school	F	3
POA2028	Year 8	F	30
POA2028	Year 8	M	9
POA2028	Year 9	F	36
POA2028	Year 9	M	35
POA2028	Year 10	F	184
POA2028	Year 10	M	94
POA2028	Year 11	F	76
POA2028	Year 11	M	55
POA2028	Year 12	F	1729
POA2028	Year 12	M	1383
POA2029	Did not go to school	F	7
POA2029	Did not go to school	M	9
POA2029	Year 8	F	53
POA2029	Year 8	M	46
POA2029	Year 9	F	119
POA2029	Year 9	M	65
POA2029	Year 10	F	398
POA2029	Year 10	M	255
POA2029	Year 11	F	186
POA2029	Year 11	M	161
POA2029	Year 12	F	3247
POA2029	Year 12	M	2895
POA2030	Did not go to school	F	16
POA2030	Did not go to school	M	9
POA2030	Year 8	F	81
POA2030	Year 8	M	71
POA2030	Year 9	F	192
POA2030	Year 9	M	146
POA2030	Year 10	F	521
POA2030	Year 10	M	397
POA2030	Year 11	F	245
POA2030	Year 11	M	185
POA2030	Year 12	F	4408
POA2030	Year 12	M	4044
POA2031	Did not go to school	F	55
POA2031	Did not go to school	M	49
POA2031	Year 8	F	313
POA2031	Year 8	M	225
POA2031	Year 9	F	299
POA2031	Year 9	M	301
POA2031	Year 10	F	1292
POA2031	Year 10	M	1169
POA2031	Year 11	F	519
POA2031	Year 11	M	569
POA2031	Year 12	F	11526
POA2031	Year 12	M	10125
POA2032	Did not go to school	F	85
POA2032	Did not go to school	M	51
POA2032	Year 8	F	317
POA2032	Year 8	M	255
POA2032	Year 9	F	219
POA2032	Year 9	M	205
POA2032	Year 10	F	582
POA2032	Year 10	M	579
POA2032	Year 11	F	258
POA2032	Year 11	M	243
POA2032	Year 12	F	5355
POA2032	Year 12	M	5594
POA2033	Did not go to school	F	46
POA2033	Did not go to school	M	42
POA2033	Year 8	F	124
POA2033	Year 8	M	98
POA2033	Year 9	F	122
POA2033	Year 9	M	101
POA2033	Year 10	F	370
POA2033	Year 10	M	373
POA2033	Year 11	F	184
POA2033	Year 11	M	208
POA2033	Year 12	F	3794
POA2033	Year 12	M	3786
POA2034	Did not go to school	F	30
POA2034	Did not go to school	M	23
POA2034	Year 8	F	162
POA2034	Year 8	M	134
POA2034	Year 9	F	233
POA2034	Year 9	M	188
POA2034	Year 10	F	896
POA2034	Year 10	M	760
POA2034	Year 11	F	282
POA2034	Year 11	M	319
POA2034	Year 12	F	6711
POA2034	Year 12	M	5765
POA2035	Did not go to school	F	166
POA2035	Did not go to school	M	101
POA2035	Year 8	F	645
POA2035	Year 8	M	473
POA2035	Year 9	F	580
POA2035	Year 9	M	508
POA2035	Year 10	F	1935
POA2035	Year 10	M	1636
POA2035	Year 11	F	584
POA2035	Year 11	M	587
POA2035	Year 12	F	9898
POA2035	Year 12	M	9396
POA2036	Did not go to school	F	148
POA2036	Did not go to school	M	103
POA2036	Year 8	F	546
POA2036	Year 8	M	447
POA2036	Year 9	F	604
POA2036	Year 9	M	570
POA2036	Year 10	F	2172
POA2036	Year 10	M	2130
POA2036	Year 11	F	592
POA2036	Year 11	M	631
POA2036	Year 12	F	6905
POA2036	Year 12	M	6446
POA2037	Did not go to school	F	57
POA2037	Did not go to school	M	39
POA2037	Year 8	F	167
POA2037	Year 8	M	130
POA2037	Year 9	F	188
POA2037	Year 9	M	146
POA2037	Year 10	F	614
POA2037	Year 10	M	521
POA2037	Year 11	F	252
POA2037	Year 11	M	209
POA2037	Year 12	F	5553
POA2037	Year 12	M	5006
POA2038	Did not go to school	F	12
POA2038	Did not go to school	M	13
POA2038	Year 8	F	71
POA2038	Year 8	M	67
POA2038	Year 9	F	98
POA2038	Year 9	M	92
POA2038	Year 10	F	353
POA2038	Year 10	M	370
POA2038	Year 11	F	121
POA2038	Year 11	M	131
POA2038	Year 12	F	3160
POA2038	Year 12	M	2721
POA2039	Did not go to school	F	12
POA2039	Did not go to school	M	8
POA2039	Year 8	F	50
POA2039	Year 8	M	39
POA2039	Year 9	F	79
POA2039	Year 9	M	64
POA2039	Year 10	F	320
POA2039	Year 10	M	314
POA2039	Year 11	F	144
POA2039	Year 11	M	139
POA2039	Year 12	F	2850
POA2039	Year 12	M	2485
POA2040	Did not go to school	F	74
POA2040	Did not go to school	M	53
POA2040	Year 8	F	369
POA2040	Year 8	M	287
POA2040	Year 9	F	264
POA2040	Year 9	M	245
POA2040	Year 10	F	1012
POA2040	Year 10	M	956
POA2040	Year 11	F	302
POA2040	Year 11	M	374
POA2040	Year 12	F	6624
POA2040	Year 12	M	5723
POA2041	Did not go to school	F	22
POA2041	Did not go to school	M	10
POA2041	Year 8	F	109
POA2041	Year 8	M	84
POA2041	Year 9	F	166
POA2041	Year 9	M	133
POA2041	Year 10	F	643
POA2041	Year 10	M	524
POA2041	Year 11	F	219
POA2041	Year 11	M	240
POA2041	Year 12	F	5006
POA2041	Year 12	M	4488
POA2042	Did not go to school	F	71
POA2042	Did not go to school	M	53
POA2042	Year 8	F	189
POA2042	Year 8	M	140
POA2042	Year 9	F	112
POA2042	Year 9	M	155
POA2042	Year 10	F	530
POA2042	Year 10	M	673
