POA_CODE_2016	FamilyComposition	families_with_children
POA2121	Blended family with no other children present	47
POA2121	Intact family with no other children present	4087
POA2121	Intact family with other children present	47
POA2121	Other couple family with other children only	7
POA2121	Step family with no other children present	124
POA2121	Step family with other children present	6
POA2122	Blended family with no other children present	45
POA2122	Blended family with other children present	3
POA2122	Intact family with no other children present	3662
POA2122	Intact family with other children present	58
POA2122	Other couple family with other children only	10
POA2122	Step family with no other children present	139
POA2122	Step family with other children present	3
POA2125	Blended family with no other children present	46
POA2125	Intact family with no other children present	2647
POA2125	Intact family with other children present	37
POA2125	Other couple family with other children only	3
POA2125	Step family with no other children present	95
POA2126	Blended family with no other children present	38
POA2126	Intact family with no other children present	3102
POA2126	Intact family with other children present	39
POA2126	Other couple family with other children only	3
POA2126	Step family with no other children present	122
POA2127	Blended family with no other children present	23
POA2127	Intact family with no other children present	1619
POA2127	Intact family with other children present	10
POA2127	Other couple family with other children only	8
POA2127	Step family with no other children present	69
POA2128	Blended family with no other children present	6
POA2128	Intact family with no other children present	264
POA2128	Intact family with other children present	4
POA2128	Step family with no other children present	11
POA2130	Blended family with no other children present	11
POA2130	Intact family with no other children present	702
POA2130	Intact family with other children present	9
POA2130	Other couple family with other children only	3
POA2130	Step family with no other children present	30
POA2131	Blended family with no other children present	34
POA2131	Intact family with no other children present	2177
POA2131	Intact family with other children present	31
POA2131	Other couple family with other children only	3
POA2131	Step family with no other children present	92
POA2132	Blended family with no other children present	24
POA2132	Blended family with other children present	3
POA2132	Intact family with no other children present	1304
POA2132	Intact family with other children present	12
POA2132	Other couple family with other children only	4
POA2132	Step family with no other children present	46
POA2133	Blended family with no other children present	26
POA2133	Intact family with no other children present	1465
POA2133	Intact family with other children present	13
POA2133	Other couple family with other children only	7
POA2133	Step family with no other children present	69
POA2134	Blended family with no other children present	20
POA2134	Blended family with other children present	3
POA2134	Intact family with no other children present	1282
POA2134	Intact family with other children present	25
POA2134	Step family with no other children present	59
POA2135	Blended family with no other children present	38
POA2135	Intact family with no other children present	2778
POA2135	Intact family with other children present	41
POA2135	Other couple family with other children only	5
POA2135	Step family with no other children present	96
POA2135	Step family with other children present	5
POA2136	Blended family with no other children present	23
POA2136	Intact family with no other children present	939
POA2136	Intact family with other children present	13
POA2136	Step family with no other children present	39
POA2137	Blended family with no other children present	40
POA2137	Intact family with no other children present	3314
POA2137	Intact family with other children present	18
POA2137	Other couple family with other children only	8
POA2137	Step family with no other children present	131
POA2138	Blended family with no other children present	24
POA2138	Intact family with no other children present	2132
POA2138	Intact family with other children present	19
POA2138	Other couple family with other children only	4
POA2138	Step family with no other children present	80
POA2140	Blended family with no other children present	23
POA2140	Intact family with no other children present	1742
POA2140	Intact family with other children present	36
POA2140	Other couple family with other children only	7
POA2140	Step family with no other children present	73
POA2141	Blended family with no other children present	73
POA2141	Blended family with other children present	4
POA2141	Intact family with no other children present	3402
POA2141	Intact family with other children present	72
POA2141	Other couple family with other children only	12
POA2141	Step family with no other children present	161
POA2141	Step family with other children present	12
POA2142	Blended family with no other children present	67
POA2142	Blended family with other children present	4
POA2142	Intact family with no other children present	2976
POA2142	Intact family with other children present	52
POA2142	Other couple family with other children only	13
POA2142	Step family with no other children present	124
POA2142	Step family with other children present	3
POA2143	Blended family with no other children present	20
POA2143	Intact family with no other children present	1135
POA2143	Intact family with other children present	27
POA2143	Other couple family with other children only	6
POA2143	Step family with no other children present	40
POA2144	Blended family with no other children present	78
POA2144	Blended family with other children present	6
POA2144	Intact family with no other children present	4148
POA2144	Intact family with other children present	99
POA2144	Other couple family with other children only	16
POA2144	Step family with no other children present	130
POA2144	Step family with other children present	5
POA2145	Blended family with no other children present	194
POA2145	Intact family with no other children present	11071
POA2145	Intact family with other children present	173
POA2145	Other couple family with other children only	30
POA2145	Step family with no other children present	386
POA2145	Step family with other children present	10
POA2146	Blended family with no other children present	38
POA2146	Blended family with other children present	3
POA2146	Intact family with no other children present	2407
POA2146	Intact family with other children present	41
POA2146	Other couple family with other children only	8
POA2146	Step family with no other children present	101
POA2146	Step family with other children present	3
POA2147	Blended family with no other children present	161
POA2147	Blended family with other children present	4
POA2147	Intact family with no other children present	4489
POA2147	Intact family with other children present	79
POA2147	Other couple family with other children only	17
POA2147	Step family with no other children present	278
POA2147	Step family with other children present	10
POA2148	Blended family with no other children present	274
POA2148	Blended family with other children present	9
POA2148	Intact family with no other children present	7743
POA2148	Intact family with other children present	138
POA2148	Other couple family with other children only	45
POA2148	Step family with no other children present	417
POA2148	Step family with other children present	10
POA2150	Blended family with no other children present	28
POA2150	Blended family with other children present	5
POA2150	Intact family with no other children present	3588
POA2150	Intact family with other children present	41
POA2150	Other couple family with other children only	17
POA2150	Step family with no other children present	109
POA2151	Blended family with no other children present	56
POA2151	Intact family with no other children present	2560
POA2151	Intact family with other children present	22
POA2151	Other couple family with other children only	5
POA2151	Step family with no other children present	117
POA2151	Step family with other children present	4
POA2152	Blended family with no other children present	27
POA2152	Intact family with no other children present	1318
POA2152	Intact family with other children present	6
POA2152	Other couple family with other children only	4
POA2152	Step family with no other children present	71
POA2153	Blended family with no other children present	165
POA2153	Intact family with no other children present	8595
POA2153	Intact family with other children present	99
POA2153	Other couple family with other children only	9
POA2153	Step family with no other children present	365
POA2153	Step family with other children present	3
POA2154	Blended family with no other children present	122
POA2154	Intact family with no other children present	5857
POA2154	Intact family with other children present	67
POA2154	Other couple family with other children only	9
POA2154	Step family with no other children present	258
POA2154	Step family with other children present	12
POA2155	Blended family with no other children present	303
POA2155	Blended family with other children present	13
POA2155	Intact family with no other children present	9148
POA2155	Intact family with other children present	101
POA2155	Other couple family with other children only	12
POA2155	Step family with no other children present	453
POA2155	Step family with other children present	12
POA2156	Blended family with no other children present	48
POA2156	Intact family with no other children present	1835
POA2156	Intact family with other children present	18
POA2156	Other couple family with other children only	6
POA2156	Step family with no other children present	90
POA2157	Blended family with no other children present	15
POA2157	Intact family with no other children present	480
POA2157	Intact family with other children present	5
POA2157	Step family with no other children present	28
POA2158	Blended family with no other children present	33
POA2158	Intact family with no other children present	1141
POA2158	Intact family with other children present	17
POA2158	Other couple family with other children only	5
POA2158	Step family with no other children present	57
POA2159	Blended family with no other children present	21
POA2159	Intact family with no other children present	641
POA2159	Intact family with other children present	8
POA2159	Other couple family with other children only	3
POA2159	Step family with no other children present	40
