SA3_NAME16	CountryOfBirth	persons
Lithgow - Mudgee	NPL	3
Lithgow - Mudgee	NZL	447
Lithgow - Mudgee	PAK	5
Lithgow - Mudgee	PHL	173
Lithgow - Mudgee	PNG	15
Lithgow - Mudgee	POL	39
Lithgow - Mudgee	SGP	7
Lithgow - Mudgee	THA	47
Lithgow - Mudgee	TUR	8
Lithgow - Mudgee	TWN	4
Lithgow - Mudgee	USA	94
Lithgow - Mudgee	VNM	69
Lithgow - Mudgee	ZAF	101
Lithgow - Mudgee	ZWE	13
Orange		4834
Orange	AFG	8
Orange	AUS	48435
Orange	BGD	16
Orange	BIH	3
Orange	CAN	53
Orange	CHL	8
Orange	CHN	157
Orange	DEU	161
Orange	EGY	18
Orange	FJI	42
Orange	FRA	25
Orange	GBR	1210
Orange	GRC	42
Orange	HKG	36
Orange	HRV	34
Orange	IDN	31
Orange	IND	385
Orange	IRL	68
Orange	IRN	24
Orange	IRQ	11
Orange	ITA	115
Orange	JPN	18
Orange	KHM	5
Orange	KOR	70
Orange	LBN	12
Orange	LKA	54
Orange	MKD	10
Orange	MLT	12
Orange	MMR	9
Orange	MUS	4
Orange	MYS	39
Orange	NLD	113
Orange	NPL	105
Orange	NZL	531
Orange	PAK	37
Orange	PHL	222
Orange	PNG	23
Orange	POL	43
Orange	SGP	21
Orange	THA	51
Orange	TUR	14
Orange	TWN	30
Orange	USA	102
Orange	VNM	46
Orange	ZAF	202
Orange	ZWE	111
Clarence Valley		4693
Clarence Valley	AUS	42103
Clarence Valley	BGD	4
Clarence Valley	CAN	49
Clarence Valley	CHL	11
Clarence Valley	CHN	55
Clarence Valley	DEU	153
Clarence Valley	EGY	18
Clarence Valley	FJI	31
Clarence Valley	FRA	28
Clarence Valley	GBR	1490
Clarence Valley	GRC	12
Clarence Valley	HKG	31
Clarence Valley	HRV	9
Clarence Valley	IDN	26
Clarence Valley	IND	87
Clarence Valley	IRL	38
Clarence Valley	IRN	3
Clarence Valley	IRQ	3
Clarence Valley	ITA	38
Clarence Valley	JPN	21
Clarence Valley	KHM	3
Clarence Valley	KOR	4
Clarence Valley	LBN	3
Clarence Valley	LKA	28
Clarence Valley	MKD	3
Clarence Valley	MLT	26
Clarence Valley	MMR	3
Clarence Valley	MUS	5
Clarence Valley	MYS	29
Clarence Valley	NLD	162
Clarence Valley	NPL	11
Clarence Valley	NZL	553
Clarence Valley	PAK	10
Clarence Valley	PHL	148
Clarence Valley	PNG	34
Clarence Valley	POL	10
Clarence Valley	SGP	8
Clarence Valley	THA	43
Clarence Valley	TUR	3
Clarence Valley	TWN	16
Clarence Valley	USA	116
Clarence Valley	VNM	31
Clarence Valley	ZAF	86
Clarence Valley	ZWE	29
Coffs Harbour		8080
Coffs Harbour	AFG	137
Coffs Harbour	AUS	67664
Coffs Harbour	BGD	23
Coffs Harbour	BIH	10
Coffs Harbour	CAN	159
Coffs Harbour	CHL	21
Coffs Harbour	CHN	137
Coffs Harbour	DEU	470
Coffs Harbour	EGY	55
Coffs Harbour	FJI	90
Coffs Harbour	FRA	87
Coffs Harbour	GBR	3652
Coffs Harbour	GRC	19
Coffs Harbour	HKG	74
Coffs Harbour	HRV	25
Coffs Harbour	IDN	52
Coffs Harbour	IND	1063
Coffs Harbour	IRL	183
Coffs Harbour	IRN	44
Coffs Harbour	IRQ	13
Coffs Harbour	ITA	146
Coffs Harbour	JPN	75
Coffs Harbour	KHM	8
Coffs Harbour	KOR	66
Coffs Harbour	LBN	14
Coffs Harbour	LKA	23
Coffs Harbour	MLT	47
Coffs Harbour	MMR	307
