SA3_NAME16	BornAust	persons
Port Douglas - Daintree	0	2341
Port Douglas - Daintree	1	7564
Tablelands (East) - Kuranda	0	5884
Tablelands (East) - Kuranda	1	30273
Darling Downs (West) - Maranoa	0	2939
Darling Downs (West) - Maranoa	1	35633
Darling Downs - East	0	3309
Darling Downs - East	1	35041
Granite Belt	0	4019
Granite Belt	1	33080
Central Highlands (Qld)	0	3045
Central Highlands (Qld)	1	22158
Rockhampton	0	11147
Rockhampton	1	95360
Biloela	0	1174
Biloela	1	11836
Gladstone	0	8921
Gladstone	1	47753
Broadbeach - Burleigh	0	15596
Broadbeach - Burleigh	1	40890
Coolangatta	0	9341
Coolangatta	1	39668
Gold Coast - North	0	20782
Gold Coast - North	1	39658
Gold Coast Hinterland	0	3992
Gold Coast Hinterland	1	12755
Mudgeeraba - Tallebudgera	0	8108
Mudgeeraba - Tallebudgera	1	23473
Nerang	0	17800
Nerang	1	45140
Ormeau - Oxenford	0	33310
Ormeau - Oxenford	1	79035
Robina	0	16651
Robina	1	29418
Southport	0	20133
Southport	1	33800
Surfers Paradise	0	14594
Surfers Paradise	1	20917
Forest Lake - Oxley	0	27505
Forest Lake - Oxley	1	39163
Ipswich Hinterland	0	6480
Ipswich Hinterland	1	50640
Ipswich Inner	0	13551
Ipswich Inner	1	83412
Springfield - Redbank	0	25675
Springfield - Redbank	1	52745
Beaudesert	0	1538
Beaudesert	1	11156
Beenleigh	0	9973
Beenleigh	1	28077
Browns Plains	0	22504
Browns Plains	1	51671
Jimboomba	0	7686
Jimboomba	1	34912
Loganlea - Carbrook	0	16412
Loganlea - Carbrook	1	39355
Springwood - Kingston	0	26307
Springwood - Kingston	1	45644
Bowen Basin - North	0	3699
Bowen Basin - North	1	24968
Mackay	0	13472
Mackay	1	91609
Whitsunday	0	3586
Whitsunday	1	14498
Bribie - Beachmere	0	6029
Bribie - Beachmere	1	24435
Caboolture	0	11069
Caboolture	1	51065
Caboolture Hinterland	0	1814
Caboolture Hinterland	1	10135
Narangba - Burpengary	0	11056
Narangba - Burpengary	1	47883
Redcliffe	0	13171
Redcliffe	1	42090
The Hills District	0	15541
The Hills District	1	67299
North Lakes	0	18426
North Lakes	1	49298
Strathpine	0	7235
Strathpine	1	28045
Far North	0	2479
Far North	1	27053
Outback - North	0	3681
Outback - North	1	22513
Outback - South	0	1050
Outback - South	1	14983
Buderim	0	12470
Buderim	1	39112
Caloundra	0	15665
Caloundra	1	60221
Maroochy	0	11256
Maroochy	1	40588
Noosa	0	9931
Noosa	1	28473
Sunshine Coast Hinterland	0	8624
Sunshine Coast Hinterland	1	37665
Nambour	0	6866
Nambour	1	33121
Noosa Hinterland	0	4015
Noosa Hinterland	1	16322
Toowoomba	0	19190
Toowoomba	1	119778
Charters Towers - Ayr - Ingham	0	3172
Charters Towers - Ayr - Ingham	1	35320
Townsville	0	25593
Townsville	1	146788
Bundaberg	0	10435
Bundaberg	1	70539
Burnett	0	4620
Burnett	1	39864
Gympie - Cooloola	0	5333
Gympie - Cooloola	1	39617
Hervey Bay	0	9722
Hervey Bay	1	42447
Maryborough	0	4443
Maryborough	1	36475
Migratory - Offshore - Shipping (Qld)	0	40
Migratory - Offshore - Shipping (Qld)	1	89
No usual address (Qld)	0	3157
No usual address (Qld)	1	7348
Adelaide City	0	9768
Adelaide City	1	10050
Adelaide Hills	0	11152
Adelaide Hills	1	56680
Burnside	0	13389
Burnside	1	28641
Campbelltown (SA)	0	17189
Campbelltown (SA)	1	31335
Norwood - Payneham - St Peters	0	10711
Norwood - Payneham - St Peters	1	22889
Prospect - Walkerville	0	7577
Prospect - Walkerville	1	19097
Unley	0	9348
Unley	1	26554
Gawler - Two Wells	0	5665
Gawler - Two Wells	1	26863
Playford	0	19270
Playford	1	64003
Port Adelaide - East	0	25080
Port Adelaide - East	1	39338
Salisbury	0	42441
Salisbury	1	86683
Tea Tree Gully	0	22089
Tea Tree Gully	1	67780
Holdfast Bay	0	7486
Holdfast Bay	1	24058
Marion	0	24620
Marion	1	61245
Mitcham	0	14347
Mitcham	1	46606
Onkaparinga	0	35600
Onkaparinga	1	122870
Charles Sturt	0	29998
Charles Sturt	1	72654
Port Adelaide - West	0	16784
Port Adelaide - West	1	37548
West Torrens	0	18533
West Torrens	1	39357
Barossa	0	3966
Barossa	1	29297
Lower North	0	2162
Lower North	1	18645
Mid North	0	2107
Mid North	1	23190
Yorke Peninsula	0	2318
Yorke Peninsula	1	20835
Eyre Peninsula and South West	0	6350
Eyre Peninsula and South West	1	45570
Outback - North and East	0	2386
Outback - North and East	1	21096
Fleurieu - Kangaroo Island	0	8503
Fleurieu - Kangaroo Island	1	38198
Limestone Coast	0	6465
Limestone Coast	1	53763
Murray and Mallee	0	8179
Murray and Mallee	1	55831
Migratory - Offshore - Shipping (SA)	0	3
Migratory - Offshore - Shipping (SA)	1	3
No usual address (SA)	0	605
No usual address (SA)	1	1886
Augusta - Margaret River - Busselton	0	9689
Augusta - Margaret River - Busselton	1	37059
Bunbury	0	19400
Bunbury	1	74998
Manjimup	0	3969
Manjimup	1	16537
Mandurah	0	25129
Mandurah	1	64509
Cottesloe - Claremont	0	21379
Cottesloe - Claremont	1	42305
Perth City	0	39266
Perth City	1	52505
Bayswater - Bassendean	0	29959
Bayswater - Bassendean	1	45265
Mundaring	0	10166
Mundaring	1	29428
Swan	0	42552
Swan	1	77141
Joondalup	0	58564
Joondalup	1	89658
Stirling	0	72762
Stirling	1	106746
Wanneroo	0	77010
Wanneroo	1	98960
Armadale	0	27554
Armadale	1	46722
Belmont - Victoria Park	0	28561
Belmont - Victoria Park	1	35307
Canning	0	46671
Canning	1	41983
Gosnells	0	51096
Gosnells	1	60443
Kalamunda	0	16696
Kalamunda	1	37263
Serpentine - Jarrahdale	0	6799
