SA3_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Newcastle	1	4	8400
Newcastle	1	5	3246
Newcastle	1	6	1220
Richmond Valley - Coastal	0	1	8398
Richmond Valley - Coastal	0	2	1108
Richmond Valley - Coastal	0	3	271
Richmond Valley - Coastal	0	4	97
Richmond Valley - Coastal	0	5	41
Richmond Valley - Coastal	0	6	11
Richmond Valley - Coastal	1	2	9905
Richmond Valley - Coastal	1	3	4055
Richmond Valley - Coastal	1	4	3652
Richmond Valley - Coastal	1	5	1468
Richmond Valley - Coastal	1	6	573
Richmond Valley - Hinterland	0	1	7730
Richmond Valley - Hinterland	0	2	891
Richmond Valley - Hinterland	0	3	120
Richmond Valley - Hinterland	0	4	40
Richmond Valley - Hinterland	0	5	13
Richmond Valley - Hinterland	0	6	3
Richmond Valley - Hinterland	1	2	8585
Richmond Valley - Hinterland	1	3	3560
Richmond Valley - Hinterland	1	4	3025
Richmond Valley - Hinterland	1	5	1535
Richmond Valley - Hinterland	1	6	772
Tweed Valley	0	1	10104
Tweed Valley	0	2	1152
Tweed Valley	0	3	143
Tweed Valley	0	4	34
Tweed Valley	0	5	6
Tweed Valley	0	6	4
Tweed Valley	1	2	12003
Tweed Valley	1	3	4534
Tweed Valley	1	4	4298
Tweed Valley	1	5	1898
Tweed Valley	1	6	918
Griffith - Murrumbidgee (West)	0	1	4340
Griffith - Murrumbidgee (West)	0	2	368
Griffith - Murrumbidgee (West)	0	3	63
Griffith - Murrumbidgee (West)	0	4	21
Griffith - Murrumbidgee (West)	0	5	12
Griffith - Murrumbidgee (West)	0	6	14
Griffith - Murrumbidgee (West)	1	2	5252
Griffith - Murrumbidgee (West)	1	3	2234
Griffith - Murrumbidgee (West)	1	4	2311
Griffith - Murrumbidgee (West)	1	5	1257
Griffith - Murrumbidgee (West)	1	6	595
Tumut - Tumbarumba	0	1	1579
Tumut - Tumbarumba	0	2	84
Tumut - Tumbarumba	0	3	7
Tumut - Tumbarumba	0	4	3
Tumut - Tumbarumba	1	2	2015
Tumut - Tumbarumba	1	3	626
Tumut - Tumbarumba	1	4	661
Tumut - Tumbarumba	1	5	293
Tumut - Tumbarumba	1	6	133
Wagga Wagga	0	1	9130
Wagga Wagga	0	2	875
Wagga Wagga	0	3	209
Wagga Wagga	0	4	72
Wagga Wagga	0	5	22
Wagga Wagga	0	6	14
Wagga Wagga	1	2	11162
Wagga Wagga	1	3	4554
Wagga Wagga	1	4	4271
Wagga Wagga	1	5	2263
Wagga Wagga	1	6	1067
Shoalhaven	0	1	10900
Shoalhaven	0	2	876
Shoalhaven	0	3	77
Shoalhaven	0	4	23
Shoalhaven	0	5	7
Shoalhaven	0	6	3
Shoalhaven	1	2	14344
Shoalhaven	1	3	4809
Shoalhaven	1	4	4186
Shoalhaven	1	5	1933
Shoalhaven	1	6	971
Southern Highlands	0	1	4640
Southern Highlands	0	2	333
Southern Highlands	0	3	30
Southern Highlands	0	4	12
Southern Highlands	0	5	3
Southern Highlands	0	6	3
Southern Highlands	1	2	6544
Southern Highlands	1	3	2286
Southern Highlands	1	4	2287
Southern Highlands	1	5	1106
Southern Highlands	1	6	515
Baulkham Hills	0	1	5615
Baulkham Hills	0	2	380
Baulkham Hills	0	3	130
Baulkham Hills	0	4	42
Baulkham Hills	0	5	35
Baulkham Hills	0	6	41
Baulkham Hills	1	2	11434
Baulkham Hills	1	3	8503
Baulkham Hills	1	4	11432
Baulkham Hills	1	5	4914
Baulkham Hills	1	6	2184
Dural - Wisemans Ferry	0	1	1106
Dural - Wisemans Ferry	0	2	109
Dural - Wisemans Ferry	0	3	15
Dural - Wisemans Ferry	0	4	5
Dural - Wisemans Ferry	0	5	3
Dural - Wisemans Ferry	1	2	2259
Dural - Wisemans Ferry	1	3	1225
Dural - Wisemans Ferry	1	4	1569
Dural - Wisemans Ferry	1	5	948
Dural - Wisemans Ferry	1	6	637
Hawkesbury	0	1	1203
Hawkesbury	0	2	109
Hawkesbury	0	3	13
Hawkesbury	0	4	4
Hawkesbury	1	2	2333
Hawkesbury	1	3	1272
Hawkesbury	1	4	1509
Hawkesbury	1	5	765
Hawkesbury	1	6	442
Rouse Hill - McGraths Hill	0	1	978
Rouse Hill - McGraths Hill	0	2	95
Rouse Hill - McGraths Hill	0	3	25
Rouse Hill - McGraths Hill	0	4	11
Rouse Hill - McGraths Hill	0	5	3
Rouse Hill - McGraths Hill	1	2	2086
Rouse Hill - McGraths Hill	1	3	1707
Rouse Hill - McGraths Hill	1	4	2660
Rouse Hill - McGraths Hill	1	5	1358
Rouse Hill - McGraths Hill	1	6	649
Blacktown	0	1	7625
Blacktown	0	2	856
Blacktown	0	3	190
Blacktown	0	4	99
Blacktown	0	5	49
Blacktown	0	6	37
Blacktown	1	2	10515
Blacktown	1	3	8213
Blacktown	1	4	8562
Blacktown	1	5	3855
Blacktown	1	6	2778
Blacktown - North	0	1	2768
Blacktown - North	0	2	310
Blacktown - North	0	3	81
Blacktown - North	0	4	34
Blacktown - North	0	5	21
Blacktown - North	0	6	25
