SA3_NAME16	FamilyComposition	families_with_children
Richmond Valley - Coastal	Intact family with other children present	61
Richmond Valley - Coastal	Other couple family with other children only	51
Richmond Valley - Coastal	Step family with no other children present	508
Richmond Valley - Coastal	Step family with other children present	6
Richmond Valley - Hinterland	Blended family with no other children present	326
Richmond Valley - Hinterland	Blended family with other children present	8
Richmond Valley - Hinterland	Intact family with no other children present	5436
Richmond Valley - Hinterland	Intact family with other children present	97
Richmond Valley - Hinterland	Other couple family with other children only	78
Richmond Valley - Hinterland	Step family with no other children present	515
Richmond Valley - Hinterland	Step family with other children present	14
Tweed Valley	Blended family with no other children present	402
Tweed Valley	Blended family with other children present	4
Tweed Valley	Intact family with no other children present	7514
Tweed Valley	Intact family with other children present	83
Tweed Valley	Other couple family with other children only	71
Tweed Valley	Step family with no other children present	661
Tweed Valley	Step family with other children present	11
Griffith - Murrumbidgee (West)	Blended family with no other children present	215
Griffith - Murrumbidgee (West)	Blended family with other children present	7
Griffith - Murrumbidgee (West)	Intact family with no other children present	4610
Griffith - Murrumbidgee (West)	Intact family with other children present	56
Griffith - Murrumbidgee (West)	Other couple family with other children only	55
Griffith - Murrumbidgee (West)	Step family with no other children present	259
Griffith - Murrumbidgee (West)	Step family with other children present	9
Tumut - Tumbarumba	Blended family with no other children present	74
Tumut - Tumbarumba	Intact family with no other children present	1186
Tumut - Tumbarumba	Intact family with other children present	13
Tumut - Tumbarumba	Other couple family with other children only	13
Tumut - Tumbarumba	Step family with no other children present	98
Tumut - Tumbarumba	Step family with other children present	3
Wagga Wagga	Blended family with no other children present	468
Wagga Wagga	Blended family with other children present	9
Wagga Wagga	Intact family with no other children present	8346
Wagga Wagga	Intact family with other children present	90
Wagga Wagga	Other couple family with other children only	78
Wagga Wagga	Step family with no other children present	593
Wagga Wagga	Step family with other children present	14
Shoalhaven	Blended family with no other children present	478
Shoalhaven	Blended family with other children present	13
Shoalhaven	Intact family with no other children present	7375
Shoalhaven	Intact family with other children present	127
Shoalhaven	Other couple family with other children only	127
Shoalhaven	Step family with no other children present	782
Shoalhaven	Step family with other children present	18
Southern Highlands	Blended family with no other children present	220
Southern Highlands	Blended family with other children present	8
Southern Highlands	Intact family with no other children present	4319
Southern Highlands	Intact family with other children present	40
Southern Highlands	Other couple family with other children only	29
Southern Highlands	Step family with no other children present	357
Baulkham Hills	Blended family with no other children present	453
Baulkham Hills	Blended family with other children present	5
Baulkham Hills	Intact family with no other children present	22403
Baulkham Hills	Intact family with other children present	265
Baulkham Hills	Other couple family with other children only	32
Baulkham Hills	Step family with no other children present	957
Baulkham Hills	Step family with other children present	27
Dural - Wisemans Ferry	Blended family with no other children present	119
Dural - Wisemans Ferry	Intact family with no other children present	3439
Dural - Wisemans Ferry	Intact family with other children present	45
Dural - Wisemans Ferry	Other couple family with other children only	13
Dural - Wisemans Ferry	Step family with no other children present	192
Dural - Wisemans Ferry	Step family with other children present	4
Hawkesbury	Blended family with no other children present	163
Hawkesbury	Intact family with no other children present	2980
Hawkesbury	Intact family with other children present	50
Hawkesbury	Other couple family with other children only	23
Hawkesbury	Step family with no other children present	206
Hawkesbury	Step family with other children present	6
Rouse Hill - McGraths Hill	Blended family with no other children present	215
Rouse Hill - McGraths Hill	Blended family with other children present	6
Rouse Hill - McGraths Hill	Intact family with no other children present	5114
Rouse Hill - McGraths Hill	Intact family with other children present	62
Rouse Hill - McGraths Hill	Other couple family with other children only	20
