SA3_NAME16	FamilyComposition	families_with_children
Palmerston	Step family with no other children present	358
Palmerston	Step family with other children present	9
Alice Springs	Blended family with no other children present	129
Alice Springs	Blended family with other children present	14
Alice Springs	Intact family with no other children present	2814
Alice Springs	Intact family with other children present	147
Alice Springs	Other couple family with other children only	68
Alice Springs	Step family with no other children present	219
Alice Springs	Step family with other children present	21
Barkly	Blended family with no other children present	16
Barkly	Blended family with other children present	3
Barkly	Intact family with no other children present	357
Barkly	Intact family with other children present	48
Barkly	Other couple family with other children only	24
Barkly	Step family with no other children present	28
Barkly	Step family with other children present	4
Daly - Tiwi - West Arnhem	Blended family with no other children present	49
Daly - Tiwi - West Arnhem	Blended family with other children present	17
Daly - Tiwi - West Arnhem	Intact family with no other children present	1175
Daly - Tiwi - West Arnhem	Intact family with other children present	147
Daly - Tiwi - West Arnhem	Other couple family with other children only	52
Daly - Tiwi - West Arnhem	Step family with no other children present	97
Daly - Tiwi - West Arnhem	Step family with other children present	16
East Arnhem	Blended family with no other children present	43
East Arnhem	Blended family with other children present	6
East Arnhem	Intact family with no other children present	1113
East Arnhem	Intact family with other children present	126
East Arnhem	Other couple family with other children only	42
East Arnhem	Step family with no other children present	72
East Arnhem	Step family with other children present	14
Katherine	Blended family with no other children present	77
Katherine	Blended family with other children present	16
Katherine	Intact family with no other children present	1377
Katherine	Intact family with other children present	136
Katherine	Other couple family with other children only	77
Katherine	Step family with no other children present	109
Katherine	Step family with other children present	17
Belconnen	Blended family with no other children present	392
Belconnen	Blended family with other children present	5
Belconnen	Intact family with no other children present	10010
Belconnen	Intact family with other children present	106
Belconnen	Other couple family with other children only	48
Belconnen	Step family with no other children present	670
Belconnen	Step family with other children present	11
Canberra East	Blended family with no other children present	3
Canberra East	Intact family with no other children present	76
Canberra East	Step family with no other children present	6
Gungahlin	Blended family with no other children present	341
Gungahlin	Blended family with other children present	4
Gungahlin	Intact family with no other children present	9644
Gungahlin	Intact family with other children present	106
Gungahlin	Other couple family with other children only	23
Gungahlin	Step family with no other children present	596
Gungahlin	Step family with other children present	12
North Canberra	Blended family with no other children present	96
North Canberra	Intact family with no other children present	3770
North Canberra	Intact family with other children present	29
North Canberra	Other couple family with other children only	18
North Canberra	Step family with no other children present	251
North Canberra	Step family with other children present	4
South Canberra	Blended family with no other children present	50
South Canberra	Intact family with no other children present	2446
South Canberra	Intact family with other children present	18
South Canberra	Other couple family with other children only	7
South Canberra	Step family with no other children present	141
Tuggeranong	Blended family with no other children present	514
Tuggeranong	Blended family with other children present	8
Tuggeranong	Intact family with no other children present	9755
Tuggeranong	Intact family with other children present	122
Tuggeranong	Other couple family with other children only	43
Tuggeranong	Step family with no other children present	906
Tuggeranong	Step family with other children present	13
Weston Creek	Blended family with no other children present	98
Weston Creek	Intact family with no other children present	2570
Weston Creek	Intact family with other children present	17
Weston Creek	Other couple family with other children only	5
Weston Creek	Step family with no other children present	171
Weston Creek	Step family with other children present	3
Woden Valley	Blended family with no other children present	95
Woden Valley	Blended family with other children present	3
Woden Valley	Intact family with no other children present	3844
Woden Valley	Intact family with other children present	33
Woden Valley	Other couple family with other children only	14
Woden Valley	Step family with no other children present	234
Woden Valley	Step family with other children present	3
Molonglo	Blended family with no other children present	16
Molonglo	Intact family with no other children present	529
Molonglo	Intact family with other children present	8
Molonglo	Step family with no other children present	30
Urriarra - Namadgi	Intact family with no other children present	68
Urriarra - Namadgi	Step family with no other children present	3
Christmas Island	Intact family with no other children present	148
Christmas Island	Step family with no other children present	5
Cocos (Keeling) Islands	Intact family with no other children present	73
Cocos (Keeling) Islands	Intact family with other children present	3
Cocos (Keeling) Islands	Step family with no other children present	3
Jervis Bay	Intact family with no other children present	24
Jervis Bay	Intact family with other children present	3
Norfolk Island	Blended family with no other children present	11
Norfolk Island	Intact family with no other children present	132
Norfolk Island	Step family with no other children present	11
