SA3_NAME16	Age5yr	Indigenous	Sex	persons
Wyong	50-54	1	F	199
Wyong	50-54	1	M	165
Wyong	55-59		F	300
Wyong	55-59		M	276
Wyong	55-59	0	F	5002
Wyong	55-59	0	M	4448
Wyong	55-59	1	F	153
Wyong	55-59	1	M	133
Wyong	60-64		F	302
Wyong	60-64		M	268
Wyong	60-64	0	F	4682
Wyong	60-64	0	M	4182
Wyong	60-64	1	F	102
Wyong	60-64	1	M	93
Wyong	65+		F	1368
Wyong	65+		M	1082
Wyong	65+	0	F	16239
Wyong	65+	0	M	13449
Wyong	65+	1	F	208
Wyong	65+	1	M	187
Bathurst	0-4		F	79
Bathurst	0-4		M	86
Bathurst	0-4	0	F	1148
Bathurst	0-4	0	M	1226
Bathurst	0-4	1	F	130
Bathurst	0-4	1	M	173
Bathurst	5-9		F	82
Bathurst	5-9		M	87
Bathurst	5-9	0	F	1266
Bathurst	5-9	0	M	1381
Bathurst	5-9	1	F	152
Bathurst	5-9	1	M	136
Bathurst	10-14		F	90
Bathurst	10-14		M	86
Bathurst	10-14	0	F	1262
Bathurst	10-14	0	M	1392
Bathurst	10-14	1	F	131
Bathurst	10-14	1	M	129
Bathurst	15-19		F	150
Bathurst	15-19		M	131
Bathurst	15-19	0	F	1379
Bathurst	15-19	0	M	1453
Bathurst	15-19	1	F	100
Bathurst	15-19	1	M	116
Bathurst	20-24		F	149
Bathurst	20-24		M	178
Bathurst	20-24	0	F	1390
Bathurst	20-24	0	M	1479
Bathurst	20-24	1	F	108
Bathurst	20-24	1	M	158
Bathurst	25-29		F	77
Bathurst	25-29		M	105
Bathurst	25-29	0	F	1173
Bathurst	25-29	0	M	1367
Bathurst	25-29	1	F	97
Bathurst	25-29	1	M	131
Bathurst	30-34		F	68
Bathurst	30-34		M	80
Bathurst	30-34	0	F	1143
Bathurst	30-34	0	M	1263
Bathurst	30-34	1	F	61
Bathurst	30-34	1	M	91
Bathurst	35-39		F	68
Bathurst	35-39		M	81
Bathurst	35-39	0	F	1138
Bathurst	35-39	0	M	1166
Bathurst	35-39	1	F	60
Bathurst	35-39	1	M	71
Bathurst	40-44		F	85
Bathurst	40-44		M	102
Bathurst	40-44	0	F	1278
Bathurst	40-44	0	M	1258
Bathurst	40-44	1	F	64
Bathurst	40-44	1	M	75
Bathurst	45-49		F	105
Bathurst	45-49		M	119
Bathurst	45-49	0	F	1383
Bathurst	45-49	0	M	1347
Bathurst	45-49	1	F	55
Bathurst	45-49	1	M	63
Bathurst	50-54		F	107
Bathurst	50-54		M	97
Bathurst	50-54	0	F	1339
Bathurst	50-54	0	M	1312
Bathurst	50-54	1	F	43
Bathurst	50-54	1	M	29
Bathurst	55-59		F	105
Bathurst	55-59		M	97
Bathurst	55-59	0	F	1375
Bathurst	55-59	0	M	1302
Bathurst	55-59	1	F	46
Bathurst	55-59	1	M	25
Bathurst	60-64		F	107
Bathurst	60-64		M	92
Bathurst	60-64	0	F	1224
Bathurst	60-64	0	M	1286
Bathurst	60-64	1	F	40
Bathurst	60-64	1	M	22
Bathurst	65+		F	419
Bathurst	65+		M	327
Bathurst	65+	0	F	3808
Bathurst	65+	0	M	3292
Bathurst	65+	1	F	49
Bathurst	65+	1	M	55
Lachlan Valley	0-4		F	136
Lachlan Valley	0-4		M	135
Lachlan Valley	0-4	0	F	1265
Lachlan Valley	0-4	0	M	1264
Lachlan Valley	0-4	1	F	293
Lachlan Valley	0-4	1	M	304
Lachlan Valley	5-9		F	149
Lachlan Valley	5-9		M	159
Lachlan Valley	5-9	0	F	1460
Lachlan Valley	5-9	0	M	1463
Lachlan Valley	5-9	1	F	292
