SA4_NAME16	Age5yr	ChildrenEverBorn	females
Hunter Valley exc Newcastle	75-79	1	248
Hunter Valley exc Newcastle	75-79	2	1076
Hunter Valley exc Newcastle	75-79	3	1041
Hunter Valley exc Newcastle	75-79	4	636
Hunter Valley exc Newcastle	75-79	5	259
Hunter Valley exc Newcastle	75-79	6	172
Hunter Valley exc Newcastle	80-84		411
Hunter Valley exc Newcastle	80-84	0	193
Hunter Valley exc Newcastle	80-84	1	194
Hunter Valley exc Newcastle	80-84	2	654
Hunter Valley exc Newcastle	80-84	3	741
Hunter Valley exc Newcastle	80-84	4	476
Hunter Valley exc Newcastle	80-84	5	201
Hunter Valley exc Newcastle	80-84	6	205
Hunter Valley exc Newcastle	85+		659
Hunter Valley exc Newcastle	85+	0	237
Hunter Valley exc Newcastle	85+	1	265
Hunter Valley exc Newcastle	85+	2	665
Hunter Valley exc Newcastle	85+	3	622
Hunter Valley exc Newcastle	85+	4	462
Hunter Valley exc Newcastle	85+	5	215
Hunter Valley exc Newcastle	85+	6	222
Illawarra	15-19		887
Illawarra	15-19	0	8257
Illawarra	15-19	1	105
Illawarra	15-19	2	6
Illawarra	15-19	3	3
Illawarra	15-19	5	3
Illawarra	20-24		813
Illawarra	20-24	0	8235
Illawarra	20-24	1	589
Illawarra	20-24	2	293
Illawarra	20-24	3	48
Illawarra	20-24	4	13
Illawarra	25-29		574
Illawarra	25-29	0	5481
Illawarra	25-29	1	1474
Illawarra	25-29	2	1019
Illawarra	25-29	3	314
Illawarra	25-29	4	75
Illawarra	25-29	5	16
Illawarra	25-29	6	11
Illawarra	30-34		497
Illawarra	30-34	0	2769
Illawarra	30-34	1	1961
Illawarra	30-34	2	2460
Illawarra	30-34	3	981
Illawarra	30-34	4	275
Illawarra	30-34	5	91
Illawarra	30-34	6	33
Illawarra	35-39		407
Illawarra	35-39	0	1416
Illawarra	35-39	1	1332
Illawarra	35-39	2	3420
Illawarra	35-39	3	1576
Illawarra	35-39	4	494
Illawarra	35-39	5	148
Illawarra	35-39	6	89
Illawarra	40-44		457
Illawarra	40-44	0	1164
Illawarra	40-44	1	1249
Illawarra	40-44	2	4071
Illawarra	40-44	3	2023
Illawarra	40-44	4	632
Illawarra	40-44	5	175
Illawarra	40-44	6	130
Illawarra	45-49		466
Illawarra	45-49	0	1168
Illawarra	45-49	1	1173
Illawarra	45-49	2	3831
Illawarra	45-49	3	2034
Illawarra	45-49	4	670
Illawarra	45-49	5	226
Illawarra	45-49	6	134
Illawarra	50-54		493
Illawarra	50-54	0	1134
Illawarra	50-54	1	1089
Illawarra	50-54	2	3868
Illawarra	50-54	3	2274
Illawarra	50-54	4	706
Illawarra	50-54	5	230
Illawarra	50-54	6	130
Illawarra	55-59		544
Illawarra	55-59	0	1038
Illawarra	55-59	1	1011
Illawarra	55-59	2	3664
Illawarra	55-59	3	2384
Illawarra	55-59	4	859
Illawarra	55-59	5	225
Illawarra	55-59	6	112
Illawarra	60-64		513
Illawarra	60-64	0	804
Illawarra	60-64	1	857
Illawarra	60-64	2	3267
Illawarra	60-64	3	2275
Illawarra	60-64	4	819
Illawarra	60-64	5	222
Illawarra	60-64	6	131
Illawarra	65-69		555
Illawarra	65-69	0	598
Illawarra	65-69	1	678
Illawarra	65-69	2	2995
Illawarra	65-69	3	2093
Illawarra	65-69	4	734
Illawarra	65-69	5	203
Illawarra	65-69	6	107
Illawarra	70-74		512
Illawarra	70-74	0	422
Illawarra	70-74	1	485
Illawarra	70-74	2	2244
Illawarra	70-74	3	1782
Illawarra	70-74	4	731
Illawarra	70-74	5	231
Illawarra	70-74	6	116
Illawarra	75-79		452
Illawarra	75-79	0	363
Illawarra	75-79	1	355
Illawarra	75-79	2	1549
Illawarra	75-79	3	1412
Illawarra	75-79	4	706
Illawarra	75-79	5	278
Illawarra	75-79	6	184
Illawarra	80-84		471
Illawarra	80-84	0	223
Illawarra	80-84	1	234
Illawarra	80-84	2	1092
Illawarra	80-84	3	1033
Illawarra	80-84	4	536
Illawarra	80-84	5	272
Illawarra	80-84	6	202
Illawarra	85+		788
Illawarra	85+	0	242
Illawarra	85+	1	356
Illawarra	85+	2	1145
Illawarra	85+	3	994
Illawarra	85+	4	531
Illawarra	85+	5	298
Illawarra	85+	6	258
Mid North Coast	15-19		767
Mid North Coast	15-19	0	4831
Mid North Coast	15-19	1	92
