SA4_NAME16	DwellingStructure	MortgageRepayment.min	occupied_private_dwellings_being_purchased
Hunter Valley exc Newcastle		12000	15
Hunter Valley exc Newcastle		16800	18
Hunter Valley exc Newcastle		21600	22
Hunter Valley exc Newcastle		28800	8
Hunter Valley exc Newcastle		36000	5
Hunter Valley exc Newcastle		48000	8
Hunter Valley exc Newcastle	(Other)	0	6
Hunter Valley exc Newcastle	(Other)	3600	3
Hunter Valley exc Newcastle	(Other)	7200	9
Hunter Valley exc Newcastle	(Other)	9600	7
Hunter Valley exc Newcastle	(Other)	12000	14
Hunter Valley exc Newcastle	(Other)	16800	18
Hunter Valley exc Newcastle	(Other)	21600	18
Hunter Valley exc Newcastle	(Other)	28800	3
Hunter Valley exc Newcastle	(Other)	36000	7
Hunter Valley exc Newcastle	(Other)	48000	3
Hunter Valley exc Newcastle	Flat/apartment	0	12
Hunter Valley exc Newcastle	Flat/apartment	3600	9
Hunter Valley exc Newcastle	Flat/apartment	5400	3
Hunter Valley exc Newcastle	Flat/apartment	7200	8
Hunter Valley exc Newcastle	Flat/apartment	9600	18
Hunter Valley exc Newcastle	Flat/apartment	12000	42
Hunter Valley exc Newcastle	Flat/apartment	16800	32
Hunter Valley exc Newcastle	Flat/apartment	21600	24
Hunter Valley exc Newcastle	Flat/apartment	28800	7
Hunter Valley exc Newcastle	Flat/apartment	36000	6
Hunter Valley exc Newcastle	Flat/apartment	48000	6
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	0	51
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	3600	30
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	5400	37
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	7200	34
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	9600	83
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	12000	240
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	16800	223
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	21600	147
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	28800	42
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	36000	22
Hunter Valley exc Newcastle	Semi-detached, row/terrace house, townhouse etc.	48000	12
Hunter Valley exc Newcastle	Separate house	0	1220
Hunter Valley exc Newcastle	Separate house	3600	665
Hunter Valley exc Newcastle	Separate house	5400	594
Hunter Valley exc Newcastle	Separate house	7200	1118
Hunter Valley exc Newcastle	Separate house	9600	1631
Hunter Valley exc Newcastle	Separate house	12000	5146
Hunter Valley exc Newcastle	Separate house	16800	6219
Hunter Valley exc Newcastle	Separate house	21600	7251
Hunter Valley exc Newcastle	Separate house	28800	2991
Hunter Valley exc Newcastle	Separate house	36000	2117
Hunter Valley exc Newcastle	Separate house	48000	950
Illawarra		0	6
Illawarra		7200	5
Illawarra		9600	6
Illawarra		12000	7
Illawarra		16800	9
Illawarra		21600	26
Illawarra		28800	11
Illawarra		36000	9
