SA4_NAME16	CountryOfBirth	Sex	persons
Coffs Harbour - Grafton	MUS	F	7
Coffs Harbour - Grafton	MUS	M	6
Coffs Harbour - Grafton	MYS	F	102
Coffs Harbour - Grafton	MYS	M	65
Coffs Harbour - Grafton	NLD	F	230
Coffs Harbour - Grafton	NLD	M	241
Coffs Harbour - Grafton	NPL	F	11
Coffs Harbour - Grafton	NPL	M	12
Coffs Harbour - Grafton	NZL	F	913
Coffs Harbour - Grafton	NZL	M	848
Coffs Harbour - Grafton	PAK	F	41
Coffs Harbour - Grafton	PAK	M	39
Coffs Harbour - Grafton	PHL	F	394
Coffs Harbour - Grafton	PHL	M	83
Coffs Harbour - Grafton	PNG	F	88
Coffs Harbour - Grafton	PNG	M	51
Coffs Harbour - Grafton	POL	F	48
Coffs Harbour - Grafton	POL	M	31
Coffs Harbour - Grafton	SGP	F	19
Coffs Harbour - Grafton	SGP	M	23
Coffs Harbour - Grafton	THA	F	147
Coffs Harbour - Grafton	THA	M	42
Coffs Harbour - Grafton	TUR	F	8
Coffs Harbour - Grafton	TUR	M	10
Coffs Harbour - Grafton	TWN	F	81
Coffs Harbour - Grafton	TWN	M	54
Coffs Harbour - Grafton	USA	F	217
Coffs Harbour - Grafton	USA	M	185
Coffs Harbour - Grafton	VNM	F	48
Coffs Harbour - Grafton	VNM	M	30
Coffs Harbour - Grafton	ZAF	F	221
Coffs Harbour - Grafton	ZAF	M	215
Coffs Harbour - Grafton	ZWE	F	34
Coffs Harbour - Grafton	ZWE	M	49
Far West and Orana		F	6188
Far West and Orana		M	6329
Far West and Orana	AFG	M	3
Far West and Orana	AUS	F	47902
Far West and Orana	AUS	M	47214
Far West and Orana	BGD	F	41
Far West and Orana	BGD	M	46
Far West and Orana	BIH	F	4
Far West and Orana	BIH	M	9
Far West and Orana	CAN	F	36
Far West and Orana	CAN	M	23
Far West and Orana	CHL	F	9
Far West and Orana	CHL	M	4
Far West and Orana	CHN	F	120
Far West and Orana	CHN	M	104
Far West and Orana	DEU	F	139
Far West and Orana	DEU	M	112
Far West and Orana	EGY	F	12
Far West and Orana	EGY	M	24
Far West and Orana	FJI	F	45
Far West and Orana	FJI	M	46
Far West and Orana	FRA	F	15
Far West and Orana	FRA	M	21
Far West and Orana	GBR	F	708
Far West and Orana	GBR	M	709
Far West and Orana	GRC	F	22
Far West and Orana	GRC	M	28
Far West and Orana	HKG	F	20
Far West and Orana	HKG	M	18
Far West and Orana	HRV	F	17
Far West and Orana	HRV	M	31
Far West and Orana	IDN	F	30
Far West and Orana	IDN	M	20
Far West and Orana	IND	F	268
Far West and Orana	IND	M	277
Far West and Orana	IRL	F	49
Far West and Orana	IRL	M	51
Far West and Orana	IRN	F	12
Far West and Orana	IRN	M	18
Far West and Orana	IRQ	F	4
Far West and Orana	IRQ	M	9
Far West and Orana	ITA	F	39
Far West and Orana	ITA	M	62
Far West and Orana	JPN	F	14
Far West and Orana	JPN	M	10
Far West and Orana	KHM	F	7
Far West and Orana	KHM	M	3
Far West and Orana	KOR	F	28
Far West and Orana	KOR	M	38
Far West and Orana	LBN	F	19
Far West and Orana	LBN	M	21
Far West and Orana	LKA	F	88
Far West and Orana	LKA	M	84
Far West and Orana	MKD	F	4
Far West and Orana	MKD	M	4
Far West and Orana	MLT	F	18
Far West and Orana	MLT	M	22
Far West and Orana	MMR	F	13
Far West and Orana	MMR	M	3
Far West and Orana	MUS	F	3
Far West and Orana	MUS	M	5
Far West and Orana	MYS	F	32
Far West and Orana	MYS	M	30
Far West and Orana	NLD	F	83
Far West and Orana	NLD	M	67
Far West and Orana	NPL	F	112
Far West and Orana	NPL	M	124
Far West and Orana	NZL	F	410
Far West and Orana	NZL	M	384
Far West and Orana	PAK	F	50
Far West and Orana	PAK	M	63
Far West and Orana	PHL	F	313
Far West and Orana	PHL	M	141
Far West and Orana	PNG	F	29
Far West and Orana	PNG	M	26
Far West and Orana	POL	F	13
Far West and Orana	POL	M	8
Far West and Orana	SGP	F	13
Far West and Orana	SGP	M	14
Far West and Orana	THA	F	48
Far West and Orana	THA	M	14
Far West and Orana	TUR	F	4
Far West and Orana	TUR	M	7
Far West and Orana	TWN	F	15
Far West and Orana	TWN	M	5
Far West and Orana	USA	F	82
Far West and Orana	USA	M	63
Far West and Orana	VNM	F	38
Far West and Orana	VNM	M	30
Far West and Orana	ZAF	F	121
Far West and Orana	ZAF	M	78
Far West and Orana	ZWE	F	51
Far West and Orana	ZWE	M	43
Hunter Valley exc Newcastle		F	10777
Hunter Valley exc Newcastle		M	10557
Hunter Valley exc Newcastle	AFG	M	22
Hunter Valley exc Newcastle	AUS	F	111641
Hunter Valley exc Newcastle	AUS	M	110223
Hunter Valley exc Newcastle	BGD	F	29
Hunter Valley exc Newcastle	BGD	M	41
Hunter Valley exc Newcastle	BIH	F	7
Hunter Valley exc Newcastle	BIH	M	16
Hunter Valley exc Newcastle	CAN	F	160
Hunter Valley exc Newcastle	CAN	M	126
Hunter Valley exc Newcastle	CHL	F	46
Hunter Valley exc Newcastle	CHL	M	44
Hunter Valley exc Newcastle	CHN	F	253
Hunter Valley exc Newcastle	CHN	M	189
Hunter Valley exc Newcastle	DEU	F	464
Hunter Valley exc Newcastle	DEU	M	432
Hunter Valley exc Newcastle	EGY	F	34
Hunter Valley exc Newcastle	EGY	M	49
Hunter Valley exc Newcastle	FJI	F	103
Hunter Valley exc Newcastle	FJI	M	100
Hunter Valley exc Newcastle	FRA	F	46
Hunter Valley exc Newcastle	FRA	M	60
Hunter Valley exc Newcastle	GBR	F	3776
Hunter Valley exc Newcastle	GBR	M	3823
Hunter Valley exc Newcastle	GRC	F	46
Hunter Valley exc Newcastle	GRC	M	58
Hunter Valley exc Newcastle	HKG	F	65
Hunter Valley exc Newcastle	HKG	M	74
Hunter Valley exc Newcastle	HRV	F	66
Hunter Valley exc Newcastle	HRV	M	57
Hunter Valley exc Newcastle	IDN	F	87
Hunter Valley exc Newcastle	IDN	M	35
Hunter Valley exc Newcastle	IND	F	370
Hunter Valley exc Newcastle	IND	M	391
Hunter Valley exc Newcastle	IRL	F	180
Hunter Valley exc Newcastle	IRL	M	243
Hunter Valley exc Newcastle	IRN	F	7
Hunter Valley exc Newcastle	IRN	M	18
Hunter Valley exc Newcastle	IRQ	F	12
Hunter Valley exc Newcastle	IRQ	M	15
Hunter Valley exc Newcastle	ITA	F	82
Hunter Valley exc Newcastle	ITA	M	175
Hunter Valley exc Newcastle	JPN	F	50
Hunter Valley exc Newcastle	JPN	M	27
Hunter Valley exc Newcastle	KHM	F	10
Hunter Valley exc Newcastle	KHM	M	8
Hunter Valley exc Newcastle	KOR	F	67
Hunter Valley exc Newcastle	KOR	M	68
Hunter Valley exc Newcastle	LBN	F	25
Hunter Valley exc Newcastle	LBN	M	27
Hunter Valley exc Newcastle	LKA	F	48
Hunter Valley exc Newcastle	LKA	M	57
Hunter Valley exc Newcastle	MKD	F	12
