SA2_NAME16	persons
Montmorency - Briar Hill	16096
Viewbank - Yallambie	18303
Watsonia	9112
Kingsbury	11328
Reservoir - East	27077
Reservoir - West	24036
Preston - East	20022
Preston - West	12189
Eltham	22899
Hurstbridge	3450
Kinglake	3844
Panton Hill - St Andrews	5152
Plenty - Yarrambat	9365
Research - North Warrandyte	6706
Wattle Glen - Diamond Creek	13698
Bundoora - North	7451
Bundoora - West	6192
Lalor	22808
Mill Park - North	17824
Mill Park - South	11891
Thomastown	20311
Wallan	16219
Whittlesea	8127
Doreen	20937
Epping - East	13167
Epping - South	8334
Epping - West	10885
Mernda	16458
South Morang (North)	12048
South Morang (South)	12009
Wollert	9060
Airport West	7564
Keilor	8505
Keilor East	26147
Niddrie - Essendon West	6923
Strathmore	9428
Gisborne	12831
Macedon	3381
Riddells Creek	4010
Romsey	9360
Coburg North	7678
Fawkner	13768
Pascoe Vale	23447
Glenroy	22107
Gowanbrae	2904
Hadfield	5604
Sunbury	12715
Sunbury - South	26655
Broadmeadows	13305
Campbellfield - Coolaroo	16122
Gladstone Park - Westmeadows	17608
Greenvale - Bulla	16292
Meadow Heights	14842
Melbourne Airport	181
Roxburgh Park - Somerton	21817
Tullamarine	6458
Craigieburn - Central	8390
Craigieburn - North	11524
Craigieburn - South	16288
Craigieburn - West	14152
Mickleham - Yuroke	3385
Bayswater	12078
Knoxfield - Scoresby	15088
Lysterfield	6580
Rowville - Central	15215
Rowville - North	8005
Rowville - South	10573
Wantirna	13926
Wantirna South	17805
Boronia	22096
Ferntree Gully (North)	13890
Ferntree Gully (South) - Upper Ferntree Gully	14621
The Basin	4271
Donvale - Park Orchards	15942
Warrandyte - Wonga Park	10049
Bayswater North	11773
Croydon Hills - Warranwood	17985
Ringwood	17149
Ringwood East	20260
Ringwood North	9524
Croydon - East	15182
Croydon - West	13351
Croydon South	4715
Forest Hill	10626
Mitcham (Vic.)	16148
Nunawading	11876
Vermont	10442
Vermont South	11678
Belgrave - Selby	10019
Chirnside Park	9872
Healesville - Yarra Glen	13710
Kilsyth	9178
Lilydale - Coldstream	18721
Monbulk - Silvan	5632
Montrose	6803
Mooroolbark	22056
Mount Dandenong - Olinda	9707
Mount Evelyn	9702
Upwey - Tecoma	9610
Wandin - Seville	7601
Yarra Valley	16161
Beaconsfield - Officer	13022
Bunyip - Garfield	8638
Emerald - Cockatoo	18000
Koo Wee Rup	7481
Pakenham - North	18603
Pakenham - South	28541
Berwick - North	22894
Berwick - South	25801
Doveton	11306
Hallam	10761
Narre Warren North	7759
Endeavour Hills - North	11892
Endeavour Hills - South	13357
Narre Warren - North East	13409
Narre Warren - South West	13946
Cranbourne	20094
Cranbourne East	25688
Cranbourne North	20110
Cranbourne South	8819
Cranbourne West	15053
Hampton Park - Lynbrook	25530
Lynbrook - Lyndhurst	15224
Pearcedale - Tooradin	7741
Narre Warren South (East)	13122
Narre Warren South (West)	16783
Clarinda - Oakleigh South	11650
Clayton South	12642
Dandenong	30671
Dandenong North	22430
Dingley Village	10285
Keysborough	25980
Noble Park North	7487
Springvale	21771
Springvale South	12649
Noble Park - East	12429
Noble Park - West	18630
Ashwood - Chadstone	18298
Clayton	22407
Glen Waverley - East	21085
Glen Waverley - West	19241
Mount Waverley - North	15277
Mount Waverley - South	18334
Mulgrave	19368
Oakleigh - Huntingdale	21290
Wheelers Hill	19753
Ardeer - Albion	7836
Cairnlea	9657
Deer Park - Derrimut	26253
Delahey	8339
Keilor Downs	13189
Kings Park (Vic.)	13831
St Albans - North	20092
St Albans - South	17224
Sunshine	9768
Sunshine North	11700
Sunshine West	18585
Sydenham	12009
Taylors Lakes	17340
Altona	12689
Altona Meadows	19160
Altona North	14002
Newport	17578
Seabrook	5124
Williamstown	15453
Braybrook	18230
Footscray	16345
Maribyrnong	12216
Seddon - Kingsville	9235
West Footscray - Tottenham	11457
Yarraville	14798
Bacchus Marsh	20345
Hillside	20216
Melton	18906
Melton South	23437
Melton West	17551
Rockbank - Mount Cottrell	3040
Taylors Hill	19224
Burnside	4751
Burnside Heights	6072
Caroline Springs	19900
Hoppers Crossing - North	19224
Hoppers Crossing - South	19477
Laverton	8907
Tarneit	34784
Truganina	23412
Werribee - South	11333
Wyndham Vale	23273
Point Cook - East	12197
Point Cook - North	23180
Point Cook - South	14433
Werribee - East	19861
Werribee - West	11809
Carrum Downs	20711
Frankston	22570
Frankston North	19289
Frankston South	18199
Langwarrin	23836
Seaford (Vic.)	16463
Skye - Sandhurst	13077
Dromana	11024
Flinders	5369
Hastings - Somers	22016
Mornington	23989
Mount Eliza	17888
Mount Martha	18548
Point Nepean	17123
Rosebud - McCrae	20943
Somerville	18089
Ararat	8297
Ararat Region	3146
Horsham	16250
Horsham Region	3412
Nhill Region	6887
St Arnaud	3352
Stawell	8093
West Wimmera	2763
Yarriambiack	6627
Irymple	6874
