SA2_NAME16	MaxSchoolingCompleted	Sex	persons
Wyong	Year 9	M	374
Wyong	Year 10	F	1166
Wyong	Year 10	M	1095
Wyong	Year 11	F	265
Wyong	Year 11	M	284
Wyong	Year 12	F	1265
Wyong	Year 12	M	1129
Bathurst	Did not go to school	F	24
Bathurst	Did not go to school	M	30
Bathurst	Year 8	F	420
Bathurst	Year 8	M	433
Bathurst	Year 9	F	709
Bathurst	Year 9	M	656
Bathurst	Year 10	F	2510
Bathurst	Year 10	M	2458
Bathurst	Year 11	F	581
Bathurst	Year 11	M	679
Bathurst	Year 12	F	4723
Bathurst	Year 12	M	3952
Bathurst - East	Did not go to school	F	26
Bathurst - East	Did not go to school	M	13
Bathurst - East	Year 8	F	205
Bathurst - East	Year 8	M	202
Bathurst - East	Year 9	F	345
Bathurst - East	Year 9	M	388
Bathurst - East	Year 10	F	1218
Bathurst - East	Year 10	M	1353
Bathurst - East	Year 11	F	312
Bathurst - East	Year 11	M	301
Bathurst - East	Year 12	F	1911
