SA2_NAME16	FamilyComposition	families_with_children
Deniliquin	Intact family with other children present	10
Deniliquin	Other couple family with other children only	7
Deniliquin	Step family with no other children present	39
Deniliquin Region	Blended family with no other children present	34
Deniliquin Region	Intact family with no other children present	569
Deniliquin Region	Intact family with other children present	5
Deniliquin Region	Other couple family with other children only	11
Deniliquin Region	Step family with no other children present	37
Moama	Blended family with no other children present	15
Moama	Intact family with no other children present	529
Moama	Intact family with other children present	4
Moama	Other couple family with other children only	3
Moama	Step family with no other children present	35
Tocumwal - Finley - Jerilderie	Blended family with no other children present	41
Tocumwal - Finley - Jerilderie	Intact family with no other children present	742
Tocumwal - Finley - Jerilderie	Intact family with other children present	6
Tocumwal - Finley - Jerilderie	Other couple family with other children only	10
Tocumwal - Finley - Jerilderie	Step family with no other children present	54
Armidale	Blended family with no other children present	86
Armidale	Blended family with other children present	4
Armidale	Intact family with no other children present	1778
Armidale	Intact family with other children present	23
Armidale	Other couple family with other children only	21
Armidale	Step family with no other children present	131
Armidale Region - North	Blended family with no other children present	17
Armidale Region - North	Intact family with no other children present	428
Armidale Region - North	Intact family with other children present	5
Armidale Region - North	Other couple family with other children only	3
Armidale Region - North	Step family with no other children present	33
Armidale Region - South	Blended family with no other children present	33
Armidale Region - South	Intact family with no other children present	557
Armidale Region - South	Intact family with other children present	3
Armidale Region - South	Other couple family with other children only	6
Armidale Region - South	Step family with no other children present	37
Walcha	Blended family with no other children present	6
Walcha	Intact family with no other children present	296
Walcha	Intact family with other children present	3
Walcha	Other couple family with other children only	3
Walcha	Step family with no other children present	15
Glen Innes	Blended family with no other children present	36
Glen Innes	Intact family with no other children present	610
Glen Innes	Intact family with other children present	9
Glen Innes	Other couple family with other children only	8
Glen Innes	Step family with no other children present	50
Inverell	Blended family with no other children present	64
Inverell	Blended family with other children present	3
Inverell	Intact family with no other children present	879
Inverell	Intact family with other children present	18
Inverell	Other couple family with other children only	4
Inverell	Step family with no other children present	97
Inverell Region - East	Blended family with no other children present	31
Inverell Region - East	Intact family with no other children present	414
Inverell Region - East	Intact family with other children present	9
Inverell Region - East	Other couple family with other children only	15
Inverell Region - East	Step family with no other children present	35
Inverell Region - East	Step family with other children present	3
Inverell Region - West	Blended family with no other children present	32
Inverell Region - West	Intact family with no other children present	472
Inverell Region - West	Intact family with other children present	3
Inverell Region - West	Other couple family with other children only	3
Inverell Region - West	Step family with no other children present	41
Tenterfield	Blended family with no other children present	31
Tenterfield	Blended family with other children present	3
Tenterfield	Intact family with no other children present	412
Tenterfield	Intact family with other children present	4
Tenterfield	Other couple family with other children only	8
Tenterfield	Step family with no other children present	25
Tenterfield	Step family with other children present	3
Moree	Blended family with no other children present	35
Moree	Blended family with other children present	3
Moree	Intact family with no other children present	606
Moree	Intact family with other children present	12
Moree	Other couple family with other children only	14
Moree	Step family with no other children present	43
Moree	Step family with other children present	3
Moree Region	Blended family with no other children present	22
Moree Region	Intact family with no other children present	496
Moree Region	Intact family with other children present	10
Moree Region	Other couple family with other children only	12
Moree Region	Step family with no other children present	29
Narrabri	Blended family with no other children present	32
Narrabri	Intact family with no other children present	645
Narrabri	Intact family with other children present	6
Narrabri	Other couple family with other children only	12
Narrabri	Step family with no other children present	39
Narrabri Region	Blended family with no other children present	29
Narrabri Region	Intact family with no other children present	445
Narrabri Region	Intact family with other children present	3
Narrabri Region	Other couple family with other children only	3
Narrabri Region	Step family with no other children present	13
Gunnedah	Blended family with no other children present	49
Gunnedah	Intact family with no other children present	837
Gunnedah	Intact family with other children present	7
Gunnedah	Other couple family with other children only	6
Gunnedah	Step family with no other children present	76
Gunnedah Region	Blended family with no other children present	17
Gunnedah Region	Intact family with no other children present	380
Gunnedah Region	Intact family with other children present	6
Gunnedah Region	Other couple family with other children only	5
Gunnedah Region	Step family with no other children present	15
Quirindi	Blended family with no other children present	35
Quirindi	Intact family with no other children present	616
Quirindi	Intact family with other children present	8
Quirindi	Other couple family with other children only	6
Quirindi	Step family with no other children present	47
Tamworth - East	Blended family with no other children present	112
Tamworth - East	Blended family with other children present	3
Tamworth - East	Intact family with no other children present	1690
Tamworth - East	Intact family with other children present	21
Tamworth - East	Other couple family with other children only	15
Tamworth - East	Step family with no other children present	181
Tamworth - East	Step family with other children present	4
Tamworth - North	Blended family with no other children present	58
Tamworth - North	Blended family with other children present	3
Tamworth - North	Intact family with no other children present	1193
Tamworth - North	Intact family with other children present	14
Tamworth - North	Other couple family with other children only	6
Tamworth - North	Step family with no other children present	97
Tamworth - West	Blended family with no other children present	40
Tamworth - West	Blended family with other children present	3
Tamworth - West	Intact family with no other children present	369
Tamworth - West	Intact family with other children present	17
Tamworth - West	Other couple family with other children only	6
Tamworth - West	Step family with no other children present	45
Tamworth - West	Step family with other children present	3
Tamworth Region	Blended family with no other children present	87
Tamworth Region	Blended family with other children present	3
Tamworth Region	Intact family with no other children present	1780
Tamworth Region	Intact family with other children present	24
Tamworth Region	Other couple family with other children only	20
Tamworth Region	Step family with no other children present	139
Tamworth Region	Step family with other children present	5
Belmont - Bennetts Green	Blended family with no other children present	74
Belmont - Bennetts Green	Intact family with no other children present	1857
Belmont - Bennetts Green	Intact family with other children present	27
Belmont - Bennetts Green	Other couple family with other children only	15
Belmont - Bennetts Green	Step family with no other children present	167
Belmont South - Blacksmiths	Blended family with no other children present	28
Belmont South - Blacksmiths	Intact family with no other children present	456
Belmont South - Blacksmiths	Intact family with other children present	3
Belmont South - Blacksmiths	Step family with no other children present	49
Belmont South - Blacksmiths	Step family with other children present	8
Charlestown - Dudley	Blended family with no other children present	99
Charlestown - Dudley	Blended family with other children present	3
Charlestown - Dudley	Intact family with no other children present	2501
Charlestown - Dudley	Intact family with other children present	25
Charlestown - Dudley	Other couple family with other children only	13
Charlestown - Dudley	Step family with no other children present	194
Charlestown - Dudley	Step family with other children present	3
Glendale - Cardiff - Hillsborough	Blended family with no other children present	131
Glendale - Cardiff - Hillsborough	Blended family with other children present	4
Glendale - Cardiff - Hillsborough	Intact family with no other children present	2538
Glendale - Cardiff - Hillsborough	Intact family with other children present	35
Glendale - Cardiff - Hillsborough	Other couple family with other children only	18
Glendale - Cardiff - Hillsborough	Step family with no other children present	203
Glendale - Cardiff - Hillsborough	Step family with other children present	6
Mount Hutton - Windale	Blended family with no other children present	63
Mount Hutton - Windale	Intact family with no other children present	702
Mount Hutton - Windale	Intact family with other children present	17
Mount Hutton - Windale	Other couple family with other children only	7
Mount Hutton - Windale	Step family with no other children present	91
Redhead	Blended family with no other children present	3
Redhead	Intact family with no other children present	406
Redhead	Step family with no other children present	19
Swansea - Caves Beach	Blended family with no other children present	43
Swansea - Caves Beach	Intact family with no other children present	1084
Swansea - Caves Beach	Intact family with other children present	17
Swansea - Caves Beach	Other couple family with other children only	9
Swansea - Caves Beach	Step family with no other children present	107
Swansea - Caves Beach	Step family with other children present	3
Valentine - Eleebana	Blended family with no other children present	59
Valentine - Eleebana	Intact family with no other children present	1498
Valentine - Eleebana	Intact family with other children present	6
Valentine - Eleebana	Other couple family with other children only	8
Valentine - Eleebana	Step family with no other children present	108
Warners Bay - Boolaroo	Blended family with no other children present	60
Warners Bay - Boolaroo	Intact family with no other children present	1277
Warners Bay - Boolaroo	Intact family with other children present	20
Warners Bay - Boolaroo	Other couple family with other children only	6
Warners Bay - Boolaroo	Step family with no other children present	127
Bolton Point - Teralba	Blended family with no other children present	57
Bolton Point - Teralba	Intact family with no other children present	710
Bolton Point - Teralba	Intact family with other children present	13
Bolton Point - Teralba	Other couple family with other children only	4
Bolton Point - Teralba	Step family with no other children present	65
Bolton Point - Teralba	Step family with other children present	4
Bonnells Bay - Silverwater	Blended family with no other children present	54
Bonnells Bay - Silverwater	Blended family with other children present	4
Bonnells Bay - Silverwater	Intact family with no other children present	768
Bonnells Bay - Silverwater	Intact family with other children present	10
Bonnells Bay - Silverwater	Other couple family with other children only	8
Bonnells Bay - Silverwater	Step family with no other children present	95
Bonnells Bay - Silverwater	Step family with other children present	4
Edgeworth - Cameron Park	Blended family with no other children present	109
Edgeworth - Cameron Park	Blended family with other children present	3
Edgeworth - Cameron Park	Intact family with no other children present	1699
Edgeworth - Cameron Park	Intact family with other children present	23
Edgeworth - Cameron Park	Other couple family with other children only	10
Edgeworth - Cameron Park	Step family with no other children present	140
Edgeworth - Cameron Park	Step family with other children present	4
Morisset - Cooranbong	Blended family with no other children present	84
Morisset - Cooranbong	Blended family with other children present	3
Morisset - Cooranbong	Intact family with no other children present	1296
Morisset - Cooranbong	Intact family with other children present	26
Morisset - Cooranbong	Other couple family with other children only	15
Morisset - Cooranbong	Step family with no other children present	131
Morisset - Cooranbong	Step family with other children present	3
Toronto - Awaba	Blended family with no other children present	73
Toronto - Awaba	Blended family with other children present	4
Toronto - Awaba	Intact family with no other children present	1109
Toronto - Awaba	Intact family with other children present	23
Toronto - Awaba	Other couple family with other children only	22
Toronto - Awaba	Step family with no other children present	128
Toronto - Awaba	Step family with other children present	3
Wangi Wangi - Rathmines	Blended family with no other children present	44
Wangi Wangi - Rathmines	Intact family with no other children present	843
Wangi Wangi - Rathmines	Intact family with other children present	5
Wangi Wangi - Rathmines	Other couple family with other children only	13
Wangi Wangi - Rathmines	Step family with no other children present	103
Wangi Wangi - Rathmines	Step family with other children present	3
West Wallsend - Barnsley - Killingworth	Blended family with no other children present	48
West Wallsend - Barnsley - Killingworth	Intact family with no other children present	692
West Wallsend - Barnsley - Killingworth	Intact family with other children present	13
West Wallsend - Barnsley - Killingworth	Other couple family with other children only	10
West Wallsend - Barnsley - Killingworth	Step family with no other children present	91
Adamstown - Kotara	Blended family with no other children present	63
Adamstown - Kotara	Intact family with no other children present	1841
Adamstown - Kotara	Intact family with other children present	10
Adamstown - Kotara	Other couple family with other children only	9
Adamstown - Kotara	Step family with no other children present	97
Adamstown - Kotara	Step family with other children present	3
Beresfield - Hexham	Blended family with no other children present	61
Beresfield - Hexham	Intact family with no other children present	656
Beresfield - Hexham	Intact family with other children present	16
Beresfield - Hexham	Other couple family with other children only	13
Beresfield - Hexham	Step family with no other children present	72
Beresfield - Hexham	Step family with other children present	3
Hamilton - Broadmeadow	Blended family with no other children present	33
Hamilton - Broadmeadow	Intact family with no other children present	995
Hamilton - Broadmeadow	Intact family with other children present	10
Hamilton - Broadmeadow	Other couple family with other children only	6
Hamilton - Broadmeadow	Step family with no other children present	65
Lambton - New Lambton	Blended family with no other children present	68
Lambton - New Lambton	Intact family with no other children present	1809
Lambton - New Lambton	Intact family with other children present	14
Lambton - New Lambton	Other couple family with other children only	3
Lambton - New Lambton	Step family with no other children present	112
Lambton - New Lambton	Step family with other children present	3
Maryland - Fletcher - Minmi	Blended family with no other children present	108
Maryland - Fletcher - Minmi	Blended family with other children present	3
Maryland - Fletcher - Minmi	Intact family with no other children present	1756
Maryland - Fletcher - Minmi	Intact family with other children present	28
Maryland - Fletcher - Minmi	Other couple family with other children only	10
Maryland - Fletcher - Minmi	Step family with no other children present	144
Maryland - Fletcher - Minmi	Step family with other children present	3
Mayfield - Warabrook	Blended family with no other children present	59
Mayfield - Warabrook	Intact family with no other children present	1129
Mayfield - Warabrook	Intact family with other children present	17
Mayfield - Warabrook	Other couple family with other children only	17
Mayfield - Warabrook	Step family with no other children present	107
Merewether - The Junction	Blended family with no other children present	46
Merewether - The Junction	Intact family with no other children present	1471
Merewether - The Junction	Intact family with other children present	7
Merewether - The Junction	Step family with no other children present	94
Newcastle - Cooks Hill	Blended family with no other children present	18
Newcastle - Cooks Hill	Intact family with no other children present	636
Newcastle - Cooks Hill	Other couple family with other children only	3
Newcastle - Cooks Hill	Step family with no other children present	38
Shortland - Jesmond	Blended family with no other children present	36
Shortland - Jesmond	Intact family with no other children present	682
Shortland - Jesmond	Intact family with other children present	10
Shortland - Jesmond	Other couple family with other children only	11
Shortland - Jesmond	Step family with no other children present	65
Stockton - Fullerton Cove	Blended family with no other children present	22
Stockton - Fullerton Cove	Intact family with no other children present	580
Stockton - Fullerton Cove	Intact family with other children present	6
Stockton - Fullerton Cove	Other couple family with other children only	6
Stockton - Fullerton Cove	Step family with no other children present	71
Wallsend - Elermore Vale	Blended family with no other children present	92
Wallsend - Elermore Vale	Blended family with other children present	3
Wallsend - Elermore Vale	Intact family with no other children present	1821
Wallsend - Elermore Vale	Intact family with other children present	20
Wallsend - Elermore Vale	Other couple family with other children only	15
Wallsend - Elermore Vale	Step family with no other children present	159
Waratah - North Lambton	Blended family with no other children present	40
Waratah - North Lambton	Intact family with no other children present	947
Waratah - North Lambton	Intact family with other children present	5
Waratah - North Lambton	Other couple family with other children only	3
Waratah - North Lambton	Step family with no other children present	78
Waratah - North Lambton	Step family with other children present	4
Wickham - Carrington - Tighes Hill	Blended family with no other children present	17
Wickham - Carrington - Tighes Hill	Intact family with no other children present	524
Wickham - Carrington - Tighes Hill	Intact family with other children present	10
Wickham - Carrington - Tighes Hill	Step family with no other children present	61
Ballina	Blended family with no other children present	48
Ballina	Blended family with other children present	3
Ballina	Intact family with no other children present	1067
Ballina	Intact family with other children present	17
Ballina	Other couple family with other children only	9
Ballina	Step family with no other children present	91
Ballina	Step family with other children present	3
Ballina Region	Blended family with no other children present	73
Ballina Region	Intact family with no other children present	1642
Ballina Region	Intact family with other children present	21
Ballina Region	Other couple family with other children only	14
Ballina Region	Step family with no other children present	121
Ballina Region	Step family with other children present	4
Bangalow	Blended family with no other children present	19
Bangalow	Intact family with no other children present	552
Bangalow	Intact family with other children present	7
Bangalow	Other couple family with other children only	3
Bangalow	Step family with no other children present	32
Brunswick Heads - Ocean Shores	Blended family with no other children present	32
Brunswick Heads - Ocean Shores	Intact family with no other children present	643
Brunswick Heads - Ocean Shores	Intact family with other children present	5
Brunswick Heads - Ocean Shores	Other couple family with other children only	7
Brunswick Heads - Ocean Shores	Step family with no other children present	53
Byron Bay	Blended family with no other children present	13
Byron Bay	Intact family with no other children present	654
Byron Bay	Intact family with other children present	3
Byron Bay	Other couple family with other children only	3
Byron Bay	Step family with no other children present	45
Evans Head	Blended family with no other children present	19
Evans Head	Intact family with no other children present	366
Evans Head	Intact family with other children present	3
Evans Head	Other couple family with other children only	4
Evans Head	Step family with no other children present	55
Evans Head	Step family with other children present	3
Lennox Head - Skennars Head	Blended family with no other children present	33
Lennox Head - Skennars Head	Intact family with no other children present	870
Lennox Head - Skennars Head	Other couple family with other children only	3
Lennox Head - Skennars Head	Step family with no other children present	62
Mullumbimby	Blended family with no other children present	33
Mullumbimby	Intact family with no other children present	664
Mullumbimby	Intact family with other children present	9
Mullumbimby	Other couple family with other children only	9
Mullumbimby	Step family with no other children present	45
Casino	Blended family with no other children present	77
Casino	Intact family with no other children present	903
Casino	Intact family with other children present	21
Casino	Other couple family with other children only	25
Casino	Step family with no other children present	106
Casino	Step family with other children present	4
Casino Region	Blended family with no other children present	42
Casino Region	Intact family with no other children present	554
Casino Region	Intact family with other children present	13
Casino Region	Other couple family with other children only	13
Casino Region	Step family with no other children present	41
Goonellabah	Blended family with no other children present	56
Goonellabah	Intact family with no other children present	1066
Goonellabah	Intact family with other children present	16
Goonellabah	Other couple family with other children only	11
Goonellabah	Step family with no other children present	81
Goonellabah	Step family with other children present	3
Kyogle	Blended family with no other children present	24
Kyogle	Intact family with no other children present	505
Kyogle	Intact family with other children present	13
Kyogle	Other couple family with other children only	3
Kyogle	Step family with no other children present	51
Lismore	Blended family with no other children present	67
Lismore	Intact family with no other children present	995
Lismore	Intact family with other children present	18
Lismore	Other couple family with other children only	10
Lismore	Step family with no other children present	113
Lismore	Step family with other children present	3
Lismore Region	Blended family with no other children present	62
Lismore Region	Intact family with no other children present	1414
Lismore Region	Intact family with other children present	17
Lismore Region	Other couple family with other children only	15
Lismore Region	Step family with no other children present	119
Lismore Region	Step family with other children present	3
Kingscliff - Fingal Head	Blended family with no other children present	47
Kingscliff - Fingal Head	Intact family with no other children present	1208
Kingscliff - Fingal Head	Intact family with other children present	13
Kingscliff - Fingal Head	Other couple family with other children only	6
Kingscliff - Fingal Head	Step family with no other children present	86
Kingscliff - Fingal Head	Step family with other children present	5
Murwillumbah	Blended family with no other children present	52
Murwillumbah	Blended family with other children present	3
Murwillumbah	Intact family with no other children present	698
Murwillumbah	Intact family with other children present	6
Murwillumbah	Other couple family with other children only	8
Murwillumbah	Step family with no other children present	64
Murwillumbah Region	Blended family with no other children present	31
Murwillumbah Region	Intact family with no other children present	838
Murwillumbah Region	Intact family with other children present	12
Murwillumbah Region	Other couple family with other children only	17
Murwillumbah Region	Step family with no other children present	72
Pottsville	Blended family with no other children present	71
Pottsville	Intact family with no other children present	1292
Pottsville	Intact family with other children present	4
Pottsville	Other couple family with other children only	15
Pottsville	Step family with no other children present	97
Pottsville	Step family with other children present	3
Tweed Heads	Blended family with no other children present	69
Tweed Heads	Intact family with no other children present	1315
Tweed Heads	Intact family with other children present	19
Tweed Heads	Other couple family with other children only	15
Tweed Heads	Step family with no other children present	143
Tweed Heads	Step family with other children present	4
Banora Point	Blended family with no other children present	80
Banora Point	Intact family with no other children present	1297
Banora Point	Intact family with other children present	18
Banora Point	Other couple family with other children only	6
Banora Point	Step family with no other children present	129
Terranora - North Tumblegum	Blended family with no other children present	19
Terranora - North Tumblegum	Intact family with no other children present	420
Terranora - North Tumblegum	Other couple family with other children only	5
Terranora - North Tumblegum	Step family with no other children present	29
Tweed Heads South	Blended family with no other children present	31
Tweed Heads South	Intact family with no other children present	446
Tweed Heads South	Intact family with other children present	7
Tweed Heads South	Other couple family with other children only	3
Tweed Heads South	Step family with no other children present	45
Griffith (NSW)	Blended family with no other children present	65
Griffith (NSW)	Blended family with other children present	3
Griffith (NSW)	Intact family with no other children present	1914
Griffith (NSW)	Intact family with other children present	26
Griffith (NSW)	Other couple family with other children only	23
Griffith (NSW)	Step family with no other children present	102
Griffith Region	Blended family with no other children present	61
Griffith Region	Intact family with no other children present	1320
Griffith Region	Intact family with other children present	16
Griffith Region	Other couple family with other children only	15
Griffith Region	Step family with no other children present	77
Leeton	Blended family with no other children present	59
Leeton	Intact family with no other children present	883
Leeton	Intact family with other children present	6
Leeton	Other couple family with other children only	10
Leeton	Step family with no other children present	48
Leeton	Step family with other children present	5
Narrandera	Blended family with no other children present	30
Narrandera	Intact family with no other children present	492
Narrandera	Intact family with other children present	6
Narrandera	Other couple family with other children only	5
Narrandera	Step family with no other children present	31
Narrandera	Step family with other children present	3
Tumbarumba	Blended family with no other children present	15
Tumbarumba	Intact family with no other children present	234
Tumbarumba	Intact family with other children present	4
Tumbarumba	Other couple family with other children only	3
Tumbarumba	Step family with no other children present	29
Tumut	Blended family with no other children present	32
Tumut	Intact family with no other children present	514
Tumut	Intact family with other children present	5
Tumut	Other couple family with other children only	4
Tumut	Step family with no other children present	33
Tumut Region	Blended family with no other children present	27
Tumut Region	Intact family with no other children present	434
Tumut Region	Intact family with other children present	3
Tumut Region	Other couple family with other children only	3
Tumut Region	Step family with no other children present	33
Cootamundra	Blended family with no other children present	33
Cootamundra	Intact family with no other children present	562
Cootamundra	Intact family with other children present	10
Cootamundra	Other couple family with other children only	17
Cootamundra	Step family with no other children present	41
Cootamundra	Step family with other children present	3
Gundagai	Blended family with no other children present	22
Gundagai	Intact family with no other children present	320
Gundagai	Intact family with other children present	3
Gundagai	Other couple family with other children only	3
Gundagai	Step family with no other children present	17
Junee	Blended family with no other children present	26
Junee	Intact family with no other children present	455
Junee	Intact family with other children present	9
Junee	Other couple family with other children only	12
Junee	Step family with no other children present	36
Temora	Blended family with no other children present	20
Temora	Intact family with no other children present	593
Temora	Intact family with other children present	5
Temora	Other couple family with other children only	9
Temora	Step family with no other children present	44
Wagga Wagga - East	Blended family with no other children present	105
Wagga Wagga - East	Blended family with other children present	4
Wagga Wagga - East	Intact family with no other children present	1661
Wagga Wagga - East	Intact family with other children present	16
Wagga Wagga - East	Other couple family with other children only	11
Wagga Wagga - East	Step family with no other children present	106
Wagga Wagga - North	Blended family with no other children present	19
Wagga Wagga - North	Intact family with no other children present	434
Wagga Wagga - North	Intact family with other children present	5
Wagga Wagga - North	Step family with no other children present	29
Wagga Wagga - South	Blended family with no other children present	128
Wagga Wagga - South	Intact family with no other children present	2110
Wagga Wagga - South	Intact family with other children present	22
Wagga Wagga - South	Other couple family with other children only	16
Wagga Wagga - South	Step family with no other children present	163
Wagga Wagga - South	Step family with other children present	7
Wagga Wagga - West	Blended family with no other children present	38
Wagga Wagga - West	Intact family with no other children present	751
Wagga Wagga - West	Intact family with other children present	8
Wagga Wagga - West	Other couple family with other children only	3
Wagga Wagga - West	Step family with no other children present	61
Wagga Wagga Region	Blended family with no other children present	76
Wagga Wagga Region	Intact family with no other children present	1467
Wagga Wagga Region	Intact family with other children present	10
Wagga Wagga Region	Other couple family with other children only	17
Wagga Wagga Region	Step family with no other children present	93
Wagga Wagga Region	Step family with other children present	3
Berry - Kangaroo Valley	Blended family with no other children present	18
Berry - Kangaroo Valley	Intact family with no other children present	704
Berry - Kangaroo Valley	Intact family with other children present	8
Berry - Kangaroo Valley	Other couple family with other children only	12
Berry - Kangaroo Valley	Step family with no other children present	51
Callala Bay - Currarong	Blended family with no other children present	17
Callala Bay - Currarong	Intact family with no other children present	280
Callala Bay - Currarong	Intact family with other children present	3
Callala Bay - Currarong	Other couple family with other children only	3
Callala Bay - Currarong	Step family with no other children present	25
Culburra Beach	Blended family with no other children present	24
Culburra Beach	Intact family with no other children present	334
Culburra Beach	Intact family with other children present	4
Culburra Beach	Other couple family with other children only	5
Culburra Beach	Step family with no other children present	30
Huskisson - Vincentia	Blended family with no other children present	8
Huskisson - Vincentia	Intact family with no other children present	319
Huskisson - Vincentia	Other couple family with other children only	3
Huskisson - Vincentia	Step family with no other children present	25
North Nowra - Bomaderry	Blended family with no other children present	75
North Nowra - Bomaderry	Intact family with no other children present	1332
North Nowra - Bomaderry	Intact family with other children present	19
North Nowra - Bomaderry	Other couple family with other children only	19
North Nowra - Bomaderry	Step family with no other children present	164
Nowra	Blended family with no other children present	126
Nowra	Blended family with other children present	10
Nowra	Intact family with no other children present	1434
Nowra	Intact family with other children present	36
Nowra	Other couple family with other children only	29
Nowra	Step family with no other children present	179
Nowra	Step family with other children present	5
St Georges Basin - Erowal Bay	Blended family with no other children present	79
St Georges Basin - Erowal Bay	Blended family with other children present	3
St Georges Basin - Erowal Bay	Intact family with no other children present	945
St Georges Basin - Erowal Bay	Intact family with other children present	17
St Georges Basin - Erowal Bay	Other couple family with other children only	20
St Georges Basin - Erowal Bay	Step family with no other children present	114
St Georges Basin - Erowal Bay	Step family with other children present	3
Sussex Inlet - Berrara	Blended family with no other children present	11
Sussex Inlet - Berrara	Intact family with no other children present	236
Sussex Inlet - Berrara	Intact family with other children present	4
Sussex Inlet - Berrara	Other couple family with other children only	7
Sussex Inlet - Berrara	Step family with no other children present	30
Tomerong - Wandandian - Woollamia	Blended family with no other children present	15
Tomerong - Wandandian - Woollamia	Intact family with no other children present	338
Tomerong - Wandandian - Woollamia	Intact family with other children present	6
Tomerong - Wandandian - Woollamia	Other couple family with other children only	4
Tomerong - Wandandian - Woollamia	Step family with no other children present	24
Ulladulla	Blended family with no other children present	73
Ulladulla	Blended family with other children present	3
Ulladulla	Intact family with no other children present	1095
Ulladulla	Intact family with other children present	20
Ulladulla	Other couple family with other children only	14
Ulladulla	Step family with no other children present	110
Ulladulla	Step family with other children present	4
Ulladulla Region	Blended family with no other children present	17
Ulladulla Region	Intact family with no other children present	358
Ulladulla Region	Intact family with other children present	11
Ulladulla Region	Other couple family with other children only	9
Ulladulla Region	Step family with no other children present	36
Bowral	Blended family with no other children present	23
Bowral	Blended family with other children present	5
Bowral	Intact family with no other children present	1135
Bowral	Intact family with other children present	8
Bowral	Other couple family with other children only	7
Bowral	Step family with no other children present	64
Hill Top - Colo Vale	Blended family with no other children present	51
Hill Top - Colo Vale	Intact family with no other children present	663
Hill Top - Colo Vale	Intact family with other children present	9
Hill Top - Colo Vale	Other couple family with other children only	10
Hill Top - Colo Vale	Step family with no other children present	70
Mittagong	Blended family with no other children present	39
Mittagong	Intact family with no other children present	813
Mittagong	Intact family with other children present	8
Mittagong	Other couple family with other children only	3
Mittagong	Step family with no other children present	74
Moss Vale - Berrima	Blended family with no other children present	59
Moss Vale - Berrima	Intact family with no other children present	832
Moss Vale - Berrima	Intact family with other children present	9
Moss Vale - Berrima	Other couple family with other children only	5
Moss Vale - Berrima	Step family with no other children present	79
Robertson - Fitzroy Falls	Blended family with no other children present	15
Robertson - Fitzroy Falls	Intact family with no other children present	326
Robertson - Fitzroy Falls	Intact family with other children present	3
Robertson - Fitzroy Falls	Step family with no other children present	24
Southern Highlands	Blended family with no other children present	30
Southern Highlands	Blended family with other children present	3
Southern Highlands	Intact family with no other children present	554
Southern Highlands	Intact family with other children present	3
Southern Highlands	Step family with no other children present	46
Baulkham Hills (East)	Blended family with no other children present	57
Baulkham Hills (East)	Intact family with no other children present	3380
Baulkham Hills (East)	Intact family with other children present	41
Baulkham Hills (East)	Other couple family with other children only	8
Baulkham Hills (East)	Step family with no other children present	142
Baulkham Hills (West) - Bella Vista	Blended family with no other children present	74
Baulkham Hills (West) - Bella Vista	Intact family with no other children present	3260
Baulkham Hills (West) - Bella Vista	Intact family with other children present	28
Baulkham Hills (West) - Bella Vista	Step family with no other children present	122
Baulkham Hills (West) - Bella Vista	Step family with other children present	4
Glenhaven	Blended family with no other children present	20
Glenhaven	Intact family with no other children present	874
Glenhaven	Intact family with other children present	9
Glenhaven	Step family with no other children present	44
West Pennant Hills	Blended family with no other children present	30
West Pennant Hills	Intact family with no other children present	2063
West Pennant Hills	Intact family with other children present	33
West Pennant Hills	Other couple family with other children only	3
West Pennant Hills	Step family with no other children present	80
Castle Hill - Central	Blended family with no other children present	29
Castle Hill - Central	Intact family with no other children present	1079
Castle Hill - Central	Intact family with other children present	9
Castle Hill - Central	Other couple family with other children only	3
Castle Hill - Central	Step family with no other children present	65
Castle Hill - Central	Step family with other children present	3
Castle Hill - East	Blended family with no other children present	8
Castle Hill - East	Intact family with no other children present	743
Castle Hill - East	Intact family with other children present	12
Castle Hill - East	Other couple family with other children only	3
Castle Hill - East	Step family with no other children present	17
Castle Hill - North	Blended family with no other children present	38
Castle Hill - North	Intact family with no other children present	1794
Castle Hill - North	Intact family with other children present	27
Castle Hill - North	Step family with no other children present	78
Castle Hill - North	Step family with other children present	4
Castle Hill - South	Blended family with no other children present	32
Castle Hill - South	Intact family with no other children present	1401
Castle Hill - South	Intact family with other children present	14
Castle Hill - South	Other couple family with other children only	5
Castle Hill - South	Step family with no other children present	59
Castle Hill - South	Step family with other children present	3
Castle Hill - West	Blended family with no other children present	20
Castle Hill - West	Intact family with no other children present	878
Castle Hill - West	Intact family with other children present	11
Castle Hill - West	Step family with no other children present	38
Cherrybrook	Blended family with no other children present	38
Cherrybrook	Intact family with no other children present	3102
Cherrybrook	Intact family with other children present	39
Cherrybrook	Other couple family with other children only	3
Cherrybrook	Step family with no other children present	122
Kellyville	Blended family with no other children present	109
Kellyville	Blended family with other children present	3
Kellyville	Intact family with no other children present	3828
Kellyville	Intact family with other children present	42
Kellyville	Other couple family with other children only	3
Kellyville	Step family with no other children present	180
Kellyville	Step family with other children present	10
Dural - Kenthurst - Wisemans Ferry	Blended family with no other children present	94
Dural - Kenthurst - Wisemans Ferry	Intact family with no other children present	2782
Dural - Kenthurst - Wisemans Ferry	Intact family with other children present	32
Dural - Kenthurst - Wisemans Ferry	Other couple family with other children only	6
Dural - Kenthurst - Wisemans Ferry	Step family with no other children present	149
Dural - Kenthurst - Wisemans Ferry	Step family with other children present	4
Galston - Laughtondale	Blended family with no other children present	21
Galston - Laughtondale	Intact family with no other children present	656
Galston - Laughtondale	Intact family with other children present	8
