STE_NAME16	Age5yr	Indigenous	Sex	persons
Tasmania	40-44		F	873
Tasmania	40-44		M	914
Tasmania	40-44	0	F	14879
Tasmania	40-44	0	M	13597
Tasmania	40-44	1	F	670
Tasmania	40-44	1	M	565
Tasmania	45-49		F	933
Tasmania	45-49		M	1054
Tasmania	45-49	0	F	16192
Tasmania	45-49	0	M	14946
Tasmania	45-49	1	F	739
Tasmania	45-49	1	M	642
Tasmania	50-54		F	1041
Tasmania	50-54		M	1093
Tasmania	50-54	0	F	16604
Tasmania	50-54	0	M	15625
Tasmania	50-54	1	F	646
Tasmania	50-54	1	M	533
Tasmania	55-59		F	1168
Tasmania	55-59		M	1177
Tasmania	55-59	0	F	17538
Tasmania	55-59	0	M	16372
Tasmania	55-59	1	F	593
Tasmania	55-59	1	M	532
Tasmania	60-64		F	1082
Tasmania	60-64		M	1141
Tasmania	60-64	0	F	16289
Tasmania	60-64	0	M	15405
Tasmania	60-64	1	F	416
Tasmania	60-64	1	M	447
Tasmania	65+		F	3984
Tasmania	65+		M	3427
Tasmania	65+	0	F	47931
Tasmania	65+	0	M	41956
Tasmania	65+	1	F	739
Tasmania	65+	1	M	717
Northern Territory	0-4		F	717
Northern Territory	0-4		M	794
Northern Territory	0-4	0	F	5227
Northern Territory	0-4	0	M	5296
Northern Territory	0-4	1	F	2688
Northern Territory	0-4	1	M	2908
Northern Territory	5-9		F	646
Northern Territory	5-9		M	678
Northern Territory	5-9	0	F	4584
Northern Territory	5-9	0	M	4898
Northern Territory	5-9	1	F	2905
Northern Territory	5-9	1	M	3113
Northern Territory	10-14		F	549
Northern Territory	10-14		M	614
Northern Territory	10-14	0	F	3921
Northern Territory	10-14	0	M	4068
Northern Territory	10-14	1	F	2788
Northern Territory	10-14	1	M	3092
Northern Territory	15-19		F	532
Northern Territory	15-19		M	608
Northern Territory	15-19	0	F	3371
Northern Territory	15-19	0	M	3942
Northern Territory	15-19	1	F	2697
Northern Territory	15-19	1	M	2923
Northern Territory	20-24		F	757
Northern Territory	20-24		M	949
Northern Territory	20-24	0	F	4408
Northern Territory	20-24	0	M	5057
Northern Territory	20-24	1	F	2631
Northern Territory	20-24	1	M	2850
Northern Territory	25-29		F	1156
Northern Territory	25-29		M	1409
Northern Territory	25-29	0	F	6993
Northern Territory	25-29	0	M	7145
Northern Territory	25-29	1	F	2427
Northern Territory	25-29	1	M	2579
Northern Territory	30-34		F	999
Northern Territory	30-34		M	1268
Northern Territory	30-34	0	F	7166
Northern Territory	30-34	0	M	7265
Northern Territory	30-34	1	F	2299
Northern Territory	30-34	1	M	2332
Northern Territory	35-39		F	800
Northern Territory	35-39		M	1071
Northern Territory	35-39	0	F	5977
Northern Territory	35-39	0	M	6290
Northern Territory	35-39	1	F	1969
Northern Territory	35-39	1	M	1913
Northern Territory	40-44		F	713
Northern Territory	40-44		M	931
Northern Territory	40-44	0	F	5359
Northern Territory	40-44	0	M	5784
Northern Territory	40-44	1	F	1963
Northern Territory	40-44	1	M	1867
Northern Territory	45-49		F	769
Northern Territory	45-49		M	1059
Northern Territory	45-49	0	F	5287
Northern Territory	45-49	0	M	5826
Northern Territory	45-49	1	F	1855
Northern Territory	45-49	1	M	1657
Northern Territory	50-54		F	720
Northern Territory	50-54		M	922
Northern Territory	50-54	0	F	4887
Northern Territory	50-54	0	M	5441
Northern Territory	50-54	1	F	1551
Northern Territory	50-54	1	M	1333
Northern Territory	55-59		F	658
Northern Territory	55-59		M	829
Northern Territory	55-59	0	F	4476
Northern Territory	55-59	0	M	4800
Northern Territory	55-59	1	F	1151
Northern Territory	55-59	1	M	974
Northern Territory	60-64		F	561
Northern Territory	60-64		M	718
Northern Territory	60-64	0	F	3457
Northern Territory	60-64	0	M	4081
Northern Territory	60-64	1	F	888
Northern Territory	60-64	1	M	708
Northern Territory	65+		F	809
Northern Territory	65+		M	1038
Northern Territory	65+	0	F	5660
Northern Territory	65+	0	M	6652
Northern Territory	65+	1	F	1304
Northern Territory	65+	1	M	905
Australian Capital Territory	0-4		F	543
Australian Capital Territory	0-4		M	656
Australian Capital Territory	0-4	0	F	12012
Australian Capital Territory	0-4	0	M	12859
Australian Capital Territory	0-4	1	F	345
Australian Capital Territory	0-4	1	M	382
Australian Capital Territory	5-9		F	453
Australian Capital Territory	5-9		M	519
Australian Capital Territory	5-9	0	F	11464
Australian Capital Territory	5-9	0	M	12334
Australian Capital Territory	5-9	1	F	309
Australian Capital Territory	5-9	1	M	369
Australian Capital Territory	10-14		F	383
Australian Capital Territory	10-14		M	394
Australian Capital Territory	10-14	0	F	10150
Australian Capital Territory	10-14	0	M	10677
Australian Capital Territory	10-14	1	F	310
Australian Capital Territory	10-14	1	M	314
Australian Capital Territory	15-19		F	515
Australian Capital Territory	15-19		M	501
Australian Capital Territory	15-19	0	F	11283
Australian Capital Territory	15-19	0	M	11529
Australian Capital Territory	15-19	1	F	349
Australian Capital Territory	15-19	1	M	329
Australian Capital Territory	20-24		F	853
Australian Capital Territory	20-24		M	886
Australian Capital Territory	20-24	0	F	14395
Australian Capital Territory	20-24	0	M	14604
Australian Capital Territory	20-24	1	F	313
Australian Capital Territory	20-24	1	M	380
Australian Capital Territory	25-29		F	951
Australian Capital Territory	25-29		M	1007
Australian Capital Territory	25-29	0	F	15294
Australian Capital Territory	25-29	0	M	14662
Australian Capital Territory	25-29	1	F	297
Australian Capital Territory	25-29	1	M	281
Australian Capital Territory	30-34		F	879
Australian Capital Territory	30-34		M	1029
Australian Capital Territory	30-34	0	F	16013
Australian Capital Territory	30-34	0	M	15246
Australian Capital Territory	30-34	1	F	246
Australian Capital Territory	30-34	1	M	209
Australian Capital Territory	35-39		F	718
Australian Capital Territory	35-39		M	784
Australian Capital Territory	35-39	0	F	14246
Australian Capital Territory	35-39	0	M	14053
Australian Capital Territory	35-39	1	F	207
Australian Capital Territory	35-39	1	M	180
Australian Capital Territory	40-44		F	656
Australian Capital Territory	40-44		M	769
Australian Capital Territory	40-44	0	F	13436
Australian Capital Territory	40-44	0	M	12985
Australian Capital Territory	40-44	1	F	198
Australian Capital Territory	40-44	1	M	173
Australian Capital Territory	45-49		F	620
Australian Capital Territory	45-49		M	714
Australian Capital Territory	45-49	0	F	12602
Australian Capital Territory	45-49	0	M	12263
Australian Capital Territory	45-49	1	F	171
Australian Capital Territory	45-49	1	M	187
Australian Capital Territory	50-54		F	595
Australian Capital Territory	50-54		M	635
Australian Capital Territory	50-54	0	F	11821
Australian Capital Territory	50-54	0	M	11050
Australian Capital Territory	50-54	1	F	173
Australian Capital Territory	50-54	1	M	159
Australian Capital Territory	55-59		F	589
Australian Capital Territory	55-59		M	568
Australian Capital Territory	55-59	0	F	10841
Australian Capital Territory	55-59	0	M	10117
Australian Capital Territory	55-59	1	F	130
Australian Capital Territory	55-59	1	M	113
Australian Capital Territory	60-64		F	537
Australian Capital Territory	60-64		M	475
Australian Capital Territory	60-64	0	F	9422
Australian Capital Territory	60-64	0	M	8537
Australian Capital Territory	60-64	1	F	80
Australian Capital Territory	60-64	1	M	98
Australian Capital Territory	65+		F	1588
Australian Capital Territory	65+		M	1339
Australian Capital Territory	65+	0	F	25565
Australian Capital Territory	65+	0	M	21271
Australian Capital Territory	65+	1	F	113
Australian Capital Territory	65+	1	M	91
Other Territories	0-4		F	3
Other Territories	0-4		M	8
Other Territories	0-4	0	F	110
Other Territories	0-4	0	M	124
Other Territories	0-4	1	F	5
Other Territories	0-4	1	M	5
Other Territories	5-9		F	10
Other Territories	5-9		M	13
Other Territories	5-9	0	F	115
