STE_NAME16	Age5yr	ChildrenEverBorn	females
Northern Territory	20-24	3	106
Northern Territory	20-24	4	21
Northern Territory	20-24	5	4
Northern Territory	20-24	6	10
Northern Territory	25-29		1689
Northern Territory	25-29	0	5302
Northern Territory	25-29	1	1619
Northern Territory	25-29	2	1225
Northern Territory	25-29	3	527
Northern Territory	25-29	4	146
Northern Territory	25-29	5	42
Northern Territory	25-29	6	21
Northern Territory	30-34		1434
Northern Territory	30-34	0	3432
Northern Territory	30-34	1	1953
Northern Territory	30-34	2	2043
Northern Territory	30-34	3	985
Northern Territory	30-34	4	388
Northern Territory	30-34	5	152
Northern Territory	30-34	6	76
Northern Territory	35-39		1102
Northern Territory	35-39	0	1790
Northern Territory	35-39	1	1339
Northern Territory	35-39	2	2327
Northern Territory	35-39	3	1277
Northern Territory	35-39	4	533
Northern Territory	35-39	5	236
Northern Territory	35-39	6	147
Northern Territory	40-44		1055
Northern Territory	40-44	0	1418
Northern Territory	40-44	1	1047
Northern Territory	40-44	2	2224
Northern Territory	40-44	3	1260
Northern Territory	40-44	4	620
Northern Territory	40-44	5	218
Northern Territory	40-44	6	186
Northern Territory	45-49		1039
Northern Territory	45-49	0	1275
Northern Territory	45-49	1	970
Northern Territory	45-49	2	2172
Northern Territory	45-49	3	1344
Northern Territory	45-49	4	632
Northern Territory	45-49	5	285
Northern Territory	45-49	6	209
Northern Territory	50-54		955
Northern Territory	50-54	0	1170
Northern Territory	50-54	1	792
Northern Territory	50-54	2	1882
Northern Territory	50-54	3	1283
Northern Territory	50-54	4	596
Northern Territory	50-54	5	273
Northern Territory	50-54	6	201
Northern Territory	55-59		847
Northern Territory	55-59	0	809
Northern Territory	55-59	1	690
Northern Territory	55-59	2	1675
Northern Territory	55-59	3	1262
Northern Territory	55-59	4	591
Northern Territory	55-59	5	229
Northern Territory	55-59	6	190
Northern Territory	60-64		700
Northern Territory	60-64	0	553
Northern Territory	60-64	1	509
Northern Territory	60-64	2	1356
Northern Territory	60-64	3	937
Northern Territory	60-64	4	471
Northern Territory	60-64	5	207
Northern Territory	60-64	6	167
Northern Territory	65-69		443
Northern Territory	65-69	0	345
Northern Territory	65-69	1	319
Northern Territory	65-69	2	902
Northern Territory	65-69	3	698
Northern Territory	65-69	4	345
Northern Territory	65-69	5	169
Northern Territory	65-69	6	145
Northern Territory	70-74		277
Northern Territory	70-74	0	195
Northern Territory	70-74	1	155
Northern Territory	70-74	2	500
Northern Territory	70-74	3	388
Northern Territory	70-74	4	234
Northern Territory	70-74	5	95
