STE_NAME16	Age	UsualResidence	persons
Australian Capital Territory	35-44	Visitor from WA	99
Australian Capital Territory	35-44	Visitor same SA2	76
Australian Capital Territory	45-54	Home	48566
Australian Capital Territory	45-54	Visitor from ACT	604
Australian Capital Territory	45-54	Visitor from NSW	1087
Australian Capital Territory	45-54	Visitor from NT	24
Australian Capital Territory	45-54	Visitor from OT	3
Australian Capital Territory	45-54	Visitor from QLD	329
Australian Capital Territory	45-54	Visitor from SA	134
Australian Capital Territory	45-54	Visitor from TAS	33
Australian Capital Territory	45-54	Visitor from VIC	402
Australian Capital Territory	45-54	Visitor from WA	98
Australian Capital Territory	45-54	Visitor same SA2	69
Australian Capital Territory	55-64	Home	38577
Australian Capital Territory	55-64	Visitor from ACT	497
Australian Capital Territory	55-64	Visitor from NSW	1145
Australian Capital Territory	55-64	Visitor from NT	18
Australian Capital Territory	55-64	Visitor from OT	4
Australian Capital Territory	55-64	Visitor from QLD	248
Australian Capital Territory	55-64	Visitor from SA	123
Australian Capital Territory	55-64	Visitor from TAS	44
Australian Capital Territory	55-64	Visitor from VIC	356
Australian Capital Territory	55-64	Visitor from WA	89
Australian Capital Territory	55-64	Visitor same SA2	107
Australian Capital Territory	65-74	Home	26766
Australian Capital Territory	65-74	Visitor from ACT	356
Australian Capital Territory	65-74	Visitor from NSW	651
Australian Capital Territory	65-74	Visitor from NT	3
Australian Capital Territory	65-74	Visitor from QLD	139
Australian Capital Territory	65-74	Visitor from SA	71
Australian Capital Territory	65-74	Visitor from TAS	42
Australian Capital Territory	65-74	Visitor from VIC	189
Australian Capital Territory	65-74	Visitor from WA	51
Australian Capital Territory	65-74	Visitor same SA2	121
Australian Capital Territory	75-84	Home	13212
Australian Capital Territory	75-84	Visitor from ACT	311
Australian Capital Territory	75-84	Visitor from NSW	255
Australian Capital Territory	75-84	Visitor from QLD	32
Australian Capital Territory	75-84	Visitor from SA	12
Australian Capital Territory	75-84	Visitor from TAS	7
Australian Capital Territory	75-84	Visitor from VIC	37
Australian Capital Territory	75-84	Visitor from WA	13
Australian Capital Territory	75-84	Visitor same SA2	61
Australian Capital Territory	85+	Home	5771
Australian Capital Territory	85+	Visitor from ACT	202
Australian Capital Territory	85+	Visitor from NSW	76
Australian Capital Territory	85+	Visitor from QLD	10
Australian Capital Territory	85+	Visitor from SA	9
Australian Capital Territory	85+	Visitor from VIC	17
Australian Capital Territory	85+	Visitor from WA	3
Australian Capital Territory	85+	Visitor same SA2	25
Other Territories	0-14	Home	785
Other Territories	0-14	Visitor from NSW	6
Other Territories	0-14	Visitor from OT	4
Other Territories	0-14	Visitor from SA	3
Other Territories	0-14	Visitor from WA	5
Other Territories	15-24	Home	391
Other Territories	15-24	Visitor from NSW	26
Other Territories	15-24	Visitor from OT	4
Other Territories	15-24	Visitor from QLD	11
Other Territories	15-24	Visitor from VIC	8
Other Territories	15-24	Visitor from WA	6
Other Territories	15-24	Visitor same SA2	4
Other Territories	25-34	Home	533
Other Territories	25-34	Visitor from ACT	10
Other Territories	25-34	Visitor from NSW	52
Other Territories	25-34	Visitor from NT	5
Other Territories	25-34	Visitor from OT	14
Other Territories	25-34	Visitor from QLD	23
Other Territories	25-34	Visitor from SA	12
Other Territories	25-34	Visitor from VIC	10
Other Territories	25-34	Visitor from WA	34
Other Territories	35-44	Home	605
Other Territories	35-44	Visitor from ACT	3
Other Territories	35-44	Visitor from NSW	41
Other Territories	35-44	Visitor from NT	3
Other Territories	35-44	Visitor from OT	13
Other Territories	35-44	Visitor from QLD	9
Other Territories	35-44	Visitor from VIC	6
Other Territories	35-44	Visitor from WA	26
Other Territories	45-54	Home	655
Other Territories	45-54	Visitor from ACT	4
Other Territories	45-54	Visitor from NSW	46
Other Territories	45-54	Visitor from NT	3
Other Territories	45-54	Visitor from OT	18
Other Territories	45-54	Visitor from QLD	28
Other Territories	45-54	Visitor from SA	6
Other Territories	45-54	Visitor from VIC	7
Other Territories	45-54	Visitor from WA	34
Other Territories	55-64	Home	633
Other Territories	55-64	Visitor from ACT	15
Other Territories	55-64	Visitor from NSW	59
Other Territories	55-64	Visitor from OT	18
Other Territories	55-64	Visitor from QLD	41
Other Territories	55-64	Visitor from SA	11
Other Territories	55-64	Visitor from VIC	13
Other Territories	55-64	Visitor from WA	26
Other Territories	55-64	Visitor same SA2	4
Other Territories	65-74	Home	435
Other Territories	65-74	Visitor from ACT	6
Other Territories	65-74	Visitor from NSW	67
Other Territories	65-74	Visitor from OT	6
Other Territories	65-74	Visitor from QLD	34
Other Territories	65-74	Visitor from SA	3
Other Territories	65-74	Visitor from VIC	20
Other Territories	65-74	Visitor from WA	26
Other Territories	75-84	Home	168
Other Territories	75-84	Visitor from NSW	29
Other Territories	75-84	Visitor from OT	5
Other Territories	75-84	Visitor from QLD	9
Other Territories	75-84	Visitor from SA	3
Other Territories	75-84	Visitor from VIC	6
Other Territories	75-84	Visitor from WA	3
Other Territories	75-84	Visitor same SA2	3
Other Territories	85+	Home	48
Other Territories	85+	Visitor from OT	4
Other Territories	85+	Visitor from VIC	7
