STE_NAME16	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
South Australia	1	1	1	12000	5833
South Australia	1	1	1	14400	7938
South Australia	1	1	1	16800	8106
South Australia	1	1	1	19200	8745
South Australia	1	1	1	21600	6259
South Australia	1	1	1	24000	8524
South Australia	1	1	1	26400	3591
South Australia	1	1	1	28800	2387
South Australia	1	1	1	31200	4980
South Australia	1	1	1	36000	5477
South Australia	1	1	1	48000	1887
South Australia	1	1	1	60000	1455
Western Australia		1	1	0	198
Western Australia		1	1	1800	31
Western Australia		1	1	3600	57
Western Australia		1	1	5400	56
Western Australia		1	1	7200	80
Western Australia		1	1	9600	140
Western Australia		1	1	12000	115
Western Australia		1	1	14400	174
Western Australia		1	1	16800	208
Western Australia		1	1	19200	262
Western Australia		1	1	21600	204
Western Australia		1	1	24000	361
Western Australia		1	1	26400	124
Western Australia		1	1	28800	107
Western Australia		1	1	31200	211
Western Australia		1	1	36000	220
Western Australia		1	1	48000	94
Western Australia		1	1	60000	69
Western Australia	0	1	0	0	787
Western Australia	0	1	0	1800	204
Western Australia	0	1	0	3600	555
Western Australia	0	1	0	5400	522
Western Australia	0	1	0	7200	877
Western Australia	0	1	0	9600	1155
Western Australia	0	1	0	12000	1320
Western Australia	0	1	0	14400	1436
Western Australia	0	1	0	16800	1314
Western Australia	0	1	0	19200	1427
Western Australia	0	1	0	21600	904
Western Australia	0	1	0	24000	1476
Western Australia	0	1	0	26400	573
Western Australia	0	1	0	28800	360
Western Australia	0	1	0	31200	793
Western Australia	0	1	0	36000	888
Western Australia	0	1	0	48000	320
Western Australia	0	1	0	60000	230
Western Australia	0	1	1	0	497
Western Australia	0	1	1	1800	130
Western Australia	0	1	1	3600	307
Western Australia	0	1	1	5400	313
Western Australia	0	1	1	7200	626
Western Australia	0	1	1	9600	856
Western Australia	0	1	1	12000	1053
Western Australia	0	1	1	14400	1391
Western Australia	0	1	1	16800	1394
Western Australia	0	1	1	19200	1665
Western Australia	0	1	1	21600	1203
Western Australia	0	1	1	24000	1714
Western Australia	0	1	1	26400	708
Western Australia	0	1	1	28800	546
Western Australia	0	1	1	31200	1026
Western Australia	0	1	1	36000	1079
Western Australia	0	1	1	48000	360
Western Australia	0	1	1	60000	276
Western Australia	1	0	0	0	3978
Western Australia	1	0	0	1800	1015
Western Australia	1	0	0	3600	1840
Western Australia	1	0	0	5400	1595
Western Australia	1	0	0	7200	2685
Western Australia	1	0	0	9600	3219
Western Australia	1	0	0	12000	4175
Western Australia	1	0	0	14400	4987
Western Australia	1	0	0	16800	5026
Western Australia	1	0	0	19200	6255
Western Australia	1	0	0	21600	5332
Western Australia	1	0	0	24000	9932
Western Australia	1	0	0	26400	4900
Western Australia	1	0	0	28800	4043
Western Australia	1	0	0	31200	7983
Western Australia	1	0	0	36000	9078
Western Australia	1	0	0	48000	3251
Western Australia	1	0	0	60000	2374
Western Australia	1	1	0	0	1893
Western Australia	1	1	0	1800	478
Western Australia	1	1	0	3600	991
Western Australia	1	1	0	5400	889
Western Australia	1	1	0	7200	1619
Western Australia	1	1	0	9600	2028
Western Australia	1	1	0	12000	2765
Western Australia	1	1	0	14400	3100
Western Australia	1	1	0	16800	2810
Western Australia	1	1	0	19200	3234
Western Australia	1	1	0	21600	2398
Western Australia	1	1	0	24000	5063
Western Australia	1	1	0	26400	1975
Western Australia	1	1	0	28800	1723
Western Australia	1	1	0	31200	3758
Western Australia	1	1	0	36000	5252
Western Australia	1	1	0	48000	2116
Western Australia	1	1	0	60000	1664
Western Australia	1	1	1	0	2598
Western Australia	1	1	1	1800	512
Western Australia	1	1	1	3600	1112
Western Australia	1	1	1	5400	1127
Western Australia	1	1	1	7200	2012
Western Australia	1	1	1	9600	3061
Western Australia	1	1	1	12000	4844
Western Australia	1	1	1	14400	6636
Western Australia	1	1	1	16800	7642
Western Australia	1	1	1	19200	10188
Western Australia	1	1	1	21600	9437
Western Australia	1	1	1	24000	17003
Western Australia	1	1	1	26400	9261
Western Australia	1	1	1	28800	7523
Western Australia	1	1	1	31200	14020
Western Australia	1	1	1	36000	17203
Western Australia	1	1	1	48000	6012
Western Australia	1	1	1	60000	5010
Tasmania		1	1	0	20
Tasmania		1	1	1800	11
Tasmania		1	1	3600	21
Tasmania		1	1	5400	19
Tasmania		1	1	7200	36
Tasmania		1	1	9600	31
Tasmania		1	1	12000	36
Tasmania		1	1	14400	37
Tasmania		1	1	16800	30
Tasmania		1	1	19200	35
Tasmania		1	1	21600	21
Tasmania		1	1	24000	18
Tasmania		1	1	26400	4
Tasmania		1	1	31200	7
Tasmania		1	1	36000	5
Tasmania		1	1	48000	5
Tasmania		1	1	60000	3
Tasmania	0	1	0	0	145
Tasmania	0	1	0	1800	97
Tasmania	0	1	0	3600	199
Tasmania	0	1	0	5400	204
Tasmania	0	1	0	7200	383
Tasmania	0	1	0	9600	492
Tasmania	0	1	0	12000	460
Tasmania	0	1	0	14400	399
Tasmania	0	1	0	16800	304
Tasmania	0	1	0	19200	240
Tasmania	0	1	0	21600	85
Tasmania	0	1	0	24000	119
Tasmania	0	1	0	26400	34
Tasmania	0	1	0	28800	28
Tasmania	0	1	0	31200	61
Tasmania	0	1	0	36000	33
Tasmania	0	1	0	48000	10
Tasmania	0	1	0	60000	4
Tasmania	0	1	1	0	85
Tasmania	0	1	1	1800	49
Tasmania	0	1	1	3600	130
Tasmania	0	1	1	5400	137
Tasmania	0	1	1	7200	353
Tasmania	0	1	1	9600	496
Tasmania	0	1	1	12000	566
Tasmania	0	1	1	14400	554
Tasmania	0	1	1	16800	370
Tasmania	0	1	1	19200	298
Tasmania	0	1	1	21600	140
Tasmania	0	1	1	24000	145
Tasmania	0	1	1	26400	50
Tasmania	0	1	1	28800	27
Tasmania	0	1	1	31200	64
Tasmania	0	1	1	36000	53
Tasmania	0	1	1	48000	11
Tasmania	0	1	1	60000	11
Tasmania	1	0	0	0	823
Tasmania	1	0	0	1800	383
Tasmania	1	0	0	3600	822
Tasmania	1	0	0	5400	673
Tasmania	1	0	0	7200	1221
Tasmania	1	0	0	9600	1540
Tasmania	1	0	0	12000	1790
Tasmania	1	0	0	14400	1938
Tasmania	1	0	0	16800	1590
Tasmania	1	0	0	19200	1484
Tasmania	1	0	0	21600	808
Tasmania	1	0	0	24000	1134
Tasmania	1	0	0	26400	370
Tasmania	1	0	0	28800	217
Tasmania	1	0	0	31200	539
Tasmania	1	0	0	36000	541
Tasmania	1	0	0	48000	223
Tasmania	1	0	0	60000	106
Tasmania	1	1	0	0	286
Tasmania	1	1	0	1800	133
Tasmania	1	1	0	3600	341
Tasmania	1	1	0	5400	316
Tasmania	1	1	0	7200	595
Tasmania	1	1	0	9600	780
Tasmania	1	1	0	12000	870
Tasmania	1	1	0	14400	884
Tasmania	1	1	0	16800	731
Tasmania	1	1	0	19200	705
Tasmania	1	1	0	21600	357
Tasmania	1	1	0	24000	524
Tasmania	1	1	0	26400	158
Tasmania	1	1	0	28800	93
Tasmania	1	1	0	31200	275
Tasmania	1	1	0	36000	305
Tasmania	1	1	0	48000	88
Tasmania	1	1	0	60000	65
Tasmania	1	1	1	0	416
Tasmania	1	1	1	1800	174
Tasmania	1	1	1	3600	382
Tasmania	1	1	1	5400	473
Tasmania	1	1	1	7200	1047
Tasmania	1	1	1	9600	1778
Tasmania	1	1	1	12000	2457
Tasmania	1	1	1	14400	2802
Tasmania	1	1	1	16800	2621
Tasmania	1	1	1	19200	2584
Tasmania	1	1	1	21600	1555
Tasmania	1	1	1	24000	1931
Tasmania	1	1	1	26400	725
Tasmania	1	1	1	28800	390
Tasmania	1	1	1	31200	924
Tasmania	1	1	1	36000	962
Tasmania	1	1	1	48000	304
Tasmania	1	1	1	60000	226
Northern Territory		1	1	0	6
Northern Territory		1	1	3600	3
Northern Territory		1	1	5400	9
Northern Territory		1	1	7200	10
Northern Territory		1	1	9600	7
Northern Territory		1	1	12000	10
Northern Territory		1	1	14400	13
Northern Territory		1	1	16800	7
Northern Territory		1	1	19200	19
Northern Territory		1	1	21600	15
Northern Territory		1	1	24000	7
