SA3_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
30306,11229,2270,68,45,33,13643,981,231,28,33,20,1295,286,169,6,8,67,544,12498,2670,106,84,125,15479
30401,9554,714,27,4,5,10311,471,61,24,0,0,561,106,6,3,0,3,115,10134,780,56,4,7,10985
30402,13400,380,59,8,24,13861,515,98,14,0,0,625,195,19,0,0,5,218,14108,491,67,8,29,14709
30403,8601,1339,6495,12,85,16529,486,120,505,0,5,1116,145,43,142,0,46,374,9231,1496,7144,14,135,18023
30404,13458,736,1471,3,28,15696,988,151,336,0,3,1486,193,47,52,0,12,302,14636,938,1858,3,44,17485
30501,4108,929,18789,59,139,24026,377,95,2038,19,16,2544,144,44,581,35,48,844,4629,1066,21407,110,202,27418
30502,7694,2217,3664,6,41,13617,511,152,532,0,3,1197,173,50,106,0,9,342,8386,2413,4300,6,54,15158
30503,13519,2350,14199,51,121,30232,926,224,1720,9,7,2889,307,68,402,3,102,873,14750,2642,16318,59,230,33995
30504,11516,962,6177,42,54,18755,632,66,518,7,9,1235,230,18,146,6,23,426,12387,1051,6843,54,90,20419
30601,13501,1301,1759,121,108,16789,1027,282,317,31,34,1682,273,49,73,5,13,417,14799,1630,2149,151,155,18888
30602,20093,2447,5290,186,112,28126,3124,1082,1798,117,34,6159,663,161,330,51,100,1303,23879,3690,7419,353,250,35584
30603,8089,179,441,240,70,9018,2349,102,317,177,20,2964,309,12,40,43,16,422,10747,295,804,464,101,12407
30604,2454,354,316,98,51,3279,447,104,136,38,18,735,97,19,31,11,7,163,3000,475,480,144,75,4175
30605,10446,170,319,210,56,11205,2681,175,287,126,17,3282,409,15,45,23,14,504,13530,359,655,362,87,14985
30701,10284,277,336,120,96,11124,3113,167,184,67,50,3578,388,41,29,45,18,520,13789,481,557,232,164,15218
30702,10600,144,160,94,85,11075,2925,116,128,54,24,3249,349,18,22,9,18,414,13871,276,317,159,121,14742
30703,10531,419,181,104,68,11298,2867,287,144,91,14,3396,363,40,19,16,5,446,13764,740,344,206,93,15144
30801,6393,266,381,140,236,7420,1127,67,114,75,61,1450,208,18,24,18,22,286,7734,351,516,238,311,9155
30803,29040,1476,1149,301,130,32089,5869,880,678,208,25,7660,890,116,89,65,129,1281,35801,2465,1909,565,281,41029
30804,3585,35,129,41,24,3814,878,23,44,31,9,980,140,3,14,13,7,178,4602,64,183,83,42,4965
30805,16022,732,927,229,51,17956,2221,237,358,104,18,2936,370,25,54,30,4,483,18624,989,1340,357,69,21378
30901,10084,3896,6153,80,59,20270,1145,806,1240,35,13,3247,292,153,247,8,8,707,11520,4856,7643,116,85,24223
