SA3_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
10902,75,0,0,0,0,77,51,3,0,0,0,54,55,0,0,0,0,57,129,0,6,0,0,136,182,0,0,0,0,183,252,0,0,3,3,260,171,0,0,0,0,173,116,0,0,0,0,112,27,0,0,0,0,34,27,0,0,0,0,25,34,0,0,0,3,41,83,0,0,0,0,82,1196,8,9,8,9,1229
10903,364,3,5,3,0,374,183,0,3,3,0,193,170,3,0,0,0,178,396,11,12,0,0,412,475,11,10,0,3,498,973,12,7,0,4,991,694,0,0,4,0,703,550,0,0,3,3,559,161,0,0,0,0,163,108,0,0,0,0,112,100,0,0,0,0,107,275,0,0,0,3,279,4445,41,45,26,16,4569
11001,225,0,0,0,0,235,103,0,0,0,0,103,111,0,0,0,0,110,184,7,0,3,0,191,262,6,4,0,5,282,754,16,4,0,3,778,666,11,0,0,0,687,538,3,0,0,5,546,182,0,0,3,0,182,163,3,0,0,3,169,92,0,0,0,0,91,158,0,0,4,0,162,3435,54,15,11,22,3531
11002,282,0,0,5,3,296,185,0,0,3,0,192,175,5,0,0,0,186,389,0,0,3,3,400,441,0,0,4,4,452,838,3,0,6,12,857,510,3,0,3,5,520,393,0,0,5,6,408,116,0,0,0,0,116,97,0,0,0,0,95,86,0,0,0,0,86,204,3,3,0,0,210,3722,14,10,26,39,3812
11003,144,9,0,3,6,160,66,0,3,0,0,65,76,0,0,0,0,79,130,6,0,0,0,139,206,6,3,0,0,211,492,7,3,0,4,510,411,11,3,0,0,425,323,9,4,3,0,341,99,6,0,0,0,104,79,0,0,0,0,80,64,3,3,0,0,72,159,3,3,7,0,168,2251,59,24,13,16,2362
11004,428,5,3,5,6,446,218,4,0,5,0,225,239,6,0,0,0,246,470,7,4,6,0,487,691,13,3,9,3,719,1840,29,8,21,14,1909,1751,19,0,8,0,1783,1533,7,6,4,8,1562,556,0,0,5,4,566,343,0,0,0,4,347,201,0,0,3,3,205,409,4,0,3,0,415,8680,100,28,68,43,8915
11101,671,53,16,0,0,740,335,25,7,3,0,368,265,25,4,0,0,290,481,37,12,0,0,523,711,22,8,3,0,741,1912,121,44,3,5,2086,2608,145,48,7,6,2817,3840,127,33,9,9,4017,1682,41,18,0,0,1746,1229,14,10,0,0,1254,585,6,0,0,0,600,556,21,9,0,0,586,14866,644,207,26,16,15767
11102,420,17,3,0,5,440,225,9,0,0,0,234,188,3,0,0,0,188,327,6,4,3,0,345,480,14,0,0,0,487,1488,41,7,3,0,1543,1993,36,4,0,3,2034,2520,21,6,3,3,2554,1010,3,4,0,0,1020,565,3,0,0,0,569,263,5,0,0,0,262,393,3,0,0,0,401,9869,163,28,6,14,10080
11103,776,83,43,0,0,908,336,42,14,0,0,394,347,32,19,0,0,394,588,43,32,0,0,664,808,84,35,0,0,934,2405,272,133,5,3,2811,3103,310,180,3,6,3603,4204,347,179,6,6,4731,1968,137,62,0,4,2175,1373,110,54,0,0,1540,806,82,55,0,0,944,633,43,36,0,0,720,17349,1573,840,20,30,19812
11201,429,59,14,5,4,512,211,31,9,0,3,253,149,24,8,5,0,179,250,34,13,6,3,304,357,53,17,0,7,429,964,154,45,13,3,1181,1051,146,40,5,7,1256,1521,147,27,3,3,1704,702,70,15,0,12,804,551,44,11,3,0,613,330,19,7,3,5,361,345,34,8,0,3,396,6863,821,213,42,58,7990
