SED_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED60209,12,13,39,58,96,229,335,440,305,1531,0,7,5,12,25,20,20,6,6,101,128,122,236,250,403,466,488,373,152,2611,969,1706,3327,3609,4791,4830,3706,2079,726,25745
SED60214,0,0,0,0,0,5,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,3,11,14,27,33,44,28,10,0,166
SED60302,0,6,17,13,14,48,96,87,37,326,0,0,3,0,0,3,7,3,0,24,29,24,55,83,78,79,84,80,27,540,310,602,1275,1273,1326,1120,827,496,126,7352
SED60303,22,44,108,101,99,234,331,447,362,1748,10,18,35,79,99,58,39,23,16,369,163,150,343,303,426,445,439,428,233,2941,1105,2218,4867,4341,4737,4682,3462,2220,1022,28646
SED60304,12,9,25,36,51,77,118,207,239,765,3,8,16,19,18,21,13,22,3,121,74,211,411,297,306,322,281,193,144,2239,851,2724,5321,4518,4486,4284,2925,1560,920,27579
SED60305,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,6,3,0,0,24,8,28,45,55,71,95,34,9,3,343
SED60310,10,6,16,4,11,30,65,75,65,285,0,3,17,0,6,3,5,6,9,55,53,86,163,135,138,192,173,120,61,1123,597,2077,2950,2463,2879,2987,2354,1208,622,18146
SED60402,0,0,0,3,3,20,12,19,11,61,0,0,0,0,4,0,0,0,0,8,8,5,21,24,39,27,22,35,20,201,98,182,526,518,544,540,292,151,72,2916
SED60405,10,11,14,39,56,168,231,214,169,918,0,3,6,3,9,11,11,9,0,44,92,83,199,262,297,407,420,288,80,2129,877,1464,3361,4307,5089,5542,4235,1875,543,27287
SED60410,5,3,9,5,21,28,46,89,52,261,3,0,0,3,3,3,3,0,0,16,23,28,75,52,71,77,107,88,44,563,251,610,1452,1344,1304,1259,1155,717,291,8385
