SED_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SED70014,17,9,33,1278,1656,619,480,1361,720,6120
SED70015,16,9,39,1313,1559,559,405,1466,843,6142
SED70016,17,20,41,1619,1697,614,434,1367,1835,7575
SED70017,54,8,74,1435,1751,734,261,1331,1931,7451
SED70018,7,12,38,1626,2138,894,644,1959,3069,10327
SED70019,0,0,3,2190,1775,612,461,1052,671,6771
SED70020,17,4,45,1741,1840,657,371,1323,908,6842
SED70021,11,4,35,2446,2084,534,350,2179,1546,9138
SED70022,18,6,32,1448,1749,718,470,1455,730,6569
SED70023,10,3,16,1703,2032,720,517,1394,795,7152
SED70024,12,0,18,1181,1355,702,275,846,971,5335
SED70025,16,3,25,1576,1983,706,562,1417,615,6860
SED79494,0,0,0,334,366,137,92,522,839,2281
SED79797,0,0,0,0,0,0,4,43,23,72
SED80001,275,212,812,14092,18108,7293,4314,9659,3222,56690
SED80002,463,274,1236,15561,19647,7908,4568,11094,4032,62806
SED80003,646,455,1952,19971,22255,7063,3549,11437,6652,70929
SED80004,671,349,1779,15071,20223,8754,4867,9527,4365,62808
SED80005,151,49,371,17659,21847,8370,5306,12135,3857,69182
SED89494,3,0,3,133,94,23,10,138,118,506
SED89797,0,0,0,0,0,0,0,0,0,0
SED99191,20,9,51,622,888,365,299,762,781,3714
SED99494,0,0,0,5,11,0,3,22,4,46
SED99797,0,0,0,0,0,0,0,3,0,6
