SED_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SED70023,17,3,16,1852,361,52,2261,4123,762,7152
SED70024,18,3,18,1033,1021,287,2341,2017,977,5335
SED70025,23,3,25,1629,448,57,2129,4131,605,6860
SED79494,0,0,0,151,57,0,211,1317,747,2281
SED79797,0,0,0,3,0,0,4,43,26,72
SED80001,600,203,812,11948,4862,556,17367,36240,3084,56690
SED80002,961,256,1236,12983,4873,553,18410,40483,3912,62806
SED80003,1478,443,1952,10415,3740,444,14590,49779,6558,70929
SED80004,1417,333,1779,13163,5063,532,18759,39727,4321,62808
SED80005,316,43,371,18731,4736,610,24070,41290,3817,69182
SED89494,3,0,3,39,33,7,73,322,108,506
SED89797,0,0,0,0,0,0,0,0,0,0
SED99191,43,9,51,608,214,26,847,2129,738,3714
SED99494,0,0,0,3,0,0,6,35,4,46
SED99797,0,0,0,0,0,0,0,6,0,6
