SED_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
SED10088,0,0,0,10,13,20,36,13,10,103,3,15,38,104,68,107,57,23,4,416,29,91,123,524,107,75,39,29,5,1014,3,9,27,96,62,35,17,18,3,270,0,3,10,127,69,59,44,22,8,340,0,0,0,8,9,3,3,3,0,21,6,37,7,120,95,48,31,18,10,379,0,9,9,67,129,232,349,253,122,1174,4,34,32,105,99,43,19,6,3,339,3,6,38,169,47,61,23,11,0,355,0,0,0,18,22,26,11,8,3,88,3,7,20,64,50,43,33,17,0,234,0,4,0,3,4,10,9,4,3,40,0,0,0,10,12,5,7,0,0,25,0,0,0,5,4,3,3,0,0,11,3,5,70,283,9,4,3,0,0,376,4,7,8,35,32,32,77,66,39,310,13,76,127,649,423,297,141,65,22,1825,0,0,3,31,19,6,19,15,3,88,0,0,3,11,6,3,4,0,0,30
SED10089,0,0,0,3,13,29,35,18,7,106,0,3,94,47,11,24,14,4,3,196,19,87,107,498,75,24,36,11,3,845,0,0,15,47,14,3,3,0,0,83,0,9,20,124,6,4,4,0,0,165,16,25,5,45,13,0,0,0,0,101,0,18,0,25,14,7,11,11,3,103,0,0,0,6,16,33,56,90,51,259,0,0,18,13,3,4,3,3,0,57,5,24,77,136,46,11,4,3,0,306,0,0,0,6,6,3,4,0,0,16,3,7,100,119,27,31,21,14,0,312,0,0,0,0,3,8,3,4,3,25,0,0,13,11,4,3,7,4,0,37,0,0,14,12,3,3,0,0,0,36,0,7,7,34,0,0,0,0,0,48,0,4,3,5,13,16,44,24,20,127,7,40,87,238,139,116,42,25,3,694,0,0,3,5,9,10,9,10,4,43,6,22,37,93,10,0,3,0,0,168
SED10090,0,3,0,7,13,22,59,50,20,170,48,104,214,885,344,424,235,93,18,2368,65,152,72,1091,133,94,71,40,20,1736,3,15,95,325,67,68,37,22,4,635,3,17,26,242,76,82,58,27,18,535,0,0,3,18,8,6,3,10,3,50,3,16,3,181,96,55,33,19,14,411,0,3,20,85,33,54,123,138,79,538,49,161,99,639,340,130,60,21,5,1503,31,117,362,1024,303,154,63,20,3,2073,0,0,5,38,54,56,62,30,10,266,11,37,62,418,177,153,112,40,18,1020,0,0,0,0,8,9,4,3,3,22,0,0,0,22,11,20,3,4,0,54,0,0,8,13,7,3,3,7,4,44,3,12,57,223,10,0,3,3,0,309,9,11,7,46,24,27,25,17,16,181,18,100,121,595,389,314,202,48,31,1803,0,0,0,28,28,10,6,3,3,72,8,4,8,65,9,4,11,0,0,114
SED10091,0,0,0,8,7,27,38,21,3,114,0,3,14,14,12,10,7,5,0,60,4,11,17,103,19,22,23,20,4,213,0,0,4,12,4,9,8,8,3,48,0,0,0,9,8,0,7,3,0,29,0,0,0,3,3,3,6,0,0,21,0,3,4,48,35,44,50,20,0,202,0,3,4,26,31,64,96,55,20,291,4,3,3,14,3,0,5,0,0,39,0,0,14,11,9,7,0,0,0,37,4,0,5,25,42,28,16,12,0,138,0,0,3,20,13,13,14,0,0,56,0,0,0,15,17,58,92,16,4,197,0,0,0,7,9,3,13,0,0,27,0,0,0,0,0,0,0,3,0,8,0,3,8,70,0,0,0,0,0,81,0,0,4,13,20,58,87,52,18,255,3,27,35,226,193,167,140,57,14,868,0,0,0,18,24,13,29,12,0,98,0,0,0,8,5,0,0,0,3,17
SED10092,0,3,3,15,26,74,111,155,57,436,0,3,34,37,12,21,5,0,0,117,18,56,170,453,55,38,24,19,3,840,4,9,28,70,24,14,10,4,0,152,3,8,33,164,19,12,3,0,0,247,17,61,33,132,38,5,4,3,0,302,0,27,5,31,22,9,20,16,5,133,0,3,17,57,66,225,314,497,232,1408,3,3,16,29,13,4,6,4,0,71,0,12,35,75,30,11,6,0,0,174,7,6,23,142,80,78,49,13,11,408,3,11,99,44,20,15,9,4,0,203,0,3,0,4,7,37,77,78,20,231,0,0,0,3,3,0,0,0,0,8,0,11,24,73,15,10,10,0,0,144,3,0,7,49,4,0,3,0,0,66,0,0,3,9,5,34,88,55,29,230,12,56,122,281,140,126,88,40,13,878,0,3,0,10,3,7,18,8,3,62,0,7,41,73,4,3,3,0,0,144
SED10093,0,0,0,4,4,13,13,16,7,55,0,0,0,15,5,10,9,3,0,44,12,34,14,222,42,18,22,12,0,367,0,11,3,29,19,10,8,7,3,86,0,0,0,15,8,3,0,3,0,33,0,0,4,4,9,0,0,0,0,17,3,22,3,44,22,29,53,29,11,213,0,0,0,12,22,48,68,54,11,219,0,0,3,16,11,3,0,0,0,38,0,3,8,32,14,14,5,0,0,83,0,0,0,10,18,6,8,3,0,51,0,0,8,15,20,14,5,0,0,74,0,0,0,3,10,43,79,41,3,187,0,3,0,6,9,7,7,4,0,35,0,0,0,4,3,0,3,3,0,14,0,0,0,15,0,0,0,0,0,17,0,3,0,13,19,42,78,47,17,221,16,49,96,358,268,254,175,70,20,1308,0,3,3,13,20,9,16,23,0,77,3,7,6,20,3,6,0,0,0,55
SED19494,0,0,0,3,3,3,3,3,0,10,0,0,16,23,3,0,0,0,0,39,4,3,20,100,3,3,0,3,0,140,0,0,11,14,9,4,4,0,0,35,0,0,0,16,3,0,0,0,0,20,0,3,5,14,7,3,0,0,0,36,0,0,8,21,7,3,3,0,0,45,0,0,8,21,3,9,3,0,3,49,0,0,3,6,0,0,0,0,0,12,0,0,13,21,3,0,0,0,0,39,0,0,0,14,15,0,3,3,0,33,0,0,3,29,9,7,0,0,0,43,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,3,0,0,0,9,0,0,0,7,0,0,0,0,0,7,0,0,11,15,0,0,0,0,0,30,0,0,7,8,3,8,18,0,0,48,9,9,34,101,64,60,48,9,0,324,0,0,4,6,4,0,0,0,0,14,4,3,4,22,0,0,0,0,0,32
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,0,3,9,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,0,5,7,50,72,106,261,327,94,933,11,19,71,258,32,27,19,4,3,446,54,45,107,1252,89,57,37,6,3,1649,0,9,286,437,33,25,14,3,0,807,3,4,14,217,15,13,10,0,0,273,0,0,0,24,4,3,0,6,0,34,3,9,40,536,47,33,28,13,3,716,4,11,48,357,51,69,119,69,25,765,12,3,51,221,57,40,9,0,3,393,9,8,119,473,28,5,3,0,0,641,0,0,4,24,14,6,8,0,0,59,7,14,243,719,84,103,45,12,3,1239,0,0,0,4,3,13,35,15,6,81,0,0,11,72,13,15,8,3,0,115,0,0,0,12,3,3,0,0,0,17,0,0,4,43,0,0,0,0,0,50,5,18,6,75,39,18,50,12,7,217,19,47,230,1240,334,232,95,27,3,2231,0,0,5,57,23,10,6,3,0,104,0,0,11,55,0,3,0,0,0,71
SED20207,0,18,3,41,76,107,123,80,20,458,13,21,25,185,43,52,10,0,0,347,166,446,470,4757,340,241,127,41,7,6586,7,36,52,624,61,36,30,6,0,857,4,33,15,176,36,15,3,0,0,279,0,0,11,43,19,9,0,4,0,89,3,39,17,167,46,37,21,24,5,363,0,16,10,79,86,179,168,136,65,736,6,13,8,83,26,3,3,5,0,153,16,71,44,308,58,21,5,3,3,529,5,11,30,171,91,48,35,9,0,393,20,101,114,602,149,125,55,12,3,1178,0,4,5,37,77,241,361,213,39,979,3,16,24,171,31,31,17,3,6,299,0,9,29,113,59,36,16,10,9,277,0,3,24,82,4,7,0,0,0,122,3,11,8,36,17,21,36,17,7,156,108,505,447,1181,388,231,75,13,4,2963,3,3,10,22,19,23,13,13,7,104,12,53,68,322,30,12,3,0,0,510
SED20302,0,0,3,6,11,12,29,26,6,102,0,0,4,19,3,12,4,0,0,52,35,74,76,899,95,82,53,12,7,1337,0,4,4,53,5,7,11,0,3,92,0,4,0,16,3,3,0,0,0,29,0,0,0,7,0,0,0,0,0,10,3,12,3,39,23,26,34,35,6,178,0,0,3,11,28,72,140,100,48,407,0,6,0,19,13,7,3,0,0,45,0,0,10,20,0,0,0,0,0,33,0,3,3,11,4,4,0,0,0,32,0,20,15,57,32,11,11,0,0,154,0,0,0,0,3,25,65,16,7,113,0,6,26,103,50,42,20,6,3,263,0,3,7,27,3,0,3,0,0,48,0,0,9,31,3,0,0,0,0,42,0,0,3,25,21,84,223,125,35,519,27,127,142,421,218,199,133,51,11,1328,0,0,0,12,16,24,23,13,4,95,0,17,17,40,3,0,0,0,0,77
SED20401,0,4,0,3,24,22,34,22,10,120,14,22,36,185,62,60,24,7,0,397,13,81,127,830,135,102,60,21,19,1385,0,3,10,97,32,9,6,6,0,173,4,12,9,122,31,25,15,3,0,221,0,0,0,3,3,0,0,0,0,8,0,14,3,41,18,23,41,15,14,165,0,3,0,21,25,54,84,51,29,265,0,7,7,29,9,3,4,3,0,61,0,8,17,98,23,14,7,0,0,178,0,3,0,4,11,12,3,6,0,36,3,51,37,263,79,71,48,27,4,586,0,0,0,0,3,6,23,3,0,41,0,4,3,23,17,19,13,0,3,79,0,13,27,68,19,3,4,0,0,140,0,3,7,42,7,0,0,0,0,56,3,5,3,13,27,70,132,90,32,378,10,62,68,268,150,100,78,20,6,751,0,0,3,5,13,17,24,14,5,79,0,3,10,43,15,5,3,0,0,76
SED20508,0,3,0,0,14,32,52,44,6,147,0,3,9,5,0,3,0,3,0,25,0,13,7,72,15,24,18,6,3,163,0,3,0,16,7,0,7,5,0,33,0,0,0,3,3,0,3,0,0,13,0,0,0,0,3,0,0,0,0,3,0,12,3,39,23,28,22,19,9,161,0,0,0,16,26,60,92,79,32,306,0,3,0,11,6,3,4,0,0,36,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,23,15,12,3,3,0,57,0,0,0,3,6,45,87,34,0,180,0,0,4,0,14,3,3,0,0,25,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,7,13,21,57,157,84,26,368,5,41,34,177,127,106,105,36,10,630,0,0,3,3,15,22,25,19,3,95,0,3,4,4,0,0,0,0,0,16
SED20604,0,0,0,0,3,5,3,3,0,18,0,0,0,6,0,4,4,0,0,17,9,30,5,226,22,13,19,4,0,331,0,0,0,7,5,6,0,0,0,24,0,0,0,13,0,3,0,0,0,25,0,0,0,3,0,0,0,0,0,3,0,0,0,17,11,16,14,5,0,67,0,0,6,8,5,19,48,32,15,142,0,3,0,10,4,4,0,0,0,20,0,4,0,10,0,0,0,0,0,17,0,0,0,3,3,3,0,0,0,15,0,6,3,17,7,15,5,0,0,59,0,0,0,0,0,3,6,3,0,21,0,3,0,15,7,0,0,0,0,27,0,0,3,4,0,0,0,0,0,14,3,26,32,19,0,0,0,0,0,79,0,3,3,10,18,66,104,46,11,263,0,29,42,154,110,107,64,30,3,537,0,0,0,8,3,4,4,0,0,33,0,8,0,25,0,0,0,0,0,35
SED20704,0,0,0,0,3,0,3,5,3,15,0,0,5,6,9,0,4,0,0,27,14,34,38,221,30,13,15,12,0,373,0,0,7,15,15,5,7,0,0,48,0,3,0,4,4,0,0,0,0,18,0,0,6,5,0,3,3,0,0,16,0,8,3,20,10,7,11,6,4,71,0,0,0,6,4,20,32,24,10,99,0,0,5,3,3,0,0,0,0,21,0,5,6,19,3,0,0,0,0,36,0,0,0,0,4,3,0,0,0,11,0,5,16,30,15,12,9,0,0,90,0,0,0,0,0,8,7,8,0,26,0,0,0,12,3,0,4,0,0,18,0,10,27,105,39,16,4,3,0,198,3,3,0,13,3,0,0,0,0,17,0,0,3,8,3,25,36,23,11,114,3,14,41,153,73,70,44,10,0,410,0,0,0,6,5,5,14,3,0,35,0,3,7,37,0,0,0,0,0,48
SED20804,0,0,0,3,11,4,14,9,0,42,0,3,14,16,6,0,3,0,0,45,13,18,23,275,18,15,9,3,0,375,0,0,0,11,7,4,4,0,3,32,4,15,5,8,0,0,0,0,0,40,0,0,6,4,0,0,0,0,0,11,0,4,4,23,11,12,18,8,7,78,0,0,0,3,10,7,28,9,7,68,0,4,6,12,4,4,0,0,0,33,0,0,0,15,0,3,0,0,0,14,0,0,0,11,8,4,0,0,0,26,0,0,5,24,25,19,9,3,0,93,0,0,0,3,0,13,10,8,0,32,0,0,0,7,10,0,0,0,0,18,0,8,45,119,30,27,14,6,0,251,0,0,0,22,0,0,0,0,0,20,0,3,3,11,12,45,79,31,7,192,3,23,31,135,102,112,54,24,8,483,0,0,0,3,8,3,6,6,0,26,0,0,0,4,0,0,0,0,0,10
SED20906,0,3,11,34,106,168,320,353,85,1088,6,22,25,55,32,31,21,12,0,208,21,108,163,885,209,124,88,65,31,1697,0,6,11,79,21,5,3,3,0,134,0,0,6,47,12,7,3,3,0,88,0,0,0,8,0,3,0,3,0,15,0,7,15,107,51,27,20,19,14,258,0,15,9,40,51,94,164,204,86,657,8,51,24,140,36,17,17,4,0,291,6,54,56,141,62,14,4,0,0,329,0,0,0,19,24,33,21,20,9,123,3,26,35,161,78,72,30,20,3,422,0,0,0,4,4,10,19,16,5,46,0,3,5,31,24,8,11,16,3,100,0,0,0,6,4,3,4,0,0,13,0,0,5,32,0,0,0,0,0,46,3,3,10,32,18,14,20,5,4,109,13,87,91,346,216,127,52,22,8,958,0,3,0,7,13,5,7,11,6,59,0,0,3,14,3,3,0,0,0,30
SED21001,0,8,4,13,38,51,135,153,36,429,13,37,173,489,128,161,75,32,4,1125,61,148,209,1214,154,99,84,33,15,2011,3,3,53,192,49,17,24,8,4,357,3,29,31,217,35,27,12,7,3,379,0,0,3,9,10,0,0,0,0,29,0,8,4,40,27,22,20,16,13,142,0,3,4,22,43,66,155,154,88,537,3,17,22,90,27,7,8,0,0,189,9,31,111,300,74,31,6,3,0,566,0,0,0,3,10,5,12,0,4,36,14,71,243,897,253,263,166,70,21,1998,0,0,0,3,7,12,10,9,7,46,0,3,11,38,13,14,0,6,3,84,0,4,3,23,4,9,0,6,3,54,0,3,9,35,0,0,0,0,0,50,0,9,5,13,9,28,43,36,19,161,12,90,124,224,170,136,60,44,11,862,0,0,4,3,7,9,14,3,5,43,4,3,21,92,11,3,0,3,0,135
SED21106,0,0,3,12,38,67,92,124,35,373,3,35,20,38,23,22,12,16,0,168,12,30,30,217,82,63,44,31,12,518,0,3,6,41,11,13,10,0,0,85,0,0,0,38,8,4,5,0,0,64,0,0,0,0,8,0,0,0,0,17,3,33,15,255,57,37,32,16,13,458,3,8,17,84,40,63,97,121,70,499,3,38,20,82,38,10,7,3,0,213,0,12,16,32,10,4,0,0,0,74,0,3,0,20,9,10,3,0,4,57,0,4,19,87,63,61,32,17,4,284,0,0,0,0,3,9,17,10,3,45,0,0,0,22,16,9,5,5,0,57,0,0,0,3,0,0,0,0,0,11,0,0,0,20,4,0,0,0,0,22,0,24,5,38,25,22,34,15,8,179,7,82,125,496,257,177,87,30,25,1287,0,0,0,35,21,9,22,9,0,99,0,0,7,13,3,6,0,0,0,28
SED21203,0,12,19,30,55,98,204,210,107,741,0,0,8,20,10,3,0,0,0,39,46,107,226,1087,118,72,50,28,11,1750,4,6,15,57,24,6,4,0,0,113,12,63,93,334,38,15,3,0,0,558,34,412,580,1857,889,485,217,101,33,4599,0,0,0,18,14,9,3,10,12,66,3,8,13,59,134,335,618,822,311,2301,0,3,4,12,8,0,0,0,0,28,0,3,6,24,3,0,3,0,0,39,37,60,185,1225,629,409,218,69,22,2850,5,6,18,61,24,16,5,0,0,144,0,0,3,9,25,92,203,173,50,547,0,4,0,20,8,7,12,0,0,56,0,7,5,34,17,11,6,6,3,82,6,67,142,316,14,0,0,3,0,558,0,3,0,5,0,16,19,10,3,56,36,184,172,241,85,58,12,3,0,783,0,0,0,3,0,3,8,4,3,28,107,243,495,1653,150,36,17,7,0,2703
SED21303,0,5,13,52,97,202,512,635,162,1682,0,4,36,106,22,20,12,5,0,199,27,28,104,621,47,36,23,9,6,904,45,44,36,311,8,10,8,0,0,467,0,3,11,185,13,5,3,0,0,222,0,0,4,17,9,11,7,6,0,55,8,9,8,227,25,18,8,10,4,317,3,13,37,266,166,337,637,981,493,2933,0,7,12,142,22,11,8,0,0,209,0,3,23,103,10,3,4,0,0,146,0,0,23,109,161,205,172,53,13,738,3,3,120,305,52,62,37,14,3,604,0,0,0,5,14,21,43,52,13,156,0,0,5,53,12,10,3,3,0,88,0,3,3,0,4,3,8,0,0,17,5,14,212,497,4,14,5,0,0,745,3,6,5,53,25,13,7,3,0,109,11,17,197,1186,165,101,29,14,0,1717,0,0,0,15,7,7,3,0,0,29,16,25,35,205,8,5,0,0,0,293
SED21401,8,25,23,53,151,319,652,630,185,2040,9,41,122,461,207,361,159,53,3,1426,7,39,67,447,132,118,96,41,12,959,0,0,17,100,37,33,25,11,7,241,5,81,102,574,171,120,65,19,3,1135,0,0,4,26,18,18,0,0,0,72,0,0,0,17,11,15,9,10,11,77,3,8,17,51,98,286,757,764,296,2269,0,10,18,38,21,11,17,0,7,114,3,35,73,186,96,50,23,12,3,477,0,0,8,33,63,105,50,23,5,282,7,83,208,637,295,345,255,82,15,1937,0,0,3,0,0,11,34,35,13,97,0,0,0,21,11,7,8,5,0,49,0,0,0,3,0,8,4,4,0,16,0,0,0,14,3,0,0,0,0,17,3,3,3,5,11,9,24,28,17,99,9,46,109,152,95,85,49,30,11,572,0,0,0,4,7,3,0,5,7,35,5,24,23,97,12,8,10,0,0,185
SED21503,0,14,18,45,95,196,313,241,54,974,3,3,71,114,22,46,23,3,0,285,27,73,326,909,158,102,52,26,10,1681,0,7,37,82,19,11,7,7,3,169,4,22,31,279,30,12,11,0,0,393,8,7,10,63,24,7,3,7,0,131,3,12,6,55,32,18,11,17,10,167,4,3,9,42,112,264,386,320,109,1238,0,3,18,38,10,0,0,3,0,71,0,4,15,56,11,6,0,0,0,94,0,0,7,70,52,49,40,13,3,244,11,21,166,231,61,123,53,3,3,665,0,4,0,6,10,32,58,37,4,149,0,0,21,34,10,21,9,5,6,105,0,0,3,10,6,0,0,0,0,26,0,4,8,66,0,5,0,0,0,80,0,4,3,7,3,15,23,23,8,92,12,42,84,201,92,71,28,11,3,532,0,3,0,10,3,12,9,4,3,43,0,13,40,98,8,5,3,0,0,168
SED21608,0,0,0,3,4,4,12,4,0,24,0,0,0,3,3,0,3,0,0,9,5,17,29,183,18,18,10,5,4,287,0,0,3,5,3,0,0,0,0,22,0,3,4,23,3,3,3,0,0,42,0,0,0,4,3,0,0,0,0,3,0,3,5,23,17,19,25,10,0,109,0,0,0,3,24,20,35,22,10,123,0,3,0,15,5,4,0,0,0,27,0,3,5,8,0,0,0,0,0,17,0,0,0,3,7,0,0,0,0,9,0,7,9,19,13,16,3,7,0,70,0,3,0,7,16,33,53,8,0,123,0,0,0,3,3,9,0,0,0,12,0,0,3,3,0,0,0,3,0,10,0,0,0,10,0,0,0,0,0,17,0,0,6,6,21,68,160,80,13,355,4,29,35,128,114,108,52,24,4,497,0,0,3,0,14,14,12,3,4,57,0,3,3,24,0,0,0,0,0,33
SED21706,0,7,13,23,61,115,214,293,64,786,17,25,114,267,74,89,47,16,0,661,17,56,378,940,164,106,83,36,22,1796,0,3,126,182,35,35,19,6,0,407,0,18,20,113,19,15,12,7,3,199,3,6,9,9,0,9,0,0,0,36,0,12,3,49,28,23,15,27,11,171,0,0,14,29,34,57,113,151,64,454,0,7,23,58,24,16,8,6,0,142,3,25,68,157,79,25,7,5,0,374,0,3,0,15,13,16,11,3,0,65,6,49,238,536,188,206,125,41,13,1396,0,0,0,3,4,6,15,11,9,43,0,0,27,46,16,21,12,7,6,140,0,0,6,17,11,5,3,7,3,52,0,0,28,28,0,0,3,3,0,62,3,9,6,18,13,11,37,25,12,136,16,82,102,285,178,152,58,27,12,897,0,0,0,12,3,12,10,6,3,45,3,5,44,90,9,7,4,0,0,169
SED21805,0,8,3,10,44,46,66,38,9,230,0,9,3,29,11,24,9,0,0,88,12,57,72,577,147,132,74,30,13,1117,0,6,13,31,12,9,6,3,3,88,0,0,0,22,3,0,0,0,0,30,0,0,0,4,0,3,4,0,0,12,3,11,6,80,37,30,36,25,3,223,0,3,7,34,35,70,86,67,23,316,0,3,3,21,10,4,4,0,0,43,0,3,0,15,7,3,0,0,0,23,0,0,0,31,16,10,4,0,0,64,0,11,16,52,30,37,14,8,4,177,0,0,0,3,11,18,16,23,5,77,0,13,8,101,31,67,39,13,7,277,0,0,0,12,0,6,7,0,0,33,0,0,0,16,0,0,0,0,0,12,0,3,0,18,12,59,87,93,64,333,25,148,193,656,337,241,106,39,14,1757,0,0,3,21,18,22,9,17,4,100,3,0,7,25,12,7,3,0,0,54
SED21906,0,0,3,16,35,84,157,213,55,569,0,15,38,79,26,25,16,5,0,209,94,159,295,1844,105,66,55,34,4,2653,0,7,44,115,17,10,9,8,0,210,3,0,3,65,6,3,0,0,0,85,0,0,0,7,4,0,12,4,3,27,0,14,27,363,36,20,10,5,7,480,3,9,17,104,30,47,75,60,59,399,16,39,28,169,49,8,13,3,0,330,0,11,19,91,13,3,0,4,0,143,0,0,0,10,5,14,10,4,0,41,0,0,84,193,64,50,25,10,4,433,0,0,0,3,9,5,14,3,5,36,0,0,7,50,15,7,11,11,8,104,0,0,3,6,7,4,3,3,0,24,0,0,45,110,3,0,0,0,0,164,0,12,5,34,11,20,26,9,8,119,8,38,108,591,184,155,69,21,15,1183,0,0,0,37,12,5,19,0,0,71,0,4,10,63,3,3,0,3,0,90
SED22005,10,90,102,168,247,382,836,786,164,2770,0,10,72,197,31,48,19,6,0,376,140,307,907,3658,503,354,218,132,45,6270,19,45,87,335,47,34,12,8,3,586,3,3,13,71,13,7,0,0,3,112,0,6,8,34,14,9,3,4,0,88,7,18,7,50,11,23,16,16,7,155,3,6,13,48,44,133,345,429,177,1195,3,33,23,106,29,6,4,0,6,213,4,26,84,334,52,28,11,0,0,543,0,3,7,35,33,37,33,15,4,166,23,42,180,411,75,106,59,25,4,912,0,0,0,7,0,11,34,45,14,111,0,6,32,130,73,75,94,47,19,471,7,22,111,293,74,32,13,14,7,566,0,9,30,93,4,3,0,0,0,140,0,3,9,9,14,12,27,14,7,92,15,71,128,289,139,92,29,12,5,798,0,0,0,3,3,5,10,6,3,34,13,32,72,236,28,19,14,3,0,404
