SED_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SED30030,13448,2963,502,94,20,17022,1081,655,220,51,7,2021,313,113,36,9,8,483,14849,3729,757,155,35,19524
SED30031,14369,731,878,163,26,16171,1822,233,353,83,5,2489,309,25,50,21,3,411,16501,980,1281,267,35,19067
SED30032,15324,548,65,131,86,16148,1748,128,26,69,11,1984,369,21,6,14,22,430,17439,695,94,213,111,18560
SED30033,10463,1257,3662,71,59,15511,1016,154,599,13,3,1776,205,31,122,5,10,377,11690,1435,4375,84,72,17659
SED30034,9568,310,495,232,276,10889,2026,102,168,122,62,2479,332,24,36,30,22,451,11928,430,705,389,367,13817
SED30035,13560,467,204,277,52,14555,2869,293,175,147,25,3512,419,45,15,31,11,515,16853,797,397,457,91,18589
SED30036,13764,1571,531,288,105,16258,2553,792,241,173,25,3782,401,89,45,31,75,637,16720,2453,814,497,205,20673
SED30037,14260,202,317,265,76,15122,2895,101,232,119,12,3357,453,19,29,40,11,549,17605,317,578,423,107,19031
SED30038,12568,1356,42,129,39,14137,2202,323,62,106,6,2702,446,70,11,22,6,556,15218,1750,113,253,56,17391
SED30039,8887,1210,5779,12,86,15974,468,105,418,0,5,994,145,34,114,0,43,334,9499,1339,6311,17,138,17304
SED30040,13540,1093,345,29,36,15039,2239,562,227,5,10,3042,330,72,32,0,3,445,16118,1728,604,28,46,18527
SED30041,14161,673,86,71,37,15029,2494,449,48,41,19,3045,372,52,4,3,9,438,17033,1177,133,115,61,18519
SED30042,13494,2228,133,114,27,16001,1177,600,51,89,12,1931,268,79,3,19,4,375,14940,2907,191,216,42,18304
SED30043,13000,2286,1110,111,31,16536,1190,902,159,97,0,2351,239,125,34,11,5,420,14428,3308,1306,217,40,19305
SED30044,14090,615,667,182,47,15607,2207,276,321,150,14,2974,371,27,38,40,96,567,16672,923,1027,374,155,19148
SED30045,13738,192,155,213,77,14384,2494,117,108,138,23,2879,431,20,22,116,8,598,16662,333,279,475,114,17857
SED30046,12962,421,26,113,22,13544,1312,83,12,72,6,1491,289,13,0,15,4,321,14564,518,33,194,32,15354
SED30047,12446,2025,619,93,37,15213,1513,507,321,16,5,2360,262,278,43,7,12,598,14216,2805,977,116,56,18169
SED30048,9881,1698,998,99,48,12721,1894,834,382,71,16,3200,265,100,69,9,20,460,12036,2639,1445,184,81,16379
SED30049,11243,1314,1009,231,26,13819,1095,150,215,144,9,1612,226,17,39,17,6,317,12563,1479,1268,389,39,15742
SED30050,9530,3245,4879,143,89,17883,945,686,1040,45,24,2743,221,111,237,23,27,614,10692,4040,6155,208,139,21236
SED30051,13757,327,227,233,86,14632,3292,358,163,141,24,3976,502,41,29,28,17,612,17555,724,409,407,126,19222
SED30052,10032,3839,3244,59,24,17196,875,565,576,28,6,2058,264,125,117,3,6,518,11177,4530,3936,88,37,19771
SED30053,13347,214,164,172,58,13961,2801,50,106,77,15,3048,452,6,42,111,23,635,16596,277,312,360,102,17637
SED30054,14027,423,65,14,21,14546,571,102,14,0,4,688,213,23,0,0,5,235,14810,547,73,18,27,15475
SED30055,14439,1098,92,9,24,15660,1532,284,104,3,6,1927,323,42,12,0,7,376,16296,1415,208,14,38,17965
SED30056,8697,1024,6093,38,55,15908,455,99,481,5,3,1040,197,22,147,0,60,434,9347,1149,6722,43,119,17377
SED30057,6252,832,332,203,147,7766,1668,279,176,106,49,2274,292,57,35,68,30,481,8214,1175,540,376,220,10520
SED30058,13047,1156,314,4,9,14535,809,116,107,0,3,1042,173,18,19,0,9,219,14031,1290,442,4,25,15799
SED30059,11982,3837,779,176,36,16805,761,474,225,155,4,1623,252,92,45,24,125,540,12998,4410,1045,351,170,18970
SED30060,12334,368,623,145,58,13535,2472,180,351,159,17,3171,402,28,51,18,12,512,15208,571,1026,326,85,17217
SED30061,11380,1137,464,11,13,13011,1471,629,186,5,5,2292,260,72,20,0,5,367,13111,1849,675,17,16,15665
SED30062,18018,2478,463,42,44,21060,1894,542,298,45,3,2789,403,83,39,5,4,536,20316,3112,802,100,58,24387
SED30063,13359,221,206,148,118,14048,3565,128,155,99,31,3966,472,25,17,22,25,562,17390,363,380,263,178,18575
SED30064,13598,1138,489,214,84,15525,1731,281,299,144,24,2471,347,43,33,24,17,456,15673,1461,822,378,122,18449
SED30065,13860,2075,1051,48,110,17146,1205,476,253,18,20,1968,318,102,47,9,29,509,15385,2652,1354,77,156,19617
SED30066,12449,1808,3339,21,55,17674,1715,339,655,0,3,2713,340,66,143,0,21,571,14500,2205,4145,25,81,20949
SED30067,14040,1605,309,22,21,15995,1151,401,120,4,3,1679,246,46,25,0,0,314,15433,2055,451,28,30,17991
SED30068,13505,2294,631,291,43,16763,2292,951,492,243,13,3991,399,146,70,26,5,651,16193,3394,1204,556,66,21408
SED30069,11595,1187,3036,137,53,16008,1917,549,1112,69,6,3658,285,54,130,8,11,490,13800,1792,4274,214,71,20158
SED30070,14697,418,455,58,49,15687,1616,148,246,37,13,2059,366,22,19,15,4,426,16681,588,721,106,70,18167
SED30071,12058,849,476,59,64,13509,2805,599,332,19,16,3770,407,83,52,12,36,589,15266,1533,860,94,112,17867
SED30072,12846,1968,671,65,64,15618,1531,452,358,91,8,2437,282,77,36,15,11,416,14652,2500,1069,164,82,18469
SED30073,6040,925,12103,79,109,19260,536,85,1643,5,16,2294,203,43,385,3,34,661,6780,1051,14139,90,165,22219
SED30074,12475,437,318,145,106,13485,3618,305,245,103,39,4311,438,44,36,23,10,544,16539,782,595,267,153,18345
SED30075,9430,3830,4909,51,62,18282,995,779,1100,16,18,2903,296,291,302,3,74,958,10716,4904,6310,67,148,22145
SED30076,13367,1381,394,57,17,15219,823,241,130,39,0,1236,263,34,18,5,5,318,14458,1655,545,104,20,16772
SED30077,10621,1487,3616,7,43,15780,1150,272,684,0,3,2123,252,90,108,0,47,499,12031,1855,4415,12,94,18403
SED30078,13003,3290,71,44,23,16433,767,293,30,32,16,1136,262,110,6,8,69,454,14032,3694,100,92,103,18025
SED30079,12072,2457,332,13,66,14936,1533,338,126,10,22,2024,414,283,26,0,27,760,14020,3088,483,21,117,17724
SED30080,6888,2525,9512,64,114,19106,517,342,1867,4,16,2752,178,76,391,6,19,679,7593,2942,11765,75,157,22537
SED30081,14126,574,115,52,17,14892,1876,182,44,23,8,2128,359,49,7,3,13,430,16365,798,165,77,42,17452
SED30082,12527,1813,756,23,76,15187,2225,731,419,8,21,3400,333,106,36,3,7,484,15088,2641,1210,36,103,19077
SED30083,12467,2305,709,83,50,15611,1860,1047,334,34,10,3296,277,124,48,5,94,539,14600,3477,1095,128,150,19447
SED30084,9784,2526,2872,160,84,15425,1573,1081,653,81,17,3406,250,130,140,7,31,559,11606,3741,3664,247,127,19385
SED30085,9615,257,224,127,86,10305,3117,184,107,58,39,3504,408,32,19,40,14,517,13140,469,348,219,146,14329
SED30086,14832,2008,546,34,54,17473,2217,695,380,32,11,3335,445,130,81,8,12,671,17495,2830,1000,78,81,21480
SED30087,14661,918,664,201,160,16603,1913,273,234,64,41,2532,437,48,73,39,65,658,16999,1244,975,302,261,19785
SED30088,12378,2250,377,75,42,15125,2211,777,300,33,40,3362,470,138,53,9,12,682,15058,3165,733,118,89,19172
SED30089,11164,1905,3241,11,56,16381,1055,182,754,3,6,2000,262,52,128,0,10,454,12484,2141,4120,15,76,18841
SED39494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED40001,5283,3835,4616,78,73,13880,554,570,705,9,6,1855,84,141,170,10,38,438,5928,4543,5490,104,109,16170
SED40002,7437,1986,2205,15,33,11674,931,553,578,0,0,2068,149,77,71,0,5,302,8517,2611,2853,23,41,14039
SED40003,8543,2160,396,8,21,11129,645,374,125,0,3,1153,112,61,19,0,0,196,9308,2596,535,8,25,12477
SED40004,9030,1491,405,8,31,10962,940,446,211,6,9,1611,157,55,30,0,4,250,10128,1995,645,19,39,12828
SED40005,9201,354,242,117,63,9977,2573,316,256,54,17,3213,359,54,33,14,14,472,12138,723,537,180,91,13666
SED40006,7902,2685,738,27,52,11410,2031,1019,288,7,11,3356,244,112,41,3,0,400,10175,3813,1073,42,63,15168
SED40007,7512,2051,1197,11,38,10798,1539,491,410,0,5,2447,147,74,63,0,3,285,9197,2617,1663,11,45,13536
SED40008,6911,2947,625,44,25,10548,1689,916,228,8,3,2844,226,131,31,0,7,397,8821,3993,886,52,38,13792
SED40009,10284,399,244,40,10,10981,741,75,81,23,0,921,133,68,6,3,3,218,11159,542,339,69,12,12121
SED40010,6707,3466,1954,42,42,12209,1072,603,460,4,3,2151,138,93,54,3,6,296,7920,4160,2474,56,55,14655
SED40011,6753,3335,1259,4,52,11414,1396,1047,498,4,4,2951,167,137,57,0,7,371,8322,4517,1823,9,63,14735
SED40012,7858,2407,771,27,30,11094,1602,933,348,10,12,2897,212,137,57,0,11,422,9670,3484,1173,39,53,14416
SED40013,10149,468,124,63,49,10851,1961,264,89,40,12,2366,290,39,0,10,5,342,12399,769,214,120,69,13564
SED40014,10517,585,167,9,9,11279,926,307,111,0,5,1354,168,29,16,0,7,221,11612,920,290,10,19,12852
SED40015,8667,456,201,153,57,9535,2041,329,176,86,21,2647,288,48,14,16,12,383,10996,835,393,261,85,12566
SED40016,8914,809,332,18,24,10095,1350,411,105,8,4,1873,229,46,14,0,0,290,10493,1265,451,31,21,12259
SED40017,9462,460,71,94,80,10174,2771,494,117,29,18,3424,274,42,14,18,8,360,12507,995,203,142,108,13958
SED40018,6511,2228,227,40,66,9074,1793,1255,197,24,23,3294,215,150,31,6,15,416,8515,3627,454,77,104,12777
SED40019,9347,162,83,133,48,9765,2881,219,84,63,18,3266,276,18,7,12,5,324,12505,393,173,212,73,13356
SED40020,9171,569,59,110,63,9976,2464,442,52,69,22,3048,297,48,13,6,11,372,11934,1059,121,192,96,13403
SED40021,7886,1908,1394,3,33,11230,1730,522,487,0,3,2748,182,82,64,0,10,333,9802,2512,1938,3,46,14310
SED40022,10832,174,60,57,26,11145,1150,71,36,25,3,1287,179,9,0,4,3,195,12158,251,93,76,36,12626
SED40023,10881,600,493,37,51,12064,1321,210,160,26,8,1733,264,27,20,6,4,322,12463,839,676,67,67,14115
SED40024,11008,303,55,26,48,11439,1394,190,39,9,32,1658,189,19,5,0,4,216,12582,505,95,40,87,13314
SED40025,7208,3020,978,21,26,11253,1377,941,356,5,6,2688,168,113,39,0,7,326,8757,4072,1375,24,43,14271
SED40026,10371,925,70,26,35,11437,1518,512,58,12,9,2111,212,60,9,3,0,287,12106,1495,137,43,51,13834
SED40027,8609,2235,146,31,17,11042,1692,1363,179,5,5,3243,255,185,23,3,5,464,10551,3776,356,40,29,14750
SED40028,9093,179,75,65,34,9442,2515,148,67,29,14,2769,279,18,7,0,6,307,11885,346,146,87,53,12515
SED40029,10084,420,121,88,24,10740,1462,228,78,53,3,1833,204,37,3,5,0,248,11754,684,210,148,29,12821
SED40030,9538,1802,181,4,22,11556,1309,409,154,0,5,1878,206,50,22,0,0,273,11053,2260,357,4,30,13710
SED40031,9002,1488,276,8,22,10801,1385,326,72,0,7,1788,174,50,9,0,0,227,10552,1866,360,8,29,12816
SED40032,5837,3120,2172,22,36,11182,672,677,618,12,10,1989,110,89,84,0,6,287,6617,3885,2878,36,50,13464
SED40033,8491,842,548,39,39,9956,1873,529,351,8,16,2780,222,49,40,0,9,317,10595,1420,927,49,60,13057
SED40034,9803,1172,90,12,17,11095,1735,592,93,10,4,2438,297,90,7,3,0,404,11834,1855,191,31,25,13934
SED40035,10304,381,247,12,11,10956,1205,95,101,4,3,1397,153,6,13,0,3,176,11666,485,359,17,15,12535
SED40036,9771,672,194,0,17,10656,1885,311,147,0,5,2350,268,33,16,0,3,313,11924,1010,352,3,27,13318
SED40037,9035,2583,967,31,32,12652,1487,702,252,5,9,2460,189,89,33,0,5,316,10705,3382,1244,44,51,15422
SED40038,8432,1435,453,3,14,10324,1894,794,323,0,3,3021,309,85,43,0,6,438,10636,2309,813,3,21,13784
SED40039,9551,1298,52,16,12,10930,1750,837,28,5,3,2623,249,127,7,0,0,393,11555,2266,93,19,14,13948
SED40040,10221,318,62,94,42,10741,1953,212,67,27,11,2276,208,12,6,0,6,240,12389,546,137,125,66,13264
SED40041,8265,401,146,98,104,9015,2631,348,158,61,36,3234,273,46,22,30,8,381,11166,792,323,184,152,12625
SED40042,10610,317,19,118,21,11083,1703,137,11,87,11,1953,282,11,0,6,3,302,12598,460,31,215,40,13341
SED40043,9236,2452,487,29,49,12253,1608,490,158,17,5,2275,222,86,22,3,3,333,11061,3025,673,48,55,14862
SED40044,6906,2555,2315,11,15,11802,728,480,454,0,4,1676,116,71,73,0,0,264,7755,3108,2844,11,19,13740
SED40045,8658,1277,999,28,51,11008,915,243,270,6,5,1447,156,32,28,0,3,223,9733,1556,1299,30,62,12680
SED40046,7309,2523,1523,21,51,11433,1680,615,454,0,9,2752,196,89,62,4,9,368,9185,3231,2041,27,67,14555
SED40047,10128,765,157,7,6,11062,1199,295,99,0,0,1594,168,36,10,0,6,218,11489,1102,264,7,11,12877
SED49494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED50106,9825,532,25,120,55,10551,2003,424,19,76,6,2531,262,59,3,10,3,340,12091,1016,46,205,63,13425
SED50205,8242,2838,547,3,41,11675,628,417,154,0,0,1195,130,74,29,0,8,238,8994,3328,726,3,52,13105
SED50302,11226,1613,152,40,22,13066,1890,663,60,29,7,2649,326,132,7,3,3,465,13444,2414,220,71,36,16183
SED50404,6458,5791,794,0,15,13066,1257,1097,235,0,3,2590,153,172,45,0,3,376,7871,7060,1072,0,21,16030
SED50502,9796,1438,212,6,18,11470,1497,478,88,0,0,2075,265,61,14,4,3,344,11563,1977,315,7,22,13889
SED50605,8967,1533,283,8,15,10803,646,312,115,0,5,1077,151,57,16,0,7,237,9765,1904,416,8,26,12113
SED50702,8727,2488,1274,14,36,12540,1665,630,191,3,4,2501,282,130,99,3,10,519,10676,3247,1559,20,53,15556
SED50806,8836,1573,431,94,31,10959,1563,666,290,77,3,2595,237,86,41,4,3,377,10644,2315,760,176,37,13929
SED50904,20506,1624,55,14,29,22231,1845,413,20,3,5,2284,425,73,0,0,4,507,22779,2112,75,15,42,25023
SED51005,10952,2358,241,16,30,13605,1687,537,35,0,3,2267,346,108,14,0,3,467,12993,3003,285,14,41,16333
SED51104,9755,1186,65,24,13,11040,566,218,56,6,0,854,135,41,6,0,5,183,10457,1444,131,33,14,12080
SED51201,9158,105,97,93,83,9529,2434,143,82,28,32,2716,322,10,13,7,15,374,11918,257,196,125,128,12624
SED51304,9053,1959,2093,10,23,13144,592,194,481,0,3,1263,187,49,122,0,4,365,9830,2200,2701,9,28,14776
SED51405,12229,1402,704,77,22,14438,1226,384,114,38,0,1769,248,48,17,5,4,322,13706,1837,838,124,24,16524
SED51506,11037,310,77,62,31,11513,1622,169,56,40,7,1891,263,18,7,0,6,296,12923,496,142,102,44,13701
SED51604,7831,2364,2272,11,26,12501,403,325,450,0,0,1178,130,60,69,0,10,274,8364,2747,2795,9,40,13961
SED51702,17482,783,10,28,38,18346,1253,70,3,5,5,1336,314,18,4,0,7,342,19055,867,14,29,54,20026
SED51806,11352,1115,291,85,26,12871,1385,376,136,36,5,1938,267,55,22,7,3,359,13009,1554,452,127,38,15175
SED51903,12101,1407,184,187,99,13974,2127,550,105,75,24,2879,349,97,13,32,33,528,14588,2052,297,289,160,17378
SED52002,12050,686,32,146,28,12944,1439,296,6,60,3,1800,289,28,3,14,0,334,13780,1009,46,224,32,15080
SED52105,8290,3601,1383,93,57,13418,1059,708,380,36,4,2179,201,117,72,8,89,487,9547,4419,1830,138,159,16089
SED52201,9544,877,134,172,28,10754,1704,496,100,84,11,2395,277,50,25,19,12,378,11525,1422,251,275,49,13529
SED52304,12066,1535,5,11,15,13629,1120,448,3,14,0,1578,247,63,0,3,0,307,13429,2040,8,25,16,15509
SED52402,10865,1139,121,4,24,12144,1629,439,42,0,3,2123,278,78,5,0,3,363,12777,1653,166,9,23,14630
SED52504,9705,972,162,4,13,10848,569,191,97,0,0,858,149,29,19,0,5,198,10418,1195,278,4,14,11906
SED52605,11478,795,4,5,10,12297,708,233,3,0,4,947,173,27,0,0,5,205,12362,1056,6,5,17,13447
SED52704,10124,1258,574,12,18,11993,751,244,90,0,3,1085,187,47,23,3,5,263,11065,1548,689,19,30,13341
SED52802,10320,402,114,48,23,10905,1140,186,36,18,6,1389,208,26,4,0,19,265,11670,614,158,60,45,12550
SED52903,453,19,10,25,12,524,292,12,0,21,10,331,64,3,0,5,5,75,816,34,11,49,24,932
SED53003,5446,557,346,579,105,7024,1813,276,126,232,55,2510,292,58,32,101,16,503,7548,888,510,914,174,10031
SED53104,9998,775,53,48,3,10884,686,214,21,37,0,963,137,21,7,3,0,179,10829,1015,80,93,3,12020
SED53205,17298,792,311,86,47,18529,1979,267,141,22,10,2414,406,40,12,7,10,478,19683,1097,469,115,65,21423
SED53306,10428,1756,571,81,20,12855,1674,776,198,70,8,2725,277,117,31,17,3,443,12378,2641,802,166,38,16023
SED53402,8940,2982,1921,6,35,13881,1058,685,508,3,6,2256,207,101,69,0,3,385,10203,3767,2493,10,49,16519
SED53502,10051,1742,227,96,25,12134,1622,617,79,29,8,2355,260,88,14,13,3,375,11932,2446,316,137,32,14864
SED53602,8801,3357,125,0,21,12307,1516,977,71,0,7,2572,270,198,8,0,0,478,10588,4530,206,0,30,15362
SED53701,9856,127,77,220,90,10374,2090,94,64,109,16,2371,332,13,13,29,29,415,12269,235,160,362,136,13161
SED53802,8256,3607,79,4,37,11974,1364,646,63,3,7,2078,236,112,11,0,3,360,9846,4362,152,6,46,14412
SED53902,7151,4327,1683,9,29,13203,887,754,472,0,5,2120,164,128,81,3,3,375,8209,5206,2230,14,37,15701
SED54006,11280,271,34,113,51,11745,1756,170,51,71,5,2055,282,23,8,20,17,350,13316,460,101,205,68,14149
SED54104,7775,2408,3183,8,22,13393,370,240,578,0,0,1189,133,44,95,0,3,280,8278,2692,3853,8,28,14865
SED54203,3753,220,106,279,54,4405,822,102,37,134,16,1108,185,44,0,46,29,299,4757,366,139,452,94,5813
SED54304,11896,746,179,32,13,12870,488,113,33,24,0,654,164,22,5,4,3,192,12547,877,210,61,17,13715
SED54404,5865,2901,9984,62,77,18886,725,291,1181,9,17,2232,165,65,264,17,15,520,6750,3260,11429,92,106,21633
SED54503,8396,803,580,156,54,9991,1146,271,129,48,19,1617,270,38,27,29,18,389,9814,1116,739,232,95,11991
SED54605,10151,1019,377,3,8,11561,743,253,69,0,0,1062,170,35,7,0,0,206,11063,1306,449,3,11,12834
SED54705,9996,970,586,76,6,11641,1707,551,289,56,0,2607,288,82,39,4,3,420,11996,1609,914,138,10,14672
SED54804,7323,5838,905,0,27,14095,746,813,239,0,5,1808,176,183,36,0,0,389,8239,6835,1178,4,39,16295
SED54905,6791,4993,1607,4,45,13435,573,559,250,0,13,1399,148,114,58,0,3,321,7508,5672,1911,9,58,15154
SED55005,13588,955,66,4,12,14625,713,91,9,0,0,820,226,26,0,0,0,252,14531,1071,71,4,10,15695
SED55102,13238,596,10,37,43,13919,1079,110,0,17,3,1206,225,17,4,5,13,261,14538,719,15,62,59,15388
SED55206,10690,717,19,300,47,11778,1337,358,16,131,6,1844,236,54,4,31,11,339,12266,1128,39,465,65,13956
SED55305,8316,4469,2467,9,54,15316,1000,802,568,7,8,2376,226,205,115,0,13,563,9543,5473,3145,23,79,18263
SED55401,8637,178,47,78,72,9021,2340,155,50,74,23,2644,308,28,7,9,9,360,11285,357,108,163,103,12015
SED55504,12726,1011,4,61,6,13816,1056,242,3,46,0,1354,227,39,0,11,0,275,14007,1293,12,115,8,15444
SED55605,16903,582,3,9,16,17516,1214,176,4,0,5,1400,328,28,0,0,3,362,18450,790,9,6,23,19275
SED55706,11326,287,97,119,82,11906,2263,165,83,55,19,2589,306,22,16,13,4,358,13891,480,187,183,106,14849
SED55802,14800,1471,84,54,17,16427,1131,311,22,44,3,1508,314,46,3,6,9,367,16242,1825,108,104,25,18311
SED55905,9377,1573,390,3,33,11372,1619,598,157,0,6,2377,266,66,17,0,0,359,11265,2237,567,3,40,14103
SED59494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED60101,2777,23,15,17,32,2870,942,37,24,11,13,1020,111,0,3,3,3,124,3828,59,41,32,53,4013
SED60106,8487,741,974,48,42,10296,1473,284,475,7,6,2246,218,38,43,3,5,307,10180,1061,1489,56,54,12847
SED60112,6950,348,401,17,25,7743,949,134,182,11,5,1280,142,19,29,4,4,197,8040,500,616,28,32,9219
SED60115,8396,856,418,31,14,9717,2243,490,321,11,15,3077,291,78,40,0,10,415,10924,1431,781,37,36,13213
SED60207,8899,581,74,57,24,9636,2196,547,111,42,5,2904,259,64,12,6,3,342,11360,1188,200,109,30,12882
SED60208,8761,456,124,51,31,9419,2319,458,91,41,3,2903,283,55,7,0,11,362,11359,968,224,93,39,12686
SED60209,9000,298,81,50,50,9476,2625,250,70,27,9,2981,301,32,12,3,8,357,11926,586,159,80,67,12820
SED60214,57,0,0,0,0,57,3,0,0,0,0,3,5,0,0,0,0,5,66,0,0,0,0,66
SED60302,2561,85,264,3,3,2912,519,58,111,0,0,685,63,7,10,0,0,81,3143,149,391,3,7,3685
SED60303,8917,539,947,53,19,10476,2558,424,762,16,3,3770,301,62,82,3,4,444,11780,1024,1793,76,22,14686
SED60304,8036,1128,2315,50,46,11571,895,192,598,10,7,1706,159,33,79,3,14,285,9097,1352,2992,62,66,13567
SED60305,135,0,0,0,0,132,14,0,0,0,0,14,0,0,0,0,0,0,145,0,0,0,0,147
SED60310,5847,684,768,25,23,7354,463,128,147,4,0,746,119,30,30,5,9,194,6431,840,949,36,36,8291
SED60402,1088,14,66,0,5,1173,126,3,24,0,0,148,17,0,0,0,0,20,1225,22,94,3,5,1346
SED60405,10493,183,122,99,24,10922,1765,64,75,41,4,1947,228,15,9,11,3,274,12488,259,212,148,38,13140
SED60410,3216,304,78,3,5,3603,497,81,37,0,0,616,78,12,0,0,0,89,3791,392,118,3,5,4313
SED60411,10372,437,208,23,18,11053,1865,269,116,5,4,2256,254,36,12,0,3,302,12493,741,338,25,22,13616
SED60413,6019,95,21,35,22,6196,987,53,16,20,0,1080,124,12,3,10,0,150,7135,164,43,57,28,7431
SED60501,5486,58,34,62,57,5696,2002,48,30,43,19,2138,211,5,10,8,5,235,7698,116,76,113,77,8076
SED60502,5924,81,278,21,29,6331,2126,102,209,23,8,2466,212,9,17,0,3,233,8265,189,499,41,35,9028
SED60512,2949,8,11,43,12,3026,624,13,7,8,3,656,92,0,0,9,0,104,3666,29,17,67,17,3788
SED60513,4957,40,4,32,16,5051,1205,25,6,12,11,1264,159,5,0,3,3,173,6327,69,12,47,25,6485
SED60514,8990,129,139,57,25,9337,2347,115,79,17,11,2565,308,9,13,5,9,340,11646,253,231,77,45,12247
SED69494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED70001,705,62,11,4,8,790,379,32,13,13,0,439,60,4,4,8,3,69,1145,102,29,17,8,1300
SED70002,1862,905,152,146,13,3062,262,192,54,30,0,540,71,28,11,0,0,108,2199,1115,209,174,14,3718
SED70003,734,102,82,41,10,960,433,70,19,22,3,545,84,13,3,16,0,120,1257,181,105,74,16,1635
SED70004,811,36,117,119,12,1097,555,20,45,70,10,697,96,5,10,62,6,180,1456,63,172,254,24,1968
SED70005,1946,336,214,0,3,2493,195,102,41,0,0,341,70,18,17,0,0,109,2210,456,269,0,3,2939
SED70006,1957,664,53,123,29,2834,261,196,28,31,6,525,81,45,10,20,14,163,2300,905,91,175,51,3520
SED70007,1846,249,296,4,0,2391,115,40,62,0,0,213,59,13,14,0,0,83,2016,296,372,4,3,2688
SED70008,1766,223,299,41,3,2338,138,38,37,9,4,220,49,6,12,10,3,83,1954,273,346,59,8,2645
SED70009,1376,54,5,99,24,1561,666,63,19,38,10,792,102,13,3,32,7,156,2145,126,24,167,39,2505
SED70010,1582,71,535,3,3,2195,238,25,263,4,0,523,66,4,48,0,0,123,1883,97,844,9,10,2843
SED70011,863,1004,735,14,16,2628,83,188,163,10,8,437,30,33,39,4,8,116,975,1221,935,23,24,3183
SED70012,867,455,1085,26,9,2435,73,82,102,12,3,266,28,20,22,10,3,86,966,552,1214,43,11,2793
SED70013,2241,6,21,102,32,2395,383,6,11,41,6,451,90,0,0,12,0,101,2713,9,34,153,37,2948
SED70014,1600,149,309,0,7,2068,217,50,42,0,0,313,62,11,19,3,0,91,1879,205,368,3,5,2468
SED70015,1572,310,64,4,0,1951,197,126,16,3,3,341,66,26,3,0,0,98,1832,466,82,5,3,2385
SED70016,1579,109,100,92,86,1965,324,60,73,39,35,531,79,17,9,5,13,127,1981,187,183,138,131,2625
SED70017,743,150,233,154,7,1299,516,52,91,82,0,754,78,10,25,29,5,138,1340,216,353,265,15,2190
SED70018,1932,53,76,142,28,2229,257,3,22,34,3,313,59,4,3,16,0,87,2247,58,94,192,33,2628
SED70019,1103,163,67,18,7,1356,292,46,20,15,0,370,66,18,13,4,0,108,1461,226,101,32,14,1834
SED70020,1005,58,1360,28,24,2473,81,37,254,6,0,377,41,4,71,0,5,119,1127,100,1679,34,24,2967
SED70021,290,115,2717,11,24,3160,20,45,305,3,0,373,5,3,96,3,15,128,325,164,3117,13,43,3654
SED70022,1919,134,175,70,3,2306,190,33,20,22,0,265,58,6,4,27,0,97,2169,173,200,126,3,2670
SED70023,1974,341,65,76,26,2490,117,79,44,7,10,254,43,19,6,10,8,86,2142,440,116,95,38,2825
SED70024,395,37,15,27,11,488,741,29,15,21,0,814,40,3,0,11,3,58,1183,76,33,56,13,1362
SED70025,1994,101,294,39,3,2432,153,26,80,4,0,261,58,0,18,0,0,79,2207,129,386,48,3,2775
SED79494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED80001,18841,2959,526,4,26,22355,1294,551,79,0,6,1923,331,110,93,0,4,534,20459,3617,700,5,30,24818
SED80002,17280,4737,3266,10,22,25322,1429,654,328,0,8,2415,328,134,74,0,3,542,19040,5523,3667,15,29,28275
SED80003,12374,3919,10573,58,100,27030,1215,500,1110,63,19,2908,264,161,267,21,7,722,13856,4582,11954,139,131,30658
SED80004,18965,4131,2488,22,31,25641,1442,716,423,3,7,2578,372,125,75,0,5,586,20779,4970,2992,25,40,28803
