CED_NAME16	Age	Sex	Volunteer	adults
Fowler	15-19	F	0	4105
Fowler	15-19	F	1	940
Fowler	15-19	M		463
Fowler	15-19	M	0	4595
Fowler	15-19	M	1	665
Fowler	20-24	F		453
Fowler	20-24	F	0	4888
Fowler	20-24	F	1	886
Fowler	20-24	M		513
Fowler	20-24	M	0	5243
Fowler	20-24	M	1	657
Fowler	25-34	F		1006
Fowler	25-34	F	0	10006
Fowler	25-34	F	1	1153
Fowler	25-34	M		1002
Fowler	25-34	M	0	9714
Fowler	25-34	M	1	889
Fowler	35-44	F		851
Fowler	35-44	F	0	8947
Fowler	35-44	F	1	1166
Fowler	35-44	M		861
Fowler	35-44	M	0	8468
Fowler	35-44	M	1	793
Fowler	45-54	F		779
Fowler	45-54	F	0	9269
Fowler	45-54	F	1	1094
Fowler	45-54	M		823
Fowler	45-54	M	0	9205
Fowler	45-54	M	1	831
Fowler	55-64	F		692
Fowler	55-64	F	0	8774
Fowler	55-64	F	1	1007
Fowler	55-64	M		729
Fowler	55-64	M	0	8289
Fowler	55-64	M	1	740
Fowler	65-74	F		482
Fowler	65-74	F	0	5186
Fowler	65-74	F	1	536
Fowler	65-74	M		500
Fowler	65-74	M	0	5170
Fowler	65-74	M	1	490
Fowler	75-84	F		343
Fowler	75-84	F	0	3126
Fowler	75-84	F	1	187
Fowler	75-84	M		283
Fowler	75-84	M	0	2623
Fowler	75-84	M	1	150
Fowler	85+	F		163
Fowler	85+	F	0	1628
Fowler	85+	F	1	39
Fowler	85+	M		116
Fowler	85+	M	0	972
Fowler	85+	M	1	28
Gilmore	15-19	F		426
Gilmore	15-19	F	0	2777
Gilmore	15-19	F	1	729
Gilmore	15-19	M		511
Gilmore	15-19	M	0	3012
Gilmore	15-19	M	1	592
Gilmore	20-24	F		256
Gilmore	20-24	F	0	2372
Gilmore	20-24	F	1	490
Gilmore	20-24	M		405
Gilmore	20-24	M	0	2740
Gilmore	20-24	M	1	461
Gilmore	25-34	F		485
Gilmore	25-34	F	0	4941
Gilmore	25-34	F	1	1189
Gilmore	25-34	M		801
Gilmore	25-34	M	0	4990
Gilmore	25-34	M	1	892
Gilmore	35-44	F		519
Gilmore	35-44	F	0	5123
Gilmore	35-44	F	1	2128
Gilmore	35-44	M		787
Gilmore	35-44	M	0	5229
Gilmore	35-44	M	1	1418
Gilmore	45-54	F		682
Gilmore	45-54	F	0	6743
Gilmore	45-54	F	1	2313
Gilmore	45-54	M		838
Gilmore	45-54	M	0	6457
Gilmore	45-54	M	1	1803
Gilmore	55-64	F		865
Gilmore	55-64	F	0	8476
Gilmore	55-64	F	1	3082
Gilmore	55-64	M		914
Gilmore	55-64	M	0	8112
Gilmore	55-64	M	1	2495
Gilmore	65-74	F		1074
Gilmore	65-74	F	0	7151
Gilmore	65-74	F	1	3324
Gilmore	65-74	M		1067
Gilmore	65-74	M	0	7531
Gilmore	65-74	M	1	2734
Gilmore	75-84	F		1031
Gilmore	75-84	F	0	4067
Gilmore	75-84	F	1	1329
Gilmore	75-84	M		817
Gilmore	75-84	M	0	3979
Gilmore	75-84	M	1	1147
Gilmore	85+	F		698
