CED_NAME16	FamilyComposition	families_with_children
Kingston	Intact family with other children present	139
Kingston	Other couple family with other children only	83
Kingston	Step family with no other children present	1506
Kingston	Step family with other children present	29
Makin	Blended family with no other children present	676
Makin	Blended family with other children present	12
Makin	Intact family with no other children present	15841
Makin	Intact family with other children present	171
Makin	Other couple family with other children only	76
Makin	Step family with no other children present	1355
Makin	Step family with other children present	26
Mayo	Blended family with no other children present	670
Mayo	Blended family with other children present	3
Mayo	Intact family with no other children present	14015
Mayo	Intact family with other children present	112
Mayo	Other couple family with other children only	85
Mayo	Step family with no other children present	1197
Mayo	Step family with other children present	13
Port Adelaide	Blended family with no other children present	732
Port Adelaide	Blended family with other children present	25
Port Adelaide	Intact family with no other children present	16070
Port Adelaide	Intact family with other children present	261
Port Adelaide	Other couple family with other children only	85
Port Adelaide	Step family with no other children present	1392
Port Adelaide	Step family with other children present	29
Sturt	Blended family with no other children present	407
Sturt	Blended family with other children present	3
Sturt	Intact family with no other children present	16558
Sturt	Intact family with other children present	138
Sturt	Other couple family with other children only	41
Sturt	Step family with no other children present	959
Sturt	Step family with other children present	19
Wakefield	Blended family with no other children present	1120
Wakefield	Blended family with other children present	21
Wakefield	Intact family with no other children present	14984
Wakefield	Intact family with other children present	217
Wakefield	Other couple family with other children only	137
Wakefield	Step family with no other children present	1638
Wakefield	Step family with other children present	46
Brand	Blended family with no other children present	1203
Brand	Blended family with other children present	23
Brand	Intact family with no other children present	17155
Brand	Intact family with other children present	238
Brand	Other couple family with other children only	148
Brand	Step family with no other children present	1701
Brand	Step family with other children present	32
Burt	Blended family with no other children present	893
Burt	Blended family with other children present	19
Burt	Intact family with no other children present	19793
Burt	Intact family with other children present	335
Burt	Other couple family with other children only	123
Burt	Step family with no other children present	1443
Burt	Step family with other children present	50
Canning	Blended family with no other children present	879
Canning	Blended family with other children present	27
Canning	Intact family with no other children present	13859
Canning	Intact family with other children present	181
Canning	Other couple family with other children only	135
Canning	Step family with no other children present	1370
Canning	Step family with other children present	32
Cowan	Blended family with no other children present	805
Cowan	Blended family with other children present	15
Cowan	Intact family with no other children present	17915
Cowan	Intact family with other children present	342
Cowan	Other couple family with other children only	96
Cowan	Step family with no other children present	1299
Cowan	Step family with other children present	26
Curtin	Blended family with no other children present	259
Curtin	Blended family with other children present	3
Curtin	Intact family with no other children present	15578
Curtin	Intact family with other children present	88
Curtin	Other couple family with other children only	18
Curtin	Step family with no other children present	797
Curtin	Step family with other children present	3
Durack	Blended family with no other children present	867
Durack	Blended family with other children present	34
Durack	Intact family with no other children present	14565
Durack	Intact family with other children present	345
Durack	Other couple family with other children only	250
Durack	Step family with no other children present	1173
Durack	Step family with other children present	64
Forrest	Blended family with no other children present	844
Forrest	Blended family with other children present	11
Forrest	Intact family with no other children present	14289
Forrest	Intact family with other children present	163
Forrest	Other couple family with other children only	109
Forrest	Step family with no other children present	1197
Forrest	Step family with other children present	25
Fremantle	Blended family with no other children present	609
Fremantle	Blended family with other children present	6
Fremantle	Intact family with no other children present	16305
Fremantle	Intact family with other children present	159
Fremantle	Other couple family with other children only	50
Fremantle	Step family with no other children present	1150
Fremantle	Step family with other children present	21
Hasluck	Blended family with no other children present	698
Hasluck	Blended family with other children present	14
Hasluck	Intact family with no other children present	14979
Hasluck	Intact family with other children present	248
Hasluck	Other couple family with other children only	101
Hasluck	Step family with no other children present	1281
Hasluck	Step family with other children present	38
Moore	Blended family with no other children present	610
Moore	Blended family with other children present	3
Moore	Intact family with no other children present	18415
Moore	Intact family with other children present	134
Moore	Other couple family with other children only	75
Moore	Step family with no other children present	1227
Moore	Step family with other children present	14
O'Connor	Blended family with no other children present	851
O'Connor	Blended family with other children present	15
O'Connor	Intact family with no other children present	13603
O'Connor	Intact family with other children present	200
O'Connor	Other couple family with other children only	164
O'Connor	Step family with no other children present	1064
O'Connor	Step family with other children present	34
Pearce	Blended family with no other children present	1209
Pearce	Blended family with other children present	29
Pearce	Intact family with no other children present	20306
Pearce	Intact family with other children present	255
Pearce	Other couple family with other children only	145
Pearce	Step family with no other children present	1601
Pearce	Step family with other children present	39
Perth	Blended family with no other children present	328
Perth	Blended family with other children present	6
Perth	Intact family with no other children present	13416
Perth	Intact family with other children present	100
Perth	Other couple family with other children only	47
Perth	Step family with no other children present	879
Perth	Step family with other children present	16
Stirling	Blended family with no other children present	429
Stirling	Blended family with other children present	13
Stirling	Intact family with no other children present	15031
Stirling	Intact family with other children present	142
Stirling	Other couple family with other children only	59
Stirling	Step family with no other children present	923
Stirling	Step family with other children present	20
Swan	Blended family with no other children present	436
Swan	Blended family with other children present	3
Swan	Intact family with no other children present	14060
Swan	Intact family with other children present	169
Swan	Other couple family with other children only	53
Swan	Step family with no other children present	959
Swan	Step family with other children present	15
Tangney	Blended family with no other children present	377
Tangney	Blended family with other children present	3
Tangney	Intact family with no other children present	17026
Tangney	Intact family with other children present	190
Tangney	Other couple family with other children only	45
Tangney	Step family with no other children present	897
Tangney	Step family with other children present	15
Bass	Blended family with no other children present	576
Bass	Blended family with other children present	10
Bass	Intact family with no other children present	8535
Bass	Intact family with other children present	70
Bass	Other couple family with other children only	67
Bass	Step family with no other children present	823
Bass	Step family with other children present	19
Braddon	Blended family with no other children present	594
Braddon	Blended family with other children present	6
Braddon	Intact family with no other children present	7821
Braddon	Intact family with other children present	68
Braddon	Other couple family with other children only	79
Braddon	Step family with no other children present	936
Braddon	Step family with other children present	12
Denison	Blended family with no other children present	484
Denison	Blended family with other children present	14
Denison	Intact family with no other children present	8391
Denison	Intact family with other children present	77
Denison	Other couple family with other children only	57
Denison	Step family with no other children present	844
Denison	Step family with other children present	14
Franklin	Blended family with no other children present	570
Franklin	Blended family with other children present	10
Franklin	Intact family with no other children present	9854
Franklin	Intact family with other children present	99
Franklin	Other couple family with other children only	59
Franklin	Step family with no other children present	1013
Franklin	Step family with other children present	14
Lyons	Blended family with no other children present	613
Lyons	Blended family with other children present	11
Lyons	Intact family with no other children present	8426
Lyons	Intact family with other children present	101
Lyons	Other couple family with other children only	99
Lyons	Step family with no other children present	922
Lyons	Step family with other children present	24
Lingiari	Blended family with no other children present	459
Lingiari	Blended family with other children present	57
Lingiari	Intact family with no other children present	9048
Lingiari	Intact family with other children present	637
Lingiari	Other couple family with other children only	277
Lingiari	Step family with no other children present	731
Lingiari	Step family with other children present	80
Solomon	Blended family with no other children present	571
Solomon	Blended family with other children present	7
Solomon	Intact family with no other children present	10921
Solomon	Intact family with other children present	213
Solomon	Other couple family with other children only	70
Solomon	Step family with no other children present	961
Solomon	Step family with other children present	24
Canberra	Blended family with no other children present	808
Canberra	Blended family with other children present	14
Canberra	Intact family with no other children present	20178
Canberra	Intact family with other children present	204
Canberra	Other couple family with other children only	79
Canberra	Step family with no other children present	1550
Canberra	Step family with other children present	20
Fenner	Blended family with no other children present	806
Fenner	Blended family with other children present	11
Fenner	Intact family with no other children present	22696
Fenner	Intact family with other children present	239
Fenner	Other couple family with other children only	89
Fenner	Step family with no other children present	1479
Fenner	Step family with other children present	26
