CED_NAME16	OnlyEnglishSpokenHome	Sex	persons
Stirling	0	M	22500
Stirling	1	F	47162
Stirling	1	M	45544
Swan	0	F	24123
Swan	0	M	24461
Swan	1	F	50450
Swan	1	M	50854
Tangney	0	F	18012
Tangney	0	M	16111
Tangney	1	F	48983
Tangney	1	M	47180
No usual address (WA)	0	F	281
No usual address (WA)	0	M	305
No usual address (WA)	1	F	1559
No usual address (WA)	1	M	2258
Migratory - Offshore - Shipping (WA)	0	F	3
Migratory - Offshore - Shipping (WA)	0	M	51
Migratory - Offshore - Shipping (WA)	1	F	14
Migratory - Offshore - Shipping (WA)	1	M	288
Bass	0	F	2947
Bass	0	M	2903
Bass	1	F	45673
Bass	1	M	43047
Braddon	0	F	1301
Braddon	0	M	1053
Braddon	1	F	45517
Braddon	1	M	43237
Denison	0	F	6464
Denison	0	M	5902
Denison	1	F	43119
Denison	1	M	40769
Franklin	0	F	2577
Franklin	0	M	2146
Franklin	1	F	48405
Franklin	1	M	45665
Lyons	0	F	1082
Lyons	0	M	847
Lyons	1	F	47034
Lyons	1	M	47208
No usual address (Tas.)	0	F	31
No usual address (Tas.)	0	M	31
No usual address (Tas.)	1	F	300
No usual address (Tas.)	1	M	378
Migratory - Offshore - Shipping (Tas.)	0	M	9
Migratory - Offshore - Shipping (Tas.)	1	F	18
Migratory - Offshore - Shipping (Tas.)	1	M	37
Lingiari	0	F	21365
Lingiari	0	M	20485
Lingiari	1	F	26453
Lingiari	1	M	29372
Solomon	0	F	13488
Solomon	0	M	12936
Solomon	1	F	36605
Solomon	1	M	39434
No usual address (NT)	0	F	218
No usual address (NT)	0	M	234
No usual address (NT)	1	F	642
No usual address (NT)	1	M	720
Migratory - Offshore - Shipping (NT)	0	F	3
Migratory - Offshore - Shipping (NT)	0	M	37
Migratory - Offshore - Shipping (NT)	1	F	10
Migratory - Offshore - Shipping (NT)	1	M	16
Canberra	0	F	18966
Canberra	0	M	16779
Canberra	1	F	75080
Canberra	1	M	73549
Fenner	0	F	26651
Fenner	0	M	25088
Fenner	1	F	71241
Fenner	1	M	69822
No usual address (ACT)	0	F	41
No usual address (ACT)	0	M	42
No usual address (ACT)	1	F	160
No usual address (ACT)	1	M	190
No usual address (OT)	0	F	10
No usual address (OT)	0	M	5
No usual address (OT)	1	F	21
No usual address (OT)	1	M	20
Migratory - Offshore - Shipping (OT)	1	M	3
